Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Michael Zetterer,Goalkeeper,"Jul 12, 1995 (29)",Germany,"1,87m",both,"Jan 27, 2015",,"Jun 30, 2027",€4.50m,https://www.transfermarkt.com/michael-zetterer/profil/spieler/196813
30,Mio Backhaus,Goalkeeper,"Apr 16, 2004 (21)","Germany, Japan","1,94m",right,"Jul 12, 2022",,-,€2.00m,https://www.transfermarkt.com/mio-backhaus/profil/spieler/620295
25,Markus Kolke,Goalkeeper,"Aug 18, 1990 (34)",Germany,"1,87m",right,"Jul 1, 2024",,-,€300k,https://www.transfermarkt.com/markus-kolke/profil/spieler/99451
32,Marco Friedl,Centre-Back,"Mar 16, 1998 (27)",Austria,"1,87m",left,"Jul 1, 2019",,"Jun 30, 2028",€10.00m,https://www.transfermarkt.com/marco-friedl/profil/spieler/156990
4,Niklas Stark,Centre-Back,"Apr 14, 1995 (30)",Germany,"1,90m",right,"Jul 1, 2022",,"Jun 30, 2026",€5.00m,https://www.transfermarkt.com/niklas-stark/profil/spieler/162434
5,Amos Pieper,Centre-Back,"Jan 17, 1998 (27)",Germany,"1,92m",right,"Jul 1, 2022",,"Jun 30, 2026",€3.00m,https://www.transfermarkt.com/amos-pieper/profil/spieler/334221
13,Milos Veljkovic,Centre-Back,"Sep 26, 1995 (29)","Serbia, Switzerland","1,88m",right,"Feb 1, 2016",,"Jun 30, 2025",€3.00m,https://www.transfermarkt.com/milos-veljkovic/profil/spieler/202228
22,Julián Malatini,Centre-Back,"May 31, 2001 (23)",Argentina,"1,91m",right,"Jan 16, 2024",,-,€3.00m,https://www.transfermarkt.com/julian-malatini/profil/spieler/830108
3,Anthony Jung,Centre-Back,"Nov 3, 1991 (33)","Germany, Spain","1,86m",left,"Jul 1, 2021",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/anthony-jung/profil/spieler/58995
19,Derrick Köhn,Left-Back,"Feb 4, 1999 (26)","Germany, Ghana","1,80m",left,"Aug 30, 2024",,"Jun 30, 2025",€6.00m,https://www.transfermarkt.com/derrick-kohn/profil/spieler/391780
27,Felix Agu,Left-Back,"Sep 27, 1999 (25)","Germany, Nigeria","1,80m",right,"Jul 1, 2020",,"Jun 30, 2027",€6.00m,https://www.transfermarkt.com/felix-agu/profil/spieler/393512
29,Issa Kaboré,Right-Back,"May 12, 2001 (23)",Burkina Faso,"1,80m",right,"Jan 6, 2025",,"Jun 30, 2025",€6.00m,https://www.transfermarkt.com/issa-kabore/profil/spieler/649452
8,Mitchell Weiser,Right-Back,"Apr 21, 1994 (31)","Germany, Algeria","1,77m",right,"Jul 15, 2022",,-,€5.00m,https://www.transfermarkt.com/mitchell-weiser/profil/spieler/119211
14,Senne Lynen,Defensive Midfield,"Feb 19, 1999 (26)",Belgium,"1,85m",right,"Aug 8, 2023",,-,€9.00m,https://www.transfermarkt.com/senne-lynen/profil/spieler/338668
