Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,18,Lorient,frFRA,1.Ligue 1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,6.0,,0.0,0.89,,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,3,,,,,,,,,,,,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 1,923(£ 1,670, $2,108)","€ 100,000(£ 86,862, $109,598)",Estimación no verificada,https://fbref.com/es/jugadores/741418c3/Alexis-Claude-Maurice
2017-2018,19,Lorient,frFRA,2.Ligue 2,20.0,609,3.0,0.0,3.0,265.0,1.0,0.0,,,,,23.0,874,4,0,5,609,6.8,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,0.44,0.0,0.44,0.44,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,609,30.0,17.8,6.8,5,,1,15,,7,1.5,11.0,11.0,0.0,0.0,-0.48,,,,,,4.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 25,385(£ 22,050, $27,821)","€ 1,320,000(£ 1,146,584, $1,446,691)",Estimación no verificada,https://fbref.com/es/jugadores/741418c3/Alexis-Claude-Maurice
2018-2019,20,Lorient,frFRA,2.Ligue 2,35.0,"3,090",14.0,3.0,2.0,112.0,0.0,0.0,,,,,37.0,"3,202",14,3,35,"3,090",34.3,14.0,3.0,17.0,14.0,0.0,0.0,4.0,0.0,,,,,,,,0.41,0.09,0.5,0.41,0.5,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,50.0,1.73,0.87,0.0,0.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"3,090",88.0,90.4,34.3,35,88.0,26,0,,0,1.54,46.0,40.0,6.0,0.17,-0.92,,,,,,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,,,0.0,,,,,"€ 23,077(£ 20,045, $25,292)","€ 1,200,000(£ 1,042,350, $1,315,174)",Estimación no verificada,https://fbref.com/es/jugadores/741418c3/Alexis-Claude-Maurice
2019-2020,21,Lorient,frFRA,2.Ligue 2,2.0,104,1.0,1.0,,,,,,,,,2.0,104,1,1,1,104,1.2,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,0.87,0.87,1.73,0.0,0.87,,,,,,26.0,16.0,8.0,11.0,7.0,13.0,35.0,37.1,22.0,20.0,4.0,16.0,11.0,37.0,4.0,0.0,501.0,595.0,84.2,7525.0,1582.0,300.0,334.0,89.8,159.0,186.0,85.5,29.0,47.0,61.7,1.0,1.6,1.6,-0.6,20.0,30.0,18.0,2.0,64.0,595.0,569.0,26.0,6.0,1.0,4.0,28.0,5.0,13.0,4.0,8.0,0.0,501.0,0.0,8.0,9.0,106.0,416.0,335.0,52.0,842.0,85.0,58.0,68.2,27.0,31.8,548.0,3757.0,2095.0,64.0,63.0,16.0,55.0,37.0,648.0,142.0,1.0,38.0,10.0,26.3,2.1,0.55,0.03,0.1,18.3,0.0,0.0,0.0,3.2,3.2,0.08,-2.2,-2.2,58.0,3.2,29.0,3.0,14.0,5.0,7.0,0.0,5.0,0.28,4.0,0.0,1.0,0.0,0.0,0.0,104,52.0,4.1,1.2,1,76.0,0,1,28.0,0,2.0,3.0,0.0,3.0,2.6,1.96,,,,,,2.0,0.0,0.0,13.0,44.0,1.0,28.0,11.0,16.0,0.0,0.0,0.0,73.0,9.0,7.0,56.3,"€ 23,077(£ 20,045, $25,292)","€ 1,200,000(£ 1,042,350, $1,315,174)",Estimación no verificada,https://fbref.com/es/jugadores/741418c3/Alexis-Claude-Maurice
2019-2020,21,Nice,frFRA,1.Ligue 1,22.0,"1,629",1.0,1.0,2.0,180.0,0.0,1.0,,,,,24.0,"1,809",1,2,19,"1,629",18.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,3.2,3.2,1.6,4.8,64.0,64.0,142.0,0.06,0.06,0.11,0.06,0.11,0.18,0.09,0.27,0.18,0.27,40.0,19.0,17.0,14.0,9.0,14.0,48.0,29.2,34.0,16.0,2.0,14.0,14.0,54.0,3.0,0.0,604.0,753.0,80.2,8863.0,1843.0,336.0,378.0,88.9,190.0,238.0,79.8,42.0,73.0,57.5,5.0,3.8,2.5,1.2,35.0,46.0,11.0,1.0,76.0,753.0,696.0,56.0,22.0,1.0,1.0,57.0,4.0,29.0,12.0,17.0,0.0,604.0,1.0,15.0,12.0,139.0,465.0,414.0,55.0,996.0,73.0,48.0,65.8,25.0,34.2,681.0,3938.0,2119.0,61.0,45.0,20.0,62.0,43.0,751.0,116.0,4.0,34.0,15.0,44.1,1.6,0.71,0.12,0.27,18.9,3.0,0.0,0.0,3.8,3.8,0.12,0.2,0.2,70.0,3.3,45.0,12.0,6.0,2.0,5.0,0.0,11.0,0.52,8.0,1.0,1.0,1.0,0.0,0.0,"1,629",74.0,64.6,18.1,19,83.0,12,3,14.0,0,1.41,25.0,25.0,0.0,0.0,-0.3,21.4,30.0,-8.6,-0.48,-0.52,2.0,0.0,0.0,24.0,54.0,1.0,57.0,14.0,19.0,0.0,0.0,0.0,95.0,8.0,19.0,29.6,"€ 23,077(£ 19,853, $25,234)","€ 1,200,000(£ 1,032,372, $1,312,153)",Estimación no verificada,https://fbref.com/es/jugadores/741418c3/Alexis-Claude-Maurice
2020-2021,22,Nice,frFRA,1.Ligue 1,30.0,"1,910",4.0,5.0,1.0,90.0,0.0,0.0,6.0,362.0,1.0,0.0,37.0,"2,362",5,5,21,"1,910",21.2,4.0,5.0,9.0,4.0,0.0,0.0,2.0,0.0,3.8,3.8,3.8,7.6,61.0,76.0,116.0,0.19,0.24,0.42,0.19,0.42,0.18,0.18,0.36,0.18,0.36,2.0,0.0,1.0,0.0,1.0,1.0,4.0,25.0,3.0,7.0,0.0,7.0,3.0,5.0,1.0,0.0,88.0,103.0,85.4,1262.0,269.0,56.0,63.0,88.9,23.0,26.0,88.5,6.0,7.0,85.7,2.0,1.2,0.7,0.8,8.0,4.0,3.0,1.0,7.0,103.0,94.0,9.0,1.0,0.0,0.0,9.0,3.0,5.0,2.0,3.0,0.0,88.0,0.0,3.0,1.0,12.0,58.0,74.0,11.0,144.0,8.0,3.0,37.5,5.0,62.5,90.0,427.0,151.0,5.0,6.0,1.0,5.0,5.0,96.0,13.0,0.0,6.0,1.0,16.7,2.58,0.43,0.0,0.0,18.2,0.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4,12.0,5.17,8.0,4.0,0.0,0.0,0.0,0.0,3.0,1.29,2.0,1.0,0.0,0.0,0.0,0.0,"1,910",64.0,55.8,21.2,21,81.0,14,9,24.0,3,1.1,31.0,34.0,-3.0,-0.14,-0.14,28.8,33.3,-4.5,-0.21,-0.02,1.0,0.0,0.0,4.0,5.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,11.0,1.0,3.0,25.0,"€ 23,077(£ 19,496, $24,800)","€ 1,200,000(£ 1,013,795, $1,289,574)",Estimación no verificada,https://fbref.com/es/jugadores/741418c3/Alexis-Claude-Maurice
2021-2022,23,Nice,frFRA,1.Ligue 1,10.0,209,0.0,2.0,1.0,9.0,0.0,0.0,,,,,11.0,218,0,2,0,209,2.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.2,1.6,5.0,7.0,13.0,0.0,0.86,0.86,0.0,0.86,0.17,0.53,0.7,0.17,0.7,14.0,9.0,5.0,8.0,1.0,6.0,16.0,37.5,10.0,6.0,0.0,6.0,2.0,16.0,1.0,0.0,201.0,240.0,83.8,2708.0,541.0,122.0,136.0,89.7,62.0,73.0,84.9,5.0,10.0,50.0,3.0,1.3,0.9,1.7,7.0,16.0,7.0,0.0,25.0,240.0,236.0,3.0,0.0,2.0,0.0,7.0,0.0,3.0,2.0,0.0,0.0,201.0,1.0,6.0,7.0,44.0,168.0,124.0,27.0,332.0,30.0,12.0,40.0,14.0,46.7,259.0,1533.0,580.0,11.0,6.0,7.0,18.0,13.0,263.0,43.0,5.0,14.0,9.0,64.3,2.09,1.34,0.36,0.56,16.6,0.0,0.0,0.0,2.6,2.6,0.19,2.4,2.4,15.0,2.23,9.0,1.0,2.0,2.0,0.0,1.0,3.0,0.45,2.0,0.0,1.0,0.0,0.0,0.0,209,21.0,6.1,2.3,0,,0,10,21.0,8,1.3,7.0,2.0,5.0,2.15,1.84,5.9,2.8,3.0,1.31,1.03,0.0,0.0,0.0,7.0,16.0,0.0,7.0,2.0,9.0,0.0,0.0,0.0,25.0,4.0,2.0,66.7,"€ 21,923(£ 18,845, $24,898)","€ 1,140,000(£ 979,926, $1,294,711)",Estimación no verificada,https://fbref.com/es/jugadores/741418c3/Alexis-Claude-Maurice
2022-2023,24,Lens,frFRA,1.Ligue 1,20.0,604,5.0,3.0,2.0,132.0,0.0,1.0,,,,,22.0,736,5,4,5,604,6.7,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,2.6,2.6,1.3,3.9,11.0,25.0,43.0,0.75,0.45,1.19,0.75,1.19,0.39,0.19,0.58,0.39,0.58,3.0,2.0,2.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,20.0,25.0,80.0,260.0,33.0,12.0,13.0,92.3,5.0,7.0,71.4,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,25.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,4.0,9.0,18.0,12.0,0.0,39.0,0.0,0.0,,0.0,,24.0,129.0,34.0,0.0,1.0,0.0,3.0,2.0,25.0,1.0,0.0,2.0,0.0,0.0,2.81,0.0,0.0,,24.0,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,3.0,4.22,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604,30.0,17.7,6.7,5,66.0,0,15,18.0,6,2.45,13.0,6.0,7.0,1.04,0.02,11.9,7.2,4.8,0.71,0.12,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,100.0,"€ 21,923(£ 18,845, $24,898)","€ 1,140,000(£ 979,926, $1,294,711)",Estimación no verificada,https://fbref.com/es/jugadores/741418c3/Alexis-Claude-Maurice
2022-2023,24,Nice,frFRA,1.Ligue 1,2.0,64,0.0,0.0,,,,,,,,,2.0,64,0,0,1,64,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.18,0.12,0.18,12.0,5.0,3.0,6.0,3.0,1.0,5.0,20.0,4.0,4.0,1.0,3.0,5.0,17.0,7.0,0.0,202.0,253.0,79.8,2857.0,570.0,120.0,132.0,90.9,56.0,75.0,74.7,12.0,22.0,54.5,0.0,0.3,0.6,-0.3,7.0,15.0,6.0,3.0,21.0,253.0,235.0,18.0,6.0,0.0,0.0,26.0,2.0,10.0,4.0,6.0,0.0,202.0,0.0,9.0,7.0,46.0,157.0,135.0,14.0,330.0,24.0,16.0,66.7,8.0,33.3,237.0,1427.0,735.0,15.0,20.0,1.0,11.0,11.0,222.0,25.0,0.0,18.0,6.0,33.3,3.21,1.07,0.0,0.0,25.1,1.0,0.0,0.0,0.8,0.8,0.04,-0.8,-0.8,14.0,2.5,9.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,32.0,1.9,0.7,1,45.0,0,1,19.0,2,0.0,0.0,3.0,-3.0,-4.22,-4.59,0.9,1.2,-0.3,-0.36,-0.7,1.0,0.0,0.0,16.0,8.0,1.0,26.0,5.0,5.0,0.0,0.0,0.0,27.0,3.0,3.0,50.0,"€ 21,923(£ 18,845, $24,898)","€ 1,140,000(£ 979,926, $1,294,711)",Estimación no verificada,https://fbref.com/es/jugadores/741418c3/Alexis-Claude-Maurice
2023-2024,25,Nice,frFRA,1.Ligue 1,18.0,504,0.0,0.0,3.0,166.0,1.0,0.0,,,,,21.0,670,1,0,4,504,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.0,15.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.19,0.13,0.19,38.0,24.0,10.0,15.0,13.0,16.0,31.0,51.6,15.0,14.0,0.0,14.0,15.0,53.0,8.0,1.0,463.0,568.0,81.5,6995.0,1209.0,250.0,296.0,84.5,176.0,198.0,88.9,24.0,36.0,66.7,2.0,1.2,1.6,0.8,17.0,32.0,18.0,4.0,51.0,568.0,551.0,17.0,3.0,3.0,3.0,18.0,2.0,0.0,0.0,0.0,0.0,463.0,0.0,16.0,11.0,100.0,421.0,369.0,54.0,865.0,83.0,38.0,45.8,37.0,44.6,533.0,3585.0,1667.0,55.0,42.0,8.0,73.0,43.0,622.0,90.0,9.0,46.0,20.0,43.5,2.19,0.95,0.2,0.45,20.4,1.0,0.0,0.0,3.8,3.8,0.08,5.2,5.2,60.0,2.86,42.0,1.0,7.0,3.0,7.0,0.0,6.0,0.29,3.0,0.0,1.0,0.0,2.0,0.0,504,28.0,16.5,5.6,4,75.0,1,14,15.0,8,1.39,6.0,5.0,1.0,0.18,-0.17,8.6,9.8,-1.2,-0.22,-0.77,4.0,0.0,0.0,26.0,33.0,3.0,18.0,15.0,24.0,1.0,0.0,0.0,63.0,13.0,18.0,41.9,,,,
