Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,17,Hertha BSC,deGER,1.Bundesliga,1,1,0,0.0,,,,,,,,,1,1,0,0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,0.0,0.0,0,,0,1,,2,3.0,0,0,0,0.0,0.12,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,"€ 1,923(£ 1,670, $2,108)","€ 100,000(£ 86,862, $109,598)",Estimación no verificada,https://fbref.com/es/jugadores/ab700320/Arne-Maier
2016-2017,17,Hertha U19,deGER,Jr.U19 Bundesliga,15,"1,222",3,,,,,,,,,,15,"1,222",3,0,15,"1,222",13.6,3,,,3,0,0,1,0,,,,,,,,0.22,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,222",81,52.2,13.6,15,81.0,8,0,,0,2.67,54,16,38,2.8,2.32,,,,,,1,0,0,,,,,,,,,0,,,,,"€ 1,923(£ 1,670, $2,108)","€ 100,000(£ 86,862, $109,598)",Estimación no verificada,https://fbref.com/es/jugadores/ab700320/Arne-Maier
2017-2018,18,Hertha U19,deGER,Jr.U19 Bundesliga,4,357,0,,,,,,,,,,4,357,0,0,4,357,4.0,0,,,0,0,0,0,0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,357,89,15.3,4.0,4,89.0,3,0,,0,2.0,12,3,9,2.27,0.73,,,,,,0,0,0,,,,,,,,,0,,,,,"€ 19,231(£ 16,704, $21,077)","€ 1,000,000(£ 868,625, $1,095,978)",Estimación no verificada,https://fbref.com/es/jugadores/ab700320/Arne-Maier
2017-2018,18,Hertha BSC,deGER,1.Bundesliga,17,"1,223",0,1.0,1.0,45.0,0.0,0.0,3.0,270.0,0.0,0.0,21,"1,538",0,1,14,"1,223",13.6,0,1.0,1.0,0,0,0,1,0,1.0,1.0,1.2,2.2,21.0,81.0,24.0,0.0,0.07,0.07,0.0,0.07,0.07,0.09,0.16,0.07,0.16,29.0,23.0,12.0,16.0,1.0,18.0,24.0,75.0,6.0,19.0,3.0,16.0,24.0,53.0,20.0,0.0,530.0,642.0,82.6,9688.0,2641.0,203.0,230.0,88.3,257.0,295.0,87.1,59.0,85.0,69.4,1.0,1.2,1.4,-0.2,7.0,59.0,11.0,1.0,81.0,642.0,631.0,9.0,9.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,530.0,2.0,15.0,22.0,182.0,456.0,140.0,8.0,768.0,12.0,6.0,50.0,6.0,50.0,394.0,1863.0,881.0,21.0,16.0,5.0,11.0,18.0,493.0,24.0,0,13.0,1.0,7.7,0.96,0.07,0.0,0.0,26.3,0.0,0,0,1.0,1.0,0.08,-1.0,-1.0,23.0,1.69,21.0,0.0,0.0,1.0,1.0,0.0,3.0,0.22,2.0,0.0,0.0,1.0,0.0,0.0,"1,223",72,40.0,13.6,14,,7,3,,4,1.41,19,17,2,0.15,0.39,21.0,18.4,2.6,0.19,0.56,1,0,0,4.0,10.0,0.0,10.0,24.0,23.0,1.0,0.0,0,63.0,8.0,16.0,33.3,"€ 19,231(£ 16,704, $21,077)","€ 1,000,000(£ 868,625, $1,095,978)",Estimación no verificada,https://fbref.com/es/jugadores/ab700320/Arne-Maier
2018-2019,19,Hertha BSC,deGER,1.Bundesliga,24,"2,064",0,0.0,2.0,180.0,0.0,0.0,,,,,26,"2,244",0,0,23,"2,064",22.9,0,0.0,0.0,0,0,0,2,0,0.8,0.8,1.8,2.7,32.0,108.0,40.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12,31.0,16.0,12.0,19.0,0.0,6.0,25.0,24.0,19.0,32.0,9.0,23.0,28.0,59.0,35.0,0.0,1030.0,1201.0,85.8,16827.0,4444.0,491.0,551.0,89.1,422.0,471.0,89.6,80.0,97.0,82.5,0.0,1.8,1.6,-1.8,19.0,71.0,16.0,2.0,108.0,1201.0,1149.0,45.0,37.0,0.0,6.0,9.0,7.0,0.0,0.0,0.0,0.0,1030.0,7.0,22.0,48.0,275.0,940.0,218.0,15.0,1413.0,31.0,22.0,71.0,9.0,29.0,851.0,3786.0,1861.0,32.0,27.0,5.0,42.0,13.0,946.0,40.0,0,20.0,6.0,30.0,0.87,0.26,0.0,0.0,24.7,0.0,0,0,0.8,0.8,0.04,-0.8,-0.8,37.0,1.61,31.0,0.0,3.0,1.0,1.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,"2,064",86,67.5,22.9,23,88.0,18,1,45.0,0,1.29,35,40,-5,-0.22,0.05,33.0,43.3,-10.3,-0.45,-0.44,2,0,0,17.0,14.0,0.0,9.0,28.0,16.0,0.0,1.0,0,148.0,20.0,21.0,48.8,"€ 19,231(£ 16,704, $21,077)","€ 1,000,000(£ 868,625, $1,095,978)",Estimación no verificada,https://fbref.com/es/jugadores/ab700320/Arne-Maier
2019-2020,20,Hertha BSC,deGER,1.Bundesliga,14,535,0,0.0,1.0,104.0,0.0,0.0,,,,,15,639,0,0,5,535,5.9,0,0.0,0.0,0,0,0,0,0,0.2,0.2,0.5,0.7,11.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12,9.0,7.0,6.0,1.0,2.0,1.0,10.0,10.0,9.0,5.0,0.0,5.0,7.0,16.0,2.0,1.0,267.0,328.0,81.4,5333.0,1361.0,92.0,107.0,86.0,120.0,139.0,86.3,47.0,62.0,75.8,0.0,0.5,0.5,-0.5,10.0,26.0,5.0,0.0,36.0,328.0,315.0,13.0,4.0,0.0,1.0,15.0,1.0,8.0,3.0,5.0,0.0,267.0,0.0,5.0,8.0,68.0,223.0,86.0,2.0,375.0,6.0,6.0,100.0,0.0,0.0,213.0,1235.0,632.0,11.0,9.0,1.0,14.0,6.0,272.0,15.0,0,6.0,3.0,50.0,1.01,0.5,0.0,0.0,25.8,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,19.0,3.2,13.0,4.0,1.0,1.0,0.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,535,38,17.5,5.9,5,74.0,3,9,18.0,5,1.21,8,12,-4,-0.67,-0.42,7.5,11.8,-4.2,-0.71,-0.45,0,0,0,4.0,4.0,0.0,15.0,7.0,7.0,0.0,0.0,0,38.0,2.0,6.0,25.0,"€ 19,231(£ 16,704, $21,077)","€ 1,000,000(£ 868,625, $1,095,978)",Estimación no verificada,https://fbref.com/es/jugadores/ab700320/Arne-Maier
2020-2021,21,Hertha BSC,deGER,1.Bundesliga,2,30,0,0.0,1.0,13.0,0.0,1.0,,,,,3,43,0,1,0,30,0.3,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,20.0,95.0,414.0,144.0,7.0,7.0,100.0,7.0,7.0,100.0,5.0,6.0,83.3,0.0,0.1,0.1,-0.1,1.0,2.0,1.0,0.0,3.0,20.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,24.0,0.0,0.0,,0.0,,16.0,119.0,60.0,0.0,1.0,0.0,1.0,0.0,20.0,0.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,15,1.0,0.3,0,,0,2,15.0,0,1.5,1,0,1,3.0,3.36,1.1,0.4,0.7,2.07,2.26,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,"€ 19,231(£ 16,544, $21,028)","€ 1,000,000(£ 860,310, $1,093,461)",Estimación no verificada,https://fbref.com/es/jugadores/ab700320/Arne-Maier
2020-2021,21,Arminia,deGER,1.Bundesliga,16,"1,034",0,0.0,,,,,,,,,16,"1,034",0,0,13,"1,034",11.5,0,0.0,0.0,0,0,0,0,0,0.6,0.6,1.2,1.8,17.0,29.0,22.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.16,0.05,0.16,13.0,9.0,5.0,7.0,1.0,4.0,11.0,36.4,7.0,10.0,3.0,7.0,8.0,21.0,11.0,1.0,319.0,441.0,72.3,5883.0,1277.0,123.0,160.0,76.9,140.0,176.0,79.5,43.0,75.0,57.3,0.0,1.2,1.5,-1.2,11.0,24.0,8.0,1.0,29.0,441.0,396.0,44.0,21.0,0.0,3.0,27.0,3.0,16.0,5.0,7.0,0.0,319.0,1.0,5.0,13.0,113.0,286.0,147.0,14.0,537.0,13.0,8.0,61.5,5.0,38.5,270.0,1500.0,699.0,17.0,5.0,2.0,20.0,9.0,290.0,22.0,0,11.0,2.0,18.2,0.96,0.17,0.0,0.0,20.2,2.0,0,0,0.6,0.6,0.05,-0.6,-0.6,29.0,2.52,20.0,5.0,1.0,3.0,0.0,0.0,3.0,0.26,2.0,0.0,1.0,0.0,0.0,0.0,"1,034",65,33.8,11.5,13,78.0,5,3,6.0,5,1.19,7,16,-9,-0.78,-0.03,12.9,17.7,-4.8,-0.42,0.43,0,0,0,1.0,5.0,2.0,27.0,8.0,9.0,0.0,0.0,0,74.0,6.0,6.0,50.0,"€ 19,231(£ 16,247, $20,666)","€ 1,000,000(£ 844,829, $1,074,645)",Estimación no verificada,https://fbref.com/es/jugadores/ab700320/Arne-Maier
2021-2022,22,Augsburg,deGER,1.Bundesliga,29,"1,864",1,6.0,1.0,120.0,0.0,1.0,,,,,30,"1,984",1,7,21,"1,864",20.7,1,6.0,7.0,1,0,0,0,0,1.5,1.5,3.5,5.0,26.0,83.0,51.0,0.05,0.29,0.34,0.05,0.34,0.07,0.17,0.24,0.07,0.24,20.0,13.0,6.0,10.0,4.0,8.0,26.0,30.8,18.0,18.0,1.0,17.0,15.0,35.0,13.0,0.0,609.0,849.0,71.7,11377.0,3577.0,249.0,300.0,83.0,235.0,315.0,74.6,99.0,171.0,57.9,6.0,3.5,3.1,2.5,33.0,55.0,19.0,6.0,83.0,849.0,735.0,111.0,28.0,3.0,15.0,97.0,2.0,64.0,28.0,35.0,0.0,609.0,3.0,20.0,18.0,184.0,508.0,329.0,24.0,1013.0,29.0,16.0,55.2,13.0,44.8,523.0,2668.0,1157.0,26.0,30.0,8.0,39.0,18.0,609.0,51.0,1,17.0,8.0,47.1,0.82,0.39,0.06,0.13,21.1,1.0,0,0,1.5,1.5,0.09,-0.5,-0.5,66.0,3.19,39.0,17.0,4.0,2.0,4.0,0.0,8.0,0.39,3.0,2.0,1.0,2.0,0.0,0.0,"1,864",64,60.9,20.7,21,79.0,8,8,26.0,0,1.17,24,35,-11,-0.53,-0.08,22.2,34.0,-11.8,-0.57,0.13,0,0,0,11.0,14.0,1.0,97.0,15.0,13.0,0.0,0.0,0,127.0,16.0,25.0,39.0,"€ 23,654(£ 20,332, $26,864)","€ 1,230,000(£ 1,057,288, $1,396,926)",Estimación no verificada,https://fbref.com/es/jugadores/ab700320/Arne-Maier
2022-2023,23,Augsburg,deGER,1.Bundesliga,30,"1,960",5,1.0,2.0,110.0,1.0,0.0,,,,,32,"2,070",6,1,24,"1,960",21.8,5,1.0,6.0,5,0,0,3,0,1.6,1.6,1.8,3.4,32.0,66.0,77.0,0.23,0.05,0.28,0.23,0.28,0.07,0.08,0.16,0.07,0.16,31.0,22.0,17.0,11.0,3.0,10.0,18.0,55.6,8.0,21.0,0.0,21.0,15.0,46.0,22.0,0.0,421.0,658.0,64.0,7205.0,2336.0,196.0,264.0,74.2,161.0,223.0,72.2,45.0,102.0,44.1,1.0,1.8,2.1,-0.8,21.0,41.0,15.0,1.0,66.0,658.0,588.0,68.0,21.0,6.0,2.0,64.0,11.0,32.0,13.0,17.0,0.0,421.0,2.0,27.0,23.0,167.0,380.0,320.0,38.0,862.0,37.0,16.0,43.2,17.0,45.9,418.0,2307.0,1020.0,32.0,15.0,15.0,39.0,26.0,483.0,77.0,5,28.0,10.0,35.7,1.29,0.46,0.18,0.5,21.1,3.0,0,0,1.6,1.6,0.06,3.4,3.4,42.0,1.93,25.0,8.0,0.0,3.0,3.0,3.0,5.0,0.23,2.0,0.0,0.0,2.0,0.0,1.0,"1,960",65,64.1,21.8,24,77.0,7,6,19.0,3,0.9,23,44,-21,-0.96,-0.96,18.4,37.0,-18.7,-0.86,-0.43,3,0,0,12.0,18.0,2.0,64.0,15.0,22.0,0.0,1.0,0,118.0,12.0,17.0,41.4,,,,
