Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,17,Lech Poznań,plPOL,1.Ekstraklasa,4,185,0,0,,,,,,,,,4,185,0,0,2,185,2.1,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,185,46,5.6,2.1,2,,2,2,,3,0.75,3,3,0,0.0,0.14,,,,,,1,0,,,,,,,,,,,,,,,"€ 4,808(£ 4,176, $5,269)","€ 250,000(£ 217,156, $273,995)",Estimación no verificada,https://fbref.com/es/jugadores/1df0c0b9/Robert-Gumny
2016-2017,18,Lech Poznań,plPOL,1.Ekstraklasa,6,434,0,0,,,,,,,,,6,434,0,0,5,434,4.8,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,434,72,13.0,4.8,5,,4,1,,5,1.17,3,8,-5,-1.04,-2.22,,,,,,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 4,808(£ 4,176, $5,269)","€ 250,000(£ 217,156, $273,995)",Estimación no verificada,https://fbref.com/es/jugadores/1df0c0b9/Robert-Gumny
2017-2018,19,Lech Poznań,plPOL,1.Ekstraklasa,33,"2,904",0,2,,,,,,,,,33,"2,904",0,2,33,"2,904",32.3,0,2,2,0,0,0,5,0,,,,,,,,0.0,0.06,0.06,0.0,0.06,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,904",88,87.2,32.3,33,,30,0,,1,1.7,45,24,21,0.65,1.07,,,,,,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 4,808(£ 4,136, $5,257)","€ 250,000(£ 215,078, $273,365)",Estimación no verificada,https://fbref.com/es/jugadores/1df0c0b9/Robert-Gumny
2018-2019,20,Lech Poznań,plPOL,1.Ekstraklasa,19,"1,710",1,1,,,,,,,,,19,"1,710",1,1,19,"1,710",19.0,1,1,2,1,0,0,5,0,,,,,,,,0.05,0.05,0.11,0.05,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,710",90,51.4,19.0,19,90.0,19,0,,2,1.53,28,22,6,0.32,0.59,,,,,,5,0,0.0,,,,,,,,,0.0,,,,,"€ 4,808(£ 4,062, $5,167)","€ 250,000(£ 211,207, $268,661)",Estimación no verificada,https://fbref.com/es/jugadores/1df0c0b9/Robert-Gumny
2019-2020,21,Lech Poznań,plPOL,1.Ekstraklasa,21,"1,720",1,1,,,,,,,,,21,"1,720",1,1,19,"1,720",19.1,1,1,2,1,0,0,4,0,,,,,,,,0.05,0.05,0.1,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,720",82,51.7,19.1,19,89.0,18,2,18.0,3,1.71,33,21,12,0.63,-0.66,,,,,,4,0,0.0,,,,,,,,,0.0,,,,,"€ 4,808(£ 4,133, $5,460)","€ 250,000(£ 214,896, $283,928)",Estimación no verificada,https://fbref.com/es/jugadores/1df0c0b9/Robert-Gumny
2020-2021,22,Lech Poznań,plPOL,1.Ekstraklasa,1,90,0,0,,,,,,,,,1,90,0,0,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,3.3,1.0,1,90.0,1,0,,1,1.0,2,2,0,0.0,-0.03,,,,,,0,0,0.0,,,,,,,,,0.0,,,,,,,,
2020-2021,22,Augsburg,deGER,1.Bundesliga,24,"1,377",1,0,2.0,95.0,0.0,0.0,,,,,26,"1,472",1,0,14,"1,377",15.3,1,0,1,1,0,0,4,0,0.5,0.5,0.6,1.1,24.0,27.0,62.0,0.07,0.0,0.07,0.07,0.07,0.03,0.04,0.07,0.03,0.07,24.0,15.0,12.0,9.0,3.0,15.0,23.0,65.2,8.0,12.0,2.0,10.0,18.0,42.0,31.0,0.0,435.0,590.0,73.7,6643.0,2518.0,232.0,267.0,86.9,170.0,221.0,76.9,20.0,55.0,36.4,0,0.6,0.7,-0.6,8.0,14.0,10.0,4.0,27.0,590.0,441.0,147.0,6.0,0.0,0.0,31.0,141.0,0.0,0.0,0.0,0.0,435.0,2.0,18.0,37.0,235.0,309.0,208.0,13.0,746.0,16.0,7.0,43.8,9.0,56.3,328.0,1727.0,806.0,24.0,12.0,3.0,25.0,17.0,359.0,62.0,1,6.0,3.0,50.0,0.39,0.2,0.17,0.33,16.5,0.0,0,0,0.5,0.5,0.08,0.5,0.5,19.0,1.24,14.0,2.0,2.0,0.0,1.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,"1,377",57,45.0,15.3,14,81.0,9,10,25.0,10,1.04,17,30,-13,-0.85,-0.58,18.4,29.6,-11.1,-0.73,-0.25,4,0,0.0,21.0,19.0,1.0,31.0,18.0,15.0,0.0,0.0,0.0,76.0,18.0,18.0,50.0,,,,
2021-2022,23,Augsburg,deGER,1.Bundesliga,28,"2,272",0,0,2.0,138.0,0.0,0.0,,,,,30,"2,410",0,0,27,"2,272",25.2,0,0,0,0,0,0,3,0,0.2,0.2,0.5,0.7,34.0,75.0,41.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,48.0,29.0,25.0,20.0,3.0,25.0,43.0,58.1,18.0,24.0,7.0,17.0,28.0,76.0,57.0,3.0,720.0,965.0,74.6,11859.0,4968.0,373.0,435.0,85.7,250.0,327.0,76.5,74.0,144.0,51.4,0,0.5,0.9,-0.5,7.0,52.0,7.0,1.0,75.0,965.0,797.0,165.0,14.0,0.0,8.0,28.0,151.0,0.0,0.0,0.0,0.0,720.0,3.0,24.0,92.0,480.0,507.0,219.0,25.0,1199.0,23.0,12.0,52.2,11.0,47.8,534.0,2874.0,1564.0,34.0,26.0,4.0,20.0,17.0,579.0,41.0,0,7.0,0.0,0.0,0.28,0.0,0.0,,13.4,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,31.0,1.23,21.0,4.0,1.0,2.0,3.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,"2,272",81,74.2,25.2,27,84.0,20,1,12.0,2,1.11,28,40,-12,-0.48,0.1,27.7,41.6,-13.9,-0.55,0.29,3,0,0.0,27.0,27.0,0.0,28.0,28.0,29.0,0.0,0.0,0.0,130.0,36.0,24.0,60.0,,,,
2022-2023,24,Augsburg,deGER,1.Bundesliga,29,"2,015",1,2,1.0,45.0,0.0,0.0,,,,,30,"2,060",1,2,23,"2,015",22.4,1,2,3,1,0,0,5,1,0.7,0.7,0.7,1.4,23.0,56.0,59.0,0.04,0.09,0.13,0.04,0.13,0.03,0.03,0.06,0.03,0.06,34.0,24.0,13.0,15.0,6.0,11.0,27.0,40.7,16.0,21.0,7.0,14.0,26.0,60.0,62.0,1.0,533.0,823.0,64.8,9185.0,3817.0,249.0,317.0,78.5,215.0,327.0,65.7,55.0,129.0,42.6,2,0.7,0.9,1.3,9.0,30.0,10.0,4.0,56.0,823.0,624.0,196.0,4.0,0.0,2.0,27.0,192.0,0.0,0.0,0.0,0.0,533.0,3.0,19.0,81.0,383.0,432.0,233.0,23.0,1036.0,21.0,7.0,33.3,10.0,47.6,372.0,1687.0,887.0,23.0,20.0,1.0,17.0,13.0,412.0,59.0,1,9.0,3.0,33.3,0.4,0.13,0.11,0.33,13.2,0.0,0,0,0.7,0.7,0.08,0.3,0.3,31.0,1.38,19.0,3.0,0.0,3.0,3.0,3.0,3.0,0.13,2.0,0.0,0.0,0.0,0.0,1.0,"2,015",69,65.8,22.4,23,82.0,17,6,22.0,1,1.14,30,42,-12,-0.54,0.24,23.1,39.9,-16.8,-0.75,-0.13,5,1,0.0,32.0,18.0,1.0,27.0,26.0,24.0,0.0,0.0,0.0,107.0,45.0,44.0,50.6,,,,
2023-2024,25,Augsburg,deGER,1.Bundesliga,13,481,0,0,,,,,,,,,13,481,0,0,6,481,5.3,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,9.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,6.0,5.0,1.0,3.0,2.0,1.0,5.0,20.0,4.0,13.0,5.0,8.0,7.0,13.0,15.0,0.0,138.0,195.0,70.8,2584.0,1192.0,55.0,72.0,76.4,65.0,92.0,70.7,15.0,22.0,68.2,0,0.1,0.2,-0.1,2.0,7.0,1.0,1.0,18.0,195.0,144.0,51.0,0.0,0.0,0.0,8.0,51.0,0.0,0.0,0.0,0.0,138.0,0.0,5.0,19.0,68.0,121.0,74.0,8.0,260.0,13.0,5.0,38.5,4.0,30.8,108.0,554.0,213.0,9.0,9.0,1.0,14.0,1.0,115.0,17.0,0,3.0,1.0,33.3,0.56,0.19,0.0,0.0,13.4,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,11.0,2.06,6.0,2.0,1.0,2.0,0.0,0.0,3.0,0.56,3.0,0.0,0.0,0.0,0.0,0.0,481,37,15.7,5.3,6,64.0,2,7,14.0,10,0.85,9,9,0,0.0,0.35,8.2,10.0,-1.8,-0.34,-0.01,3,0,0.0,7.0,5.0,0.0,8.0,7.0,5.0,0.0,0.0,0.0,22.0,3.0,2.0,60.0,,,,
