Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,17,River Plate,arARG,1.Primera Div,8,148,0,1,,,,,,,,,8,148,0,1,1,148,1.6,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,7,12,9,0.0,0.61,0.61,0.0,0.61,0.0,0.0,0.0,0.0,0.0,6,5,2,4,0,2,4,50.0,2,8,1,7,6,12,1,0,73,97,75.3,1003,391,50,57,87.7,12,18,66.7,7,9,77.8,1,0.0,0.0,1.0,3,12,2,0,12,97,95,1,0,0,1,1,1,0,0,0,0,73,1,5,3,19,76,33,4,127,3,2,66.7,1,33.3,71,449,287,7,5,0,5,5,79,9,0,2,1,50.0,1.22,0.61,0.0,0.0,26.5,0,0,0,0.0,0.0,0.0,0.0,0.0,9,5.47,8,0,0,0,1,0,3,1.82,3,0,0,0,0,0,148,19,5.5,1.6,1,67,0,7,12,3,2.0,7,0,7,4.26,3.69,0.0,0.0,0.0,0.0,0.0,1,0,0,3,8,0,1,6,5,0,0,0,15,6,4,60.0,"€ 32,692(£ 28,397, $35,830)","€ 1,700,000(£ 1,476,662, $1,863,163)",,https://fbref.com/es/jugadores/e82adcab/Exequiel-Palacios
2017-2018,18,River Plate,arARG,1.Liga Argentina,9,549,2,2,,,,,,,,,9,549,2,2,6,549,6.1,2,2,4,2,0,0,1,0,1.2,1.2,0.9,2.1,25,53,28,0.33,0.33,0.66,0.33,0.66,0.2,0.14,0.34,0.2,0.34,20,13,12,7,1,9,23,39.1,14,10,1,9,12,32,1,0,330,407,81.1,4784,1629,191,221,86.4,101,120,84.2,20,34,58.8,2,0.9,0.8,1.1,5,41,6,0,53,407,396,10,5,2,1,3,3,1,0,1,0,330,1,5,4,58,311,120,9,481,8,4,50.0,4,50.0,284,1567,878,25,22,2,10,10,361,28,2,12,5,41.7,1.97,0.82,0.17,0.4,22.0,0,0,0,1.2,1.2,0.1,0.8,0.8,20,3.28,17,0,2,0,1,0,4,0.66,3,0,1,0,0,0,549,61,22.6,6.1,6,81,3,3,21,3,1.56,11,8,3,0.49,0.01,10.9,9.5,1.4,0.24,-0.31,1,0,0,8,13,0,3,12,13,0,0,0,48,2,4,33.3,"€ 32,692(£ 28,397, $35,830)","€ 1,700,000(£ 1,476,662, $1,863,163)",,https://fbref.com/es/jugadores/e82adcab/Exequiel-Palacios
2018-2019,19,River Plate,arARG,1.Liga Argentina,14,919,1,4,,,,,,,,,14,919,1,4,11,919,10.2,1,4,5,1,0,0,2,0,0.9,0.9,0.8,1.8,36,99,38,0.1,0.39,0.49,0.1,0.49,0.09,0.08,0.17,0.09,0.17,31,17,9,19,3,13,29,44.8,16,23,1,22,15,46,6,1,518,650,79.7,8137,2435,292,342,85.4,171,201,85.1,39,59,66.1,4,0.8,0.8,3.2,13,74,14,0,99,650,628,18,5,2,5,12,11,2,1,0,0,518,4,19,6,64,505,232,4,793,13,8,61.5,5,38.5,491,2556,1439,36,34,0,25,22,558,38,1,17,3,17.6,1.66,0.29,0.06,0.33,24.9,0,0,0,0.9,0.9,0.05,0.1,0.1,32,3.13,23,3,0,1,3,2,8,0.78,7,1,0,0,0,0,919,66,40.8,10.2,11,76,6,3,29,1,1.57,15,10,5,0.49,-0.59,13.3,10.9,2.4,0.23,-0.89,2,0,0,17,24,0,12,15,17,0,0,0,91,9,13,40.9,"€ 32,692(£ 28,397, $35,830)","€ 1,700,000(£ 1,476,662, $1,863,163)",,https://fbref.com/es/jugadores/e82adcab/Exequiel-Palacios
2019-2020,20,River Plate,arARG,1.Liga Argentina,15,"1,068",1,1,,,,,,,,,15,"1,068",1,1,12,"1,068",11.9,1,1,2,1,0,0,3,1,1.1,1.1,2.0,3.1,17,155,52,0.08,0.08,0.17,0.08,0.17,0.09,0.17,0.26,0.09,0.26,36,18,7,25,4,17,46,37.0,29,19,0,19,11,47,8,0,807,957,84.3,13706,4521,415,457,90.8,281,333,84.4,89,120,74.2,1,2.0,2.3,-1.0,17,112,25,1,155,957,910,40,20,8,9,9,19,1,0,0,0,807,7,12,7,122,729,277,24,1116,24,13,54.2,11,45.8,683,2805,1382,17,22,5,19,20,844,52,1,24,4,16.7,2.02,0.34,0.04,0.25,24.1,0,0,0,1.1,1.1,0.05,-0.1,-0.1,53,4.47,46,1,2,2,2,0,4,0.34,4,0,0,0,0,0,"1,068",71,51.6,11.9,12,85,7,3,17,0,1.8,24,9,15,1.26,0.55,26.5,7.9,18.6,1.57,0.5,3,1,0,14,26,0,9,11,18,0,0,0,102,8,6,57.1,"€ 32,692(£ 28,126, $35,748)","€ 1,700,000(£ 1,462,528, $1,858,883)",,https://fbref.com/es/jugadores/e82adcab/Exequiel-Palacios
2019-2020,20,Leverkusen,deGER,1.Bundesliga,3,177,0,0,2.0,111.0,0.0,0.0,2.0,144.0,0.0,0.0,7,432,0,0,2,177,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,9,6,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.16,0.11,0.16,8,7,4,4,0,2,5,40.0,3,2,0,2,1,9,0,0,128,149,85.9,1720,374,78,90,86.7,35,40,87.5,7,9,77.8,0,0.1,0.4,-0.1,3,12,1,0,9,149,144,3,2,1,0,0,1,0,0,0,0,128,2,0,0,20,110,39,2,167,3,2,66.7,1,33.3,100,405,177,3,2,0,1,2,137,6,0,5,0,0.0,2.54,0.0,0.0,,22.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,4,2.03,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,177,59,5.8,2.0,2,77,1,1,24,7,2.33,3,1,2,1.02,0.55,2.6,1.7,0.9,0.47,0.25,0,0,0,1,5,0,0,1,7,0,0,0,11,0,0,,"€ 96,154(£ 81,234, $103,331)","€ 5,000,000(£ 4,224,145, $5,373,223)",Estimación no verificada,https://fbref.com/es/jugadores/e82adcab/Exequiel-Palacios
2020-2021,21,Leverkusen,deGER,1.Bundesliga,9,572,0,0,2.0,63.0,0.0,0.0,2.0,163.0,0.0,1.0,13,798,0,1,7,572,6.4,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,4,34,5,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,31,17,12,16,3,17,30,56.7,13,13,0,13,12,43,7,0,362,419,86.4,5477,1552,211,229,92.1,109,130,83.8,26,33,78.8,0,0.7,0.3,-0.7,8,39,4,1,34,419,402,15,8,0,5,1,6,0,0,0,0,362,2,5,14,120,318,68,4,500,6,6,100.0,0,0.0,246,813,366,4,6,1,9,11,343,5,0,2,0,0.0,0.31,0.0,0.0,,20.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,14,2.21,13,0,1,0,0,0,1,0.16,1,0,0,0,0,0,572,64,18.7,6.4,7,78,4,2,13,12,2.22,7,5,2,0.31,-0.12,6.6,6.4,0.2,0.04,-0.21,1,0,0,7,16,0,1,12,17,0,0,0,59,2,6,25.0,"€ 96,154(£ 82,652, $109,203)","€ 5,000,000(£ 4,297,920, $5,678,559)",Estimación no verificada,https://fbref.com/es/jugadores/e82adcab/Exequiel-Palacios
2021-2022,22,Leverkusen,deGER,1.Bundesliga,23,"1,097",2,2,2.0,80.0,0.0,0.0,7.0,376.0,1.0,0.0,32,"1,553",3,2,12,"1,097",12.2,2,2,4,2,0,0,2,0,0.8,0.8,2.2,2.9,10,77,17,0.16,0.16,0.33,0.16,0.33,0.06,0.18,0.24,0.06,0.24,30,19,12,14,4,15,38,39.5,23,20,1,19,28,58,11,2,677,796,85.1,11225,4122,333,375,88.8,257,289,88.9,61,83,73.5,2,2.2,1.8,-0.2,8,78,9,0,77,796,763,27,18,7,5,8,5,3,2,0,0,677,6,7,30,247,561,126,5,921,11,6,54.5,5,45.5,519,2070,966,10,14,2,13,13,624,17,2,10,4,40.0,0.82,0.33,0.2,0.5,30.8,0,0,0,0.8,0.8,0.08,1.2,1.2,26,2.14,24,0,1,0,0,1,4,0.33,4,0,0,0,0,0,"1,097",48,35.8,12.2,12,74,3,11,19,3,1.83,25,15,10,0.82,-0.23,20.7,15.4,5.2,0.43,-0.18,2,0,0,11,17,0,8,28,19,0,0,0,131,7,7,50.0,"€ 96,154(£ 82,652, $109,203)","€ 5,000,000(£ 4,297,920, $5,678,559)",Estimación no verificada,https://fbref.com/es/jugadores/e82adcab/Exequiel-Palacios
2022-2023,23,Leverkusen,deGER,1.Bundesliga,25,"1,654",4,2,1.0,22.0,0.0,0.0,8.0,604.0,1.0,0.0,34,"2,280",5,2,19,"1,654",18.4,4,2,6,1,3,3,4,0,3.0,0.6,1.3,1.9,12,105,27,0.22,0.11,0.33,0.05,0.16,0.16,0.07,0.23,0.03,0.11,59,36,20,33,6,29,48,60.4,19,29,2,27,33,92,28,0,1022,1204,84.9,15831,5084,513,578,88.8,418,473,88.4,51,77,66.2,2,1.3,1.6,0.7,15,95,11,1,105,1204,1152,46,37,4,4,5,7,0,0,0,0,1022,6,15,54,364,861,220,16,1427,16,10,62.5,5,31.3,745,2951,1349,12,15,2,19,24,959,27,4,17,4,23.5,0.93,0.22,0.06,0.25,26.3,0,3,3,3.0,0.6,0.04,1.0,0.4,51,2.78,44,0,1,1,3,2,5,0.27,5,0,0,0,0,0,"1,654",66,54.1,18.4,19,78,11,6,27,1,1.6,32,25,7,0.38,0.32,29.4,20.4,9.0,0.49,0.51,4,0,0,23,40,1,5,33,36,0,1,0,172,13,14,48.1,"€ 96,154(£ 82,652, $109,203)","€ 5,000,000(£ 4,297,920, $5,678,559)",Estimación no verificada,https://fbref.com/es/jugadores/e82adcab/Exequiel-Palacios
2023-2024,24,Leverkusen,deGER,1.Bundesliga,24,"1,831",4,4,3.0,242.0,2.0,0.0,9.0,579.0,0.0,1.0,36,"2,652",6,5,21,"1,831",20.3,4,4,8,2,2,2,6,0,3.3,1.8,3.8,5.5,24,162,45,0.2,0.2,0.39,0.1,0.29,0.16,0.19,0.35,0.09,0.27,60,34,28,26,6,26,53,49.1,27,24,0,24,29,89,20,2,1856,2023,91.7,26250,8146,1153,1217,94.7,560,601,93.2,80,103,77.7,4,3.8,4.1,0.2,27,186,31,2,162,2023,1967,51,28,7,9,6,10,2,0,0,0,1856,5,23,36,341,1461,439,21,2220,26,23,88.5,3,11.5,1296,4722,2297,24,24,2,22,13,1802,45,4,19,4,21.1,0.93,0.2,0.11,0.5,23.2,0,2,2,3.3,1.8,0.09,0.7,0.2,53,2.6,47,0,2,1,2,1,7,0.34,7,0,0,0,0,0,"1,831",76,59.8,20.3,21,84,10,3,23,3,2.67,55,19,36,1.77,-0.35,40.2,20.3,20.0,0.98,-0.76,6,0,0,16,55,0,6,29,34,0,0,0,163,8,8,50.0,"€ 96,154(£ 82,652, $109,203)","€ 5,000,000(£ 4,297,920, $5,678,559)",Estimación no verificada,https://fbref.com/es/jugadores/e82adcab/Exequiel-Palacios
2024-2025,25,Leverkusen,deGER,1.Bundesliga,21,"1,006",1,6,4.0,307.0,0.0,0.0,10.0,662.0,0.0,0.0,35,"1,975",1,6,10,"1,006",11.2,1,6,7,1,0,0,1,0,1.5,1.5,2.3,3.8,13,86,39,0.09,0.54,0.63,0.09,0.63,0.13,0.2,0.34,0.13,0.34,19,13,7,8,4,7,14,50.0,7,14,1,13,11,30,9,0,838,927,90.4,12072,3403,486,524,92.7,293,321,91.3,34,42,81.0,6,2.3,2.1,3.7,28,93,16,2,86,927,903,23,9,10,2,4,7,0,0,0,0,838,1,13,14,115,599,321,12,1033,10,6,60.0,4,40.0,601,2011,828,13,15,1,15,18,825,39,1,12,8,66.7,1.07,0.72,0.08,0.13,17.8,0,0,0,1.5,1.5,0.12,-0.5,-0.5,45,4.03,39,0,2,1,0,3,9,0.81,8,0,0,1,0,0,"1,006",48,36.1,11.2,10,83,5,11,16,6,2.19,24,13,11,0.98,-0.02,18.5,11.8,6.7,0.6,-0.18,1,0,0,8,14,0,4,11,13,0,0,0,68,0,8,0.0,,,,
