Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,20,Dortmund,deGER,1.Bundesliga,3,170,0,1,,,,,,,,,3,170,0,1,2,170,1.9,0,1,1,0,0,0,0,0,,,,,,,,0.0,0.53,0.53,0.0,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,170,57,5.6,1.9,2,,1.0,1,,,,,,,,,,,,,,0,0,,2.0,,,,,,,,,,,,,"€ 35,769(£ 31,070, $39,202)","€ 1,860,000(£ 1,615,642, $2,038,519)",Estimación no verificada,https://fbref.com/es/jugadores/2903a856/Jonas-Hofmann
2012-2013,20,Dortmund II,deGER,3.3. Liga,35,"2,888",5,4,,,,,,,,,35,"2,888",5,4,34,"2,888",32.1,5,4,9,5,0,0,5,0,,,,,,,,0.16,0.12,0.28,0.16,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,21,,,0.65,,0.24,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,888",83,84.4,32.1,34,,,1,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,"€ 31,346(£ 27,228, $34,355)","€ 1,630,000(£ 1,415,858, $1,786,444)",Estimación no verificada,https://fbref.com/es/jugadores/2903a856/Jonas-Hofmann
2013-2014,21,Dortmund II,deGER,3.3. Liga,1,90,0,0,,,,,,,,,1,90,0,0,1,90,1.0,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,2.6,1.0,1,,,0,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,"€ 31,346(£ 27,228, $34,355)","€ 1,630,000(£ 1,415,858, $1,786,444)",Estimación no verificada,https://fbref.com/es/jugadores/2903a856/Jonas-Hofmann
2013-2014,21,Dortmund,deGER,1.Bundesliga,26,688,2,4,,,,,8.0,117.0,0.0,0.0,34,805,2,4,4,688,7.6,2,4,6,2,0,0,1,0,,,,,,,,0.26,0.52,0.78,0.26,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,,0.65,,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,,688,26,22.5,7.6,4,,1.0,22,,,,,,,,,,,,,,1,0,,6.0,,,,,,,,,,,,,"€ 22,885(£ 19,878, $25,081)","€ 1,190,000(£ 1,033,663, $1,304,214)",Estimación no verificada,https://fbref.com/es/jugadores/2903a856/Jonas-Hofmann
2014-2015,22,Mainz 05,deGER,1.Bundesliga,10,615,3,0,,,,,,,,,10,615,3,0,8,615,6.8,3,0,3,2,1,1,1,0,,,,,,,,0.44,0.0,0.44,0.29,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,10,,,1.46,,0.2,,,1,1,,,,,,,,,,,,,,,,,,,,,,615,62,20.1,6.8,8,,1.0,2,,0.0,1.6,12.0,7.0,5.0,0.73,0.99,,,,,,1,0,,7.0,,,,,,,,,,,,,"€ 22,885(£ 19,878, $25,081)","€ 1,190,000(£ 1,033,663, $1,304,214)",Estimación no verificada,https://fbref.com/es/jugadores/2903a856/Jonas-Hofmann
2014-2015,22,Dortmund,deGER,1.Bundesliga,2,20,0,0,1.0,90.0,0.0,0.0,,,,,3,110,0,0,0,20,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,20,10,0.7,0.2,0,,0.0,2,,0.0,1.5,0.0,2.0,-2.0,-9.0,-9.21,,,,,,0,0,,0.0,,,,,,,,,,,,,"€ 27,500(£ 23,887, $30,139)","€ 1,430,000(£ 1,242,133, $1,567,249)",Estimación no verificada,https://fbref.com/es/jugadores/2903a856/Jonas-Hofmann
2015-2016,23,Dortmund,deGER,1.Bundesliga,7,287,1,1,1.0,28.0,0.0,0.0,3.0,248.0,0.0,0.0,11,563,1,1,4,287,3.2,1,1,2,1,0,0,0,0,,,,,,,,0.31,0.31,0.63,0.31,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,0.94,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,287,41,9.4,3.2,4,,0.0,3,,8.0,2.29,9.0,5.0,4.0,1.25,-0.17,,,,,,0,0,,2.0,,,,,,,,,,,,,"€ 28,462(£ 24,722, $31,193)","€ 1,480,000(£ 1,285,564, $1,622,048)",Estimación no verificada,https://fbref.com/es/jugadores/2903a856/Jonas-Hofmann
2015-2016,23,Gladbach,deGER,1.Bundesliga,8,219,0,2,,,,,,,,,8,219,0,2,2,219,2.4,0,2,2,0,0,0,0,0,,,,,,,,0.0,0.82,0.82,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,7,,,2.88,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,219,27,7.2,2.4,2,,1.0,6,,9.0,1.25,3.0,1.0,2.0,0.82,0.35,,,,,,0,0,,3.0,,,,,,,,,,,,,"€ 28,846(£ 25,056, $31,615)","€ 1,500,000(£ 1,302,937, $1,643,967)",Estimación no verificada,https://fbref.com/es/jugadores/2903a856/Jonas-Hofmann
2016-2017,24,Gladbach,deGER,1.Bundesliga,21,"1,380",0,1,3.0,276.0,1.0,0.0,5.0,370.0,1.0,2.0,29,"2,026",2,3,16,"1,380",15.3,0,1,1,0,0,0,0,0,,,,,,,,0.0,0.07,0.07,0.0,0.07,,,,,,,16.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25.0,5,20.0,1.63,0.33,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,380",66,45.1,15.3,16,,8.0,5,,11.0,1.29,23.0,26.0,-3.0,-0.2,-0.14,,,,,,0,0,0.0,9.0,17.0,14.0,21.0,27.0,16.0,0.0,0.0,0.0,,,,,"€ 30,000(£ 26,059, $32,879)","€ 1,560,000(£ 1,355,054, $1,709,726)",Estimación no verificada,https://fbref.com/es/jugadores/2903a856/Jonas-Hofmann
2017-2018,25,Gladbach,deGER,1.Bundesliga,23,"1,033",0,3,2.0,50.0,1.0,0.0,,,,,25,"1,083",1,3,12,"1,033",11.5,0,3,3,0,0,0,0,0,2.1,2.1,3.0,5.1,41.0,41.0,92.0,0.0,0.26,0.26,0.0,0.26,0.18,0.26,0.44,0.18,0.44,23.0,19.0,12.0,11.0,0.0,12.0,26.0,46.2,14.0,15.0,4.0,11.0,12.0,35.0,16.0,0.0,301.0,421.0,71.5,5407.0,1699.0,135.0,174.0,77.6,118.0,148.0,79.7,40.0,68.0,58.8,3,3.0,2.0,0.0,22.0,27.0,11.0,1.0,41.0,421.0,374.0,45.0,9.0,0.0,6.0,35.0,23.0,13.0,1.0,11.0,0.0,301.0,2.0,25.0,19.0,96.0,250.0,235.0,43.0,571.0,39.0,12.0,30.8,27.0,69.2,308.0,2156.0,1053.0,41.0,24.0,16.0,24.0,10.0,367.0,92.0,0,20.0,5,25.0,1.74,0.44,0.0,0.0,17.8,0.0,0,0,2.1,2.1,0.1,-2.1,-2.1,49.0,4.28,26.0,9.0,4.0,5.0,5.0,0.0,8.0,0.7,4.0,1.0,0.0,1.0,2.0,0.0,"1,033",45,33.8,11.5,12,,4.0,11,,1.0,1.17,17.0,22.0,-5.0,-0.44,-0.44,20.3,18.5,1.8,0.15,0.27,0,0,0.0,8.0,18.0,3.0,35.0,12.0,19.0,1.0,1.0,0.0,48.0,5.0,15.0,25.0,"€ 48,077(£ 41,761, $52,691)","€ 2,500,000(£ 2,171,562, $2,739,946)",Estimación no verificada,https://fbref.com/es/jugadores/2903a856/Jonas-Hofmann
