Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,16,RB Salzburg,atAUT,1.Bundesliga,2,180,0,0,,,,,,,,,2,180,0,0,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,180,90,5.6,2.0,2,,2,0,,3,3.0,3,1,2,1.0,-0.06,,,,,,0,0,,3,,,,,,,,,,,,,"€ 14,423(£ 12,528, $15,807)","€ 750,000(£ 651,468, $821,984)",Estimación no verificada,https://fbref.com/es/jugadores/d248cd8f/Dayot-Upamecano
2016-2017,17,RB Salzburg,atAUT,1.Bundesliga,15,"1,330",0,0,,,,,4.0,360.0,0.0,0.0,19,"1,690",0,0,15,"1,330",14.8,0,0,0,0,0,0,4,3,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,37.0,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.0,1,16.7,0.41,0.07,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,330",89,41.0,14.8,15,,13,0,,1,1.67,26,14,12,0.81,-0.98,,,,,,4,3,1.0,30,18.0,0.0,4.0,41.0,37.0,0.0,0.0,0.0,,,,,"€ 48,077(£ 41,761, $52,691)","€ 2,500,000(£ 2,171,562, $2,739,946)",Estimación no verificada,https://fbref.com/es/jugadores/d248cd8f/Dayot-Upamecano
2016-2017,17,RB Leipzig,deGER,1.Bundesliga,12,667,0,0,,,,,,,,,12,667,0,0,8,667,7.4,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,17.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0,0.0,0.13,0.0,0.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,667,56,21.8,7.4,8,,6,4,,6,1.42,14,13,1,0.13,-0.84,,,,,,3,0,0.0,15,3.0,0.0,1.0,27.0,17.0,0.0,0.0,0.0,,,,,"€ 48,077(£ 41,761, $52,691)","€ 2,500,000(£ 2,171,562, $2,739,946)",Estimación no verificada,https://fbref.com/es/jugadores/d248cd8f/Dayot-Upamecano
2017-2018,18,RB Leipzig,deGER,1.Bundesliga,28,"2,268",3,0,2.0,165.0,0.0,0.0,11.0,966.0,0.0,0.0,41,"3,399",3,0,25,"2,268",25.2,3,0,3,3,0,0,3,1,1.1,1.1,0.7,1.8,19.0,109.0,5.0,0.12,0.0,0.12,0.12,0.12,0.05,0.03,0.07,0.05,0.07,57.0,43.0,36.0,17.0,4.0,31.0,45.0,68.9,14.0,32.0,9.0,23.0,55.0,112.0,141.0,1.0,1224.0,1464.0,83.6,24392.0,9433.0,431.0,497.0,86.7,599.0,673.0,89.0,176.0,252.0,69.8,0,0.7,0.9,-0.7,8.0,60.0,5.0,0.0,109.0,1464.0,1414.0,48.0,48.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.0,2.0,17.0,133.0,797.0,931.0,50.0,15.0,1762.0,19.0,13.0,68.4,6.0,31.6,977.0,5108.0,2591.0,19.0,13.0,1.0,11.0,10.0,1022.0,5.0,3,10.0,7,70.0,0.4,0.28,0.3,0.43,19.0,0.0,0,0,1.1,1.1,0.11,1.9,1.9,22.0,0.87,20.0,0.0,0.0,0.0,0.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,"2,268",81,74.1,25.2,25,,23,3,,1,1.68,45,36,9,0.36,0.93,37.9,33.7,4.1,0.16,0.04,3,1,1.0,32,11.0,1.0,0.0,55.0,43.0,0.0,3.0,0.0,157.0,101.0,53.0,65.6,"€ 48,077(£ 41,761, $52,691)","€ 2,500,000(£ 2,171,562, $2,739,946)",,https://fbref.com/es/jugadores/d248cd8f/Dayot-Upamecano
2018-2019,19,RB Leipzig,deGER,1.Bundesliga,15,"1,293",0,0,3.0,201.0,0.0,0.0,4.0,360.0,0.0,0.0,22,"1,854",0,0,14,"1,293",14.4,0,0,0,0,0,0,5,0,0.9,0.9,0.1,1.0,12.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,22.0,16.0,14.0,8.0,0.0,15.0,18.0,83.3,3.0,19.0,5.0,14.0,33.0,55.0,47.0,0.0,617.0,752.0,82.0,11234.0,4747.0,264.0,293.0,90.1,281.0,322.0,87.3,63.0,105.0,60.0,0,0.1,0.2,-0.1,3.0,44.0,4.0,0.0,59.0,752.0,728.0,20.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0,4.0,8.0,66.0,399.0,479.0,41.0,11.0,908.0,8.0,8.0,100.0,0.0,0.0,465.0,2805.0,1765.0,12.0,9.0,0.0,9.0,9.0,514.0,0.0,0,10.0,1,10.0,0.7,0.07,0.0,0.0,13.1,0.0,0,0,0.9,0.9,0.09,-0.9,-0.9,10.0,0.7,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,"1,293",86,42.3,14.4,14,90.0,14,1,32.0,3,1.6,24,17,7,0.49,-0.89,27.5,17.3,10.2,0.71,-0.05,5,0,0.0,17,4.0,0.0,0.0,33.0,16.0,0.0,2.0,0.0,104.0,46.0,23.0,66.7,"€ 48,077(£ 41,761, $52,691)","€ 2,500,000(£ 2,171,562, $2,739,946)",,https://fbref.com/es/jugadores/d248cd8f/Dayot-Upamecano
2019-2020,20,RB Leipzig,deGER,1.Bundesliga,28,"2,357",0,1,2.0,161.0,0.0,0.0,8.0,659.0,0.0,0.0,38,"3,177",0,1,27,"2,357",26.2,0,1,1,0,0,0,8,1,1.9,1.9,1.1,3.0,38.0,186.0,6.0,0.0,0.04,0.04,0.0,0.04,0.07,0.04,0.12,0.07,0.12,52.0,31.0,37.0,15.0,0.0,23.0,43.0,53.5,20.0,31.0,17.0,14.0,43.0,95.0,88.0,1.0,1751.0,1968.0,89.0,35577.0,13722.0,530.0,576.0,92.0,958.0,1028.0,93.2,237.0,315.0,75.2,1,1.1,1.6,-0.1,9.0,172.0,9.0,0.0,186.0,1968.0,1918.0,48.0,46.0,0.0,23.0,1.0,2.0,0.0,0.0,0.0,0.0,1751.0,2.0,9.0,191.0,913.0,1294.0,74.0,27.0,2253.0,38.0,29.0,76.3,9.0,23.7,1548.0,9983.0,5830.0,38.0,25.0,0.0,23.0,14.0,1575.0,6.0,0,13.0,4,30.8,0.5,0.15,0.0,0.0,11.3,0.0,0,0,1.9,1.9,0.16,-1.9,-1.9,33.0,1.26,29.0,0.0,0.0,3.0,1.0,0.0,4.0,0.15,3.0,0.0,0.0,1.0,0.0,0.0,"2,357",84,77.0,26.2,27,86.0,24,1,45.0,0,1.86,66,32,34,1.3,0.02,56.4,29.6,26.8,1.02,0.29,8,1,1.0,27,13.0,1.0,1.0,43.0,31.0,0.0,0.0,0.0,245.0,54.0,31.0,63.5,"€ 192,308(£ 167,043, $210,765)","€ 10,000,000(£ 8,686,246, $10,959,782)",,https://fbref.com/es/jugadores/d248cd8f/Dayot-Upamecano
2020-2021,21,RB Leipzig,deGER,1.Bundesliga,29,"2,330",1,0,5.0,469.0,0.0,0.0,7.0,604.0,0.0,0.0,41,"3,403",1,0,27,"2,330",25.9,1,0,1,1,0,0,6,0,1.3,1.3,0.6,1.9,24.0,156.0,11.0,0.04,0.0,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07,37.0,30.0,18.0,19.0,0.0,14.0,20.0,70.0,6.0,25.0,14.0,11.0,33.0,70.0,74.0,2.0,1953.0,2216.0,88.1,40013.0,14646.0,577.0,647.0,89.2,1107.0,1193.0,92.8,255.0,328.0,77.7,0,0.6,1.3,-0.6,8.0,145.0,6.0,0.0,156.0,2216.0,2159.0,53.0,50.0,0.0,12.0,4.0,3.0,0.0,0.0,0.0,0.0,1953.0,4.0,17.0,199.0,972.0,1425.0,80.0,27.0,2451.0,18.0,13.0,72.2,5.0,27.8,1657.0,9588.0,5020.0,24.0,13.0,1.0,24.0,7.0,1775.0,11.0,1,14.0,5,35.7,0.54,0.19,0.07,0.2,12.9,0.0,0,0,1.3,1.3,0.1,-0.3,-0.3,27.0,1.04,25.0,0.0,0.0,2.0,0.0,0.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,"2,330",80,76.1,25.9,27,84.0,23,2,37.0,1,1.72,42,26,16,0.62,-0.86,49.5,21.3,28.2,1.09,0.24,6,0,0.0,35,9.0,0.0,4.0,33.0,30.0,0.0,1.0,0.0,233.0,74.0,44.0,62.7,"€ 192,308(£ 165,444, $210,281)","€ 10,000,000(£ 8,603,104, $10,934,606)",,https://fbref.com/es/jugadores/d248cd8f/Dayot-Upamecano
2021-2022,22,Bayern Munich,deGER,1.Bundesliga,28,"2,211",1,6,2.0,144.0,0.0,0.0,8.0,661.0,0.0,0.0,38,"3,016",1,6,25,"2,211",24.6,1,6,7,1,0,0,4,0,0.6,0.6,2.0,2.5,32.0,183.0,9.0,0.04,0.24,0.28,0.04,0.28,0.02,0.08,0.1,0.02,0.1,66.0,42.0,42.0,21.0,3.0,24.0,36.0,66.7,12.0,20.0,10.0,10.0,32.0,98.0,71.0,6.0,2048.0,2277.0,89.9,40879.0,15190.0,622.0,676.0,92.0,1171.0,1246.0,94.0,243.0,316.0,76.9,6,2.0,2.4,4.0,11.0,201.0,16.0,0.0,183.0,2277.0,2226.0,48.0,36.0,3.0,16.0,2.0,12.0,0.0,0.0,0.0,0.0,2048.0,3.0,11.0,170.0,998.0,1413.0,127.0,20.0,2520.0,16.0,11.0,68.8,5.0,31.3,1716.0,8759.0,4788.0,32.0,25.0,1.0,16.0,8.0,1835.0,9.0,1,11.0,2,18.2,0.45,0.08,0.09,0.5,14.9,0.0,0,0,0.6,0.6,0.05,0.4,0.4,26.0,1.06,23.0,0.0,0.0,2.0,0.0,1.0,7.0,0.28,7.0,0.0,0.0,0.0,0.0,0.0,"2,211",79,72.3,24.6,25,86.0,23,3,17.0,4,2.39,63,27,36,1.47,-1.08,56.2,23.9,32.3,1.32,-0.84,4,0,0.0,28,11.0,1.0,2.0,32.0,42.0,0.0,1.0,0.0,249.0,62.0,43.0,59.0,"€ 192,308(£ 162,467, $206,662)","€ 10,000,000(£ 8,448,291, $10,746,447)",,https://fbref.com/es/jugadores/d248cd8f/Dayot-Upamecano
2022-2023,23,Bayern Munich,deGER,1.Bundesliga,29,"2,348",0,1,4.0,320.0,1.0,0.0,10.0,713.0,0.0,0.0,43,"3,381",1,1,27,"2,348",26.1,0,1,1,0,0,0,6,1,0.7,0.7,0.3,1.0,31.0,169.0,7.0,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,65.0,37.0,43.0,22.0,0.0,28.0,45.0,62.2,17.0,26.0,6.0,20.0,27.0,92.0,71.0,4.0,2101.0,2318.0,90.6,42619.0,15514.0,596.0,641.0,93.0,1250.0,1315.0,95.1,246.0,333.0,73.9,1,0.3,1.0,0.7,6.0,205.0,6.0,0.0,169.0,2318.0,2255.0,60.0,47.0,0.0,10.0,2.0,7.0,0.0,0.0,0.0,0.0,2101.0,3.0,9.0,234.0,1177.0,1314.0,92.0,18.0,2569.0,15.0,10.0,66.7,5.0,33.3,1844.0,9367.0,5193.0,31.0,28.0,2.0,19.0,10.0,1895.0,7.0,0,7.0,1,14.3,0.27,0.04,0.0,0.0,9.0,0.0,0,0,0.7,0.7,0.1,-0.7,-0.7,23.0,0.88,22.0,0.0,0.0,1.0,0.0,0.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,"2,348",81,76.7,26.1,27,87.0,25,2,6.0,0,1.93,71,29,42,1.61,0.09,56.2,27.4,28.8,1.1,-0.04,6,1,0.0,30,14.0,1.0,2.0,27.0,37.0,0.0,1.0,0.0,212.0,47.0,47.0,50.0,"€ 192,308(£ 165,305, $218,406)","€ 10,000,000(£ 8,595,840, $11,357,118)",,https://fbref.com/es/jugadores/d248cd8f/Dayot-Upamecano
2023-2024,24,Bayern Munich,deGER,1.Bundesliga,25,"1,762",1,0,1.0,90.0,0.0,0.0,7.0,499.0,0.0,0.0,33,"2,351",1,0,19,"1,762",19.6,1,0,1,1,0,0,3,1,1.7,1.7,0.5,2.1,28.0,137.0,10.0,0.05,0.0,0.05,0.05,0.05,0.08,0.02,0.11,0.08,0.11,34.0,21.0,21.0,11.0,2.0,15.0,29.0,51.7,14.0,19.0,7.0,12.0,19.0,53.0,56.0,3.0,1678.0,1813.0,92.6,32907.0,9994.0,538.0,570.0,94.4,952.0,1008.0,94.4,180.0,204.0,88.2,0,0.5,0.9,-0.5,6.0,148.0,2.0,0.0,137.0,1813.0,1778.0,33.0,20.0,1.0,12.0,3.0,12.0,0.0,0.0,0.0,0.0,1678.0,2.0,16.0,140.0,671.0,1219.0,106.0,17.0,1981.0,10.0,6.0,60.0,4.0,40.0,1350.0,7520.0,4558.0,28.0,24.0,0.0,9.0,4.0,1519.0,10.0,1,11.0,4,36.4,0.56,0.2,0.09,0.25,10.5,0.0,0,0,1.7,1.7,0.15,-0.7,-0.7,27.0,1.38,26.0,0.0,0.0,0.0,1.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,"1,762",70,57.6,19.6,19,82.0,14,6,34.0,3,1.92,42,28,14,0.72,-1.71,43.4,16.3,27.1,1.38,-0.42,3,1,1.0,22,8.0,2.0,3.0,19.0,21.0,0.0,1.0,0.0,156.0,42.0,25.0,62.7,,,,
