Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Gregor Kobel,chSUI,PO,27-144,29,29,"2,610",29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos,4.0,0.14,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,926.0,1160.0,79.8,22186.0,14786.0,230.0,232.0,99.1,494.0,497.0,99.4,200.0,425.0,47.1,0.0,0.0,1.0,5.0,0.0,0.0,987.0,170.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,,,,,0.0,0.0,1219.0,0.0,2.0,100.0,0.0,0.0,785.0,0.0,0.0,1.0,737.0,45.0,1.55,115.0,70.0,64.3,13.0,6.0,10.0,5.0,17.2,4.0,4.0,4.0,4.0,0.0,0.0,5.0,42.2,0.34,-1.8,-0.06,1052.0,116.0,23.3,28.3,61.0,45.9,371.0,19.0,5.1,40.0,1.38,15.0,90,93.5,90,29,0,,0,1.55,57,45,+12,+0.41,+0.91,52.3,36.7,+15.6,+0.54,+0.34,0.0,0.0,1.0,0.0,0.0,0.0,54.0,100.0,/es/jugadores/cd59b9df/Gregor-Kobel
Serhou Guirassy,gnGUI,DL,29-048,27,26,"2,343",26.0,17,4,21,15,2,3,4,0,19.8,17.4,3.8,21.2,20,38,116,0.65,0.15,0.81,0.58,0.73,0.76,0.15,0.91,0.67,0.82,Partidos,51.0,1.96,34.0,0.0,1.0,10.0,6.0,0.0,10.0,0.38,5.0,0.0,0.0,3.0,2.0,0.0,6.0,5.0,2.0,1.0,3.0,2.0,5.0,40.0,3.0,8.0,3.0,5.0,4.0,10.0,33.0,0.0,407.0,558.0,72.9,5148.0,813.0,269.0,331.0,81.3,94.0,131.0,71.8,15.0,22.0,68.2,2.9,0.2,23.0,26.0,11.0,0.0,511.0,46.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,37.2,3.0,1.11,0.19,0.52,11.8,0.23,-2.8,-2.4,854.0,148.0,7.0,25.0,15.0,53.6,464.0,10.0,68.0,28.0,668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,84.0,89,23,1,30,0,1.41,47,47,0,0.00,-2.21,46.9,33.5,+13.4,+0.52,0.00,0.0,15.0,50.0,5.0,2.0,0.0,41.0,53.6,/es/jugadores/923f4dda/Serhou-Guirassy
Pascal Groß,deGER,"CC,DF",33-318,28,26,"2,165",24.1,0,7,7,0,0,0,4,1,2.4,2.4,4.4,6.7,38,168,113,0.00,0.29,0.29,0.00,0.29,0.10,0.18,0.28,0.10,0.28,Partidos,89.0,3.7,52.0,29.0,0.0,6.0,1.0,1.0,14.0,0.58,12.0,0.0,0.0,1.0,0.0,1.0,42.0,27.0,11.0,24.0,7.0,13.0,46.0,28.3,33.0,43.0,12.0,31.0,9.0,51.0,26.0,1.0,1504.0,1863.0,80.7,25908.0,7621.0,708.0,765.0,92.5,609.0,690.0,88.3,145.0,305.0,47.5,5.9,2.6,54.0,111.0,39.0,15.0,1637.0,220.0,64.0,2.0,12.0,170.0,48.0,97.0,45.0,30.0,3.0,6.0,7.0,28.0,1.04,0.29,0.0,0.0,17.8,0.09,-2.4,-2.4,2059.0,45.0,2.0,25.0,6.0,75.0,1079.0,5.0,22.0,9.0,1434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,77.6,81,15,2,34,0,1.61,45,35,+10,+0.42,+0.27,44.1,30.8,+13.2,+0.55,+0.15,0.0,15.0,12.0,27.0,0.0,1.0,89.0,40.4,/es/jugadores/8aec0537/Pascal-Gross
Julian Brandt,deGER,CC,28-362,27,25,"2,058",22.9,4,6,10,4,0,0,1,0,4.1,4.1,7.1,11.2,51,131,182,0.17,0.26,0.44,0.17,0.44,0.18,0.31,0.49,0.18,0.49,Partidos,91.0,3.98,78.0,6.0,2.0,5.0,0.0,0.0,10.0,0.44,9.0,1.0,0.0,0.0,0.0,0.0,21.0,10.0,11.0,7.0,3.0,14.0,34.0,41.2,20.0,17.0,0.0,17.0,14.0,35.0,12.0,1.0,861.0,1093.0,78.8,13269.0,3512.0,466.0,535.0,87.1,301.0,372.0,80.9,60.0,109.0,55.0,6.0,-1.1,54.0,83.0,42.0,6.0,1041.0,48.0,7.0,16.0,3.0,67.0,18.0,20.0,11.0,6.0,0.0,4.0,14.0,34.1,1.79,0.61,0.1,0.29,18.8,0.1,-0.1,-0.1,1313.0,71.0,17.0,35.4,28.0,58.3,766.0,14.0,44.0,30.0,982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,73.8,82,10,2,10,0,1.56,38,39,-1,-0.04,-1.52,39.4,29.3,+10.1,+0.44,-0.28,0.0,6.0,8.0,10.0,0.0,0.0,109.0,28.9,/es/jugadores/a167537f/Julian-Brandt
Julian Ryerson,noNOR,"DF,DL",27-163,26,24,"1,993",22.1,1,3,4,1,0,0,6,1,0.5,0.5,4.0,4.5,58,81,117,0.05,0.14,0.18,0.05,0.18,0.02,0.18,0.21,0.02,0.21,Partidos,49.0,2.21,37.0,8.0,4.0,0.0,0.0,0.0,5.0,0.23,4.0,0.0,1.0,0.0,0.0,0.0,42.0,27.0,25.0,11.0,6.0,23.0,38.0,60.5,15.0,27.0,2.0,25.0,18.0,60.0,25.0,1.0,1106.0,1296.0,85.3,18253.0,4753.0,530.0,573.0,92.5,487.0,530.0,91.9,69.0,132.0,52.3,4.4,-1.0,31.0,76.0,27.0,20.0,1107.0,187.0,22.0,1.0,4.0,99.0,145.0,20.0,8.0,12.0,0.0,2.0,4.0,26.7,0.68,0.18,0.07,0.25,21.0,0.03,0.5,0.5,1504.0,25.0,30.0,55.6,20.0,37.0,899.0,8.0,36.0,16.0,966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,71.4,81,10,2,29,0,1.46,42,34,+8,+0.36,+0.02,39.8,27.6,+12.3,+0.55,+0.13,1.0,31.0,23.0,27.0,0.0,0.0,108.0,30.0,/es/jugadores/009a4f60/Julian-Ryerson
Emre Can,deGER,"DF,CC",31-107,28,23,"2,061",22.9,3,0,3,1,2,2,4,1,2.0,0.4,0.6,1.0,18,113,11,0.13,0.00,0.13,0.04,0.04,0.09,0.02,0.11,0.02,0.04,Partidos,30.0,1.31,27.0,0.0,0.0,2.0,1.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,48.0,28.0,30.0,15.0,3.0,17.0,34.0,50.0,17.0,29.0,17.0,12.0,19.0,67.0,88.0,3.0,1670.0,1867.0,89.4,30654.0,10393.0,652.0,696.0,93.7,866.0,914.0,94.7,141.0,224.0,62.9,1.1,-0.6,7.0,112.0,3.0,0.0,1800.0,64.0,45.0,2.0,7.0,11.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,14.3,0.31,0.04,0.14,1.0,23.1,0.06,1.0,0.6,2112.0,11.0,15.0,60.0,8.0,32.0,1375.0,2.0,18.0,9.0,1549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,73.9,85,19,5,20,0,1.57,42,32,+10,+0.44,+0.31,44.8,26.6,+18.2,+0.79,+1.06,0.0,23.0,19.0,28.0,0.0,0.0,108.0,63.8,/es/jugadores/a65ce836/Emre-Can
Nico Schlotterbeck,deGER,DF,25-149,23,23,"1,982",22.0,0,4,4,0,0,0,7,2,1.3,1.3,2.1,3.4,37,195,14,0.00,0.18,0.18,0.00,0.18,0.06,0.09,0.15,0.06,0.15,Partidos,50.0,2.27,41.0,4.0,1.0,2.0,1.0,1.0,6.0,0.27,4.0,2.0,0.0,0.0,0.0,0.0,38.0,24.0,21.0,16.0,1.0,27.0,45.0,60.0,18.0,31.0,15.0,16.0,22.0,60.0,79.0,1.0,1856.0,2080.0,89.2,35474.0,13457.0,674.0,711.0,94.8,975.0,1042.0,93.6,190.0,282.0,67.4,2.1,1.9,18.0,226.0,10.0,2.0,1941.0,136.0,47.0,3.0,21.0,14.0,29.0,5.0,5.0,0.0,0.0,3.0,4.0,23.5,0.77,0.18,0.0,0.0,17.2,0.08,-1.3,-1.3,2297.0,21.0,14.0,63.6,5.0,22.7,1467.0,1.0,12.0,10.0,1674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,71.0,86,21,0,,0,1.39,37,32,+5,+0.23,-0.44,37.7,26.8,+10.8,+0.49,-0.08,1.0,18.0,19.0,24.0,0.0,1.0,157.0,65.8,/es/jugadores/34e12499/Nico-Schlotterbeck
Ramy Bensebaini,dzALG,DF,30-013,28,20,"1,752",19.5,1,5,6,1,0,0,6,0,1.2,1.2,2.7,3.9,20,92,55,0.05,0.26,0.31,0.05,0.31,0.06,0.14,0.20,0.06,0.20,Partidos,32.0,1.64,28.0,3.0,0.0,1.0,0.0,0.0,7.0,0.36,6.0,1.0,0.0,0.0,0.0,0.0,41.0,18.0,21.0,15.0,5.0,25.0,41.0,61.0,16.0,38.0,8.0,30.0,26.0,67.0,73.0,1.0,1057.0,1226.0,86.2,17624.0,5420.0,507.0,545.0,93.0,469.0,524.0,89.5,71.0,120.0,59.2,2.1,2.3,13.0,81.0,17.0,4.0,1039.0,186.0,40.0,3.0,2.0,31.0,129.0,14.0,13.0,0.0,0.0,1.0,2.0,11.1,0.92,0.1,0.06,0.5,12.6,0.07,-0.2,-0.2,1475.0,33.0,5.0,29.4,10.0,58.8,754.0,2.0,15.0,6.0,884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,62.8,79,11,8,22,0,1.71,39,27,+12,+0.62,+0.70,33.6,20.4,+13.2,+0.68,+0.44,0.0,23.0,21.0,18.0,0.0,0.0,90.0,60.0,/es/jugadores/378825c7/Ramy-Bensebaini
Jamie Gittens,engENG,"DL,CC",20-264,29,20,"1,700",18.9,8,3,11,8,0,0,3,0,3.6,3.6,2.5,6.1,111,41,171,0.42,0.16,0.58,0.42,0.58,0.19,0.13,0.32,0.19,0.32,Partidos,73.0,3.86,34.0,0.0,29.0,7.0,3.0,0.0,10.0,0.53,4.0,0.0,6.0,0.0,0.0,0.0,29.0,18.0,11.0,11.0,7.0,13.0,17.0,76.5,4.0,16.0,0.0,16.0,10.0,39.0,4.0,0.0,406.0,533.0,76.2,5642.0,979.0,258.0,296.0,87.2,110.0,142.0,77.5,19.0,38.0,50.0,4.1,0.5,21.0,16.0,23.0,4.0,523.0,8.0,1.0,4.0,3.0,48.0,5.0,2.0,0.0,0.0,0.0,2.0,24.0,46.2,2.75,1.27,0.15,0.33,17.1,0.07,4.4,4.4,837.0,110.0,77.0,46.4,69.0,41.6,597.0,63.0,48.0,34.0,622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,60.9,75,4,9,23,2,1.52,33,33,0,0.00,-0.91,31.1,23.2,+8.0,+0.42,-0.24,0.0,25.0,40.0,18.0,1.0,0.0,60.0,45.5,/es/jugadores/10745192/Jamie-Gittens
Waldemar Anton,deGER,DF,28-283,23,19,"1,679",18.7,2,2,4,2,0,0,4,0,1.7,1.7,0.8,2.5,31,107,28,0.11,0.11,0.21,0.11,0.21,0.09,0.04,0.13,0.09,0.13,Partidos,39.0,2.09,30.0,0.0,6.0,2.0,0.0,1.0,4.0,0.21,3.0,0.0,0.0,1.0,0.0,0.0,31.0,19.0,15.0,10.0,6.0,15.0,21.0,71.4,6.0,27.0,14.0,13.0,23.0,54.0,86.0,1.0,1486.0,1651.0,90.0,27173.0,8352.0,582.0,610.0,95.4,786.0,845.0,93.0,110.0,163.0,67.5,1.2,1.2,6.0,107.0,6.0,3.0,1577.0,74.0,31.0,2.0,6.0,24.0,35.0,0.0,0.0,0.0,0.0,0.0,3.0,15.8,1.02,0.16,0.11,0.67,13.5,0.09,0.3,0.3,1891.0,31.0,19.0,82.6,2.0,8.7,1230.0,0.0,19.0,9.0,1387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,60.2,84,16,4,22,3,1.61,39,29,+10,+0.54,+0.46,34.4,24.3,+10.0,+0.54,+0.06,0.0,17.0,20.0,19.0,0.0,0.0,102.0,60.6,/es/jugadores/5e66fa06/Waldemar-Anton
