Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,17,Leverkusen,deGER,1.Bundesliga,12,587,2,2,,,,,2.0,67.0,0.0,0.0,14,654,2,2,6,587,6.5,2,2,4,2,0,0,1,0,,,,,,,,0.31,0.31,0.61,0.31,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,0.46,,0.67,,,0,0,,,,,,,,,,,,,,,,,,,,,,587,49,19.2,6.5,6,,1,6,,,,,,,,,,,,,,1,0,,6,,,,,,,,,,,,,"€ 14,038(£ 12,194, $15,386)","€ 730,000(£ 634,096, $800,064)",Estimación no verificada,https://fbref.com/es/jugadores/a167537f/Julian-Brandt
2014-2015,18,Leverkusen,deGER,1.Bundesliga,25,"1,119",4,2,4.0,318.0,0.0,1.0,5.0,118.0,0.0,0.0,34,"1,555",4,3,10,"1,119",12.4,4,2,6,4,0,0,0,0,,,,,,,,0.32,0.16,0.48,0.32,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,,0.8,,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,119",45,36.6,12.4,10,,4,15,,4.0,1.84,32.0,13.0,19.0,1.53,1.25,,,,,,0,0,,8,,,,,,,,,,,,,"€ 12,308(£ 10,691, $13,489)","€ 640,000(£ 555,920, $701,426)",Estimación no verificada,https://fbref.com/es/jugadores/a167537f/Julian-Brandt
2015-2016,19,Leverkusen,deGER,1.Bundesliga,29,"1,618",9,3,3.0,133.0,1.0,3.0,10.0,378.0,0.0,0.0,42,"2,129",10,6,18,"1,618",18.0,9,3,12,9,0,0,0,0,,,,,,,,0.5,0.17,0.67,0.5,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,17,,,0.95,,0.53,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,618",56,52.9,18.0,18,,7,11,,3.0,1.76,34.0,24.0,10.0,0.56,0.18,,,,,,0,0,,11,,,,,,,,,,,,,"€ 11,923(£ 10,357, $13,067)","€ 620,000(£ 538,547, $679,506)",Estimación no verificada,https://fbref.com/es/jugadores/a167537f/Julian-Brandt
2016-2017,20,Leverkusen,deGER,1.Bundesliga,32,"2,299",3,7,,,,,8.0,534.0,1.0,0.0,40,"2,833",4,7,25,"2,299",25.5,3,7,10,3,0,0,0,0,,,,,,,,0.12,0.27,0.39,0.12,0.39,,,,,,,20.0,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,47.0,15,31.9,1.84,0.59,0.06,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,299",72,75.1,25.5,25,,12,7,,1.0,1.25,45.0,41.0,4.0,0.16,0.87,,,,,,0,0,0.0,15,25.0,4.0,53.0,26.0,20.0,2.0,0.0,0.0,,,,,"€ 18,269(£ 15,869, $20,023)","€ 950,000(£ 825,193, $1,041,179)",Estimación no verificada,https://fbref.com/es/jugadores/a167537f/Julian-Brandt
2017-2018,21,Leverkusen,deGER,1.Bundesliga,34,"2,326",9,3,5.0,396.0,3.0,2.0,,,,,39,"2,722",12,5,26,"2,326",25.8,9,3,12,9,0,0,0,0,5.2,5.2,5.9,11.1,91.0,112.0,260.0,0.35,0.12,0.46,0.35,0.46,0.2,0.23,0.43,0.2,0.43,24.0,18.0,11.0,9.0,4.0,11.0,29.0,37.9,18.0,23.0,1.0,22.0,16.0,40.0,12.0,1.0,972.0,1314.0,74.0,15051.0,3876.0,576.0,678.0,85.0,284.0,386.0,73.6,81.0,153.0,52.9,3,5.9,6.8,-2.9,58.0,58.0,43.0,9.0,112.0,1314.0,1191.0,114.0,27.0,6.0,16.0,115.0,26.0,61.0,41.0,15.0,2.0,972.0,9.0,51.0,8.0,158.0,685.0,738.0,97.0,1564.0,95.0,43.0,45.3,52.0,54.7,1002.0,6296.0,2795.0,91.0,61.0,28.0,42.0,40.0,1164.0,260.0,9,43.0,22,51.2,1.66,0.85,0.21,0.41,17.2,1.0,0,0,5.2,5.2,0.12,3.8,3.8,116.0,4.48,91.0,13.0,3.0,6.0,3.0,0.0,12.0,0.46,10.0,1.0,0.0,0.0,1.0,0.0,"2,326",68,76.0,25.8,26,,12,8,,0.0,1.62,51.0,34.0,17.0,0.66,1.03,41.9,29.6,12.3,0.48,-0.3,0,0,0.0,12,19.0,1.0,115.0,16.0,18.0,1.0,0.0,0.0,119.0,20.0,29.0,40.8,"€ 19,038(£ 16,537, $20,866)","€ 990,000(£ 859,938, $1,085,018)",Estimación no verificada,https://fbref.com/es/jugadores/a167537f/Julian-Brandt
2018-2019,22,Leverkusen,deGER,1.Bundesliga,33,"2,666",7,11,3.0,253.0,2.0,1.0,7.0,409.0,1.0,1.0,43,"3,328",10,13,30,"2,666",29.6,7,11,18,7,0,0,0,0,8.0,8.0,9.3,17.3,107.0,198.0,291.0,0.24,0.37,0.61,0.24,0.61,0.27,0.31,0.58,0.27,0.58,27.0,16.0,13.0,10.0,4.0,7.0,43.0,16.3,36.0,27.0,1.0,26.0,17.0,44.0,12.0,1.0,1443.0,1877.0,76.9,22326.0,6507.0,767.0,878.0,87.4,430.0,538.0,79.9,145.0,265.0,54.7,11,9.3,8.9,1.7,86.0,126.0,65.0,9.0,198.0,1877.0,1698.0,173.0,53.0,6.0,22.0,147.0,20.0,98.0,49.0,40.0,0.0,1443.0,6.0,44.0,12.0,252.0,1034.0,936.0,112.0,2198.0,97.0,55.0,56.7,42.0,43.3,1170.0,7752.0,3635.0,107.0,78.0,29.0,76.0,50.0,1678.0,291.0,7,65.0,25,38.5,2.19,0.84,0.11,0.28,18.6,3.0,0,0,8.0,8.0,0.12,-1.0,-1.0,176.0,5.94,123.0,27.0,11.0,10.0,4.0,1.0,31.0,1.05,22.0,5.0,1.0,2.0,1.0,0.0,"2,666",81,87.1,29.6,30,85.0,20,3,35.0,1.0,1.67,64.0,46.0,18.0,0.61,0.84,52.6,38.7,13.9,0.47,0.37,0,0,0.0,13,22.0,3.0,147.0,17.0,16.0,0.0,0.0,0.0,189.0,28.0,35.0,44.4,"€ 76,731(£ 66,650, $84,095)","€ 3,990,000(£ 3,465,812, $4,372,953)",Estimación no verificada,https://fbref.com/es/jugadores/a167537f/Julian-Brandt
2019-2020,23,Dortmund,deGER,1.Bundesliga,33,"2,203",3,7,2.0,180.0,2.0,2.0,7.0,490.0,2.0,3.0,42,"2,873",7,12,25,"2,203",24.5,3,7,10,3,0,0,0,0,3.6,3.6,5.4,9.0,59.0,188.0,183.0,0.12,0.29,0.41,0.12,0.41,0.15,0.22,0.37,0.15,0.37,48.0,33.0,15.0,21.0,12.0,25.0,55.0,45.5,30.0,35.0,2.0,33.0,16.0,64.0,10.0,1.0,1370.0,1670.0,82.0,22402.0,4944.0,697.0,803.0,86.8,451.0,522.0,86.4,153.0,197.0,77.7,7,5.4,5.1,1.6,39.0,119.0,37.0,0.0,188.0,1670.0,1623.0,41.0,13.0,12.0,23.0,38.0,7.0,17.0,8.0,7.0,0.0,1370.0,6.0,34.0,16.0,259.0,1051.0,656.0,83.0,1951.0,92.0,66.0,71.7,26.0,28.3,1301.0,6501.0,2629.0,59.0,61.0,16.0,64.0,48.0,1607.0,183.0,3,33.0,16,48.5,1.35,0.65,0.09,0.19,16.8,0.0,0,0,3.6,3.6,0.11,-0.6,-0.6,84.0,3.43,69.0,3.0,8.0,3.0,1.0,0.0,19.0,0.78,16.0,0.0,2.0,1.0,0.0,0.0,"2,203",67,72.0,24.5,25,79.0,12,8,27.0,0.0,2.0,61.0,30.0,31.0,1.27,0.01,46.4,32.5,13.9,0.57,-0.09,0,0,0.0,12,20.0,2.0,38.0,16.0,33.0,0.0,0.0,0.0,132.0,21.0,27.0,43.8,"€ 134,615(£ 116,930, $147,536)","€ 7,000,000(£ 6,080,372, $7,671,847)",,https://fbref.com/es/jugadores/a167537f/Julian-Brandt
2020-2021,24,Dortmund,deGER,1.Bundesliga,31,"1,495",3,2,6.0,281.0,1.0,0.0,8.0,218.0,0.0,0.0,45,"1,994",4,2,17,"1,495",16.6,3,2,5,3,0,0,0,0,2.2,2.2,2.3,4.6,39.0,102.0,142.0,0.18,0.12,0.3,0.18,0.3,0.14,0.14,0.28,0.14,0.28,27.0,14.0,13.0,9.0,5.0,12.0,43.0,27.9,31.0,25.0,1.0,24.0,17.0,44.0,7.0,1.0,776.0,931.0,83.4,12066.0,2776.0,411.0,477.0,86.2,248.0,281.0,88.3,71.0,87.0,81.6,2,2.3,2.5,-0.3,31.0,62.0,30.0,4.0,102.0,931.0,903.0,26.0,5.0,1.0,7.0,29.0,7.0,12.0,2.0,6.0,0.0,776.0,2.0,20.0,10.0,123.0,526.0,497.0,59.0,1132.0,39.0,23.0,59.0,16.0,41.0,653.0,3755.0,1291.0,39.0,24.0,15.0,42.0,28.0,871.0,142.0,3,22.0,8,36.4,1.32,0.48,0.14,0.38,18.5,1.0,0,0,2.2,2.2,0.1,0.8,0.8,76.0,4.57,66.0,3.0,3.0,1.0,3.0,0.0,12.0,0.72,9.0,0.0,2.0,0.0,1.0,0.0,"1,495",48,48.9,16.6,17,74.0,7,14,17.0,3.0,1.87,36.0,26.0,10.0,0.6,-0.49,32.7,21.1,11.6,0.7,-0.05,0,0,0.0,6,16.0,2.0,29.0,17.0,14.0,0.0,0.0,0.0,92.0,7.0,21.0,25.0,"€ 134,615(£ 116,930, $147,536)","€ 7,000,000(£ 6,080,372, $7,671,847)",,https://fbref.com/es/jugadores/a167537f/Julian-Brandt
2021-2022,25,Dortmund,deGER,1.Bundesliga,31,"2,078",9,8,2.0,176.0,0.0,2.0,7.0,508.0,0.0,0.0,40,"2,762",9,10,22,"2,078",23.1,9,8,17,9,0,0,3,0,4.9,4.9,4.6,9.4,66.0,126.0,171.0,0.39,0.35,0.74,0.39,0.74,0.21,0.2,0.41,0.21,0.41,37.0,19.0,13.0,20.0,4.0,17.0,54.0,31.5,37.0,19.0,2.0,17.0,24.0,61.0,14.0,1.0,1022.0,1324.0,77.2,15110.0,4255.0,564.0,655.0,86.1,312.0,379.0,82.3,74.0,155.0,47.7,8,4.6,6.3,3.4,44.0,72.0,40.0,6.0,126.0,1324.0,1202.0,117.0,17.0,7.0,5.0,128.0,11.0,89.0,38.0,40.0,0.0,1022.0,5.0,22.0,24.0,178.0,788.0,622.0,50.0,1575.0,65.0,38.0,58.5,27.0,41.5,929.0,5020.0,2137.0,66.0,50.0,19.0,58.0,31.0,1148.0,171.0,9,34.0,15,44.1,1.47,0.65,0.26,0.6,17.1,0.0,0,0,4.9,4.9,0.14,4.1,4.1,97.0,4.2,60.0,26.0,7.0,4.0,0.0,0.0,22.0,0.95,14.0,5.0,2.0,1.0,0.0,0.0,"2,078",67,67.9,23.1,22,81.0,8,9,34.0,0.0,2.03,63.0,33.0,30.0,1.3,1.02,47.4,29.9,17.5,0.76,0.74,3,0,0.0,12,16.0,2.0,128.0,24.0,19.0,0.0,0.0,0.0,129.0,15.0,24.0,38.5,"€ 134,615(£ 116,930, $147,536)","€ 7,000,000(£ 6,080,372, $7,671,847)",,https://fbref.com/es/jugadores/a167537f/Julian-Brandt
2022-2023,26,Dortmund,deGER,1.Bundesliga,32,"2,397",9,8,3.0,212.0,0.0,0.0,7.0,476.0,1.0,1.0,42,"3,085",10,9,29,"2,397",26.6,9,8,17,9,0,0,2,0,5.2,5.2,9.2,14.3,67.0,119.0,218.0,0.34,0.3,0.64,0.34,0.64,0.19,0.34,0.54,0.19,0.54,29.0,20.0,6.0,14.0,9.0,12.0,43.0,27.9,31.0,23.0,0.0,23.0,15.0,44.0,9.0,1.0,1053.0,1368.0,77.0,16552.0,4185.0,583.0,662.0,88.1,284.0,368.0,77.2,120.0,204.0,58.8,8,9.2,7.8,-1.2,73.0,60.0,40.0,9.0,119.0,1368.0,1210.0,153.0,22.0,6.0,18.0,165.0,14.0,114.0,36.0,57.0,3.0,1053.0,5.0,33.0,14.0,172.0,668.0,814.0,80.0,1634.0,81.0,41.0,50.6,35.0,43.2,989.0,5335.0,2355.0,67.0,42.0,27.0,50.0,35.0,1186.0,218.0,9,42.0,26,61.9,1.58,0.98,0.21,0.35,18.0,1.0,0,0,5.2,5.2,0.12,3.8,3.8,133.0,4.99,87.0,32.0,6.0,2.0,5.0,1.0,20.0,0.75,14.0,3.0,1.0,0.0,2.0,0.0,"2,397",75,78.3,26.6,29,80.0,12,3,27.0,0.0,2.09,67.0,28.0,39.0,1.46,1.46,55.8,29.0,26.8,1.01,0.86,2,0,0.0,9,21.0,5.0,165.0,15.0,20.0,0.0,0.0,0.0,138.0,9.0,24.0,27.3,"€ 134,615(£ 115,811, $147,197)","€ 7,000,000(£ 6,022,172, $7,654,224)",,https://fbref.com/es/jugadores/a167537f/Julian-Brandt
