Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2011-2012,17,Admira,atAUT,1.Bundesliga,20,"1,256",5,0,,,,,,,,,20,"1,256",5,0,14,"1,256",14.0,5,0,5,5,0,0,2,0,,,,,,,,0.36,0.0,0.36,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,11,,,0.79,,0.45,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,256",63,38.8,14.0,14,,,6,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,"€ 36,731(£ 31,905, $40,256)","€ 1,910,000(£ 1,659,073, $2,093,318)",Estimación no verificada,https://fbref.com/es/jugadores/e280527c/Marcel-Sabitzer
2012-2013,18,Admira,atAUT,1.Bundesliga,17,"1,450",3,3,,,,,,,,,17,"1,450",3,3,17,"1,450",16.1,3,3,6,3,0,0,1,0,,,,,,,,0.19,0.19,0.37,0.19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,12,,,0.74,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,450",85,44.8,16.1,17,,,0,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,"€ 37,885(£ 32,908, $41,521)","€ 1,970,000(£ 1,711,190, $2,159,077)",Estimación no verificada,https://fbref.com/es/jugadores/e280527c/Marcel-Sabitzer
2012-2013,18,Rapid Wien,atAUT,1.Bundesliga,16,"1,046",3,3,,,,,,,,,16,"1,046",3,3,10,"1,046",11.6,3,3,6,3,0,0,2,0,,,,,,,,0.26,0.26,0.52,0.26,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,11,,,0.95,,0.27,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,046",65,32.3,11.6,10,,,6,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,"€ 86,346(£ 75,002, $94,634)","€ 4,490,000(£ 3,900,124, $4,920,942)",Estimación no verificada,https://fbref.com/es/jugadores/e280527c/Marcel-Sabitzer
2013-2014,19,Rapid Wien,atAUT,1.Bundesliga,29,"2,341",7,4,,,,,6.0,473.0,1.0,0.0,35,"2,814",8,4,26,"2,341",26.0,7,4,11,7,0,0,7,0,,,,,,,,0.27,0.15,0.42,0.27,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,24,,,0.92,,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,341",81,72.3,26.0,26,,,3,,,,,,,,,,,,,,7,0,,,,,,,,,,,,,,,"€ 86,538(£ 75,169, $94,844)","€ 4,500,000(£ 3,908,811, $4,931,902)",,https://fbref.com/es/jugadores/e280527c/Marcel-Sabitzer
2014-2015,20,RB Salzburg,atAUT,1.Bundesliga,33,"2,316",19,13,,,,,8.0,517.0,1.0,2.0,41,"2,833",20,15,26,"2,316",25.7,19,13,32,19,0,0,4,1,,,,,,,,0.74,0.51,1.24,0.74,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,41,,,1.59,,0.46,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,316",70,71.5,25.7,26,,12.0,7,,2.0,2.09,77.0,29.0,48.0,1.87,0.99,,,,,,4,1,,,,,,,,,,,,,,,"€ 86,538(£ 75,169, $94,844)","€ 4,500,000(£ 3,908,811, $4,931,902)",,https://fbref.com/es/jugadores/e280527c/Marcel-Sabitzer
2015-2016,21,RB Leipzig,deGER,2.2. Bundesliga,32,"2,771",8,5,2.0,135.0,0.0,0.0,,,,,34,"2,906",8,5,32,"2,771",30.8,8,5,13,8,0,0,4,0,,,,,,,,0.26,0.16,0.42,0.26,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,30,,,0.97,,0.27,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,771",87,90.6,30.8,32,,24.0,0,,0.0,2.0,51.0,27.0,24.0,0.78,1.4,,,,,,4,0,,32.0,,,,,,,,,,,,,"€ 240,385(£ 208,804, $263,456)","€ 12,500,000(£ 10,857,808, $13,699,728)",Estimación no verificada,https://fbref.com/es/jugadores/e280527c/Marcel-Sabitzer
2016-2017,22,RB Leipzig,deGER,1.Bundesliga,32,"2,593",8,4,1.0,116.0,1.0,0.0,,,,,33,"2,709",9,4,31,"2,593",28.8,8,4,12,8,0,0,3,0,,,,,,,,0.28,0.14,0.42,0.28,0.42,,,,,,,25.0,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,78.0,34,43.6,2.71,1.18,0.1,0.24,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,593",81,84.7,28.8,31,,22.0,1,,0.0,2.0,54.0,33.0,21.0,0.73,-0.43,,,,,,3,0,0.0,24.0,40.0,14.0,42.0,33.0,25.0,0.0,0.0,0.0,,,,,"£ 210,000(€ 244,098, $266,912)","£ 10,920,000(€ 12,693,094, $13,879,399)",,https://fbref.com/es/jugadores/e280527c/Marcel-Sabitzer
2017-2018,23,RB Leipzig,deGER,1.Bundesliga,22,"1,790",3,5,2.0,169.0,2.0,0.0,10.0,656.0,0.0,2.0,34,"2,615",5,7,21,"1,790",19.9,3,5,8,3,0,0,4,0,3.8,3.8,3.3,7.1,37.0,112.0,157.0,0.15,0.25,0.4,0.15,0.4,0.19,0.17,0.36,0.19,0.36,38.0,28.0,12.0,20.0,6.0,23.0,49.0,46.9,26.0,23.0,2.0,21.0,24.0,62.0,21.0,1.0,674.0,946.0,71.2,10230.0,3763.0,374.0,456.0,82.0,207.0,291.0,71.1,57.0,120.0,47.5,5,3.3,4.3,1.7,34.0,78.0,29.0,9.0,112.0,946.0,842.0,98.0,26.0,4.0,3.0,65.0,58.0,13.0,3.0,6.0,1.0,674.0,6.0,23.0,24.0,138.0,574.0,484.0,54.0,1183.0,42.0,18.0,42.9,24.0,57.1,611.0,2991.0,1405.0,37.0,27.0,5.0,33.0,35.0,817.0,157.0,3,62.0,23,37.1,3.12,1.16,0.05,0.13,21.5,2.0,0,0,3.8,3.8,0.06,-0.8,-0.8,71.0,3.57,54.0,3.0,2.0,6.0,6.0,0.0,11.0,0.55,7.0,1.0,0.0,2.0,1.0,0.0,"1,790",81,58.5,19.9,21,,18.0,1,,0.0,1.68,29.0,28.0,1.0,0.05,-0.16,31.2,25.3,5.9,0.3,0.35,4,0,0.0,14.0,33.0,4.0,65.0,24.0,28.0,1.0,0.0,0.0,118.0,13.0,15.0,46.4,"€ 144,231(£ 121,850, $154,997)","€ 7,500,000(£ 6,336,218, $8,059,835)",,https://fbref.com/es/jugadores/e280527c/Marcel-Sabitzer
2018-2019,24,RB Leipzig,deGER,1.Bundesliga,30,"2,352",4,3,5.0,478.0,0.0,0.0,5.0,273.0,0.0,1.0,40,"3,103",4,4,26,"2,352",26.1,4,3,7,4,0,0,9,0,5.1,5.1,4.9,10.0,49.0,159.0,187.0,0.15,0.11,0.27,0.15,0.27,0.19,0.19,0.38,0.19,0.38,45.0,28.0,17.0,21.0,7.0,18.0,46.0,39.1,28.0,21.0,2.0,19.0,33.0,78.0,31.0,0.0,834.0,1230.0,67.8,12094.0,4622.0,451.0,569.0,79.3,257.0,361.0,71.2,53.0,128.0,41.4,3,4.9,5.0,-1.9,36.0,116.0,37.0,11.0,159.0,1230.0,1154.0,63.0,12.0,7.0,12.0,64.0,45.0,3.0,0.0,2.0,0.0,834.0,13.0,52.0,43.0,202.0,711.0,621.0,87.0,1518.0,26.0,15.0,57.7,11.0,42.3,733.0,3552.0,1740.0,49.0,45.0,12.0,44.0,44.0,1035.0,187.0,4,63.0,16,25.4,2.41,0.61,0.06,0.25,19.8,9.0,0,0,5.1,5.1,0.08,-1.1,-1.1,83.0,3.18,67.0,2.0,1.0,9.0,3.0,1.0,7.0,0.27,6.0,0.0,0.0,1.0,0.0,0.0,"2,352",78,76.9,26.1,26,88.0,20.0,4,18.0,1.0,2.17,51.0,18.0,33.0,1.26,1.14,51.9,31.1,20.8,0.79,0.23,9,0,0.0,27.0,30.0,5.0,64.0,33.0,28.0,0.0,0.0,1.0,185.0,17.0,28.0,37.8,"€ 144,231(£ 123,978, $163,805)","€ 7,500,000(£ 6,446,880, $8,517,838)",,https://fbref.com/es/jugadores/e280527c/Marcel-Sabitzer
2019-2020,25,RB Leipzig,deGER,1.Bundesliga,32,"2,499",9,7,3.0,244.0,3.0,0.0,9.0,805.0,4.0,3.0,44,"3,548",16,10,30,"2,499",27.8,9,7,16,9,0,0,4,0,7.2,7.2,5.7,12.9,68.0,175.0,169.0,0.32,0.25,0.58,0.32,0.58,0.26,0.21,0.46,0.26,0.46,39.0,25.0,15.0,18.0,6.0,19.0,56.0,33.9,37.0,27.0,4.0,23.0,23.0,62.0,25.0,0.0,1150.0,1549.0,74.2,17788.0,6186.0,592.0,700.0,84.6,347.0,455.0,76.3,112.0,186.0,60.2,7,5.7,5.9,1.3,59.0,131.0,46.0,17.0,175.0,1549.0,1404.0,132.0,31.0,2.0,15.0,107.0,85.0,16.0,1.0,9.0,0.0,1150.0,13.0,37.0,34.0,238.0,952.0,649.0,68.0,1818.0,31.0,16.0,51.6,15.0,48.4,911.0,4435.0,2347.0,68.0,56.0,12.0,36.0,28.0,1274.0,169.0,9,70.0,24,34.3,2.52,0.86,0.13,0.38,21.5,8.0,0,0,7.2,7.2,0.1,1.8,1.8,117.0,4.21,98.0,8.0,1.0,5.0,2.0,3.0,12.0,0.43,10.0,0.0,0.0,1.0,1.0,0.0,"2,499",78,81.7,27.8,30,82.0,21.0,2,24.0,0.0,1.94,73.0,26.0,47.0,1.69,2.17,57.7,29.6,28.1,1.01,0.3,4,0,0.0,20.0,41.0,3.0,107.0,23.0,25.0,0.0,0.0,0.0,217.0,23.0,20.0,53.5,"€ 144,231(£ 123,978, $163,805)","€ 7,500,000(£ 6,446,880, $8,517,838)",,https://fbref.com/es/jugadores/e280527c/Marcel-Sabitzer
