Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,14,Cottbus U17,deGER,Jr.U17 Bundesliga,4.0,286,2.0,,,,,,,,,,4.0,286,2,0,3.0,286,3.2,2.0,,,2.0,0.0,0.0,0.0,0.0,,,,,,,,0.63,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,286,72.0,12.2,3.2,3.0,82.0,2.0,1.0,41.0,0.0,1.75,11.0,5.0,6.0,1.89,2.06,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 1,154(£ 1,002, $1,265)","€ 60,000(£ 52,117, $65,759)",Estimación no verificada,https://fbref.com/es/jugadores/5db45ee5/Maximilian-Beier
2018-2019,15,Hoffenheim U17,deGER,Jr.U17 Bundesliga,26.0,"1,520",18.0,,,,,,,,,,26.0,"1,520",18,0,19.0,"1,520",16.9,18.0,,,18.0,0.0,0.0,0.0,0.0,,,,,,,,1.07,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,520",58.0,65.0,16.9,19.0,70.0,6.0,7.0,27.0,0.0,2.35,56.0,21.0,35.0,2.07,0.1,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 19,231(£ 16,247, $20,666)","€ 1,000,000(£ 844,829, $1,074,645)",Estimación no verificada,https://fbref.com/es/jugadores/5db45ee5/Maximilian-Beier
2018-2019,15,Hoffenheim U19,deGER,Jr.U19 Bundesliga,1.0,19,1.0,,,,,,,,,,1.0,19,1,0,0.0,19,0.2,1.0,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,4.74,,,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,19,19.0,0.8,0.2,0.0,,0.0,1.0,18.0,0.0,3.0,4.0,0.0,4.0,18.95,18.95,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 72,692(£ 62,485, $82,558)","€ 3,780,000(£ 3,249,227, $4,292,991)",Estimación no verificada,https://fbref.com/es/jugadores/5db45ee5/Maximilian-Beier
2019-2020,16,Hoffenheim U19,deGER,Jr.U19 Bundesliga,15.0,"1,343",10.0,,,,,,,,,,15.0,"1,343",10,0,15.0,"1,343",14.9,10.0,,,10.0,0.0,0.0,4.0,0.0,,,,,,,,0.67,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,343",90.0,74.6,14.9,15.0,90.0,13.0,0.0,,0.0,1.8,26.0,23.0,3.0,0.2,-1.77,,,,,,4.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 72,692(£ 62,485, $82,558)","€ 3,780,000(£ 3,249,227, $4,292,991)",Estimación no verificada,https://fbref.com/es/jugadores/5db45ee5/Maximilian-Beier
2019-2020,16,Hoffenheim,deGER,1.Bundesliga,6.0,109,0.0,0.0,,,,,,,,,6.0,109,0,0,0.0,109,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,0.0,1.1,6.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.91,0.03,0.94,0.91,0.94,5.0,2.0,0.0,1.0,4.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,12.0,19.0,63.2,147.0,29.0,5.0,8.0,62.5,5.0,8.0,62.5,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,19.0,16.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,2.0,19.0,22.0,9.0,42.0,2.0,0.0,0.0,2.0,100.0,23.0,195.0,131.0,6.0,3.0,4.0,4.0,4.0,29.0,14.0,0.0,5.0,3.0,60.0,4.13,2.48,0.0,0.0,14.8,0.0,0.0,0.0,1.1,1.1,0.22,-1.1,-1.1,2.0,1.65,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,18.0,3.6,1.2,0.0,,0.0,6.0,18.0,7.0,1.33,2.0,3.0,-1.0,-0.83,-0.86,4.5,1.0,3.6,2.94,3.16,1.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,5.0,28.6,"€ 72,692(£ 62,485, $82,558)","€ 3,780,000(£ 3,249,227, $4,292,991)",Estimación no verificada,https://fbref.com/es/jugadores/5db45ee5/Maximilian-Beier
2020-2021,17,Hoffenheim,deGER,1.Bundesliga,3.0,10,0.0,0.0,,,,,2.0,134.0,2.0,1.0,5.0,144,2,1,0.0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.0,0.3,0.1,0.0,,0.0,3.0,3.0,8.0,1.33,0.0,1.0,-1.0,-9.0,-8.97,0.0,0.1,-0.1,-1.01,-0.97,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"€ 72,692(£ 62,485, $82,558)","€ 3,780,000(£ 3,249,227, $4,292,991)",Estimación no verificada,https://fbref.com/es/jugadores/5db45ee5/Maximilian-Beier
2021-2022,18,Hoffenheim,deGER,1.Bundesliga,,,,,,,,,,,,,,,0,0,25.0,"2,088",23.2,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,,,,,,,,0.13,0.13,0.26,0.13,0.26,,,,,,,21.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,44.0,20.0,45.5,1.9,0.86,0.07,0.15,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,088",70.0,68.2,23.2,25.0,78.0,9.0,5.0,27.0,0.0,1.37,28.0,29.0,-1.0,-0.04,1.16,,,,,,4.0,0.0,0.0,36.0,27.0,6.0,42.0,12.0,21.0,,,0.0,,,,,"€ 72,692(£ 62,485, $82,558)","€ 3,780,000(£ 3,249,227, $4,292,991)",Estimación no verificada,https://fbref.com/es/jugadores/5db45ee5/Maximilian-Beier
2021-2022,18,Hannover 96,deGER,2.2. Bundesliga,30.0,"2,088",3.0,3.0,3.0,233.0,4.0,1.0,,,,,33.0,"2,321",7,4,25.0,"2,168",24.1,7.0,0.0,7.0,6.0,1.0,2.0,1.0,0.0,,,,,,,,0.29,0.0,0.29,0.25,0.25,,,,,,,12.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,48.0,15.0,31.3,1.99,0.62,0.13,0.4,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,"2,168",66.0,70.8,24.1,25.0,78.0,6.0,8.0,28.0,0.0,1.33,33.0,40.0,-7.0,-0.29,-0.49,,,,,,1.0,0.0,0.0,28.0,29.0,8.0,18.0,10.0,12.0,,,0.0,,,,,,,,
2022-2023,19,Hannover 96,deGER,2.2. Bundesliga,33.0,"2,168",7.0,0.0,2.0,165.0,1.0,0.0,,,,,35.0,"2,333",8,0,29.0,"2,420",26.9,16.0,1.0,17.0,16.0,0.0,0.0,0.0,0.0,11.4,11.4,2.4,13.8,61.0,30.0,224.0,0.6,0.04,0.63,0.6,0.63,0.43,0.09,0.51,0.43,0.51,20.0,12.0,5.0,11.0,4.0,4.0,19.0,21.1,15.0,21.0,1.0,20.0,9.0,29.0,12.0,0.0,384.0,550.0,69.8,4753.0,790.0,241.0,299.0,80.6,101.0,152.0,66.4,7.0,17.0,41.2,1.0,2.4,3.0,-1.4,24.0,7.0,27.0,9.0,30.0,550.0,498.0,50.0,0.0,4.0,1.0,38.0,8.0,1.0,1.0,0.0,0.0,384.0,2.0,26.0,14.0,61.0,315.0,505.0,145.0,872.0,87.0,33.0,37.9,45.0,51.7,547.0,2949.0,1373.0,61.0,32.0,36.0,79.0,32.0,628.0,224.0,16.0,82.0,39.0,47.6,3.05,1.45,0.2,0.41,15.4,0.0,0.0,0.0,11.4,11.4,0.14,4.6,4.6,76.0,2.83,47.0,0.0,11.0,7.0,11.0,0.0,10.0,0.37,2.0,0.0,3.0,3.0,2.0,0.0,"2,420",73.0,79.1,26.9,29.0,81.0,9.0,4.0,19.0,0.0,1.3,51.0,51.0,0.0,0.0,0.0,43.2,45.2,-2.0,-0.07,0.65,0.0,0.0,0.0,21.0,32.0,13.0,38.0,9.0,12.0,2.0,0.0,0.0,62.0,20.0,40.0,33.3,,,,
2023-2024,20,Hoffenheim,deGER,1.Bundesliga,33.0,"2,420",16.0,1.0,2.0,101.0,0.0,0.0,,,,,35.0,"2,521",16,1,17.0,"1,591",17.7,8.0,5.0,13.0,8.0,0.0,0.0,2.0,0.0,7.7,7.7,3.3,11.0,24.0,33.0,124.0,0.45,0.28,0.74,0.45,0.74,0.44,0.19,0.62,0.44,0.62,25.0,16.0,8.0,11.0,6.0,12.0,31.0,38.7,19.0,15.0,1.0,14.0,7.0,32.0,14.0,1.0,291.0,413.0,70.5,3569.0,852.0,187.0,240.0,77.9,70.0,100.0,70.0,5.0,9.0,55.6,5.0,3.3,2.5,1.7,24.0,13.0,14.0,3.0,33.0,413.0,396.0,13.0,0.0,1.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,291.0,4.0,22.0,16.0,73.0,245.0,308.0,88.0,618.0,51.0,22.0,43.1,27.0,52.9,338.0,1481.0,748.0,24.0,12.0,9.0,39.0,26.0,423.0,124.0,8.0,42.0,13.0,31.0,2.38,0.74,0.19,0.62,12.6,0.0,0.0,0.0,7.7,7.7,0.18,0.3,0.3,55.0,3.11,38.0,0.0,6.0,4.0,3.0,4.0,7.0,0.4,5.0,0.0,1.0,1.0,0.0,0.0,"1,591",55.0,57.0,17.7,17.0,75.0,6.0,12.0,27.0,1.0,1.55,38.0,24.0,14.0,0.79,1.02,31.2,22.0,9.3,0.52,0.02,2.0,0.0,0.0,17.0,16.0,9.0,16.0,7.0,16.0,0.0,0.0,0.0,49.0,23.0,20.0,53.5,,,,
