Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Arthur Theate,beBEL,DF,24-339,28,28,"2,434",27.0,0,0,0,0,0,0,5,1,2.3,2.3,0.7,3.1,43,142,23,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11,Partidos,39.0,1.44,27.0,1.0,0.0,6.0,3.0,2.0,7.0,0.26,6.0,0.0,0.0,1.0,0.0,0.0,33.0,23.0,17.0,15.0,1.0,19.0,40.0,47.5,21.0,40.0,19.0,21.0,35.0,68.0,149.0,3.0,1376.0,1641.0,83.9,24817.0,9626.0,575.0,614.0,93.6,648.0,737.0,87.9,131.0,239.0,54.8,1.3,-0.7,10.0,154.0,19.0,4.0,1505.0,131.0,32.0,6.0,12.0,17.0,71.0,0.0,0.0,0.0,0.0,5.0,8.0,23.5,1.26,0.3,0.0,0.0,19.1,0.07,-2.3,-2.3,1966.0,29.0,9.0,81.8,2.0,18.2,1177.0,1.0,18.0,7.0,1277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,87.2,87,23,0,,0,1.75,51,35,+16,+0.59,-0.42,49.9,39.4,+10.5,+0.39,-0.76,1.0,12.0,17.0,23.0,0.0,0.0,112.0,52.4,/es/jugadores/df8d6029/Arthur-Theate
Hugo Ekitike,frFRA,DL,22-313,30,28,"2,296",25.5,15,6,21,14,1,3,1,0,20.2,17.9,6.2,24.1,87,49,199,0.59,0.24,0.82,0.55,0.78,0.79,0.24,1.03,0.70,0.94,Partidos,94.0,3.69,58.0,0.0,14.0,18.0,4.0,0.0,11.0,0.43,8.0,0.0,2.0,0.0,1.0,0.0,15.0,11.0,3.0,7.0,5.0,4.0,11.0,36.4,7.0,13.0,1.0,12.0,7.0,22.0,23.0,0.0,453.0,598.0,75.8,5985.0,1140.0,294.0,355.0,82.8,105.0,138.0,76.1,21.0,34.0,61.8,5.1,-0.2,41.0,23.0,29.0,4.0,546.0,51.0,2.0,5.0,5.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,39.0,37.9,4.04,1.53,0.14,0.36,15.3,0.17,-5.2,-3.9,971.0,184.0,48.0,44.0,56.0,51.4,585.0,48.0,87.0,28.0,716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,82.3,80,8,2,25,0,1.73,48,32,+16,+0.63,-0.10,50.4,37.5,+13.0,+0.51,+0.13,0.0,32.0,14.0,11.0,1.0,0.0,80.0,44.2,/es/jugadores/5b92d896/Hugo-Ekitike
Robin Koch,deGER,DF,28-286,27,27,"2,316",25.7,3,0,3,3,0,0,3,0,1.7,1.7,0.1,1.9,8,80,3,0.12,0.00,0.12,0.12,0.12,0.07,0.01,0.07,0.07,0.07,Partidos,18.0,0.7,15.0,0.0,0.0,3.0,0.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,13.0,7.0,2.0,10.0,22.0,45.5,12.0,37.0,23.0,14.0,22.0,44.0,160.0,4.0,1454.0,1607.0,90.5,26906.0,9296.0,523.0,549.0,95.3,801.0,846.0,94.7,118.0,176.0,67.0,0.4,-0.1,5.0,81.0,4.0,0.0,1512.0,93.0,41.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,40.0,0.58,0.23,0.2,0.5,17.6,0.12,1.3,1.3,1910.0,27.0,1.0,33.3,2.0,66.7,1107.0,0.0,11.0,3.0,1241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,83.0,86,24,0,,0,1.89,56,33,+23,+0.89,+1.46,51.9,36.7,+15.2,+0.59,+0.61,0.0,21.0,8.0,10.0,0.0,1.0,103.0,66.2,/es/jugadores/ea6bc03a/Robin-Koch
Rasmus Kristensen,dkDEN,DF,27-292,27,25,"2,243",24.9,2,2,4,2,0,0,2,0,1.1,1.1,2.4,3.5,47,155,136,0.08,0.08,0.16,0.08,0.16,0.04,0.10,0.14,0.04,0.14,Partidos,53.0,2.13,42.0,3.0,2.0,4.0,2.0,0.0,7.0,0.28,4.0,0.0,1.0,2.0,0.0,0.0,55.0,30.0,35.0,15.0,5.0,38.0,64.0,59.4,26.0,45.0,13.0,32.0,19.0,74.0,80.0,1.0,1144.0,1468.0,77.9,18830.0,7679.0,596.0,660.0,90.3,447.0,568.0,78.7,84.0,166.0,50.6,4.5,-0.4,17.0,127.0,31.0,8.0,1273.0,189.0,14.0,2.0,7.0,54.0,175.0,0.0,0.0,0.0,0.0,6.0,5.0,27.8,0.72,0.2,0.11,0.4,13.4,0.06,0.9,0.9,1753.0,54.0,21.0,53.8,15.0,38.5,986.0,7.0,34.0,14.0,1093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,80.4,86,21,2,52,0,1.59,44,36,+8,+0.32,-1.65,48.2,37.7,+10.5,+0.42,-0.34,0.0,21.0,11.0,30.0,0.0,0.0,109.0,59.0,/es/jugadores/39769cff/Rasmus-Kristensen
Hugo Larsson,seSWE,CC,20-306,30,25,"2,123",23.6,3,0,3,3,0,0,2,0,3.0,3.0,1.5,4.5,15,111,33,0.13,0.00,0.13,0.13,0.13,0.13,0.06,0.19,0.13,0.19,Partidos,55.0,2.33,47.0,0.0,1.0,5.0,1.0,1.0,3.0,0.13,1.0,0.0,0.0,2.0,0.0,0.0,42.0,25.0,16.0,21.0,5.0,18.0,37.0,48.6,19.0,38.0,10.0,28.0,25.0,67.0,28.0,1.0,1002.0,1145.0,87.5,15568.0,4600.0,516.0,561.0,92.0,396.0,436.0,90.8,56.0,88.0,63.6,1.6,-1.5,20.0,82.0,19.0,3.0,1118.0,23.0,20.0,1.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,4.0,9.0,47.4,0.81,0.38,0.16,0.33,16.1,0.16,0.0,0.0,1346.0,23.0,9.0,56.3,7.0,43.8,742.0,3.0,20.0,10.0,940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,76.1,80,10,5,26,0,1.80,44,29,+15,+0.64,-0.04,43.3,34.5,+8.8,+0.37,-0.48,0.0,20.0,5.0,25.0,0.0,1.0,108.0,54.2,/es/jugadores/00c9a283/Hugo-Larsson
Tuta,brBRA,"DF,CC",25-299,28,24,"2,124",23.6,2,1,3,2,0,0,8,0,1.1,1.1,0.3,1.4,10,72,9,0.08,0.04,0.13,0.08,0.13,0.05,0.01,0.06,0.05,0.06,Partidos,26.0,1.1,23.0,1.0,0.0,2.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,42.0,25.0,24.0,16.0,2.0,26.0,38.0,68.4,12.0,39.0,19.0,20.0,40.0,82.0,123.0,1.0,1186.0,1341.0,88.4,20741.0,7631.0,503.0,536.0,93.8,586.0,618.0,94.8,77.0,143.0,53.8,0.6,0.7,3.0,71.0,10.0,0.0,1284.0,53.0,36.0,4.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,4.0,5.0,38.5,0.55,0.21,0.15,0.4,12.1,0.08,0.9,0.9,1654.0,23.0,13.0,76.5,4.0,23.5,944.0,2.0,22.0,7.0,1053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,76.1,86,18,4,16,0,1.96,52,31,+21,+0.89,+1.02,46.0,33.7,+12.3,+0.52,+0.15,0.0,30.0,7.0,25.0,0.0,0.0,114.0,48.7,/es/jugadores/35d64857/Tuta
Kevin Trapp,deGER,PO,34-295,23,23,"2,025",22.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,621.0,837.0,74.2,13689.0,9513.0,201.0,201.0,100.0,294.0,300.0,98.0,122.0,326.0,37.4,0.0,0.0,0.0,5.0,0.0,0.0,670.0,163.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,,,,,0.0,0.0,888.0,0.0,0.0,,0.0,,578.0,0.0,1.0,0.0,497.0,30.0,1.33,111.0,80.0,73.0,11.0,6.0,6.0,6.0,26.1,0.0,0.0,0.0,0.0,100.0,0.0,6.0,32.0,0.29,3.0,0.13,714.0,111.0,29.7,28.9,38.7,35.6,349.0,19.0,5.4,19.0,0.84,12.9,88,72.6,88,22,0,,0,1.70,44,30,+14,+0.62,-0.08,39.7,33.4,+6.3,+0.28,-0.75,0.0,0.0,1.0,0.0,0.0,0.0,42.0,57.1,/es/jugadores/ce17b5eb/Kevin-Trapp
Ellyes Skhiri,tnTUN,CC,29-354,27,23,"1,991",22.1,0,2,2,0,0,0,6,0,0.8,0.8,1.3,2.1,17,99,25,0.00,0.09,0.09,0.00,0.09,0.04,0.06,0.09,0.04,0.09,Partidos,45.0,2.03,38.0,0.0,0.0,2.0,1.0,4.0,5.0,0.23,3.0,0.0,0.0,1.0,0.0,1.0,35.0,22.0,11.0,20.0,4.0,17.0,41.0,41.5,24.0,29.0,6.0,23.0,29.0,64.0,40.0,4.0,1057.0,1194.0,88.5,16091.0,4624.0,572.0,613.0,93.3,394.0,440.0,89.5,54.0,80.0,67.5,1.9,0.7,20.0,77.0,17.0,0.0,1159.0,31.0,28.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,8.3,0.54,0.05,0.0,0.0,18.1,0.07,-0.8,-0.8,1411.0,18.0,11.0,78.6,2.0,14.3,758.0,2.0,24.0,6.0,966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,71.4,83,17,4,18,2,1.89,45,28,+17,+0.77,+0.43,42.5,31.3,+11.2,+0.51,+0.07,0.0,21.0,19.0,22.0,0.0,0.0,97.0,51.6,/es/jugadores/c2211709/Ellyes-Skhiri
Nathaniel Brown,deGER,"DF,CC",21-317,23,19,"1,683",18.7,3,6,9,3,0,0,1,0,2.2,2.2,4.6,6.8,40,58,104,0.16,0.32,0.48,0.16,0.48,0.12,0.25,0.36,0.12,0.36,Partidos,60.0,3.21,40.0,16.0,0.0,2.0,2.0,0.0,11.0,0.59,7.0,3.0,0.0,1.0,0.0,0.0,59.0,38.0,31.0,15.0,13.0,39.0,49.0,79.6,10.0,29.0,0.0,29.0,13.0,72.0,54.0,1.0,675.0,829.0,81.4,9959.0,2963.0,394.0,418.0,94.3,210.0,252.0,83.3,43.0,86.0,50.0,4.5,1.4,36.0,31.0,21.0,7.0,653.0,170.0,19.0,2.0,3.0,85.0,109.0,42.0,37.0,1.0,0.0,6.0,5.0,38.5,0.7,0.27,0.23,0.6,15.4,0.17,0.8,0.8,1071.0,47.0,10.0,33.3,17.0,56.7,553.0,6.0,25.0,9.0,601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,60.3,83,10,4,26,2,1.78,39,23,+16,+0.86,+0.53,36.6,21.4,+15.2,+0.82,+0.83,0.0,12.0,21.0,38.0,0.0,0.0,75.0,26.3,/es/jugadores/abc79c47/Nathaniel-Brown
Mario Götze,deGER,"CC,DL",32-330,24,18,"1,542",17.1,3,2,5,3,0,0,1,0,2.9,2.9,3.1,6.0,29,88,96,0.18,0.12,0.29,0.18,0.29,0.17,0.18,0.35,0.17,0.35,Partidos,58.0,3.39,54.0,3.0,0.0,0.0,1.0,0.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,41.0,28.0,18.0,20.0,3.0,15.0,36.0,41.7,21.0,15.0,1.0,14.0,7.0,48.0,8.0,0.0,656.0,846.0,77.5,9147.0,2783.0,404.0,454.0,89.0,188.0,243.0,77.4,32.0,72.0,44.4,1.9,-1.1,34.0,56.0,19.0,1.0,807.0,36.0,13.0,3.0,2.0,39.0,6.0,17.0,12.0,2.0,0.0,3.0,5.0,62.5,0.47,0.29,0.38,0.6,10.1,0.37,0.1,0.1,986.0,43.0,9.0,39.1,12.0,52.2,617.0,6.0,26.0,27.0,706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,55.3,77,4,6,26,4,1.83,30,19,+11,+0.64,-0.01,32.3,21.8,+10.4,+0.61,+0.28,0.0,15.0,15.0,28.0,0.0,0.0,104.0,23.1,/es/jugadores/9efa1d25/Mario-Gotze
Omar Marmoush,egEGY,DL,26-081,17,17,"1,448",16.1,15,9,24,13,2,2,2,0,8.8,7.3,6.2,13.5,73,50,125,0.93,0.56,1.49,0.81,1.37,0.55,0.39,0.94,0.45,0.84,Partidos,91.0,5.66,39.0,20.0,13.0,9.0,9.0,1.0,21.0,1.31,7.0,3.0,6.0,3.0,2.0,0.0,12.0,8.0,0.0,3.0,9.0,3.0,7.0,42.9,4.0,7.0,1.0,6.0,2.0,14.0,2.0,0.0,300.0,430.0,69.8,4868.0,1774.0,159.0,193.0,82.4,87.0,121.0,71.9,39.0,83.0,47.0,4.1,2.8,34.0,30.0,22.0,1.0,332.0,95.0,29.0,5.0,2.0,78.0,6.0,50.0,22.0,24.0,0.0,3.0,34.0,45.3,4.66,2.11,0.17,0.38,18.1,0.1,6.2,5.7,671.0,109.0,46.0,45.5,46.0,45.5,442.0,45.0,66.0,37.0,483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,51.9,85,10,0,,0,1.94,40,22,+18,+1.12,+0.98,31.8,23.8,+8.0,+0.50,+0.03,0.0,8.0,55.0,8.0,1.0,0.0,51.0,33.3,/es/jugadores/0e0102eb/Omar-Marmoush
Ansgar Knauff,deGER,"CC,DF",23-109,27,15,"1,358",15.1,3,5,8,3,0,0,2,0,4.3,4.3,4.7,9.0,50,52,128,0.20,0.33,0.53,0.20,0.53,0.28,0.31,0.60,0.28,0.60,Partidos,55.0,3.65,33.0,0.0,11.0,4.0,5.0,2.0,9.0,0.6,5.0,0.0,2.0,1.0,0.0,1.0,38.0,20.0,17.0,14.0,7.0,12.0,25.0,48.0,13.0,22.0,4.0,18.0,12.0,50.0,20.0,0.0,316.0,483.0,65.4,4400.0,1584.0,193.0,254.0,76.0,97.0,159.0,61.0,11.0,31.0,35.5,3.9,0.3,24.0,14.0,21.0,5.0,458.0,24.0,1.0,4.0,0.0,30.0,23.0,0.0,0.0,0.0,0.0,1.0,8.0,30.8,1.72,0.53,0.12,0.38,15.5,0.16,-1.3,-1.3,683.0,65.0,25.0,47.2,24.0,45.3,389.0,19.0,38.0,14.0,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,48.7,71,1,12,25,1,1.81,30,23,+7,+0.46,-0.35,29.7,23.3,+6.5,+0.43,-0.11,0.0,19.0,20.0,20.0,0.0,0.0,64.0,50.0,/es/jugadores/19a967ab/Ansgar-Knauff
Nnamdi Collins,deGER,DF,21-109,22,14,"1,387",15.4,1,1,2,1,0,0,3,0,0.8,0.8,1.0,1.8,30,59,42,0.06,0.06,0.13,0.06,0.13,0.05,0.06,0.11,0.05,0.11,Partidos,9.0,0.58,7.0,0.0,2.0,0.0,0.0,0.0,3.0,0.19,1.0,0.0,2.0,0.0,0.0,0.0,29.0,20.0,20.0,7.0,2.0,15.0,20.0,75.0,5.0,22.0,11.0,11.0,14.0,43.0,66.0,3.0,721.0,831.0,86.8,11638.0,3416.0,335.0,357.0,93.8,334.0,373.0,89.5,35.0,69.0,50.7,1.2,0.0,2.0,47.0,11.0,1.0,761.0,70.0,13.0,0.0,2.0,16.0,57.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.32,0.13,0.2,0.5,15.1,0.16,0.2,0.2,1032.0,19.0,12.0,36.4,17.0,51.5,587.0,6.0,16.0,11.0,651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,49.7,84,10,8,27,6,1.95,33,17,+16,+1.04,+0.78,32.0,21.1,+10.9,+0.71,+0.44,0.0,23.0,20.0,20.0,0.0,0.0,72.0,47.8,/es/jugadores/8eb5c94c/Nnamdi-Collins
Fares Chaïbi,dzALG,"DL,CC",22-152,23,9,908,10.1,1,1,2,1,0,0,2,0,2.4,2.4,2.0,4.4,14,48,66,0.10,0.10,0.20,0.10,0.20,0.24,0.20,0.44,0.24,0.44,Partidos,44.0,4.35,29.0,8.0,0.0,5.0,1.0,1.0,5.0,0.49,4.0,1.0,0.0,0.0,0.0,0.0,13.0,9.0,4.0,5.0,4.0,7.0,18.0,38.9,11.0,10.0,0.0,10.0,10.0,23.0,31.0,1.0,269.0,406.0,66.3,4530.0,1547.0,138.0,168.0,82.1,92.0,123.0,74.8,28.0,85.0,32.9,2.6,-1.0,21.0,27.0,15.0,5.0,346.0,56.0,15.0,4.0,4.0,61.0,6.0,35.0,16.0,16.0,0.0,4.0,6.0,26.1,2.28,0.59,0.04,0.17,18.3,0.1,-1.4,-1.4,522.0,32.0,5.0,62.5,2.0,25.0,263.0,4.0,17.0,6.0,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,32.5,71,1,14,19,4,1.78,18,21,-3,-0.30,-1.40,22.2,15.7,+6.5,+0.64,+0.22,0.0,4.0,4.0,9.0,0.0,0.0,28.0,38.2,/es/jugadores/357103bd/Fares-Chaibi
Jean Mattéo Bahoya,frFRA,"CC,DL",19-357,22,8,803,8.9,2,3,5,2,0,0,3,0,1.8,1.8,1.7,3.6,23,27,85,0.22,0.34,0.56,0.22,0.56,0.21,0.19,0.40,0.21,0.40,Partidos,36.0,4.03,28.0,3.0,1.0,1.0,2.0,1.0,6.0,0.67,3.0,0.0,1.0,0.0,2.0,0.0,27.0,16.0,10.0,12.0,5.0,15.0,25.0,60.0,10.0,8.0,1.0,7.0,4.0,31.0,9.0,1.0,236.0,314.0,75.2,3377.0,1119.0,124.0,149.0,83.2,79.0,102.0,77.5,15.0,26.0,57.7,2.3,1.3,18.0,15.0,10.0,4.0,297.0,17.0,5.0,1.0,1.0,28.0,5.0,6.0,3.0,0.0,0.0,0.0,3.0,33.3,1.01,0.34,0.22,0.67,16.2,0.2,0.2,0.2,422.0,32.0,17.0,56.7,12.0,40.0,249.0,10.0,15.0,17.0,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,28.8,68,0,14,18,4,1.59,21,9,+12,+1.34,+0.98,17.8,12.8,+5.1,+0.57,+0.11,0.0,8.0,6.0,16.0,0.0,0.0,45.0,66.7,/es/jugadores/70d4c949/Jean-Matteo-Bahoya
,Tiempo Jugado,Rendimiento,Expectativa,Progresión,Por 90 Minutos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,,,,,,,,,
