Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2009-2010,17,Dortmund,deGER,1.Bundesliga,5,47,0,0,,,,,,,,,5,47,0,0,0,47,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,47,9,1.5,0.5,0,,,5,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,"€ 126,346(£ 109,747, $138,473)","€ 6,570,000(£ 5,706,864, $7,200,577)",Estimación no verificada,https://fbref.com/es/jugadores/9efa1d25/Mario-Gotze
2010-2011,18,Dortmund,deGER,1.Bundesliga,33,"2,530",6,11,,,,,4.0,311.0,2.0,0.0,37,"2,841",8,11,29,"2,530",28.1,6,11,17,6,0,0,1,0,,,,,,,,0.21,0.39,0.6,0.21,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,22,,,0.78,,0.27,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,530",77,82.7,28.1,29,,14.0,4,,,,,,,,,,,,,,1,0,,52,,,,,,,,,,,,,"€ 190,000(£ 165,039, $208,236)","€ 9,880,000(£ 8,582,011, $10,828,265)",Estimación no verificada,https://fbref.com/es/jugadores/9efa1d25/Mario-Gotze
2011-2012,19,Dortmund,deGER,1.Bundesliga,17,"1,177",6,3,,,,,6.0,403.0,0.0,2.0,23,"1,580",6,5,14,"1,177",13.1,6,3,9,6,0,0,2,1,,,,,,,,0.46,0.23,0.69,0.46,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,14,,,1.07,,0.43,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,177",69,38.5,13.1,14,,4.0,3,,,,,,,,,,,,,,2,1,,20,,,,,,,,,,,,,"€ 182,500(£ 158,524, $200,016)","€ 9,490,000(£ 8,243,248, $10,400,833)",Estimación no verificada,https://fbref.com/es/jugadores/9efa1d25/Mario-Gotze
2012-2013,20,Dortmund,deGER,1.Bundesliga,28,"2,017",10,10,,,,,11.0,887.0,2.0,5.0,39,"2,904",12,15,23,"2,017",22.4,10,10,20,9,1,1,4,0,,,,,,,,0.45,0.45,0.89,0.4,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,22,,,0.98,,0.41,,,1,1,,,,,,,,,,,,,,,,,,,,,,"2,017",72,65.9,22.4,23,,8.0,5,,,,,,,,,,,,,,4,0,,36,,,,,,,,,,,,,"€ 147,308(£ 127,955, $161,446)","€ 7,660,000(£ 6,653,665, $8,395,193)",Estimación no verificada,https://fbref.com/es/jugadores/9efa1d25/Mario-Gotze
2013-2014,21,Bayern Munich,deGER,1.Bundesliga,27,"1,818",10,8,,,,,11.0,528.0,3.0,1.0,38,"2,346",13,9,20,"1,818",20.2,10,8,18,10,0,0,0,0,,,,,,,,0.5,0.4,0.89,0.5,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,24,,,1.19,,0.42,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,818",67,59.4,20.2,20,,9.0,7,,,,,,,,,,,,,,0,0,,14,,,,,,,,,,,,,"€ 189,808(£ 164,872, $208,025)","€ 9,870,000(£ 8,573,325, $10,817,305)",Estimación no verificada,https://fbref.com/es/jugadores/9efa1d25/Mario-Gotze
2014-2015,22,Bayern Munich,deGER,1.Bundesliga,32,"2,239",9,2,5.0,369.0,2.0,0.0,11.0,747.0,4.0,1.0,48,"3,355",15,3,28,"2,239",24.9,9,2,11,9,0,0,1,0,,,,,,,,0.36,0.08,0.44,0.36,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,26,,,1.05,,0.35,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,239",70,73.2,24.9,28,,14.0,4,,2.0,2.28,52.0,12.0,40.0,1.61,-0.8,,,,,,1,0,,34,,,,,,,,,,,,,"€ 191,731(£ 166,542, $210,133)","€ 9,970,000(£ 8,660,187, $10,926,903)",Estimación no verificada,https://fbref.com/es/jugadores/9efa1d25/Mario-Gotze
2015-2016,23,Bayern Munich,deGER,1.Bundesliga,14,957,3,4,3.0,186.0,1.0,0.0,4.0,106.0,2.0,0.0,21,"1,249",6,4,11,957,10.6,3,4,7,3,0,0,1,0,,,,,,,,0.28,0.38,0.66,0.28,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,13,,,1.22,,0.23,,,0,0,,,,,,,,,,,,,,,,,,,,,,957,68,31.3,10.6,11,,7.0,3,,6.0,2.86,32.0,5.0,27.0,2.54,1.0,,,,,,1,0,,22,,,,,,,,,,,,,"€ 192,308(£ 167,043, $210,765)","€ 10,000,000(£ 8,686,246, $10,959,782)",,https://fbref.com/es/jugadores/9efa1d25/Mario-Gotze
2016-2017,24,Dortmund,deGER,1.Bundesliga,11,760,1,2,1.0,120.0,0.0,0.0,4.0,292.0,1.0,1.0,16,"1,172",2,3,9,760,8.4,1,2,3,1,0,0,1,0,,,,,,,,0.12,0.24,0.36,0.12,0.36,,,,,,,8.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.0,5,83.3,0.71,0.59,0.17,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,760,69,24.8,8.4,9,,4.0,2,,6.0,1.36,13.0,9.0,4.0,0.47,-0.62,,,,,,1,0,0.0,11,17.0,2.0,23.0,13.0,8.0,0.0,0.0,0.0,,,,,"€ 67,308(£ 57,906, $73,598)","€ 3,500,000(£ 3,011,086, $3,827,112)",,https://fbref.com/es/jugadores/9efa1d25/Mario-Gotze
2017-2018,25,Dortmund,deGER,1.Bundesliga,23,"1,601",2,3,,,,,9.0,596.0,0.0,3.0,32,"2,197",2,6,19,"1,601",17.8,2,3,5,2,0,0,1,0,2.3,2.3,6.0,8.3,44.0,125.0,142.0,0.11,0.17,0.28,0.11,0.28,0.13,0.34,0.47,0.13,0.47,50.0,43.0,19.0,24.0,7.0,14.0,34.0,41.2,20.0,17.0,1.0,16.0,8.0,58.0,9.0,0.0,818.0,1034.0,79.1,11496.0,3342.0,481.0,553.0,87.0,243.0,302.0,80.5,40.0,82.0,48.8,3,6.0,5.2,-3.0,40.0,76.0,44.0,6.0,125.0,1034.0,976.0,50.0,14.0,6.0,6.0,42.0,12.0,22.0,5.0,10.0,2.0,818.0,8.0,28.0,9.0,112.0,598.0,500.0,55.0,1200.0,42.0,16.0,38.1,26.0,61.9,674.0,3566.0,1626.0,44.0,45.0,21.0,32.0,31.0,927.0,142.0,2,23.0,7,30.4,1.29,0.39,0.09,0.29,18.6,0.0,0,0,2.3,2.3,0.1,-0.3,-0.3,77.0,4.33,61.0,10.0,1.0,3.0,2.0,0.0,6.0,0.34,6.0,0.0,0.0,0.0,0.0,0.0,"1,601",70,52.3,17.8,19,,9.0,4,,3.0,1.3,35.0,26.0,9.0,0.51,0.01,35.7,23.9,11.8,0.66,-0.07,1,0,0.0,25,29.0,5.0,42.0,8.0,43.0,0.0,0.0,0.0,78.0,9.0,11.0,45.0,"€ 67,308(£ 56,864, $72,332)","€ 3,500,000(£ 2,956,902, $3,761,256)",,https://fbref.com/es/jugadores/9efa1d25/Mario-Gotze
2018-2019,26,Dortmund,deGER,1.Bundesliga,26,"1,674",7,7,2.0,153.0,0.0,0.0,6.0,437.0,0.0,0.0,34,"2,264",7,7,19,"1,674",18.6,7,7,14,7,0,0,0,0,4.7,4.7,6.2,10.9,54.0,80.0,182.0,0.38,0.38,0.75,0.38,0.75,0.25,0.33,0.59,0.25,0.59,26.0,19.0,6.0,11.0,9.0,4.0,25.0,16.0,21.0,10.0,0.0,10.0,8.0,34.0,4.0,1.0,720.0,903.0,79.7,8621.0,2054.0,515.0,588.0,87.6,119.0,165.0,72.1,27.0,36.0,75.0,7,6.2,5.1,0.8,40.0,49.0,26.0,6.0,80.0,903.0,870.0,30.0,3.0,9.0,1.0,27.0,8.0,0.0,0.0,0.0,0.0,720.0,3.0,32.0,8.0,67.0,465.0,574.0,82.0,1095.0,52.0,26.0,50.0,26.0,50.0,682.0,3131.0,1518.0,54.0,38.0,11.0,45.0,41.0,884.0,182.0,7,28.0,16,57.1,1.51,0.86,0.25,0.44,14.7,0.0,0,0,4.7,4.7,0.17,2.3,2.3,72.0,3.87,60.0,1.0,3.0,3.0,5.0,0.0,8.0,0.43,8.0,0.0,0.0,0.0,0.0,0.0,"1,674",64,54.7,18.6,19,81.0,6.0,7,19.0,3.0,2.15,38.0,23.0,15.0,0.81,-0.62,35.1,21.6,13.5,0.73,0.21,0,0,0.0,20,26.0,12.0,27.0,8.0,19.0,0.0,0.0,0.0,72.0,8.0,31.0,20.5,"€ 67,308(£ 57,857, $76,442)","€ 3,500,000(£ 3,008,544, $3,974,991)",,https://fbref.com/es/jugadores/9efa1d25/Mario-Gotze
