Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2008-2009,17,Dinamo Zagreb,hrCRO,1.1. HNL,1,23,0,0,,,,,,,,,1,23,0,0,0,23,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,23,23,0.8,0.3,0,,,1,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"£ 35,000(€ 40,290, $44,163)","£ 1,820,000(€ 2,095,064, $2,296,484)",Estimación no verificada,https://fbref.com/es/jugadores/603cb947/Andrej-Kramaric
2009-2010,18,Dinamo Zagreb,hrCRO,1.1. HNL,24,990,7,4,,,,,2.0,9.0,0.0,0.0,26,999,7,4,6,990,11.0,7,4,11,7,0,0,0,0,,,,,,,,0.64,0.36,1.0,0.64,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,13,,,1.18,,0.54,,,0,0,,,,,,,,,,,,,,,,,,,,,,990,41,36.7,11.0,6,,,18,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 38,846(£ 33,743, $42,575)","€ 2,020,000(£ 1,754,622, $2,213,876)",Estimación no verificada,https://fbref.com/es/jugadores/603cb947/Andrej-Kramaric
2010-2011,19,Dinamo Zagreb,hrCRO,1.1. HNL,12,326,1,1,,,,,1.0,15.0,0.0,0.0,13,341,1,1,2,326,3.6,1,1,2,1,0,0,0,0,,,,,,,,0.28,0.28,0.55,0.28,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,1.1,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,326,27,12.1,3.6,2,,,10,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 45,769(£ 39,756, $50,162)","€ 2,380,000(£ 2,067,327, $2,608,428)",Estimación no verificada,https://fbref.com/es/jugadores/603cb947/Andrej-Kramaric
2011-2012,20,Dinamo Zagreb,hrCRO,1.1. HNL,1,6,0,0,,,,,,,,,1,6,0,0,0,6,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,6,6,0.2,0.1,0,,,1,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 47,500(£ 41,260, $52,059)","€ 2,470,000(£ 2,145,503, $2,707,066)",Estimación no verificada,https://fbref.com/es/jugadores/603cb947/Andrej-Kramaric
2011-2012,20,Lokomotiva,hrCRO,1.1. HNL,13,"1,129",5,2,,,,,,,,,13,"1,129",5,2,13,"1,129",12.5,5,2,7,4,1,2,0,0,,,,,,,,0.4,0.16,0.56,0.32,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,16,,,1.28,,0.25,,,1,2,,,,,,,,,,,,,,,,,,,,,,"1,129",87,41.8,12.5,13,,,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 57,692(£ 50,113, $63,230)","€ 3,000,000(£ 2,605,874, $3,287,935)",Estimación no verificada,https://fbref.com/es/jugadores/603cb947/Andrej-Kramaric
2012-2013,21,Lokomotiva,hrCRO,1.1. HNL,32,"2,783",15,6,,,,,,,,,32,"2,783",15,6,31,"2,783",30.9,15,6,21,10,5,5,4,0,,,,,,,,0.49,0.19,0.68,0.32,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,41,,,1.33,,0.24,,,5,5,,,,,,,,,,,,,,,,,,,,,,"2,783",87,93.7,30.9,31,,,1,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,"€ 57,692(£ 50,113, $63,230)","€ 3,000,000(£ 2,605,874, $3,287,935)",Estimación no verificada,https://fbref.com/es/jugadores/603cb947/Andrej-Kramaric
2013-2014,22,Dinamo Zagreb,hrCRO,1.1. HNL,4,193,2,0,,,,,,,,,4,193,2,0,2,193,2.1,2,0,2,2,0,0,0,0,,,,,,,,0.93,0.0,0.93,0.93,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,,2.8,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,193,48,6.0,2.1,2,,,2,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 55,769(£ 48,443, $61,122)","€ 2,900,000(£ 2,519,011, $3,178,337)",Estimación no verificada,https://fbref.com/es/jugadores/603cb947/Andrej-Kramaric
2013-2014,22,Rijeka,hrCRO,1.1. HNL,24,"1,750",16,3,,,,,4.0,224.0,1.0,0.0,28,"1,974",17,3,22,"1,750",19.4,16,3,19,14,2,3,3,0,,,,,,,,0.82,0.15,0.98,0.72,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,35,,,1.8,,0.4,,,2,3,,,,,,,,,,,,,,,,,,,,,,"1,750",73,54.0,19.4,22,,,2,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,"€ 55,769(£ 48,443, $61,122)","€ 2,900,000(£ 2,519,011, $3,178,337)",Estimación no verificada,https://fbref.com/es/jugadores/603cb947/Andrej-Kramaric
2014-2015,23,Rijeka,hrCRO,1.1. HNL,18,"1,551",21,2,,,,,6.0,505.0,5.0,1.0,24,"2,056",26,3,18,"1,551",17.2,21,2,23,19,2,2,0,0,,,,,,,,1.22,0.12,1.33,1.1,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,33,,,1.91,,0.58,,,2,2,,,,,,,,,,,,,,,,,,,,,,"1,551",86,47.9,17.2,18,,10.0,0,,1.0,2.33,42.0,15.0,27.0,1.57,0.5,,,,,,0,0,,,,,,,,,,,,,,,"€ 55,769(£ 47,979, $60,981)","€ 2,900,000(£ 2,494,900, $3,171,036)",Estimación no verificada,https://fbref.com/es/jugadores/603cb947/Andrej-Kramaric
2014-2015,23,Leicester City,engENG,1.Premier League,13,577,2,2,2.0,162.0,1.0,0.0,,,,,15,739,3,2,6,577,6.4,2,2,4,2,0,0,0,0,,,,,,,,0.31,0.31,0.62,0.31,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,8,,,1.25,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,577,44,16.9,6.4,6,,2.0,7,,4.0,1.38,6.0,8.0,-2.0,-0.31,-0.09,,,,,,0,0,,29.0,,,,,,,,,,,,,"€ 76,923(£ 64,987, $82,665)","€ 4,000,000(£ 3,379,316, $4,298,579)",Estimación no verificada,https://fbref.com/es/jugadores/603cb947/Andrej-Kramaric
2015-2016,24,Leicester City,engENG,1.Premier League,2,24,0,0,3.0,209.0,1.0,0.0,,,,,5,233,1,0,0,24,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,3.75,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,24,12,0.7,0.3,0,,0.0,2,,7.0,0.0,1.0,2.0,-1.0,-3.75,-4.62,,,,,,0,0,,1.0,,,,,,,,,,,,,"€ 76,923(£ 66,122, $87,362)","€ 4,000,000(£ 3,438,336, $4,542,847)",Estimación no verificada,https://fbref.com/es/jugadores/603cb947/Andrej-Kramaric
2015-2016,24,Hoffenheim,deGER,1.Bundesliga,15,"1,085",5,2,,,,,,,,,15,"1,085",5,2,12,"1,085",12.1,5,2,7,4,1,2,2,1,,,,,,,,0.41,0.17,0.58,0.33,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,24,,,1.99,,0.17,,,1,2,,,,,,,,,,,,,,,,,,,,,,"1,085",72,35.5,12.1,12,,8.0,3,,1.0,1.4,15.0,21.0,-6.0,-0.5,-0.09,,,,,,2,1,1.0,10.0,,,,,,,,,,,,,,,,
2016-2017,25,Hoffenheim,deGER,1.Bundesliga,34,"2,364",15,8,2.0,210.0,3.0,0.0,,,,,36,"2,574",18,8,28,"2,364",26.3,15,8,23,10,5,5,1,0,,,,,,,,0.57,0.3,0.88,0.38,0.69,,,,,,,7.0,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,99.0,36,36.4,3.77,1.37,0.1,0.28,,,5,5,,,,,,,,,,,,,,,,,,,,,,"2,364",70,77.3,26.3,28,,13.0,6,,0.0,1.82,52.0,28.0,24.0,0.91,0.53,,,,,,1,0,0.0,12.0,35.0,17.0,46.0,20.0,7.0,0.0,0.0,0.0,,,,,,,,
2017-2018,26,Hoffenheim,deGER,1.Bundesliga,34,"2,228",13,6,2.0,165.0,0.0,0.0,4.0,360.0,0.0,0.0,40,"2,753",13,6,22,"2,228",24.8,13,6,19,11,2,2,1,0,9.6,8.1,6.0,14.0,81.0,114.0,188.0,0.53,0.24,0.77,0.44,0.69,0.39,0.24,0.63,0.33,0.57,8.0,6.0,4.0,3.0,1.0,3.0,8.0,37.5,5.0,15.0,0.0,15.0,6.0,14.0,7.0,0.0,687.0,945.0,72.7,11446.0,3377.0,328.0,379.0,86.5,234.0,305.0,76.7,81.0,179.0,45.3,6,6.0,7.1,0.0,52.0,70.0,42.0,13.0,114.0,945.0,827.0,111.0,25.0,3.0,8.0,139.0,14.0,63.0,25.0,30.0,0.0,687.0,7.0,29.0,4.0,89.0,509.0,574.0,106.0,1161.0,53.0,20.0,37.7,33.0,62.3,705.0,4747.0,2258.0,81.0,48.0,39.0,32.0,46.0,895.0,188.0,13,81.0,33,40.7,3.27,1.33,0.14,0.33,19.9,8.0,2,2,9.6,8.1,0.11,3.4,2.9,98.0,3.96,63.0,19.0,5.0,7.0,4.0,0.0,12.0,0.48,7.0,2.0,0.0,3.0,0.0,0.0,"2,228",66,72.8,24.8,22,,16.0,12,,0.0,1.62,50.0,38.0,12.0,0.48,-0.16,38.4,36.4,2.0,0.08,-0.06,1,0,0.0,10.0,28.0,12.0,139.0,6.0,6.0,0.0,0.0,0.0,65.0,6.0,18.0,25.0,,,,
2018-2019,27,Hoffenheim,deGER,1.Bundesliga,30,"2,396",17,4,1.0,90.0,0.0,0.0,6.0,481.0,5.0,1.0,37,"2,967",22,5,28,"2,396",26.6,17,4,21,12,5,6,2,0,21.0,16.3,5.7,22.0,129.0,128.0,198.0,0.64,0.15,0.79,0.45,0.6,0.79,0.22,1.0,0.61,0.83,9.0,4.0,1.0,5.0,3.0,4.0,26.0,15.4,22.0,15.0,3.0,12.0,8.0,17.0,13.0,0.0,820.0,1077.0,76.1,12282.0,3175.0,467.0,537.0,87.0,237.0,298.0,79.5,64.0,133.0,48.1,4,5.7,7.6,-1.7,49.0,77.0,43.0,7.0,128.0,1077.0,966.0,106.0,20.0,6.0,8.0,92.0,23.0,55.0,24.0,20.0,0.0,820.0,5.0,31.0,23.0,136.0,541.0,684.0,151.0,1341.0,52.0,28.0,53.8,24.0,46.2,836.0,5935.0,3333.0,129.0,80.0,41.0,44.0,50.0,987.0,198.0,17,104.0,38,36.5,3.91,1.43,0.12,0.32,18.6,8.0,5,6,21.0,16.3,0.16,-4.0,-4.3,130.0,4.88,87.0,13.0,11.0,14.0,5.0,0.0,11.0,0.41,10.0,0.0,0.0,1.0,0.0,0.0,"2,396",80,78.3,26.6,28,83.0,18.0,2,36.0,1.0,1.57,55.0,38.0,17.0,0.64,0.5,59.1,39.2,19.9,0.75,0.28,2,0,0.0,7.0,19.0,10.0,92.0,8.0,4.0,0.0,0.0,0.0,112.0,8.0,20.0,28.6,,,,
2019-2020,28,Hoffenheim,deGER,1.Bundesliga,19,"1,422",12,2,1.0,90.0,0.0,0.0,,,,,20,"1,512",12,2,14,"1,422",15.8,12,2,14,10,2,2,3,0,9.6,8.0,4.0,12.0,54.0,59.0,115.0,0.76,0.13,0.89,0.63,0.76,0.61,0.25,0.86,0.51,0.76,2.0,1.0,1.0,0.0,1.0,1.0,7.0,14.3,6.0,6.0,0.0,6.0,3.0,5.0,4.0,0.0,440.0,549.0,80.1,6721.0,1508.0,215.0,250.0,86.0,161.0,196.0,82.1,29.0,46.0,63.0,2,4.0,2.7,-2.0,28.0,31.0,22.0,3.0,59.0,549.0,510.0,36.0,3.0,1.0,2.0,27.0,7.0,2.0,1.0,1.0,0.0,440.0,3.0,10.0,12.0,71.0,347.0,272.0,66.0,680.0,35.0,23.0,65.7,12.0,34.3,444.0,2907.0,1441.0,54.0,32.0,18.0,32.0,25.0,539.0,115.0,12,41.0,21,51.2,2.59,1.33,0.24,0.48,14.8,3.0,2,2,9.6,8.0,0.21,2.4,2.0,59.0,3.73,35.0,3.0,7.0,7.0,7.0,0.0,10.0,0.63,6.0,0.0,2.0,2.0,0.0,0.0,"1,422",75,46.5,15.8,14,87.0,12.0,5,40.0,1.0,1.58,34.0,26.0,8.0,0.51,0.95,30.3,30.6,-0.3,-0.02,0.15,3,0,0.0,6.0,19.0,8.0,27.0,3.0,1.0,0.0,0.0,0.0,58.0,9.0,19.0,32.1,,,,
2020-2021,29,Hoffenheim,deGER,1.Bundesliga,28,"2,379",20,5,2.0,240.0,3.0,0.0,4.0,140.0,2.0,0.0,34,"2,759",25,5,26,"2,379",26.4,20,5,25,15,5,5,2,0,14.8,10.8,4.2,15.1,88.0,106.0,235.0,0.76,0.19,0.95,0.57,0.76,0.56,0.16,0.72,0.41,0.57,7.0,4.0,4.0,0.0,3.0,3.0,8.0,37.5,5.0,8.0,1.0,7.0,7.0,14.0,5.0,1.0,780.0,1019.0,76.5,12495.0,2621.0,403.0,458.0,88.0,269.0,338.0,79.6,73.0,128.0,57.0,5,4.2,4.9,0.8,40.0,63.0,33.0,13.0,106.0,1019.0,911.0,95.0,20.0,5.0,6.0,92.0,22.0,28.0,6.0,9.0,0.0,780.0,13.0,24.0,11.0,94.0,551.0,632.0,133.0,1262.0,50.0,25.0,50.0,25.0,50.0,839.0,4968.0,2311.0,88.0,51.0,31.0,57.0,38.0,997.0,235.0,20,91.0,39,42.9,3.44,1.48,0.16,0.38,18.4,7.0,5,5,14.8,10.8,0.12,5.2,4.2,96.0,3.63,64.0,10.0,8.0,6.0,7.0,1.0,13.0,0.49,7.0,3.0,1.0,0.0,2.0,0.0,"2,379",85,77.7,26.4,26,88.0,17.0,2,42.0,0.0,1.46,43.0,41.0,2.0,0.08,0.6,39.9,41.0,-1.1,-0.04,-0.02,2,0,0.0,2.0,42.0,9.0,92.0,7.0,4.0,0.0,0.0,0.0,96.0,7.0,18.0,28.0,,,,
2021-2022,30,Hoffenheim,deGER,1.Bundesliga,32,"2,707",6,9,3.0,227.0,2.0,0.0,,,,,35,"2,934",8,9,30,"2,707",30.1,6,9,15,6,0,0,2,0,12.6,12.6,8.0,20.6,96.0,134.0,229.0,0.2,0.3,0.5,0.2,0.5,0.42,0.27,0.68,0.42,0.68,8.0,4.0,1.0,5.0,2.0,7.0,17.0,41.2,10.0,10.0,0.0,10.0,9.0,17.0,7.0,1.0,829.0,1064.0,77.9,12200.0,2869.0,474.0,554.0,85.6,272.0,342.0,79.5,49.0,82.0,59.8,9,8.0,7.4,1.0,41.0,66.0,42.0,10.0,134.0,1064.0,964.0,94.0,13.0,8.0,9.0,62.0,29.0,13.0,2.0,3.0,0.0,829.0,6.0,26.0,10.0,106.0,544.0,703.0,158.0,1338.0,56.0,30.0,53.6,26.0,46.4,857.0,4822.0,2422.0,96.0,58.0,34.0,64.0,37.0,1013.0,229.0,6,93.0,35,37.6,3.09,1.16,0.06,0.17,15.8,6.0,0,0,12.6,12.6,0.14,-6.6,-6.6,98.0,3.26,74.0,5.0,5.0,8.0,6.0,0.0,14.0,0.47,14.0,0.0,0.0,0.0,0.0,0.0,"2,707",85,88.5,30.1,30,89.0,25.0,2,26.0,0.0,1.25,47.0,56.0,-9.0,-0.3,-2.08,48.6,50.7,-2.1,-0.07,-1.54,2,0,0.0,11.0,29.0,9.0,62.0,9.0,4.0,0.0,0.0,0.0,125.0,14.0,23.0,37.8,,,,
2022-2023,31,Hoffenheim,deGER,1.Bundesliga,32,"2,386",12,4,2.0,141.0,0.0,0.0,,,,,34,"2,527",12,4,26,"2,386",26.5,12,4,16,8,4,6,3,0,13.2,8.5,2.2,10.7,49.0,100.0,191.0,0.45,0.15,0.6,0.3,0.45,0.5,0.08,0.58,0.32,0.4,5.0,2.0,2.0,1.0,2.0,1.0,11.0,9.1,10.0,14.0,2.0,12.0,6.0,11.0,13.0,0.0,790.0,998.0,79.2,11993.0,2558.0,449.0,512.0,87.7,234.0,295.0,79.3,65.0,95.0,68.4,4,2.2,2.8,1.8,34.0,83.0,23.0,3.0,100.0,998.0,937.0,54.0,3.0,0.0,12.0,47.0,18.0,6.0,1.0,1.0,0.0,790.0,7.0,25.0,15.0,127.0,637.0,493.0,106.0,1238.0,58.0,28.0,48.3,22.0,37.9,825.0,4203.0,1674.0,49.0,34.0,16.0,61.0,33.0,945.0,191.0,12,57.0,21,36.8,2.15,0.79,0.14,0.38,18.0,4.0,4,6,13.2,8.5,0.15,-1.2,-0.5,89.0,3.35,71.0,3.0,3.0,7.0,5.0,0.0,12.0,0.45,9.0,0.0,0.0,2.0,1.0,0.0,"2,386",75,78.0,26.5,26,83.0,15.0,6,39.0,1.0,1.03,39.0,45.0,-6.0,-0.23,0.17,36.5,39.3,-2.8,-0.11,-0.07,3,0,0.0,9.0,36.0,9.0,47.0,6.0,2.0,0.0,0.0,0.0,119.0,8.0,16.0,33.3,,,,
2023-2024,32,Hoffenheim,deGER,1.Bundesliga,30,"2,199",15,6,1.0,90.0,2.0,0.0,,,,,31,"2,289",17,6,25,"2,199",24.4,15,6,21,10,5,5,4,0,11.1,7.1,7.3,14.5,71.0,119.0,175.0,0.61,0.25,0.86,0.41,0.65,0.45,0.3,0.75,0.29,0.59,11.0,2.0,5.0,4.0,2.0,6.0,13.0,46.2,7.0,14.0,2.0,12.0,10.0,21.0,12.0,2.0,904.0,1139.0,79.4,13884.0,3748.0,494.0,558.0,88.5,305.0,373.0,81.8,72.0,132.0,54.5,6,7.3,7.0,-1.3,78.0,67.0,22.0,3.0,119.0,1139.0,971.0,164.0,44.0,9.0,4.0,113.0,21.0,73.0,27.0,27.0,1.0,904.0,4.0,30.0,29.0,149.0,589.0,640.0,102.0,1361.0,51.0,25.0,49.0,22.0,43.1,812.0,4823.0,2426.0,71.0,49.0,24.0,47.0,27.0,956.0,175.0,15,64.0,29,45.3,2.62,1.19,0.16,0.34,20.1,8.0,5,5,11.1,7.1,0.11,3.9,2.9,135.0,5.53,81.0,39.0,7.0,3.0,4.0,1.0,16.0,0.65,12.0,1.0,2.0,0.0,1.0,0.0,"2,199",73,71.9,24.4,25,83.0,12.0,5,23.0,1.0,1.23,52.0,44.0,8.0,0.33,1.16,39.9,41.5,-1.6,-0.07,0.51,4,0,0.0,8.0,35.0,8.0,113.0,10.0,2.0,1.0,0.0,0.0,113.0,9.0,13.0,40.9,,,,
