Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Andrej Kramarić,hrCRO,"CC,DL",33-314,29,29,"2,507",27.9,11,5,16,8,3,3,3,0,11.2,8.8,3.7,12.6,70,130,185,0.39,0.18,0.57,0.29,0.47,0.40,0.13,0.54,0.32,0.45,Partidos,90,3.23,69,11,2,6,2,0,11,0.39,9,0,0,1,1,0,14,7,5,7,2,6,11,54.5,5,14,3,11,6,20,11,1,927,1191,77.8,14131,3656,507,579,87.6,309,391,79.0,63,122,51.6,5.2,+1.3,41,92,35,14,1066,117,14,5,4,109,23,40,14,13,0,8,21,35.6,2.12,0.75,0.14,0.38,15.7,0.15,-0.2,-0.8,1412,121,17,43.6,17,43.6,843,22,45,35,1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,89.9,86,17,0,,0,1.03,31,50,-19,-0.68,-1.00,34.8,45.1,-10.3,-0.37,+0.43,0,11,25,7,0,0,118,25.0,/es/jugadores/603cb947/Andrej-Kramaric
Tom Bischof,deGER,"CC,DL",19-305,28,27,"2,316",25.7,5,2,7,5,0,0,5,0,1.8,1.8,3.2,5.0,45,125,96,0.19,0.08,0.27,0.19,0.27,0.07,0.13,0.20,0.07,0.20,Partidos,104,4.04,61,28,3,6,4,2,7,0.27,6,1,0,0,0,0,88,47,33,42,13,35,70,50.0,35,61,11,50,27,115,46,1,1096,1398,78.4,18688,5555,523,592,88.3,408,488,83.6,121,214,56.5,4.5,-1.2,45,100,34,10,1232,162,59,3,5,135,13,88,31,40,2,4,15,34.1,1.71,0.58,0.11,0.33,23.3,0.04,+3.2,+3.2,1773,41,24,44.4,27,50.0,873,9,38,36,1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83.0,85,18,1,15,0,0.96,29,44,-15,-0.58,-0.01,31.5,39.0,-7.6,-0.29,+0.70,0,41,32,47,0,0,142,41.4,/es/jugadores/07d3bfec/Tom-Bischof
Oliver Baumann,deGER,PO,34-331,26,26,"2,340",26.0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,1.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Partidos,10,0.38,6,4,0,0,0,0,2,0.08,0,2,0,0,0,0,2,2,2,0,0,2,4,50.0,2,0,0,0,0,2,14,2,697,987,70.6,20089,15236,122,123,99.2,351,353,99.4,220,504,43.7,0.6,-1.0,3,32,3,0,783,201,75,3,2,0,0,0,0,0,0,3,0,,0.00,0.00,,,,,0.0,0.0,1067,0,1,100.0,0,0.0,618,0,0,0,530,47.0,1.81,128.0,79.0,64.8,6.0,7.0,13.0,4.0,15.4,2.0,2.0,2.0,2.0,60.0,0.0,6.0,48.2,0.36,2.2,0.08,858.0,116.0,38.9,35.4,66.7,49.5,383.0,17.0,4.4,30.0,1.15,14.6,90,83.9,90,26,0,,0,0.96,33,47,-14,-0.54,+0.26,31.3,42.1,-10.8,-0.42,-0.01,0,0,5,2,0,0,52,100.0,/es/jugadores/47064058/Oliver-Baumann
Anton Stach,deGER,"CC,DF",26-165,27,26,"2,324",25.8,1,2,3,1,0,0,7,0,1.5,1.5,2.0,3.5,30,133,32,0.04,0.08,0.12,0.04,0.12,0.06,0.08,0.14,0.06,0.14,Partidos,51,1.98,41,0,3,3,3,1,4,0.15,4,0,0,0,0,0,61,44,25,32,4,28,41,68.3,13,38,12,26,41,102,96,2,1142,1385,82.5,20269,7392,474,542,87.5,534,608,87.8,100,165,60.6,3.0,0.0,22,105,30,10,1353,30,25,4,8,22,3,0,0,0,0,2,10,35.7,1.08,0.39,0.04,0.10,21.2,0.05,-0.5,-0.5,1729,28,12,41.4,16,55.2,893,5,19,9,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,83.3,88,22,1,45,0,1.07,34,41,-7,-0.27,+1.85,32.9,39.6,-6.7,-0.26,+0.92,0,34,30,44,0,0,150,56.3,/es/jugadores/0f59a7bf/Anton-Stach
Kevin Akpoguma,ngNGA,DF,30-010,29,21,"2,039",22.7,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,14,90,16,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Partidos,23,1.02,21,1,0,0,1,0,1,0.04,1,0,0,0,0,0,50,24,32,12,6,27,40,67.5,13,62,35,27,25,75,107,1,1126,1290,87.3,20225,7333,445,471,94.5,567,618,91.7,86,155,55.5,0.6,-0.3,7,97,10,0,1202,84,42,1,5,12,14,0,0,0,0,4,0,0.0,0.18,0.00,0.00,,31.7,0.02,-0.1,-0.1,1592,5,7,50.0,6,42.9,837,0,9,9,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,73.1,86,19,8,30,2,1.00,29,42,-13,-0.57,+0.03,29.1,42.3,-13.1,-0.58,-0.62,0,24,23,24,0,4,96,48.9,/es/jugadores/6ec6fde0/Kevin-Akpoguma
Arthur Chaves,brBRA,DF,24-090,23,21,"1,915",21.3,0,0,0,0,0,0,8,0,0.5,0.5,0.1,0.6,8,50,12,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos,18,0.85,15,0,0,2,1,0,1,0.05,0,0,0,1,0,0,43,30,24,16,3,21,45,46.7,24,44,18,26,28,71,114,3,840,1031,81.5,14112,4804,336,369,91.1,428,478,89.5,45,118,38.1,0.3,-0.1,5,60,1,0,989,40,26,0,2,7,13,0,0,0,0,2,1,11.1,0.42,0.05,0.00,0.00,13.5,0.06,-0.5,-0.5,1320,21,2,25.0,5,62.5,635,0,10,11,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,68.6,87,17,2,42,2,1.17,28,36,-8,-0.38,+0.65,26.6,31.5,-4.9,-0.23,+0.59,0,35,16,30,0,0,80,51.7,/es/jugadores/913e4711/Arthur-Chaves
Marius Bülter,deGER,"DL,DF",32-031,22,20,"1,505",16.7,5,1,6,5,0,0,4,0,3.1,3.1,2.6,5.7,48,27,130,0.30,0.06,0.36,0.30,0.36,0.19,0.16,0.34,0.19,0.34,Partidos,43,2.57,30,0,3,2,7,1,6,0.36,3,0,2,0,1,0,10,9,3,5,2,8,15,53.3,7,8,2,6,3,13,12,0,324,484,66.9,5280,1348,171,216,79.2,111,159,69.8,30,64,46.9,3.3,-1.6,18,23,22,10,449,34,1,3,2,71,26,0,0,0,0,1,13,44.8,1.73,0.78,0.17,0.38,15.7,0.11,+1.9,+1.9,640,70,22,55.0,18,45.0,424,20,37,18,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,53.9,73,6,2,24,0,0.95,27,32,-5,-0.30,+0.61,21.6,28.0,-6.4,-0.38,+0.07,0,10,32,9,1,0,52,37.5,/es/jugadores/ab5b7dc1/Marius-Bulter
Adam Hložek,czCZE,"DL,CC",22-278,24,19,"1,615",17.9,7,2,9,7,0,0,2,0,5.1,5.1,3.2,8.4,41,63,86,0.39,0.11,0.50,0.39,0.50,0.29,0.18,0.47,0.29,0.47,Partidos,44,2.45,34,0,5,2,3,0,6,0.33,5,0,1,0,0,0,19,8,7,6,6,11,20,55.0,9,12,1,11,4,23,20,0,299,440,68.0,4570,1149,152,204,74.5,110,146,75.3,18,37,48.6,2.9,-1.2,16,35,16,2,432,6,0,1,1,16,3,0,0,0,0,2,19,35.8,2.95,1.06,0.13,0.37,17.5,0.10,+1.9,+1.9,665,96,29,51.8,23,41.1,371,13,41,34,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,57.9,80,11,5,18,0,0.88,23,35,-12,-0.67,-0.21,25.4,30.7,-5.3,-0.30,+0.28,0,15,28,8,0,0,60,49.3,/es/jugadores/5521f419/Adam-Hlozek
Alexander Prass,atAUT,DF,23-338,22,18,"1,521",16.9,0,1,1,0,0,0,1,0,0.9,0.9,2.8,3.6,28,63,65,0.00,0.06,0.06,0.00,0.06,0.05,0.16,0.22,0.05,0.22,Partidos,35,2.07,29,1,4,0,1,0,5,0.30,3,1,0,0,1,0,41,23,23,15,3,24,57,42.1,33,32,6,26,9,50,48,4,695,956,72.7,11516,4047,329,379,86.8,298,391,76.2,51,121,42.1,2.8,-1.8,18,43,27,11,793,158,14,3,2,53,143,1,0,1,0,5,1,8.3,0.71,0.06,0.00,0.00,18.6,0.07,-0.9,-0.9,1176,32,20,47.6,17,40.5,595,5,20,10,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,54.5,80,7,4,20,2,1.05,23,29,-6,-0.36,+0.50,21.9,27.3,-5.3,-0.32,+0.22,0,17,24,23,1,0,89,44.1,/es/jugadores/6637e6a7/Alexander-Prass
Pavel Kadeřábek,czCZE,DF,33-004,21,15,"1,306",14.5,1,0,1,1,0,0,6,0,0.6,0.6,1.7,2.3,13,40,69,0.07,0.00,0.07,0.07,0.07,0.04,0.12,0.16,0.04,0.16,Partidos,35,2.41,25,5,3,1,0,1,1,0.07,1,0,0,0,0,0,22,11,11,4,7,13,28,46.4,15,11,3,8,18,40,45,1,502,715,70.2,7857,3076,270,316,85.4,191,286,66.8,31,75,41.3,1.5,-1.7,19,37,16,12,576,135,9,1,1,65,126,0,0,0,0,4,2,20.0,0.69,0.14,0.10,0.50,14.5,0.06,+0.4,+0.4,839,24,5,71.4,2,28.6,372,1,4,3,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,46.8,79,9,6,21,4,0.81,21,31,-10,-0.69,-0.20,16.1,26.5,-10.3,-0.71,-0.56,0,18,7,11,0,0,22,54.8,/es/jugadores/79c90e45/Pavel-Kaderabek
