Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,20,Nürnberg,deGER,2.2. Bundesliga,16,"1,343",5,0,1.0,70.0,0.0,0.0,,,,,17,"1,413",5,0,16,"1,343",14.9,5,0,5,5,0,0,3,0,,,,,,,,0.34,0.0,0.34,0.34,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,7,,,0.47,,0.71,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,343",84,43.9,14.9,16,,11,0,,1,2.25,27,11,16,1.07,0.5,,,,,,3,0,,23,,,,,,,,,,,,,"€ 8,462(£ 7,350, $9,274)","€ 440,000(£ 382,195, $482,230)",Estimación no verificada,https://fbref.com/es/jugadores/e3f6253d/Patrick-Erras
2016-2017,21,Nürnberg,deGER,2.2. Bundesliga,2,100,0,0,,,,,,,,,2,100,0,0,1,100,1.1,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,0.0,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,100,50,3.3,1.1,1,,1,1,,0,0.0,0,2,-2,-1.8,-1.68,,,,,,1,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 7,885(£ 6,849, $8,641)","€ 410,000(£ 356,136, $449,351)",Estimación no verificada,https://fbref.com/es/jugadores/e3f6253d/Patrick-Erras
2017-2018,22,Nürnberg,deGER,2.2. Bundesliga,23,"1,624",1,3,2.0,165.0,0.0,0.0,,,,,25,"1,789",1,3,19,"1,624",18.0,1,3,4,1,0,0,0,0,,,,,,,,0.06,0.17,0.22,0.06,0.22,,,,,,,25.0,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18.0,4,22.2,1.0,0.22,0.06,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,624",71,53.1,18.0,19,,14,4,,1,1.74,31,20,11,0.61,-0.08,,,,,,0,0,0.0,10,5.0,0.0,2.0,20.0,25.0,0.0,0.0,0.0,,,,,"€ 9,038(£ 7,769, $10,265)","€ 470,000(£ 404,004, $533,785)",Estimación no verificada,https://fbref.com/es/jugadores/e3f6253d/Patrick-Erras
2018-2019,23,Nürnberg,deGER,1.Bundesliga,19,"1,222",0,1,,,,,,,,,19,"1,222",0,1,13,"1,222",13.6,0,1,1,0,0,0,1,0,0.8,0.7,0.8,1.5,3.0,37.0,3.0,0.0,0.07,0.07,0.0,0.07,0.06,0.06,0.12,0.05,0.11,15.0,10.0,7.0,7.0,1.0,7.0,19.0,36.8,12.0,24.0,13.0,11.0,23.0,38.0,45.0,0.0,372.0,468.0,79.5,6019.0,1690.0,179.0,218.0,82.1,155.0,181.0,85.6,23.0,40.0,57.5,1,0.8,0.3,0.2,8.0,27.0,2.0,0.0,37.0,468.0,462.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,1.0,5.0,69.0,228.0,329.0,49.0,9.0,603.0,0.0,0.0,,0.0,,199.0,976.0,369.0,3.0,3.0,0.0,6.0,3.0,304.0,3.0,0,8.0,1,12.5,0.59,0.07,0.0,0.0,15.6,0.0,0,0,0.8,0.7,0.09,-0.8,-0.7,20.0,1.47,19.0,0.0,0.0,1.0,0.0,0.0,2.0,0.15,1.0,0.0,0.0,1.0,0.0,0.0,"1,222",64,39.9,13.6,13,90.0,12,6,9.0,11,0.74,9,32,-23,-1.69,-0.76,14.5,22.8,-8.2,-0.61,-0.17,1,0,0.0,9,3.0,0.0,0.0,23.0,10.0,0.0,1.0,0.0,51.0,46.0,22.0,67.6,,,,
2019-2020,24,Nürnberg,deGER,2.2. Bundesliga,20,"1,338",3,0,1.0,2.0,0.0,0.0,,,,,21,"1,340",3,0,14,"1,338",14.9,3,0,3,3,0,0,4,0,,,,,,,,0.2,0.0,0.2,0.2,0.2,,,,,,,15.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11.0,5,45.5,0.74,0.34,0.27,0.6,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,338",67,43.7,14.9,14,89.0,13,6,16.0,11,1.45,19,21,-2,-0.13,0.44,,,,,,4,0,0.0,11,5.0,0.0,1.0,14.0,15.0,,,0.0,,,,,,,,
2020-2021,25,Werder Bremen,deGER,1.Bundesliga,4,26,0,0,3.0,67.0,0.0,0.0,,,,,7,93,0,0,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,31.0,58.1,319.0,67.0,7.0,12.0,58.3,7.0,12.0,58.3,3.0,5.0,60.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,31.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,7.0,15.0,11.0,0.0,33.0,0.0,0.0,,0.0,,18.0,52.0,38.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1.0,3.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,7,0.8,0.3,0,,0,4,7.0,11,0.0,1,2,-1,-3.46,-2.87,0.4,2.5,-2.2,-7.25,-6.71,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,63.6,,,,
2021-2022,26,Holstein Kiel,deGER,2.2. Bundesliga,19,752,0,0,2.0,187.0,0.0,0.0,,,,,21,939,0,0,7,752,8.4,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,8.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8.0,4,50.0,0.96,0.48,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,752,40,24.6,8.4,7,80.0,4,12,16.0,12,1.21,7,18,-11,-1.32,-1.43,,,,,,3,0,0.0,10,1.0,0.0,0.0,9.0,8.0,,,0.0,,,,,,,,
2022-2023,27,Holstein Kiel,deGER,2.2. Bundesliga,27,"2,430",1,1,1.0,38.0,0.0,0.0,,,,,28,"2,468",1,1,27,"2,430",27.0,1,1,2,1,0,0,5,0,,,,,,,,0.04,0.04,0.07,0.04,0.07,,,,,,,25.0,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.0,8,24.2,1.22,0.3,0.03,0.13,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,430",90,79.4,27.0,27,90.0,27,0,,2,1.44,48,48,0,0.0,0.43,,,,,,5,0,0.0,31,6.0,1.0,1.0,31.0,25.0,,,0.0,,,,,,,,
2023-2024,28,Holstein Kiel,deGER,2.2. Bundesliga,24,"2,070",1,0,1.0,90.0,0.0,0.0,,,,,25,"2,160",1,0,24,"2,070",23.0,1,0,1,1,0,0,3,0,,,,,,,,0.04,0.0,0.04,0.04,0.04,,,,,,,12.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15.0,7,46.7,0.65,0.3,0.07,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,070",86,67.6,23.0,24,86.0,21,0,,0,2.13,45,22,23,1.0,0.73,,,,,,3,0,0.0,15,1.0,0.0,0.0,14.0,12.0,,,0.0,,,,,,,,
2024-2025,29,Holstein Kiel,deGER,1.Bundesliga,10,832,1,0,2.0,135.0,0.0,0.0,,,,,12,967,1,0,10,832,9.2,1,0,1,1,0,0,2,0,0.9,0.9,0.1,1.0,3.0,25.0,1.0,0.11,0.0,0.11,0.11,0.11,0.1,0.01,0.11,0.1,0.11,8.0,5.0,6.0,2.0,0.0,2.0,9.0,22.2,7.0,13.0,11.0,2.0,9.0,17.0,64.0,0.0,469.0,510.0,92.0,8210.0,3076.0,160.0,174.0,92.0,280.0,288.0,97.2,20.0,32.0,62.5,0,0.1,0.2,-0.1,3.0,10.0,0.0,0.0,25.0,510.0,490.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,0.0,3.0,124.0,357.0,242.0,23.0,14.0,622.0,0.0,0.0,,0.0,,282.0,1063.0,596.0,3.0,1.0,0.0,3.0,0.0,413.0,1.0,1,8.0,1,12.5,0.87,0.11,0.13,1.0,10.0,0.0,0,0,0.9,0.9,0.11,0.1,0.1,8.0,0.87,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832,83,29.8,9.2,10,83.0,8,0,,0,0.4,8,22,-14,-1.51,-0.82,8.9,17.4,-8.5,-0.92,-0.5,2,0,0.0,11,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,24.0,27.0,16.0,62.8,,,,
