Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,18,Frankfurt U19,deGER,Jr.U19 Bundesliga,8,697,2,,,,,,,,,,8,697,2,0,8,697,7.7,2,,,2,0,0,4,1,,,,,,,,0.26,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,697,87,29.8,7.7,8,87.0,5,0,,0,1.75,14,11,3,0.39,0.28,,,,,,4,1,1,,,,,,,,,0,,,,,"€ 4,231(£ 3,675, $4,637)","€ 220,000(£ 191,097, $241,115)",Estimación no verificada,https://fbref.com/es/jugadores/a2a85828/Aymen-Barkok
2016-2017,18,Eint Frankfurt,deGER,1.Bundesliga,18,659,2,2.0,1.0,89.0,0.0,0.0,,,,,19,748,2,2,6,659,7.3,2,2.0,4.0,2,0,0,1,0,,,,,,,,0.27,0.27,0.55,0.27,0.55,,,,,,,21.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8.0,2.0,25.0,1.09,0.27,0.25,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,659,37,21.5,7.3,6,,2,12,,8,1.11,6,9,-3,-0.41,-0.26,,,,,,1,0,0,25.0,5.0,0.0,1.0,21.0,21.0,0.0,0.0,0,,,,,"€ 4,423(£ 3,842, $4,848)","€ 230,000(£ 199,784, $252,075)",Estimación no verificada,https://fbref.com/es/jugadores/a2a85828/Aymen-Barkok
2017-2018,19,Eint Frankfurt,deGER,1.Bundesliga,9,314,0,1.0,1.0,45.0,0.0,0.0,,,,,10,359,0,1,2,314,3.5,0,1.0,1.0,0,0,0,1,0,0.1,0.1,0.5,0.6,3.0,9.0,19.0,0.0,0.29,0.29,0.0,0.29,0.03,0.13,0.16,0.03,0.16,11.0,11.0,6.0,4.0,1.0,5.0,7.0,71.4,2.0,8.0,2.0,6.0,2.0,13.0,3.0,0.0,88.0,120.0,73.3,1390.0,236.0,45.0,57.0,78.9,30.0,36.0,83.3,9.0,17.0,52.9,1.0,0.5,0.4,0.5,7.0,7.0,6.0,1.0,9.0,120.0,119.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,88.0,0.0,5.0,3.0,28.0,92.0,54.0,6.0,171.0,10.0,4.0,40.0,6.0,60.0,88.0,444.0,137.0,3.0,4.0,1.0,9.0,7.0,101.0,19.0,0,3.0,0.0,0.0,0.86,0.0,0.0,,23.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,8.0,2.29,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.29,1.0,0.0,0.0,0.0,0.0,0.0,314,35,10.3,3.5,2,,0,7,,8,1.56,3,3,0,0.0,0.0,2.3,3.9,-1.5,-0.44,-0.51,1,0,0,6.0,2.0,3.0,4.0,2.0,11.0,0.0,0.0,0,21.0,4.0,9.0,30.8,"€ 4,423(£ 3,842, $4,848)","€ 230,000(£ 199,784, $252,075)",Estimación no verificada,https://fbref.com/es/jugadores/a2a85828/Aymen-Barkok
2018-2019,20,Düsseldorf,deGER,1.Bundesliga,12,510,0,0.0,1.0,64.0,0.0,0.0,,,,,13,574,0,0,4,510,5.7,0,0.0,0.0,0,0,0,0,0,0.5,0.5,0.2,0.7,8.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12,13.0,6.0,4.0,9.0,0.0,4.0,19.0,21.1,15.0,8.0,1.0,7.0,4.0,17.0,3.0,0.0,169.0,228.0,74.1,2891.0,805.0,77.0,98.0,78.6,56.0,67.0,83.6,22.0,35.0,62.9,0.0,0.2,0.5,-0.2,3.0,14.0,6.0,2.0,25.0,228.0,219.0,9.0,7.0,0.0,3.0,12.0,0.0,2.0,0.0,2.0,0.0,169.0,0.0,6.0,4.0,52.0,155.0,79.0,4.0,283.0,10.0,7.0,70.0,3.0,30.0,161.0,1048.0,472.0,8.0,9.0,1.0,9.0,9.0,192.0,24.0,0,5.0,0.0,0.0,0.88,0.0,0.0,,24.0,0.0,0,0,0.5,0.5,0.1,-0.5,-0.5,7.0,1.23,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510,43,16.7,5.7,4,80.0,2,8,24.0,6,1.0,8,16,-8,-1.41,-1.13,6.0,11.4,-5.4,-0.96,-0.61,0,0,0,9.0,0.0,0.0,12.0,4.0,6.0,0.0,0.0,0,42.0,12.0,8.0,60.0,"€ 4,423(£ 3,842, $4,848)","€ 230,000(£ 199,784, $252,075)",Estimación no verificada,https://fbref.com/es/jugadores/a2a85828/Aymen-Barkok
2019-2020,21,Düsseldorf,deGER,1.Bundesliga,3,79,0,0.0,2.0,120.0,0.0,0.0,,,,,5,199,0,0,1,79,0.9,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,3.0,4.0,1.0,0.0,17.0,29.0,58.6,296.0,125.0,11.0,19.0,57.9,4.0,6.0,66.7,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,29.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,12.0,20.0,10.0,0.0,42.0,1.0,0.0,0.0,1.0,100.0,17.0,83.0,13.0,0.0,2.0,0.0,3.0,0.0,21.0,3.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,26,2.6,0.9,1,45.0,0,2,17.0,3,0.0,0,3,-3,-3.42,-2.57,0.2,2.4,-2.2,-2.54,-1.86,0,0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0,4.0,1.0,1.0,50.0,"€ 4,423(£ 3,842, $4,848)","€ 230,000(£ 199,784, $252,075)",Estimación no verificada,https://fbref.com/es/jugadores/a2a85828/Aymen-Barkok
2020-2021,22,Eint Frankfurt,deGER,1.Bundesliga,26,977,2,3.0,2.0,80.0,0.0,0.0,,,,,28,"1,057",2,3,9,977,10.9,2,3.0,5.0,2,0,0,5,0,1.9,1.9,3.2,5.0,30.0,46.0,76.0,0.18,0.28,0.46,0.18,0.46,0.17,0.29,0.47,0.17,0.47,29.0,15.0,11.0,9.0,9.0,10.0,31.0,32.3,21.0,15.0,1.0,14.0,10.0,39.0,9.0,1.0,362.0,495.0,73.1,5510.0,1769.0,201.0,245.0,82.0,118.0,159.0,74.2,26.0,51.0,51.0,3.0,3.2,2.6,-0.2,26.0,30.0,19.0,5.0,46.0,495.0,437.0,57.0,11.0,2.0,1.0,41.0,19.0,27.0,4.0,15.0,0.0,362.0,1.0,13.0,12.0,73.0,309.0,298.0,28.0,668.0,45.0,23.0,51.1,22.0,48.9,357.0,2108.0,988.0,30.0,22.0,10.0,48.0,21.0,415.0,76.0,2,19.0,6.0,31.6,1.75,0.55,0.11,0.33,21.4,1.0,0,0,1.9,1.9,0.1,0.1,0.1,41.0,3.78,27.0,8.0,4.0,0.0,2.0,0.0,7.0,0.65,4.0,1.0,2.0,0.0,0.0,0.0,977,38,31.9,10.9,9,74.0,1,17,18.0,6,1.73,20,15,5,0.46,-0.01,19.5,13.6,6.0,0.55,0.31,5,0,0,23.0,7.0,1.0,41.0,10.0,15.0,0.0,1.0,0,75.0,15.0,24.0,38.5,"€ 4,423(£ 3,842, $4,848)","€ 230,000(£ 199,784, $252,075)",Estimación no verificada,https://fbref.com/es/jugadores/a2a85828/Aymen-Barkok
2021-2022,23,Eint Frankfurt,deGER,1.Bundesliga,5,160,0,0.0,1.0,24.0,0.0,0.0,1.0,57.0,0.0,0.0,7,241,0,0,2,160,1.8,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.1,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.02,0.03,6.0,2.0,2.0,3.0,1.0,2.0,7.0,28.6,5.0,4.0,1.0,3.0,5.0,11.0,6.0,0.0,52.0,70.0,74.3,894.0,438.0,25.0,29.0,86.2,19.0,25.0,76.0,7.0,12.0,58.3,0.0,0.0,0.1,0.0,1.0,8.0,1.0,0.0,9.0,70.0,59.0,11.0,0.0,0.0,2.0,2.0,9.0,2.0,1.0,1.0,0.0,52.0,0.0,0.0,7.0,25.0,52.0,30.0,0.0,103.0,7.0,4.0,57.1,3.0,42.9,52.0,414.0,176.0,3.0,5.0,0.0,5.0,8.0,52.0,3.0,0,2.0,1.0,50.0,1.13,0.56,0.0,0.0,30.3,0.0,0,0,0.0,0.0,0.01,0.0,0.0,3.0,1.69,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,32,5.2,1.8,2,51.0,0,3,19.0,4,1.2,2,5,-3,-1.69,-1.66,1.2,3.9,-2.7,-1.52,-1.44,0,0,0,4.0,1.0,0.0,2.0,5.0,2.0,0.0,0.0,0,11.0,6.0,3.0,66.7,"€ 16,154(£ 13,897, $17,664)","€ 840,000(£ 722,661, $918,507)",Estimación no verificada,https://fbref.com/es/jugadores/a2a85828/Aymen-Barkok
2022-2023,24,Mainz 05,deGER,1.Bundesliga,23,584,0,1.0,3.0,130.0,1.0,0.0,,,,,26,714,1,1,3,584,6.5,0,1.0,1.0,0,0,0,1,0,0.5,0.5,0.9,1.4,17.0,40.0,28.0,0.0,0.15,0.15,0.0,0.15,0.08,0.14,0.21,0.08,0.21,18.0,8.0,10.0,5.0,3.0,5.0,10.0,50.0,5.0,7.0,0.0,7.0,3.0,21.0,9.0,0.0,181.0,264.0,68.6,2801.0,919.0,92.0,119.0,77.3,64.0,91.0,70.3,14.0,20.0,70.0,1.0,0.9,1.2,0.1,8.0,18.0,7.0,1.0,40.0,264.0,249.0,12.0,2.0,2.0,1.0,12.0,7.0,3.0,1.0,1.0,0.0,181.0,3.0,10.0,12.0,53.0,156.0,158.0,16.0,360.0,20.0,9.0,45.0,11.0,55.0,185.0,1396.0,726.0,17.0,16.0,4.0,16.0,9.0,216.0,28.0,0,11.0,2.0,18.2,1.7,0.31,0.0,0.0,23.3,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5,18.0,2.76,13.0,1.0,1.0,2.0,1.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,584,25,19.1,6.5,3,76.0,0,20,18.0,10,1.43,12,11,1,0.15,0.23,10.6,10.7,0.0,-0.01,0.23,1,0,0,17.0,4.0,0.0,12.0,3.0,8.0,0.0,0.0,0,52.0,15.0,14.0,51.7,"€ 16,154(£ 13,647, $17,360)","€ 840,000(£ 709,656, $902,702)",Estimación no verificada,https://fbref.com/es/jugadores/a2a85828/Aymen-Barkok
2023-2024,25,Hertha BSC,deGER,2.2. Bundesliga,12,842,1,0.0,1.0,90.0,0.0,0.0,,,,,13,932,1,0,10,842,9.4,1,0.0,1.0,1,0,0,2,0,,,,,,,,0.11,0.0,0.11,0.11,0.11,,,,,,,21.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.0,6.0,66.7,0.96,0.64,0.11,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,,842,70,27.5,9.4,10,77.0,5,2,39.0,2,1.33,16,14,2,0.21,-0.11,,,,,,2,0,0,20.0,5.0,0.0,8.0,15.0,21.0,,,0,,,,,"€ 16,154(£ 13,886, $18,346)","€ 840,000(£ 722,051, $953,998)",Estimación no verificada,https://fbref.com/es/jugadores/a2a85828/Aymen-Barkok
2023-2024,25,Mainz 05,deGER,1.Bundesliga,13,321,1,0.0,1.0,57.0,0.0,0.0,,,,,14,378,1,0,1,321,3.6,1,0.0,1.0,1,0,1,2,0,1.7,0.9,0.3,1.2,14.0,16.0,33.0,0.28,0.0,0.28,0.28,0.28,0.48,0.07,0.55,0.26,0.33,9.0,5.0,2.0,6.0,1.0,3.0,6.0,50.0,3.0,7.0,0.0,7.0,2.0,11.0,1.0,0.0,118.0,184.0,64.1,1842.0,639.0,64.0,90.0,71.1,39.0,59.0,66.1,9.0,20.0,45.0,0.0,0.3,0.6,-0.3,5.0,11.0,4.0,1.0,16.0,184.0,171.0,13.0,0.0,1.0,0.0,13.0,8.0,4.0,2.0,2.0,0.0,118.0,0.0,4.0,2.0,19.0,116.0,103.0,19.0,237.0,8.0,2.0,25.0,4.0,50.0,123.0,655.0,344.0,14.0,4.0,5.0,12.0,5.0,174.0,33.0,1,11.0,6.0,54.5,3.08,1.68,0.09,0.17,17.2,0.0,0,1,1.7,0.9,0.08,-0.7,0.1,15.0,4.21,10.0,2.0,1.0,1.0,1.0,0.0,1.0,0.28,1.0,0.0,0.0,0.0,0.0,0.0,321,25,10.5,3.6,1,68.0,0,12,21.0,0,0.62,7,7,0,0.0,0.39,5.7,6.2,-0.5,-0.15,-0.17,2,0,0,15.0,3.0,0.0,13.0,2.0,5.0,0.0,0.0,0,18.0,11.0,14.0,44.0,,,,
