Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,15,Gladbach U17,deGER,Jr.U17 Bundesliga,9,352,0,,,,,,,,,,9,352,0,0,3,352,3.9,0,,,0,0,0,0,0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,352,39,15.0,3.9,3,78.0,2,6,20.0,3,2.44,16,3,13,3.32,2.87,,,,,,0,0,0,,,,,,,,,0,,,,,"€ 962(£ 835, $1,054)","€ 50,000(£ 43,431, $54,799)",Estimación no verificada,https://fbref.com/es/jugadores/cc971106/Rocco-Reitz
2018-2019,16,Gladbach U17,deGER,Jr.U17 Bundesliga,12,834,1,,,,,,,,,,12,834,1,0,10,834,9.3,1,,,1,0,0,0,0,,,,,,,,0.11,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,834,70,35.6,9.3,10,77.0,6,2,33.0,0,2.42,30,9,21,2.27,1.19,,,,,,0,0,0,,,,,,,,,0,,,,,"€ 7,500(£ 6,452, $8,201)","€ 390,000(£ 335,521, $426,450)",Estimación no verificada,https://fbref.com/es/jugadores/cc971106/Rocco-Reitz
2019-2020,17,Gladbach U19,deGER,Jr.U19 Bundesliga,10,705,1,,,,,,,,,,10,705,1,0,8,705,7.8,1,,,1,0,0,0,0,,,,,,,,0.13,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,705,71,39.2,7.8,8,84.0,6,2,17.0,0,2.1,13,9,4,0.51,-0.89,,,,,,0,0,0,,,,,,,,,0,,,,,"€ 13,846(£ 11,698, $14,880)","€ 720,000(£ 608,277, $773,744)",Estimación no verificada,https://fbref.com/es/jugadores/cc971106/Rocco-Reitz
2020-2021,18,Gladbach U19,deGER,Jr.U19 Bundesliga,1,90,0,,,,,,,,,,1,90,0,0,1,90,1.0,0,,,0,0,0,0,0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,50.0,1.0,1,90.0,1,0,,0,3.0,1,0,1,1.0,2.0,,,,,,0,0,0,,,,,,,,,0,,,,,"€ 13,846(£ 11,902, $15,725)","€ 720,000(£ 618,900, $817,712)",Estimación no verificada,https://fbref.com/es/jugadores/cc971106/Rocco-Reitz
2020-2021,18,Gladbach,deGER,1.Bundesliga,2,60,0,0.0,,,,,,,,,2,60,0,0,1,60,0.7,0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,3.0,2.0,0.0,3.0,0.0,2.0,2.0,100.0,0.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,38.0,46.0,82.6,544.0,188.0,21.0,23.0,91.3,13.0,16.0,81.3,2.0,3.0,66.7,0.0,0.1,0.0,-0.1,2.0,4.0,1.0,0.0,6.0,46.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,0.0,2.0,20.0,29.0,9.0,0.0,58.0,2.0,2.0,100.0,0.0,0.0,19.0,40.0,16.0,0.0,0.0,0.0,4.0,1.0,34.0,0.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,30,2.0,0.7,1,59.0,0,1,1.0,10,3.0,2,2,0,0.0,-0.24,2.0,1.9,0.2,0.24,-0.03,1,0,0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0,9.0,0.0,0.0,,"€ 13,846(£ 11,902, $15,725)","€ 720,000(£ 618,900, $817,712)",Estimación no verificada,https://fbref.com/es/jugadores/cc971106/Rocco-Reitz
2021-2022,19,Sint-Truiden,beBEL,1.First Division A,23,803,2,1.0,,,,,,,,,23,803,2,1,5,803,8.9,2,1.0,3.0,2,0,0,0,1,1.7,1.7,1.5,3.2,11.0,56.0,18.0,0.22,0.11,0.34,0.22,0.34,0.19,0.17,0.36,0.19,0.36,28.0,16.0,15.0,10.0,3.0,13.0,20.0,65.0,7.0,23.0,0.0,23.0,16.0,44.0,6.0,0.0,312.0,444.0,70.3,5694.0,2209.0,141.0,176.0,80.1,130.0,179.0,72.6,37.0,70.0,52.9,1.0,1.5,1.4,-0.5,18.0,49.0,14.0,2.0,56.0,444.0,417.0,23.0,14.0,5.0,4.0,11.0,3.0,5.0,0.0,3.0,0.0,312.0,4.0,18.0,6.0,98.0,351.0,125.0,18.0,568.0,18.0,10.0,55.6,8.0,44.4,273.0,1263.0,639.0,11.0,9.0,4.0,20.0,9.0,355.0,18.0,2,18.0,5.0,27.8,2.02,0.56,0.11,0.4,20.1,0.0,0,0,1.7,1.7,0.09,0.3,0.3,32.0,3.57,26.0,0.0,6.0,0.0,0.0,0.0,4.0,0.45,2.0,0.0,2.0,0.0,0.0,0.0,803,35,26.2,8.9,5,74.0,1,18,24.0,3,1.48,13,17,-4,-0.45,-0.69,13.2,11.3,1.9,0.21,0.4,0,1,0,10.0,8.0,1.0,11.0,16.0,16.0,0.0,0.0,0,76.0,4.0,11.0,26.7,"€ 13,846(£ 11,902, $15,725)","€ 720,000(£ 618,900, $817,712)",Estimación no verificada,https://fbref.com/es/jugadores/cc971106/Rocco-Reitz
2022-2023,20,Sint-Truiden,beBEL,1.Pro League A,12,806,1,0.0,,,,,,,,,12,806,1,0,9,806,9.0,1,0.0,1.0,1,0,0,0,0,1.5,1.5,0.3,1.8,14.0,34.0,25.0,0.11,0.0,0.11,0.11,0.11,0.17,0.04,0.2,0.17,0.2,34.0,26.0,19.0,12.0,3.0,16.0,30.0,53.3,14.0,20.0,3.0,17.0,22.0,56.0,10.0,0.0,203.0,301.0,67.4,3908.0,1430.0,81.0,114.0,71.1,86.0,118.0,72.9,32.0,52.0,61.5,0.0,0.3,0.6,-0.3,5.0,23.0,7.0,1.0,34.0,301.0,276.0,22.0,11.0,1.0,3.0,22.0,2.0,8.0,3.0,5.0,0.0,203.0,3.0,11.0,19.0,115.0,213.0,107.0,13.0,425.0,26.0,9.0,34.6,15.0,57.7,258.0,1493.0,689.0,14.0,9.0,1.0,13.0,4.0,206.0,25.0,1,13.0,5.0,38.5,1.45,0.56,0.08,0.2,16.5,0.0,0,0,1.5,1.5,0.11,-0.5,-0.5,11.0,1.23,7.0,2.0,1.0,1.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,806,67,26.3,9.0,9,81.0,5,3,26.0,2,0.92,9,12,-3,-0.33,-0.33,9.7,13.2,-3.5,-0.39,-0.45,0,0,0,13.0,3.0,0.0,22.0,22.0,26.0,0.0,0.0,0,59.0,3.0,9.0,25.0,"€ 13,846(£ 11,902, $15,725)","€ 720,000(£ 618,900, $817,712)",Estimación no verificada,https://fbref.com/es/jugadores/cc971106/Rocco-Reitz
2022-2023,20,Gladbach,deGER,1.Bundesliga,1,3,0,0.0,1.0,15.0,0.0,0.0,,,,,2,18,0,0,0,3,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,30.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.1,0.0,0,,0,1,3.0,12,0.0,0,0,0,0.0,0.09,0.0,0.0,0.0,0.0,0.04,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,
2023-2024,21,Gladbach,deGER,1.Bundesliga,34,"2,136",6,3.0,3.0,212.0,0.0,0.0,,,,,37,"2,348",6,3,24,"2,136",23.7,6,3.0,9.0,6,0,0,2,0,3.7,3.7,2.4,6.0,41.0,110.0,58.0,0.25,0.13,0.38,0.25,0.38,0.15,0.1,0.25,0.15,0.25,61.0,36.0,28.0,29.0,4.0,28.0,55.0,50.9,27.0,61.0,20.0,41.0,44.0,105.0,31.0,1.0,782.0,1043.0,75.0,12375.0,4208.0,417.0,489.0,85.3,285.0,368.0,77.4,54.0,99.0,54.5,3.0,2.4,2.6,0.6,20.0,80.0,17.0,2.0,110.0,1043.0,1005.0,33.0,18.0,11.0,2.0,15.0,1.0,0.0,0.0,0.0,0.0,782.0,5.0,43.0,54.0,380.0,758.0,259.0,46.0,1377.0,52.0,20.0,38.5,25.0,48.1,788.0,3375.0,1648.0,41.0,29.0,12.0,40.0,30.0,870.0,58.0,6,33.0,14.0,42.4,1.39,0.59,0.18,0.43,17.3,0.0,0,0,3.7,3.7,0.11,2.3,2.3,63.0,2.66,42.0,0.0,7.0,5.0,4.0,5.0,8.0,0.34,5.0,0.0,2.0,0.0,0.0,1.0,"2,136",63,69.8,23.7,24,80.0,7,10,21.0,0,1.0,39,45,-6,-0.25,0.23,33.1,37.8,-4.7,-0.2,0.09,2,0,0,26.0,45.0,2.0,15.0,44.0,36.0,0.0,0.0,0,171.0,13.0,26.0,33.3,,,,
2024-2025,22,Gladbach,deGER,1.Bundesliga,24,"1,576",1,1.0,1.0,71.0,0.0,1.0,,,,,25,"1,647",1,2,18,"1,576",17.5,1,1.0,2.0,1,0,0,1,0,1.3,1.3,1.6,2.9,15.0,83.0,23.0,0.06,0.06,0.11,0.06,0.11,0.08,0.09,0.17,0.08,0.17,43.0,18.0,19.0,20.0,4.0,18.0,35.0,51.4,17.0,29.0,11.0,18.0,42.0,85.0,47.0,1.0,593.0,751.0,79.0,10317.0,3674.0,274.0,314.0,87.3,238.0,291.0,81.8,63.0,98.0,64.3,1.0,1.6,2.2,-0.6,15.0,59.0,16.0,4.0,83.0,751.0,720.0,28.0,22.0,10.0,3.0,19.0,4.0,0.0,0.0,0.0,0.0,593.0,3.0,15.0,62.0,310.0,567.0,159.0,29.0,1021.0,34.0,16.0,47.1,16.0,47.1,539.0,2611.0,1163.0,15.0,12.0,1.0,18.0,19.0,627.0,23.0,1,20.0,5.0,25.0,1.14,0.29,0.05,0.2,17.8,0.0,0,0,1.3,1.3,0.07,-0.3,-0.3,38.0,2.17,29.0,0.0,1.0,1.0,2.0,5.0,4.0,0.23,4.0,0.0,0.0,0.0,0.0,0.0,"1,576",66,56.5,17.5,18,81.0,4,6,19.0,0,1.42,28,26,2,0.11,0.19,25.0,31.7,-6.6,-0.38,-0.07,1,0,0,18.0,36.0,0.0,19.0,42.0,18.0,0.0,0.0,0,82.0,13.0,16.0,44.8,,,,
