Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,17,Energie Cottbus,deGER,2.2. Bundesliga,2.0,27,0.0,0.0,,,,,,,,,2.0,27,0,0,0,27,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,27,14.0,0.9,0.3,0,,,2,,,,,,,,,,,,,,0.0,0.0,,1.0,,,,,,,,,,,,,"€ 5,962(£ 5,178, $6,534)","€ 310,000(£ 269,274, $339,753)",Estimación no verificada,https://fbref.com/es/jugadores/258a6f4d/Tim-Kleindienst
2014-2015,18,Energie Cottbus,deGER,3.3. Liga,35.0,"2,691",13.0,4.0,1.0,54.0,0.0,0.0,,,,,36.0,"2,745",13,4,29,"2,691",29.9,13.0,4.0,17.0,13.0,0.0,0.0,11.0,0.0,,,,,,,,0.43,0.13,0.57,0.43,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,28.0,,,0.94,,0.46,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,691",77.0,78.7,29.9,29,,20.0,6,,0.0,1.51,41.0,40.0,1.0,0.03,0.16,,,,,,11.0,0.0,,,,,,,,,,,,,,,"€ 5,962(£ 5,178, $6,534)","€ 310,000(£ 269,274, $339,753)",Estimación no verificada,https://fbref.com/es/jugadores/258a6f4d/Tim-Kleindienst
2015-2016,19,Freiburg,deGER,2.2. Bundesliga,7.0,93,0.0,0.0,1.0,45.0,0.0,0.0,,,,,8.0,138,0,0,0,93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,0.97,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,93,13.0,3.0,1.0,0,,0.0,7,,2.0,2.0,2.0,3.0,-1.0,-0.97,-2.09,,,,,,0.0,0.0,,7.0,,,,,,,,,,,,,"€ 23,077(£ 19,496, $24,800)","€ 1,200,000(£ 1,013,795, $1,289,574)",Estimación no verificada,https://fbref.com/es/jugadores/258a6f4d/Tim-Kleindienst
2016-2017,20,Heidenheim,deGER,2.2. Bundesliga,27.0,"2,131",7.0,3.0,1.0,73.0,0.0,0.0,,,,,28.0,"2,204",7,3,24,"2,131",23.7,7.0,3.0,10.0,7.0,0.0,0.0,7.0,0.0,,,,,,,,0.3,0.13,0.42,0.3,0.42,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,24.0,,0.0,1.01,,0.29,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,131",79.0,69.6,23.7,24,,15.0,3,,0.0,1.41,29.0,27.0,2.0,0.08,-0.11,,,,,,7.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 47,115(£ 40,500, $53,510)","€ 2,450,000(£ 2,105,981, $2,782,494)",Estimación no verificada,https://fbref.com/es/jugadores/258a6f4d/Tim-Kleindienst
2017-2018,21,Freiburg,deGER,1.Bundesliga,22.0,"1,138",2.0,3.0,1.0,10.0,0.0,0.0,,,,,23.0,"1,148",2,3,12,"1,138",12.6,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,4.4,4.4,2.3,6.6,24.0,31.0,84.0,0.16,0.24,0.4,0.16,0.4,0.34,0.18,0.53,0.34,0.53,22.0,15.0,6.0,12.0,4.0,4.0,17.0,23.5,13.0,17.0,3.0,14.0,6.0,28.0,21.0,0.0,203.0,369.0,55.0,2956.0,775.0,109.0,184.0,59.2,67.0,110.0,60.9,10.0,27.0,37.0,3.0,2.3,1.4,0.7,8.0,19.0,10.0,1.0,31.0,369.0,357.0,9.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,203.0,3.0,25.0,18.0,63.0,240.0,253.0,61.0,550.0,22.0,6.0,27.3,16.0,72.7,264.0,1470.0,638.0,24.0,23.0,8.0,40.0,28.0,420.0,84.0,2.0,45.0,13.0,28.9,3.56,1.03,0.04,0.15,16.8,1.0,0.0,0.0,4.4,4.4,0.1,-2.4,-2.4,24.0,1.9,15.0,0.0,2.0,5.0,2.0,0.0,4.0,0.32,3.0,0.0,0.0,1.0,0.0,0.0,"1,138",52.0,37.2,12.6,12,,5.0,10,,2.0,1.18,14.0,16.0,-2.0,-0.16,0.87,19.4,16.3,3.1,0.25,0.7,2.0,0.0,0.0,31.0,13.0,4.0,9.0,6.0,15.0,0.0,0.0,0.0,27.0,83.0,72.0,53.5,"€ 47,115(£ 40,500, $53,510)","€ 2,450,000(£ 2,105,981, $2,782,494)",Estimación no verificada,https://fbref.com/es/jugadores/258a6f4d/Tim-Kleindienst
2018-2019,22,Freiburg,deGER,1.Bundesliga,4.0,200,0.0,0.0,2.0,42.0,0.0,1.0,,,,,6.0,242,0,1,2,200,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.8,2.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.31,0.04,0.35,0.31,0.35,4.0,3.0,1.0,2.0,1.0,1.0,3.0,33.3,2.0,3.0,0.0,3.0,0.0,4.0,7.0,0.0,42.0,59.0,71.2,578.0,91.0,24.0,30.0,80.0,14.0,22.0,63.6,1.0,2.0,50.0,0.0,0.1,0.1,-0.1,1.0,3.0,1.0,0.0,5.0,59.0,56.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,1.0,7.0,13.0,47.0,33.0,11.0,91.0,5.0,3.0,60.0,2.0,40.0,52.0,251.0,87.0,2.0,5.0,1.0,7.0,3.0,69.0,11.0,0.0,5.0,1.0,20.0,2.25,0.45,0.0,0.0,17.2,0.0,0.0,0.0,0.7,0.7,0.14,-0.7,-0.7,5.0,2.25,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,50.0,6.5,2.2,2,87.0,1.0,2,13.0,1.0,0.25,1.0,6.0,-5.0,-2.25,-1.94,2.8,3.4,-0.7,-0.29,0.32,0.0,0.0,0.0,8.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,8.0,7.0,10.0,41.2,"€ 47,115(£ 40,500, $53,510)","€ 2,450,000(£ 2,105,981, $2,782,494)",Estimación no verificada,https://fbref.com/es/jugadores/258a6f4d/Tim-Kleindienst
2019-2020,23,Freiburg,deGER,1.Bundesliga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,86.0,34.0,39.5,3.38,1.34,0.16,0.41,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,1.0,,,,,,,,,,,,7.0,1.0,1.0,82.0,25.0,20.0,14.0,8.0,20.0,,,0.0,,,,,"€ 47,115(£ 40,500, $53,510)","€ 2,450,000(£ 2,105,981, $2,782,494)",Estimación no verificada,https://fbref.com/es/jugadores/258a6f4d/Tim-Kleindienst
2019-2020,23,Heidenheim,deGER,2.2. Bundesliga,27.0,"2,290",14.0,4.0,,,,,,,,,27.0,"2,290",14,4,27,"2,290",25.4,14.0,4.0,18.0,14.0,0.0,0.0,7.0,1.0,,,,,,,,0.55,0.16,0.71,0.55,0.71,,,,,,9.0,7.0,1.0,6.0,2.0,1.0,9.0,11.1,8.0,6.0,0.0,6.0,6.0,15.0,8.0,0.0,155.0,225.0,68.9,1893.0,410.0,96.0,133.0,72.2,37.0,53.0,69.8,5.0,12.0,41.7,1.0,0.5,0.7,0.5,8.0,9.0,4.0,0.0,16.0,225.0,215.0,9.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,155.0,1.0,11.0,8.0,23.0,126.0,166.0,38.0,311.0,8.0,7.0,87.5,1.0,12.5,146.0,826.0,337.0,13.0,8.0,3.0,15.0,14.0,222.0,43.0,1.0,29.0,8.0,27.6,4.54,1.25,0.0,0.0,16.2,0.0,1.0,1.0,4.0,3.2,0.11,-3.0,-3.2,19.0,2.98,11.0,0.0,3.0,2.0,2.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,0.0,1.0,"2,290",85.0,74.8,25.4,27,85.0,17.0,0,,0.0,1.74,33.0,23.0,10.0,0.39,0.51,,,,,,2.0,0.0,0.0,18.0,4.0,2.0,2.0,6.0,7.0,0.0,0.0,0.0,39.0,27.0,20.0,57.4,,,,
2020-2021,24,Gent,beBEL,1.First Division A,15.0,575,1.0,1.0,,,,,5.0,233.0,1.0,0.0,20.0,808,2,1,4,575,6.4,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,4.0,3.2,0.5,3.7,13.0,16.0,43.0,0.16,0.16,0.31,0.0,0.16,0.62,0.08,0.71,0.5,0.58,,4.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,37.0,18.0,48.6,2.61,1.27,0.24,0.5,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,575,38.0,18.8,6.4,4,90.0,4.0,11,20.0,1.0,1.47,9.0,10.0,-1.0,-0.16,-0.92,14.2,9.7,4.5,0.7,0.14,4.0,0.0,0.0,44.0,21.0,11.0,9.0,10.0,4.0,,,0.0,,,,,,,,
2020-2021,24,Heidenheim,deGER,2.2. Bundesliga,15.0,"1,274",11.0,0.0,,,,,,,,,15.0,"1,274",11,0,15,"1,274",14.2,11.0,0.0,11.0,9.0,2.0,2.0,4.0,0.0,,,,,,,,0.78,0.0,0.78,0.64,0.64,,,,,,,11.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,85.0,30.0,35.3,3.14,1.11,0.12,0.33,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,"1,274",85.0,41.6,14.2,15,85.0,13.0,0,,0.0,1.47,23.0,24.0,-1.0,-0.07,-0.12,,,,,,7.0,0.0,0.0,68.0,23.0,13.0,25.0,10.0,11.0,,,0.0,,,,,,,,
