Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,17,Paderborn 07,deGER,1.Bundesliga,,,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,6.0,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"€ 385(£ 334, $422)","€ 20,000(£ 17,372, $21,920)",Estimación no verificada,https://fbref.com/es/jugadores/afb0c500/Alexander-Nubel
2015-2016,18,Paderborn 07,deGER,2.2. Bundesliga,,,,,,,,,,,,,,,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,63.6,515.0,361.0,0.0,0.0,,5.0,5.0,100.0,9.0,17.0,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,22.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,,0.0,,12.0,42.0,24.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,,0.0,1.0,,6.0,3.0,0.0,0.0,0.0,0.0,-0.06,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"€ 385(£ 334, $422)","€ 20,000(£ 17,372, $21,920)",Estimación no verificada,https://fbref.com/es/jugadores/afb0c500/Alexander-Nubel
2015-2016,18,Schalke 04,deGER,1.Bundesliga,1.0,1,0.0,0.0,,,,,,,,,1.0,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,349.0,522.0,66.9,11543.0,8421.0,38.0,38.0,100.0,147.0,151.0,97.4,162.0,328.0,49.4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,522.0,343.0,176.0,42.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,3.0,0.0,499.0,558.0,2.0,1.0,0.0,561.0,0.0,0.0,,0.0,,268.0,1747.0,1218.0,0.0,0.0,0.0,0.0,0.0,221.0,1.0,,,,,,,,,,,,,,,,,,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,25.0,,,,,,,,,,,,1.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28.0,8.0,0.0,100.0,"€ 577(£ 501, $632)","€ 30,000(£ 26,059, $32,879)",Estimación no verificada,https://fbref.com/es/jugadores/afb0c500/Alexander-Nubel
2016-2017,19,Schalke 04,deGER,1.Bundesliga,,,,,,,,,,,,,,,0,0,0.0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,9.0,6.0,717.0,1002.0,71.6,19832.0,13337.0,125.0,126.0,99.2,354.0,357.0,99.2,234.0,511.0,45.8,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1002.0,727.0,271.0,64.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,4.0,0.0,883.0,1065.0,3.0,0.0,0.0,1068.0,0.0,0.0,,0.0,,557.0,2691.0,1652.0,0.0,1.0,1.0,2.0,0.0,535.0,0.0,,,,,,,,,,,,,,,,,,4.0,0.16,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,45.0,1.5,0.5,0.0,,0.0,1.0,,33.0,3.0,0.0,0.0,0.0,0.0,-0.48,0.6,0.4,0.2,0.39,0.2,1.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,29.0,13.0,0.0,100.0,"€ 4,423(£ 3,842, $4,848)","€ 230,000(£ 199,784, $252,075)",Estimación no verificada,https://fbref.com/es/jugadores/afb0c500/Alexander-Nubel
2017-2018,20,Schalke 04,deGER,1.Bundesliga,1.0,45,0.0,0.0,,,,,,,,,1.0,45,0,0,18.0,"1,588",17.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,36.0,94.4,731.0,476.0,10.0,10.0,100.0,20.0,20.0,100.0,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,27.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,35.0,38.0,2.0,0.0,0.0,40.0,0.0,0.0,,0.0,,17.0,77.0,50.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,588",88.0,51.9,17.6,18.0,88.0,17.0,0.0,,14.0,1.0,19.0,29.0,-10.0,-0.57,-0.08,23.0,27.5,-4.4,-0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,"€ 4,423(£ 3,842, $4,848)","€ 230,000(£ 199,784, $252,075)",Estimación no verificada,https://fbref.com/es/jugadores/afb0c500/Alexander-Nubel
2018-2019,21,Schalke 04,deGER,1.Bundesliga,18.0,"1,588",0.0,0.0,2.0,210.0,0.0,0.0,2.0,180.0,0.0,0.0,22.0,"1,978",0,0,26.0,"2,315",25.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,839.0,1121.0,74.8,23494.0,16891.0,140.0,141.0,99.3,407.0,410.0,99.3,288.0,563.0,51.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1121.0,771.0,348.0,68.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,839.0,2.0,1.0,1018.0,1174.0,15.0,0.0,0.0,1188.0,0.0,0.0,,0.0,,672.0,3276.0,2049.0,0.0,0.0,0.0,1.0,0.0,482.0,0.0,,,,,,,,,,,,,,,,,,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,315",89.0,75.7,25.7,26.0,89.0,25.0,0.0,,4.0,1.27,31.0,40.0,-9.0,-0.35,0.98,28.5,35.9,-7.4,-0.29,0.49,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,4.0,0.0,100.0,"€ 11,538(£ 10,023, $12,646)","€ 600,000(£ 521,175, $657,587)",Estimación no verificada,https://fbref.com/es/jugadores/afb0c500/Alexander-Nubel
2019-2020,22,Schalke 04,deGER,1.Bundesliga,26.0,"2,315",0.0,0.0,3.0,300.0,0.0,0.0,,,,,29.0,"2,615",0,0,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,3.0,851.0,1141.0,74.6,25434.0,18986.0,120.0,121.0,99.2,358.0,367.0,97.5,369.0,649.0,56.9,0.0,0.0,0.3,0.0,1.0,4.0,0.0,0.0,1.0,1141.0,786.0,355.0,89.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,851.0,0.0,0.0,1033.0,1208.0,8.0,0.0,0.0,1215.0,0.0,0.0,,0.0,,846.0,4110.0,2509.0,0.0,0.0,0.0,1.0,0.0,483.0,0.0,,,,,,,,,,,,,,,,,,8.0,0.21,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,90,90.0,2.9,1.0,1.0,90.0,1.0,0.0,,26.0,1.0,2.0,2.0,0.0,0.0,-1.67,2.9,1.3,1.6,1.63,0.6,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,7.0,1.0,87.5,"€ 96,154(£ 83,522, $105,383)","€ 5,000,000(£ 4,343,123, $5,479,891)",,https://fbref.com/es/jugadores/afb0c500/Alexander-Nubel
2020-2021,23,Bayern Munich,deGER,1.Bundesliga,1.0,90,0.0,0.0,1.0,90.0,0.0,0.0,2.0,180.0,0.0,0.0,4.0,360,0,0,38.0,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,0.0,2.0,13.0,4.0,998.0,1218.0,81.9,24812.0,17557.0,199.0,200.0,99.5,539.0,556.0,96.9,258.0,456.0,56.6,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,1218.0,1056.0,159.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,998.0,3.0,0.0,1050.0,1265.0,13.0,0.0,0.0,1278.0,0.0,0.0,,0.0,,762.0,3696.0,2160.0,0.0,0.0,0.0,0.0,0.0,733.0,0.0,,,,,,,,,,,,,,,,,,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,"3,420",90.0,100.0,38.0,38.0,90.0,38.0,0.0,,0.0,1.82,65.0,40.0,25.0,0.66,,59.3,40.3,19.0,0.5,,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,65.0,8.0,1.0,88.9,"€ 96,154(£ 83,522, $105,383)","€ 5,000,000(£ 4,343,123, $5,479,891)",,https://fbref.com/es/jugadores/afb0c500/Alexander-Nubel
2021-2022,24,Monaco,frFRA,1.Ligue 1,38.0,"3,420",0.0,0.0,1.0,90.0,0.0,0.0,7.0,630.0,0.0,0.0,46.0,"4,140",0,0,38.0,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,916.0,1208.0,75.8,23624.0,17948.0,231.0,234.0,98.7,421.0,430.0,97.9,261.0,533.0,49.0,1.0,0.3,0.2,0.7,3.0,15.0,1.0,0.0,0.0,1208.0,1016.0,186.0,76.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,916.0,6.0,1.0,1033.0,1262.0,11.0,0.0,0.0,1271.0,1.0,1.0,100.0,0.0,0.0,763.0,3486.0,2101.0,0.0,0.0,0.0,1.0,0.0,744.0,0.0,,,,,,,,,,,,,,,,,,9.0,0.29,7.0,2.0,0.0,0.0,0.0,0.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,"3,420",90.0,100.0,38.0,38.0,90.0,38.0,0.0,,0.0,1.71,70.0,58.0,12.0,0.32,,62.1,53.2,8.9,0.23,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,3.0,1.0,75.0,"€ 96,154(£ 82,722, $105,140)","€ 5,000,000(£ 4,301,552, $5,467,303)",,https://fbref.com/es/jugadores/afb0c500/Alexander-Nubel
2022-2023,25,Monaco,frFRA,1.Ligue 1,38.0,"3,420",0.0,0.0,,,,,8.0,750.0,0.0,0.0,46.0,"4,170",0,0,30.0,"2,700",30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,700",90.0,88.2,30.0,30.0,90.0,30.0,0.0,,0.0,2.1,69.0,36.0,33.0,1.1,-0.4,63.8,33.8,30.1,1.0,0.34,,,,,,,,,,,,,,,,,"€ 67,308(£ 56,864, $72,332)","€ 3,500,000(£ 2,956,902, $3,761,256)",,https://fbref.com/es/jugadores/afb0c500/Alexander-Nubel
