Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Alexander Nübel,deGER,PO,28-211,31,31,"2,790",31.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Partidos,9.0,0.29,7.0,2.0,0.0,0.0,0.0,0.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,916.0,1208.0,75.8,23624.0,17948.0,231.0,234.0,98.7,421.0,430.0,97.9,261.0,533.0,49.0,0.2,0.7,3.0,15.0,1.0,0.0,1016.0,186.0,76.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,0.0,,,,,0.0,0.0,1271.0,0.0,1.0,100.0,0.0,0.0,763.0,0.0,1.0,0.0,744.0,51.0,1.65,130.0,79.0,62.3,11.0,8.0,12.0,5.0,16.1,2.0,2.0,2.0,2.0,33.3,1.0,7.0,43.1,0.32,-6.9,-0.22,1092.0,129.0,31.7,31.4,46.4,40.3,383.0,16.0,4.2,54.0,1.74,18.0,90,100.0,90,31,0,,0,1.32,56,51,+5,+0.16,,53.2,44.9,+8.3,+0.27,,0.0,0.0,4.0,0.0,0.0,0.0,67.0,75.0,/es/jugadores/afb0c500/Alexander-Nubel
Angelo Stiller,deGER,CC,24-025,30,29,"2,636",29.3,1,8,9,1,0,0,5,0,1.8,1.8,7.1,8.9,35,271,66,0.03,0.27,0.31,0.03,0.31,0.06,0.24,0.30,0.06,0.30,Partidos,104.0,3.55,83.0,16.0,2.0,0.0,2.0,1.0,10.0,0.34,8.0,2.0,0.0,0.0,0.0,0.0,48.0,26.0,18.0,24.0,6.0,14.0,29.0,48.3,15.0,29.0,9.0,20.0,25.0,73.0,49.0,4.0,2104.0,2411.0,87.3,35332.0,11979.0,983.0,1051.0,93.5,908.0,1009.0,90.0,167.0,268.0,62.3,8.3,0.9,55.0,253.0,49.0,10.0,2233.0,168.0,79.0,15.0,6.0,90.0,7.0,46.0,23.0,10.0,0.0,10.0,4.0,19.0,0.72,0.14,0.05,0.25,20.6,0.08,-0.8,-0.8,2643.0,30.0,20.0,69.0,9.0,31.0,1503.0,3.0,20.0,23.0,1996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,94.5,90,27,1,34,0,1.27,50,51,-1,-0.03,-3.54,49.2,43.5,+5.7,+0.20,-1.31,0.0,20.0,44.0,26.0,1.0,0.0,136.0,39.5,/es/jugadores/3b1ed320/Angelo-Stiller
Atakan Karazor,,CC,28-198,29,28,"2,348",26.1,1,4,5,1,0,0,10,1,1.3,1.3,2.2,3.5,16,123,30,0.04,0.15,0.19,0.04,0.19,0.05,0.08,0.13,0.05,0.13,Partidos,34.0,1.3,27.0,1.0,0.0,1.0,3.0,2.0,6.0,0.23,4.0,0.0,0.0,1.0,0.0,1.0,52.0,27.0,16.0,26.0,10.0,25.0,53.0,47.2,28.0,34.0,6.0,28.0,27.0,79.0,48.0,1.0,1432.0,1654.0,86.6,21423.0,6604.0,796.0,877.0,90.8,511.0,570.0,89.6,74.0,115.0,64.3,2.3,1.8,13.0,131.0,15.0,0.0,1541.0,108.0,106.0,6.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,36.4,0.42,0.15,0.09,0.25,16.9,0.12,-0.3,-0.3,1895.0,21.0,12.0,63.2,3.0,15.8,976.0,1.0,29.0,15.0,1260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,84.2,83,18,1,21,0,1.41,48,43,+5,+0.19,+0.19,44.2,37.1,+7.1,+0.27,+0.03,1.0,33.0,54.0,27.0,0.0,0.0,158.0,54.5,/es/jugadores/5762be5c/Atakan-Karazor
Maximilian Mittelstädt,deGER,DF,28-042,28,25,"2,223",24.7,1,6,7,1,0,0,5,0,0.7,0.7,4.2,4.9,53,163,134,0.04,0.24,0.28,0.04,0.28,0.03,0.17,0.20,0.03,0.20,Partidos,82.0,3.32,73.0,6.0,2.0,0.0,0.0,1.0,11.0,0.45,11.0,0.0,0.0,0.0,0.0,0.0,76.0,53.0,41.0,28.0,7.0,51.0,71.0,71.8,20.0,41.0,11.0,30.0,40.0,116.0,88.0,2.0,1492.0,1795.0,83.1,24205.0,7721.0,785.0,845.0,92.9,569.0,678.0,83.9,112.0,210.0,53.3,6.0,1.8,41.0,146.0,55.0,29.0,1540.0,249.0,25.0,2.0,11.0,148.0,213.0,10.0,1.0,8.0,0.0,6.0,3.0,17.6,0.69,0.12,0.06,0.33,23.6,0.04,0.3,0.3,2116.0,27.0,18.0,52.9,13.0,38.2,1087.0,2.0,24.0,7.0,1349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,79.7,85,17,3,30,1,1.14,42,41,+1,+0.04,-0.59,41.4,35.0,+6.3,+0.26,-0.05,0.0,23.0,38.0,53.0,0.0,0.0,107.0,60.5,/es/jugadores/88d4144a/Maximilian-Mittelstadt
Julian Chabot,deGER,DF,27-076,28,24,"2,025",22.5,3,1,4,3,0,0,10,1,1.8,1.8,0.2,1.9,6,95,3,0.13,0.04,0.18,0.13,0.18,0.08,0.01,0.09,0.08,0.09,Partidos,20.0,0.89,18.0,1.0,0.0,1.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,32.0,21.0,16.0,14.0,2.0,13.0,29.0,44.8,16.0,25.0,16.0,9.0,35.0,67.0,126.0,0.0,1506.0,1690.0,89.1,26603.0,10247.0,658.0,694.0,94.8,702.0,756.0,92.9,120.0,202.0,59.4,0.8,0.8,5.0,118.0,5.0,0.0,1580.0,109.0,53.0,0.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,17.6,0.76,0.13,0.18,1.0,12.5,0.1,1.2,1.2,1955.0,28.0,3.0,60.0,2.0,40.0,1150.0,2.0,10.0,2.0,1318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,72.6,82,16,4,12,0,1.39,40,36,+4,+0.18,+0.06,40.6,30.9,+9.7,+0.43,+0.60,1.0,33.0,23.0,21.0,0.0,0.0,94.0,62.4,/es/jugadores/ae7058f9/Julian-Chabot
Chris Führich,deGER,"CC,DL",27-110,30,21,"1,796",20.0,2,2,4,2,0,0,1,0,2.2,2.2,3.0,5.2,101,86,185,0.10,0.10,0.20,0.10,0.20,0.11,0.15,0.26,0.11,0.26,Partidos,76.0,3.81,59.0,6.0,4.0,7.0,0.0,0.0,7.0,0.35,5.0,1.0,0.0,1.0,0.0,0.0,13.0,8.0,3.0,5.0,5.0,11.0,25.0,44.0,14.0,21.0,2.0,19.0,6.0,19.0,17.0,0.0,728.0,913.0,79.7,10269.0,2960.0,450.0,502.0,89.6,216.0,277.0,78.0,38.0,73.0,52.1,5.3,-1.0,27.0,37.0,43.0,11.0,836.0,74.0,9.0,8.0,1.0,76.0,24.0,41.0,17.0,0.0,0.0,3.0,9.0,30.0,1.5,0.45,0.07,0.22,17.4,0.07,-0.2,-0.2,1111.0,103.0,38.0,46.9,40.0,49.4,707.0,49.0,35.0,24.0,821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,64.4,75,4,9,24,0,1.37,34,28,+6,+0.30,+0.39,31.4,27.2,+4.2,+0.21,-0.15,0.0,7.0,6.0,8.0,0.0,0.0,60.0,33.3,/es/jugadores/0cf778df/Chris-Fuhrich
Enzo Millot,frFRA,"CC,DL",22-286,27,21,"1,718",19.1,5,4,9,5,0,1,8,0,7.2,6.3,2.8,9.1,40,109,121,0.26,0.21,0.47,0.26,0.47,0.37,0.15,0.52,0.33,0.48,Partidos,62.0,3.25,45.0,2.0,5.0,7.0,3.0,0.0,9.0,0.47,7.0,0.0,1.0,1.0,0.0,0.0,26.0,12.0,10.0,13.0,3.0,9.0,30.0,30.0,21.0,26.0,0.0,26.0,11.0,37.0,6.0,1.0,876.0,1038.0,84.4,12467.0,2992.0,551.0,605.0,91.1,270.0,314.0,86.0,39.0,73.0,53.4,3.3,1.2,20.0,76.0,28.0,2.0,991.0,46.0,9.0,5.0,5.0,38.0,10.0,19.0,3.0,10.0,1.0,1.0,15.0,38.5,2.04,0.79,0.13,0.33,16.7,0.16,-2.2,-1.3,1279.0,67.0,30.0,45.5,35.0,53.0,753.0,11.0,46.0,33.0,972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,61.6,77,7,6,19,2,1.41,37,30,+7,+0.37,+0.53,31.0,26.5,+4.5,+0.24,-0.08,0.0,22.0,35.0,12.0,0.0,1.0,92.0,24.0,/es/jugadores/f76022e7/Enzo-Millot
Ermedin Demirović,baBIH,DL,27-035,31,20,"1,788",19.9,13,0,13,13,0,2,2,0,12.3,10.6,1.4,12.0,19,29,111,0.65,0.00,0.65,0.65,0.65,0.62,0.07,0.69,0.53,0.60,Partidos,41.0,2.06,32.0,0.0,1.0,5.0,3.0,0.0,5.0,0.25,3.0,0.0,0.0,1.0,1.0,0.0,10.0,6.0,2.0,3.0,5.0,1.0,8.0,12.5,7.0,14.0,3.0,11.0,3.0,13.0,10.0,0.0,247.0,353.0,70.0,2857.0,582.0,164.0,218.0,75.2,60.0,82.0,73.2,2.0,4.0,50.0,1.4,-1.4,16.0,14.0,9.0,0.0,335.0,15.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,42.9,2.82,1.21,0.23,0.54,11.9,0.19,0.7,2.4,551.0,113.0,4.0,16.7,19.0,79.2,292.0,8.0,37.0,27.0,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,64.1,79,6,11,19,0,1.32,36,33,+3,+0.15,-0.03,34.8,27.9,+6.9,+0.35,+0.22,0.0,23.0,27.0,6.0,0.0,0.0,28.0,43.0,/es/jugadores/ed79b7d3/Ermedin-Demirovic
Jamie Leweling,deGER,"CC,DL",24-062,24,19,"1,460",16.2,2,2,4,2,0,0,4,0,1.1,1.1,3.4,4.5,52,48,146,0.12,0.12,0.25,0.12,0.25,0.07,0.21,0.28,0.07,0.28,Partidos,42.0,2.59,28.0,0.0,8.0,2.0,4.0,0.0,7.0,0.43,2.0,0.0,1.0,2.0,2.0,0.0,16.0,6.0,6.0,3.0,7.0,11.0,24.0,45.8,13.0,21.0,1.0,20.0,10.0,26.0,17.0,1.0,372.0,530.0,70.2,5460.0,1335.0,224.0,269.0,83.3,127.0,166.0,76.5,14.0,45.0,31.1,2.6,-1.4,21.0,24.0,24.0,9.0,510.0,15.0,1.0,2.0,1.0,54.0,14.0,0.0,0.0,0.0,0.0,5.0,15.0,57.7,1.6,0.92,0.08,0.13,19.8,0.04,0.9,0.9,743.0,63.0,39.0,49.4,32.0,40.5,495.0,17.0,40.0,34.0,547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,52.3,71,2,5,22,0,1.25,29,25,+4,+0.25,+0.18,26.1,23.1,+3.0,+0.18,-0.18,0.0,17.0,26.0,6.0,2.0,0.0,68.0,55.6,/es/jugadores/13fe7b69/Jamie-Leweling
Josha Vagnoman,deGER,"DF,CC",24-139,23,18,"1,702",18.9,1,1,2,1,0,0,4,0,1.4,1.4,1.5,2.9,23,44,83,0.05,0.05,0.11,0.05,0.11,0.07,0.08,0.15,0.07,0.15,Partidos,26.0,1.38,22.0,1.0,1.0,1.0,1.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,10.0,11.0,2.0,16.0,30.0,53.3,14.0,15.0,2.0,13.0,12.0,35.0,54.0,1.0,653.0,818.0,79.8,10290.0,2929.0,339.0,389.0,87.1,248.0,304.0,81.6,47.0,77.0,61.0,1.6,-0.5,19.0,32.0,15.0,7.0,702.0,116.0,11.0,1.0,1.0,37.0,105.0,0.0,0.0,0.0,0.0,0.0,6.0,42.9,0.74,0.32,0.07,0.17,16.6,0.1,-0.4,-0.4,1008.0,32.0,8.0,29.6,16.0,59.3,481.0,10.0,25.0,19.0,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,61.0,85,11,5,33,2,1.57,32,30,+2,+0.11,-0.14,33.1,25.1,+7.9,+0.42,+0.39,0.0,16.0,19.0,11.0,0.0,1.0,82.0,50.0,/es/jugadores/fb377d11/Josha-Vagnoman
