titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
3,255,2.8,0,2,2,0,0,0,0,0,,,,,,,,0.0,0.71,0.71,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,255,43,8.6,2.8,3,,1,3,,6,1.83,8,5,3,1.06,1.22,,,,,,0,0,,4.0,,,,,,,,,,,,
9,933,10.4,1,0,1,1,0,0,1,0,,,,,,,,0.1,0.0,0.1,0.1,0.1,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,4.0,,0.0,0.39,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,933,58,32.4,10.4,9,,7,7,,12,1.44,13,11,2,0.19,0.33,,,,,,1,0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
16,"1,564",17.4,2,2,4,2,0,0,2,0,,,,,,,,0.12,0.12,0.23,0.12,0.23,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,7.0,,0.0,0.4,,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,564",71,54.3,17.4,16,,12,6,,10,1.3,20,28,-8,-0.46,-0.46,,,,,,2,0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
30,"2,461",27.3,6,2,8,6,0,0,8,0,,,,,,,,0.22,0.07,0.29,0.22,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,461",82,85.5,27.3,30,82.0,20,0,,0,1.5,35,33,2,0.07,-0.79,,,,,,8,0,0.0,,,,,,,,,1.0,,,,
23,"2,086",23.2,5,2,7,5,0,0,7,0,,,,,,,,0.22,0.09,0.3,0.22,0.3,,,,,,,23.0,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,36.0,15.0,41.7,1.55,0.65,0.14,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,086",67,64.4,23.2,23,80.0,15,8,31.0,2,1.81,37,27,10,0.43,-0.04,,,,,,7,0,0.0,31.0,26.0,1.0,22.0,26.0,23.0,,,0.0,,,,
18,"1,535",17.1,5,3,8,5,0,0,3,0,,,,,,,,0.29,0.18,0.47,0.29,0.47,,,,,,,21.0,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,27.0,12.0,44.4,1.58,0.7,0.19,0.42,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,535",67,53.3,17.1,18,80.0,9,5,20.0,1,1.78,31,30,1,0.06,-0.41,,,,,,3,0,0.0,24.0,24.0,1.0,14.0,26.0,21.0,,,0.0,,,,
19,"1,714",19.0,5,1,6,5,0,0,4,0,,,,,,,,0.26,0.05,0.32,0.26,0.32,,,,,,,19.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,23.0,8.0,34.8,1.21,0.42,0.22,0.63,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,714",78,59.5,19.0,19,85.0,13,3,30.0,1,2.27,39,11,28,1.47,0.78,,,,,,4,0,0.0,33.0,12.0,8.0,14.0,21.0,19.0,,,1.0,,,,
21,"1,855",20.6,3,3,6,3,0,0,5,0,3.1,3.1,1.8,4.9,19.0,61.0,55.0,0.15,0.15,0.29,0.15,0.29,0.15,0.09,0.24,0.15,0.24,34.0,17.0,15.0,18.0,1.0,10.0,37.0,27.0,27.0,34.0,11.0,23.0,16.0,50.0,37.0,0.0,412.0,622.0,66.2,6130.0,2060.0,236.0,307.0,76.9,142.0,196.0,72.4,19.0,51.0,37.3,3,1.8,2.6,1.2,16.0,34.0,20.0,3.0,61.0,622.0,609.0,5.0,2.0,2.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,412.0,8.0,27.0,47.0,200.0,429.0,213.0,57.0,834.0,16.0,9.0,56.3,5.0,31.3,368.0,1523.0,655.0,19.0,17.0,6.0,25.0,11.0,485.0,55.0,3,19.0,7.0,36.8,0.92,0.34,0.16,0.43,12.5,0.0,0,0,3.1,3.1,0.16,-0.1,-0.1,31.0,1.51,29.0,0.0,0.0,0.0,1.0,1.0,6.0,0.29,6.0,0.0,0.0,0.0,0.0,0.0,"1,855",58,60.6,20.6,21,79.0,7,11,18.0,1,1.09,31,37,-6,-0.29,0.23,23.3,29.7,-6.4,-0.31,0.09,5,0,0.0,32.0,19.0,0.0,13.0,16.0,17.0,0.0,0.0,0.0,95.0,52.0,45.0,53.6
26,"2,327",25.9,3,1,4,3,0,0,5,1,4.4,4.4,1.9,6.3,24.0,85.0,60.0,0.12,0.04,0.15,0.12,0.15,0.17,0.07,0.24,0.17,0.24,52.0,22.0,21.0,23.0,8.0,18.0,50.0,36.0,32.0,42.0,23.0,19.0,23.0,75.0,55.0,0.0,775.0,1042.0,74.4,12813.0,4152.0,383.0,491.0,78.0,332.0,414.0,80.2,50.0,86.0,58.1,1,1.9,1.8,-0.9,25.0,68.0,18.0,3.0,85.0,1042.0,998.0,38.0,19.0,2.0,4.0,10.0,8.0,0.0,0.0,0.0,0.0,775.0,6.0,28.0,70.0,357.0,729.0,238.0,61.0,1306.0,14.0,7.0,50.0,6.0,42.9,619.0,2659.0,1339.0,24.0,20.0,4.0,16.0,14.0,763.0,60.0,3,40.0,11.0,27.5,1.55,0.43,0.08,0.27,15.8,0.0,0,0,4.4,4.4,0.11,-1.4,-1.4,54.0,2.09,46.0,2.0,0.0,4.0,1.0,1.0,5.0,0.19,3.0,0.0,0.0,1.0,1.0,0.0,"2,327",78,76.0,25.9,26,85.0,15,4,29.0,0,1.2,32,39,-7,-0.27,-0.39,34.6,41.5,-6.9,-0.27,0.06,5,1,0.0,49.0,39.0,2.0,10.0,23.0,22.0,1.0,0.0,0.0,165.0,63.0,34.0,64.9
23,"1,953",21.7,7,5,12,7,0,0,9,0,5.6,5.6,2.7,8.3,24.0,91.0,79.0,0.32,0.23,0.55,0.32,0.55,0.26,0.12,0.38,0.26,0.38,42.0,25.0,20.0,19.0,3.0,23.0,42.0,54.8,19.0,38.0,8.0,30.0,17.0,59.0,38.0,2.0,674.0,880.0,76.6,11142.0,3463.0,330.0,391.0,84.4,248.0,308.0,80.5,62.0,112.0,55.4,5,2.7,3.5,2.3,20.0,60.0,23.0,4.0,91.0,880.0,857.0,19.0,17.0,6.0,7.0,22.0,2.0,0.0,0.0,0.0,0.0,674.0,4.0,21.0,37.0,278.0,576.0,274.0,68.0,1119.0,16.0,7.0,43.8,8.0,50.0,588.0,2336.0,1063.0,24.0,21.0,5.0,24.0,9.0,733.0,79.0,7,36.0,10.0,27.8,1.66,0.46,0.19,0.7,12.9,0.0,0,0,5.6,5.6,0.16,1.4,1.4,55.0,2.53,45.0,0.0,1.0,3.0,4.0,2.0,13.0,0.6,11.0,0.0,1.0,0.0,1.0,0.0,"1,953",78,70.0,21.7,23,83.0,15,2,27.0,1,1.56,33,33,0,0.0,0.65,28.5,26.6,2.0,0.09,0.31,9,0,0.0,34.0,27.0,4.0,22.0,17.0,25.0,0.0,0.0,0.0,100.0,28.0,21.0,57.1
