titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
3,372,4.1,0,1,1,0,0,0,2,1,,,,,,,,0.0,0.24,0.24,0.0,0.24,,,,,,,7,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,0.0,0.97,0.0,0.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,372,29,12.2,4.1,3,,1,10,,14,1.85,6,6,0,0.0,-0.3,,,,,,2,1,1,12,9,1,0,10,7,0.0,0.0,0,,,,
19,"1,670",18.6,0,1,1,0,0,0,5,0,0.8,0.8,1.7,2.5,17.0,88.0,38.0,0.0,0.05,0.05,0.0,0.05,0.04,0.09,0.14,0.04,0.14,56.0,42,24.0,29.0,3.0,28.0,54.0,51.9,26.0,27.0,5.0,22.0,29,85.0,22.0,1.0,720.0,922.0,78.1,11749.0,3369.0,340.0,425.0,80.0,298.0,362.0,82.3,53.0,77.0,68.8,1,1.7,1.6,-0.7,18.0,76.0,14.0,1.0,88.0,922.0,885.0,35.0,32.0,1.0,3.0,1,3.0,0.0,0.0,0.0,0.0,720.0,2.0,21.0,34.0,210.0,736.0,178.0,26.0,1111.0,20.0,7.0,35.0,13.0,65.0,506.0,2615.0,1192.0,17.0,11.0,2.0,26.0,17.0,701.0,38.0,0,15,3,20.0,0.81,0.16,0.0,0.0,19.3,0.0,0,0,0.8,0.8,0.05,-0.8,-0.8,47.0,2.53,35.0,1.0,2.0,3.0,3.0,3.0,4.0,0.22,3.0,0.0,0.0,0.0,1.0,0.0,"1,670",73,54.6,18.6,19,,14,4,,5,0.96,21,31,-10,-0.54,1.08,24.2,39.5,-15.4,-0.83,-0.26,5,0,0,52,44,1,1,29,42,0.0,1.0,0,115.0,68.0,54.0,55.7
7,618,6.9,1,0,1,1,0,0,2,0,,,,,,,,0.15,0.0,0.15,0.15,0.15,,,,,,,14,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,3,25.0,1.75,0.44,0.08,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,618,41,20.2,6.9,7,78.0,4,8,9.0,11,2.2,11,7,4,0.58,-0.63,,,,,,2,0,0,13,19,2,5,7,14,0.0,0.0,0,,,,
26,"2,207",24.5,5,7,12,5,0,1,3,0,,,,,,,,0.2,0.29,0.49,0.2,0.49,,,,,,,23,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,47,15,31.9,1.92,0.61,0.11,0.33,,,0,1,,,,,,,,,,,,,,,,,,,,,,"2,207",79,72.1,24.5,26,83.0,19,2,20.0,0,1.29,38,42,-4,-0.16,-0.27,,,,,,3,0,0,41,72,9,71,30,23,,,0,,,,
15,"1,371",15.2,0,1,1,0,0,0,3,0,0.5,0.5,1.3,1.8,16.0,49.0,50.0,0.0,0.07,0.07,0.0,0.07,0.03,0.09,0.12,0.03,0.12,21.0,13,11.0,10.0,0.0,12.0,33.0,36.4,21.0,11.0,2.0,9.0,20,41.0,14.0,1.0,556.0,703.0,79.1,9192.0,2349.0,265.0,312.0,84.9,221.0,265.0,83.4,44.0,72.0,61.1,1,1.3,1.4,-0.3,12.0,40.0,3.0,1.0,49.0,703.0,649.0,50.0,39.0,1.0,6.0,12,9.0,0.0,0.0,0.0,0.0,556.0,4.0,10.0,24.0,173.0,544.0,149.0,15.0,859.0,18.0,7.0,38.9,11.0,61.1,454.0,2242.0,1018.0,16.0,15.0,2.0,35.0,22.0,532.0,50.0,0,11,5,45.5,0.72,0.33,0.0,0.0,23.1,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5,28.0,1.84,20.0,3.0,1.0,0.0,4.0,0.0,3.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,"1,371",49,44.8,15.2,15,80.0,7,13,14.0,6,1.04,13,27,-14,-0.92,-0.28,15.3,25.4,-10.0,-0.66,-0.5,3,0,0,32,43,4,12,20,13,0.0,1.0,0,116.0,34.0,30.0,53.1
26,"2,312",25.7,2,0,2,2,0,0,5,0,1.9,1.9,1.0,2.9,39.0,113.0,47.0,0.08,0.0,0.08,0.08,0.08,0.08,0.04,0.11,0.08,0.11,42.0,30,14.0,23.0,5.0,22.0,51.0,43.1,29.0,37.0,5.0,32.0,51,93.0,35.0,1.0,1128.0,1360.0,82.9,19294.0,4884.0,486.0,570.0,85.3,520.0,590.0,88.1,97.0,133.0,72.9,0,1.0,1.9,-1.0,19.0,90.0,12.0,5.0,113.0,1360.0,1267.0,87.0,74.0,3.0,6.0,18,12.0,0.0,0.0,0.0,0.0,1128.0,6.0,15.0,54.0,437.0,995.0,241.0,53.0,1650.0,40.0,25.0,62.5,15.0,37.5,837.0,4263.0,2007.0,39.0,25.0,3.0,26.0,28.0,941.0,47.0,2,27,6,22.2,1.05,0.23,0.07,0.33,16.0,0.0,0,0,1.9,1.9,0.07,0.1,0.1,54.0,2.1,41.0,2.0,1.0,4.0,4.0,2.0,6.0,0.23,4.0,0.0,0.0,2.0,0.0,0.0,"2,312",75,75.6,25.7,26,86.0,23,5,13.0,2,1.55,36,36,0,0.0,-0.36,35.7,38.1,-2.3,-0.09,-0.3,5,0,0,38,53,1,18,51,30,0.0,0.0,0,225.0,53.0,43.0,55.2
17,"1,576",17.5,0,1,1,0,0,0,6,0,0.6,0.6,0.5,1.1,6.0,81.0,23.0,0.0,0.06,0.06,0.0,0.06,0.03,0.03,0.06,0.03,0.06,31.0,18,10.0,16.0,5.0,16.0,39.0,41.0,23.0,24.0,2.0,22.0,28,59.0,19.0,1.0,882.0,999.0,88.3,13911.0,3887.0,446.0,489.0,91.2,317.0,357.0,88.8,69.0,91.0,75.8,1,0.5,0.5,0.5,9.0,75.0,7.0,1.0,81.0,999.0,959.0,39.0,31.0,1.0,6.0,3,6.0,0.0,0.0,0.0,0.0,882.0,1.0,7.0,39.0,286.0,773.0,115.0,7.0,1171.0,12.0,6.0,50.0,5.0,41.7,663.0,2578.0,1014.0,6.0,10.0,0.0,18.0,21.0,759.0,23.0,0,3,1,33.3,0.17,0.06,0.0,0.0,9.3,0.0,0,0,0.6,0.6,0.19,-0.6,-0.6,24.0,1.37,21.0,2.0,0.0,0.0,0.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,"1,576",61,51.5,17.5,17,80.0,10,9,24.0,5,2.15,37,22,15,0.86,-0.6,34.2,23.4,10.8,0.61,-0.42,6,0,0,26,24,0,3,28,18,0.0,0.0,0,126.0,20.0,19.0,51.3
13,"1,184",13.2,0,0,0,0,0,0,3,0,0.2,0.2,1.0,1.2,16.0,57.0,24.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,20.0,12,11.0,8.0,1.0,10.0,18.0,55.6,8.0,28.0,3.0,25.0,17,37.0,18.0,1.0,680.0,794.0,85.6,11028.0,2214.0,344.0,373.0,92.2,277.0,316.0,87.7,40.0,65.0,61.5,0,1.0,0.8,-1.0,11.0,54.0,7.0,0.0,57.0,794.0,758.0,35.0,27.0,4.0,4.0,1,7.0,0.0,0.0,0.0,0.0,680.0,1.0,13.0,34.0,212.0,613.0,111.0,3.0,933.0,11.0,6.0,54.5,4.0,36.4,486.0,2247.0,1091.0,16.0,15.0,0.0,13.0,7.0,617.0,24.0,0,5,2,40.0,0.38,0.15,0.0,0.0,24.5,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,23.0,1.75,22.0,0.0,0.0,0.0,1.0,0.0,4.0,0.3,4.0,0.0,0.0,0.0,0.0,0.0,"1,184",51,38.7,13.2,13,78.0,8,10,17.0,9,1.91,27,21,6,0.46,-0.46,24.7,24.1,0.6,0.04,-0.48,3,0,0,22,22,2,1,17,12,0.0,0.0,0,86.0,16.0,15.0,51.6
3,382,4.2,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,4.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.17,0.08,0.17,11.0,7,6.0,4.0,1.0,7.0,12.0,58.3,5.0,7.0,0.0,7.0,11,22.0,10.0,0.0,189.0,245.0,77.1,3089.0,1024.0,82.0,95.0,86.3,94.0,115.0,81.7,8.0,22.0,36.4,0,0.4,0.3,-0.4,5.0,24.0,7.0,1.0,31.0,245.0,234.0,9.0,6.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,189.0,2.0,1.0,13.0,76.0,167.0,60.0,7.0,302.0,2.0,2.0,100.0,0.0,0.0,125.0,530.0,226.0,4.0,6.0,2.0,4.0,1.0,156.0,4.0,0,4,0,0.0,0.94,0.0,0.0,,13.2,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3,10.0,2.35,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382,38,13.7,4.2,3,79.0,1,7,21.0,2,2.2,9,6,3,0.71,0.41,8.5,4.1,4.5,1.05,0.62,0,0,0,11,7,0,3,11,7,0.0,0.0,0,32.0,15.0,7.0,68.2
3,353,3.9,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,6.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.2,0.23,0.03,0.23,2.0,2,1.0,0.0,1.0,1.0,5.0,20.0,4.0,5.0,1.0,4.0,7,9.0,5.0,0.0,164.0,216.0,75.9,2596.0,801.0,83.0,98.0,84.7,64.0,78.0,82.1,10.0,25.0,40.0,0,0.8,0.6,-0.8,5.0,19.0,4.0,0.0,22.0,216.0,201.0,15.0,10.0,3.0,2.0,8,0.0,4.0,1.0,3.0,0.0,164.0,0.0,5.0,8.0,37.0,164.0,52.0,3.0,252.0,6.0,4.0,66.7,2.0,33.3,128.0,611.0,268.0,6.0,5.0,0.0,5.0,1.0,142.0,5.0,0,2,0,0.0,0.51,0.0,0.0,,24.6,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,11.0,2.8,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353,32,12.7,3.9,3,75.0,2,8,16.0,7,1.55,5,7,-2,-0.51,-0.77,7.5,6.4,1.1,0.29,0.46,0,0,0,5,6,0,8,7,2,0.0,0.0,0,27.0,5.0,4.0,55.6
