Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,18,BTSV,deGER,2.2. Bundesliga,8,368,1,0,,,,,,,,,8,368,1,0,4,368,4.1,1,0,1,1,0,0,0,0,,,,,,,,0.24,0.0,0.24,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,0.98,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,368,46,12.0,4.1,4,,2,4,,2,1.13,4,9,-5,-1.22,-1.59,,,,,,0,0,,9.0,,,,,,,,,,,,,"€ 14,423(£ 12,185, $15,500)","€ 750,000(£ 633,622, $805,984)",Estimación no verificada,https://fbref.com/es/jugadores/3397e7b5/Phillip-Tietz
2016-2017,19,BTSV,deGER,2.2. Bundesliga,2,15,0,0,,,,,,,,,2,15,0,0,0,15,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,,0.0,6.0,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,15,8,0.5,0.2,0,,0,2,,1,3.0,0,0,0,0.0,-0.41,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 14,423(£ 12,398, $16,380)","€ 750,000(£ 644,688, $851,784)",Estimación no verificada,https://fbref.com/es/jugadores/3397e7b5/Phillip-Tietz
2017-2018,20,BTSV,deGER,2.2. Bundesliga,2,25,0,0,,,,,,,,,2,25,0,0,0,25,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,0.0,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,25,13,0.8,0.3,0,,0,2,,1,0.5,0,2,-2,-7.2,-7.08,,,,,,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 14,423(£ 12,398, $16,380)","€ 750,000(£ 644,688, $851,784)",Estimación no verificada,https://fbref.com/es/jugadores/3397e7b5/Phillip-Tietz
2017-2018,20,Paderborn 07,deGER,3.3. Liga,18,"1,215",6,3,1.0,45.0,0.0,0.0,,,,,19,"1,260",6,3,14,"1,215",13.5,6,3,9,6,0,0,1,0,,,,,,,,0.44,0.22,0.67,0.44,0.67,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0,12,,0.0,0.89,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,215",68,35.5,13.5,14,,6,4,,0,2.17,35,5,30,2.22,1.12,,,,,,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 14,423(£ 12,398, $16,380)","€ 750,000(£ 644,688, $851,784)",Estimación no verificada,https://fbref.com/es/jugadores/3397e7b5/Phillip-Tietz
2018-2019,21,Paderborn 07,deGER,2.2. Bundesliga,1,65,0,0,,,,,,,,,1,65,0,0,1,65,0.7,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,,0.0,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,65,65,2.1,0.7,1,65.0,0,0,,1,0.0,0,1,-1,-1.38,-2.2,,,,,,1,0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,
2018-2019,21,Carl Zeiss Jena,deGER,3.3. Liga,32,"2,229",11,3,1.0,90.0,0.0,0.0,,,,,33,"2,319",11,3,26,"2,229",24.8,11,3,14,9,2,2,2,0,,,,,,,,0.44,0.12,0.57,0.36,0.48,,,,,,,6.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,40.0,19,47.5,1.62,0.77,0.23,0.47,,,2,2,,,,,,,,,,,,,,,,,,,,,,"2,229",70,65.2,24.8,26,80.0,17,6,23.0,0,1.09,31,43,-12,-0.48,-0.71,,,,,,2,0,0.0,31.0,21.0,4.0,4.0,2.0,6.0,1.0,0.0,0.0,,,,,,,,
2019-2020,22,Wehen,deGER,2.2. Bundesliga,17,429,5,1,,,,,,,,,17,429,5,1,2,429,4.8,5,1,6,3,2,2,2,0,,,,,,,,1.05,0.21,1.26,0.63,0.84,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15.0,7,46.7,3.15,1.47,0.2,0.43,,,2,2,,,,,,,,,,,,,,,,,,,,,,429,25,14.0,4.8,2,90.0,2,15,17.0,1,1.06,11,12,-1,-0.21,0.44,,,,,,2,0,0.0,10.0,6.0,5.0,2.0,0.0,1.0,,,0.0,,,,,,,,
2020-2021,23,Wehen,deGER,3.3. Liga,33,"2,282",11,6,2.0,210.0,1.0,0.0,,,,,35,"2,492",12,6,24,"2,282",25.4,11,6,17,7,4,4,6,1,,,,,,,,0.43,0.24,0.67,0.28,0.51,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,15.0,11,73.3,0.59,0.43,0.47,0.64,,,4,4,,,,,,,,,,,,,,,,,,,,,,"2,282",69,66.7,25.4,24,84.0,16,9,29.0,0,1.48,39,33,6,0.24,0.39,,,,,,6,1,0.0,5.0,5.0,2.0,0.0,0.0,2.0,,,0.0,,,,,,,,
2021-2022,24,Darmstadt 98,deGER,2.2. Bundesliga,34,"2,609",15,7,1.0,120.0,0.0,0.0,,,,,35,"2,729",15,7,31,"2,609",29.0,15,7,22,13,2,2,4,0,,,,,,,,0.52,0.24,0.76,0.45,0.69,,,,,,,14.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,80.0,41,51.3,2.76,1.41,0.16,0.32,,,2,2,,,,,,,,,,,,,,,,,,,,,,"2,609",77,85.3,29.0,31,81.0,14,3,29.0,0,1.76,61,39,22,0.76,0.16,,,,,,4,0,0.0,50.0,31.0,25.0,17.0,8.0,14.0,,,0.0,,,,,,,,
2022-2023,25,Darmstadt 98,deGER,2.2. Bundesliga,34,"2,888",12,3,3.0,247.0,2.0,0.0,,,,,37,"3,135",14,3,34,"2,888",32.1,12,3,15,12,0,1,4,0,,,,,,,,0.37,0.09,0.47,0.37,0.47,,,,,,,7.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,98.0,35,35.7,3.05,1.09,0.12,0.34,,,0,1,,,,,,,,,,,,,,,,,,,,,,"2,888",85,94.4,32.1,34,85.0,19,0,,0,1.97,49,29,20,0.62,2.19,,,,,,4,0,0.0,44.0,51.0,15.0,14.0,11.0,7.0,,,0.0,,,,,,,,
