Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,16,Laval,frFRA,2.Ligue 2,2,91,0,0,,,,,,,,,2,91,0,0,1,91,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,91,46,2.7,1.0,1,,1,1,,2,2.0,1,1,0,0.0,-0.19,,,,,,0,0,,,,,,,,,,,,,,,"€ 5,192(£ 4,510, $5,691)","€ 270,000(£ 234,529, $295,914)",Estimación no verificada,https://fbref.com/es/jugadores/ac73ec79/Nordi-Mukiele
2015-2016,17,Laval,frFRA,2.Ligue 2,15,"1,146",2,1,2.0,210.0,0.0,0.0,,,,,17,"1,356",2,1,11,"1,146",12.7,2,1,3,2,0,0,3,0,,,,,,,,0.16,0.08,0.24,0.16,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,0.16,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,146",76,33.5,12.7,11,,11,4,,10,1.13,14,18,-4,-0.31,-0.2,,,,,,3,0,,20.0,,,,,,,,,,,,,"€ 6,923(£ 6,014, $7,588)","€ 360,000(£ 312,705, $394,552)",Estimación no verificada,https://fbref.com/es/jugadores/ac73ec79/Nordi-Mukiele
2016-2017,18,Laval,frFRA,2.Ligue 2,17,"1,530",0,0,3.0,300.0,0.0,0.0,,,,,20,"1,830",0,0,17,"1,530",17.0,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1,,0.0,0.06,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,530",90,44.7,17.0,17,,17,0,,1,0.88,12,17,-5,-0.29,0.37,,,,,,1,0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 50,000(£ 43,431, $54,799)","€ 2,600,000(£ 2,258,424, $2,849,543)",Estimación no verificada,https://fbref.com/es/jugadores/ac73ec79/Nordi-Mukiele
2016-2017,18,Montpellier,frFRA,1.Ligue 1,17,"1,440",0,0,,,,,,,,,17,"1,440",0,0,16,"1,440",16.0,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,37.0,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9.0,1,11.1,0.56,0.06,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,440",85,42.1,16.0,16,,12,1,,1,0.76,16,29,-13,-0.81,-0.59,,,,,,2,0,0.0,11.0,25.0,1.0,40.0,55.0,37.0,0.0,0.0,0.0,,,,,"€ 50,000(£ 43,431, $54,799)","€ 2,600,000(£ 2,258,424, $2,849,543)",Estimación no verificada,https://fbref.com/es/jugadores/ac73ec79/Nordi-Mukiele
2017-2018,19,Montpellier,frFRA,1.Ligue 1,33,"2,791",0,1,6.0,537.0,0.0,1.0,,,,,39,"3,328",0,2,31,"2,791",31.0,0,1,1,0,0,0,5,0,1.2,1.2,2.7,3.9,82.0,200.0,80.0,0.0,0.03,0.03,0.0,0.03,0.04,0.09,0.13,0.04,0.13,70.0,55.0,41.0,25.0,4.0,25.0,44.0,56.8,19.0,26.0,14.0,12.0,73.0,143.0,104.0,2.0,1320.0,1766.0,74.7,24084.0,12350.0,619.0,704.0,87.9,522.0,676.0,77.2,161.0,299.0,53.8,1,2.7,2.5,-1.7,35.0,169.0,34.0,19.0,200.0,1766.0,1527.0,231.0,83.0,3.0,23.0,111.0,145.0,3.0,0.0,3.0,0.0,1320.0,8.0,50.0,105.0,650.0,1166.0,371.0,33.0,2147.0,63.0,41.0,65.1,22.0,34.9,1062.0,7075.0,4375.0,82.0,59.0,9.0,42.0,27.0,1245.0,80.0,0,19.0,4,21.1,0.61,0.13,0.0,0.0,23.8,0.0,0,0,1.2,1.2,0.06,-1.2,-1.2,70.0,2.26,57.0,5.0,2.0,1.0,2.0,3.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,"2,791",85,81.6,31.0,31,89.0,29,2,18.0,2,1.33,29,27,2,0.06,-0.08,36.8,32.5,4.3,0.14,0.24,5,0,0.0,34.0,65.0,1.0,111.0,73.0,55.0,0.0,0.0,0.0,245.0,71.0,34.0,67.6,"€ 50,000(£ 43,431, $54,799)","€ 2,600,000(£ 2,258,424, $2,849,543)",Estimación no verificada,https://fbref.com/es/jugadores/ac73ec79/Nordi-Mukiele
2018-2019,20,RB Leipzig,deGER,1.Bundesliga,19,"1,225",1,1,4.0,161.0,0.0,0.0,5.0,342.0,0.0,0.0,28,"1,728",1,1,14,"1,225",13.6,1,1,2,1,0,0,3,0,0.4,0.4,1.6,2.1,40.0,75.0,43.0,0.07,0.07,0.15,0.07,0.15,0.03,0.12,0.15,0.03,0.15,38.0,21.0,23.0,12.0,3.0,19.0,22.0,86.4,3.0,17.0,3.0,14.0,24.0,62.0,35.0,0.0,519.0,723.0,71.8,8089.0,3866.0,266.0,315.0,84.4,175.0,243.0,72.0,46.0,93.0,49.5,1,1.6,1.7,-0.6,11.0,40.0,18.0,8.0,75.0,723.0,591.0,127.0,21.0,2.0,4.0,32.0,106.0,0.0,0.0,0.0,0.0,519.0,5.0,18.0,47.0,227.0,452.0,225.0,15.0,894.0,27.0,18.0,66.7,9.0,33.3,353.0,2380.0,1336.0,40.0,20.0,5.0,20.0,14.0,456.0,43.0,1,8.0,3,37.5,0.59,0.22,0.13,0.33,21.9,0.0,0,0,0.4,0.4,0.05,0.6,0.6,30.0,2.2,25.0,0.0,4.0,0.0,1.0,0.0,3.0,0.22,2.0,0.0,1.0,0.0,0.0,0.0,"1,225",64,40.0,13.6,14,82.0,9,5,14.0,11,2.21,30,11,19,1.4,0.66,30.0,14.7,15.3,1.13,0.64,3,0,0.0,19.0,21.0,0.0,32.0,24.0,21.0,0.0,0.0,0.0,78.0,37.0,27.0,57.8,"€ 50,000(£ 43,431, $54,799)","€ 2,600,000(£ 2,258,424, $2,849,543)",Estimación no verificada,https://fbref.com/es/jugadores/ac73ec79/Nordi-Mukiele
2019-2020,21,RB Leipzig,deGER,1.Bundesliga,25,"1,783",3,1,2.0,180.0,0.0,0.0,10.0,698.0,0.0,0.0,37,"2,661",3,1,21,"1,783",19.8,3,1,4,3,0,0,1,0,2.8,2.8,1.3,4.1,36.0,99.0,110.0,0.15,0.05,0.2,0.15,0.2,0.14,0.06,0.2,0.14,0.2,61.0,39.0,39.0,12.0,10.0,25.0,38.0,65.8,13.0,26.0,4.0,22.0,47.0,108.0,57.0,0.0,989.0,1288.0,76.8,15139.0,6083.0,490.0,583.0,84.0,365.0,449.0,81.3,71.0,117.0,60.7,1,1.3,2.1,-0.3,14.0,59.0,20.0,4.0,99.0,1288.0,1113.0,174.0,29.0,0.0,3.0,32.0,145.0,0.0,0.0,0.0,0.0,989.0,1.0,49.0,81.0,506.0,731.0,339.0,49.0,1564.0,20.0,10.0,50.0,10.0,50.0,761.0,3385.0,1790.0,36.0,28.0,4.0,27.0,20.0,946.0,110.0,3,22.0,6,27.3,1.11,0.3,0.14,0.5,16.1,0.0,0,0,2.8,2.8,0.13,0.2,0.2,41.0,2.07,33.0,0.0,1.0,3.0,3.0,1.0,5.0,0.25,4.0,0.0,0.0,1.0,0.0,0.0,"1,783",71,58.3,19.8,21,81.0,15,4,23.0,8,2.16,51,23,28,1.41,0.29,37.5,23.9,13.6,0.69,-0.65,1,0,0.0,15.0,27.0,2.0,32.0,47.0,39.0,0.0,0.0,0.0,127.0,50.0,14.0,78.1,"€ 161,538(£ 138,973, $176,636)","€ 8,400,000(£ 7,226,607, $9,185,069)",,https://fbref.com/es/jugadores/ac73ec79/Nordi-Mukiele
2020-2021,22,RB Leipzig,deGER,1.Bundesliga,28,"1,677",3,1,5.0,373.0,0.0,0.0,7.0,548.0,1.0,0.0,40,"2,598",4,1,21,"1,677",18.6,3,1,4,3,0,0,5,0,2.6,2.6,1.5,4.1,39.0,73.0,117.0,0.16,0.05,0.21,0.16,0.21,0.14,0.08,0.22,0.14,0.22,44.0,30.0,14.0,28.0,2.0,21.0,37.0,56.8,16.0,33.0,1.0,32.0,23.0,67.0,33.0,2.0,895.0,1158.0,77.3,14987.0,5720.0,445.0,520.0,85.6,343.0,410.0,83.7,79.0,133.0,59.4,1,1.5,1.8,-0.5,11.0,64.0,16.0,6.0,73.0,1158.0,975.0,180.0,22.0,0.0,13.0,47.0,158.0,0.0,0.0,0.0,0.0,895.0,3.0,38.0,43.0,304.0,695.0,379.0,51.0,1365.0,23.0,13.0,56.5,10.0,43.5,690.0,3447.0,1964.0,39.0,30.0,4.0,24.0,13.0,825.0,117.0,3,21.0,7,33.3,1.13,0.38,0.14,0.43,13.0,0.0,0,0,2.6,2.6,0.12,0.4,0.4,29.0,1.56,26.0,0.0,0.0,0.0,3.0,0.0,4.0,0.21,3.0,0.0,0.0,0.0,1.0,0.0,"1,677",60,54.8,18.6,21,75.0,9,7,16.0,2,2.04,37,14,23,1.23,0.91,33.5,12.3,21.2,1.14,0.24,5,0,0.0,40.0,23.0,2.0,47.0,23.0,30.0,1.0,0.0,0.0,93.0,54.0,31.0,63.5,"€ 161,538(£ 136,472, $173,596)","€ 8,400,000(£ 7,096,564, $9,027,015)",,https://fbref.com/es/jugadores/ac73ec79/Nordi-Mukiele
2021-2022,23,RB Leipzig,deGER,1.Bundesliga,28,"1,842",1,3,2.0,150.0,0.0,0.0,8.0,489.0,1.0,1.0,38,"2,481",2,4,21,"1,842",20.5,1,3,4,1,0,0,3,0,1.9,1.9,3.5,5.4,26.0,76.0,100.0,0.05,0.15,0.2,0.05,0.2,0.09,0.17,0.27,0.09,0.27,35.0,22.0,23.0,9.0,3.0,14.0,27.0,51.9,13.0,31.0,5.0,26.0,31.0,66.0,44.0,2.0,851.0,1147.0,74.2,14008.0,5492.0,411.0,491.0,83.7,338.0,423.0,79.9,70.0,132.0,53.0,3,3.5,2.8,-0.5,14.0,42.0,30.0,6.0,76.0,1147.0,981.0,164.0,22.0,0.0,5.0,34.0,142.0,0.0,0.0,0.0,0.0,851.0,2.0,31.0,63.0,407.0,661.0,348.0,66.0,1401.0,40.0,20.0,50.0,20.0,50.0,681.0,3221.0,1479.0,26.0,21.0,6.0,35.0,22.0,829.0,100.0,1,22.0,7,31.8,1.07,0.34,0.05,0.14,12.7,0.0,0,0,1.9,1.9,0.09,-0.9,-0.9,29.0,1.42,25.0,1.0,1.0,1.0,1.0,0.0,5.0,0.24,4.0,0.0,0.0,0.0,1.0,0.0,"1,842",66,60.2,20.5,21,81.0,12,7,20.0,4,1.64,46,26,20,0.98,-0.13,37.9,27.4,10.5,0.51,-0.52,3,0,0.0,19.0,25.0,8.0,34.0,31.0,22.0,1.0,1.0,0.0,125.0,47.0,23.0,67.1,"€ 161,538(£ 138,856, $183,461)","€ 8,400,000(£ 7,220,505, $9,539,979)",,https://fbref.com/es/jugadores/ac73ec79/Nordi-Mukiele
2022-2023,24,Paris S-G,frFRA,1.Ligue 1,19,"1,137",0,3,2.0,103.0,0.0,0.0,4.0,111.0,0.0,0.0,25,"1,351",0,3,12,"1,137",12.6,0,3,3,0,0,0,0,0,1.0,1.0,2.1,3.1,19.0,26.0,57.0,0.0,0.24,0.24,0.0,0.24,0.08,0.17,0.25,0.08,0.25,31.0,23.0,16.0,6.0,9.0,19.0,29.0,65.5,10.0,22.0,9.0,13.0,14.0,45.0,16.0,0.0,585.0,674.0,86.8,8570.0,2494.0,320.0,342.0,93.6,220.0,253.0,87.0,19.0,29.0,65.5,3,2.1,1.4,0.9,10.0,17.0,9.0,2.0,26.0,674.0,609.0,63.0,9.0,0.0,2.0,16.0,54.0,0.0,0.0,0.0,0.0,585.0,2.0,11.0,50.0,236.0,387.0,189.0,29.0,801.0,24.0,6.0,25.0,12.0,50.0,588.0,3067.0,1363.0,19.0,10.0,3.0,12.0,12.0,548.0,57.0,0,11.0,2,18.2,0.87,0.16,0.0,0.0,11.6,0.0,0,0,1.0,1.0,0.09,-1.0,-1.0,20.0,1.58,16.0,0.0,1.0,2.0,1.0,0.0,5.0,0.4,4.0,0.0,0.0,1.0,0.0,0.0,"1,137",60,33.2,12.6,12,83.0,9,7,20.0,2,2.47,33,11,22,1.74,0.68,24.9,12.7,12.2,0.96,0.26,0,0,0.0,16.0,14.0,2.0,16.0,14.0,23.0,0.0,0.0,0.0,61.0,21.0,10.0,67.7,"€(£ , $)","€(£ , $)",,https://fbref.com/es/jugadores/ac73ec79/Nordi-Mukiele
