Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,19,Dresden,deGER,3.3. Liga,13.0,655,0.0,0.0,1.0,53.0,0.0,0.0,,,,,14,708,0,0,7.0,655,7.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3.0,,,0.41,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,655,50.0,19.2,7.3,7.0,,3.0,6.0,,2.0,1.25,7.0,12.0,-5.0,-0.69,-0.98,,,,,,1.0,0.0,,,,,,,,,,,,,,,"€ 8,462(£ 7,350, $9,274)","€ 440,000(£ 382,195, $482,230)",Estimación no verificada,https://fbref.com/es/jugadores/e0b113a7/Robert-Andrich
2015-2016,20,Dresden,deGER,3.3. Liga,8.0,277,1.0,0.0,,,,,,,,,8,277,1,0,2.0,277,3.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,,,,,,,,0.32,0.0,0.32,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,0.97,,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,277,35.0,8.1,3.1,2.0,,1.0,6.0,,17.0,2.13,6.0,6.0,0.0,0.0,-1.15,,,,,,4.0,0.0,,,,,,,,,,,,,,,"€ 8,654(£ 7,517, $9,484)","€ 450,000(£ 390,881, $493,190)",Estimación no verificada,https://fbref.com/es/jugadores/e0b113a7/Robert-Andrich
2016-2017,21,Wehen,deGER,3.3. Liga,31.0,"2,573",3.0,1.0,,,,,,,,,31,"2,573",3,1,29.0,"2,573",28.6,3.0,1.0,4.0,3.0,0.0,0.0,10.0,2.0,,,,,,,,0.1,0.03,0.14,0.1,0.14,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,13.0,,0.0,0.45,,0.23,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,573",83.0,75.2,28.6,29.0,,23.0,2.0,,0.0,1.35,36.0,32.0,4.0,0.14,0.25,,,,,,10.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 30,769(£ 26,727, $33,722)","€ 1,600,000(£ 1,389,799, $1,753,565)",Estimación no verificada,https://fbref.com/es/jugadores/e0b113a7/Robert-Andrich
2017-2018,22,Wehen,deGER,3.3. Liga,28.0,"2,332",4.0,6.0,2.0,180.0,0.0,0.0,,,,,30,"2,512",4,6,27.0,"2,332",25.9,4.0,6.0,10.0,4.0,0.0,0.0,11.0,2.0,,,,,,,,0.15,0.23,0.39,0.15,0.39,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,20.0,,0.0,0.77,,0.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,332",83.0,68.2,25.9,27.0,,22.0,1.0,,0.0,1.68,47.0,26.0,21.0,0.81,-0.51,,,,,,11.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 30,769(£ 26,471, $33,645)","€ 1,600,000(£ 1,376,497, $1,749,537)",Estimación no verificada,https://fbref.com/es/jugadores/e0b113a7/Robert-Andrich
2018-2019,23,Heidenheim,deGER,2.2. Bundesliga,25.0,"1,707",4.0,2.0,2.0,180.0,0.0,0.0,,,,,27,"1,887",4,2,20.0,"1,707",19.0,4.0,2.0,6.0,4.0,0.0,0.0,6.0,1.0,,,,,,,,0.21,0.11,0.32,0.21,0.32,,,,,,,34.0,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,45.0,13.0,28.9,2.37,0.69,0.09,0.31,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,707",68.0,55.8,19.0,20.0,78.0,8.0,5.0,29.0,6.0,1.38,31.0,28.0,3.0,0.16,-0.31,,,,,,6.0,1.0,1.0,45.0,23.0,2.0,49.0,35.0,34.0,1.0,0.0,0.0,,,,,"€ 30,769(£ 25,995, $33,066)","€ 1,600,000(£ 1,351,727, $1,719,432)",Estimación no verificada,https://fbref.com/es/jugadores/e0b113a7/Robert-Andrich
2019-2020,24,Union Berlin,deGER,1.Bundesliga,30.0,"2,572",1.0,2.0,4.0,295.0,3.0,1.0,,,,,34,"2,867",4,3,30.0,"2,572",28.6,1.0,2.0,3.0,1.0,0.0,0.0,13.0,1.0,2.6,2.6,2.1,4.7,25.0,151.0,31.0,0.03,0.07,0.1,0.03,0.1,0.09,0.07,0.16,0.09,0.16,52.0,27.0,28.0,18.0,6.0,19.0,60.0,31.7,41.0,27.0,7.0,20.0,47.0,99.0,36.0,0.0,857.0,1214.0,70.6,13887.0,5187.0,389.0,492.0,79.1,339.0,452.0,75.0,71.0,157.0,45.2,2.0,2.1,2.7,-0.1,32.0,109.0,30.0,9.0,151.0,1214.0,1174.0,35.0,20.0,5.0,10.0,39.0,2.0,7.0,2.0,2.0,0.0,857.0,5.0,24.0,60.0,350.0,897.0,312.0,28.0,1542.0,41.0,28.0,68.3,13.0,31.7,768.0,3284.0,1325.0,25.0,22.0,5.0,36.0,17.0,831.0,31.0,1.0,49.0,7.0,14.3,1.71,0.24,0.02,0.14,24.9,4.0,0.0,0.0,2.6,2.6,0.05,-1.6,-1.6,83.0,2.9,55.0,4.0,5.0,11.0,6.0,2.0,6.0,0.21,4.0,0.0,0.0,0.0,1.0,1.0,"2,572",86.0,84.1,28.6,30.0,86.0,23.0,0.0,,0.0,1.07,33.0,51.0,-18.0,-0.63,-0.81,35.8,45.9,-10.1,-0.36,0.14,13.0,1.0,1.0,65.0,37.0,0.0,39.0,47.0,27.0,1.0,0.0,0.0,189.0,46.0,33.0,58.2,"€ 61,538(£ 52,897, $69,890)","€ 3,200,000(£ 2,750,669, $3,634,278)",Estimación no verificada,https://fbref.com/es/jugadores/e0b113a7/Robert-Andrich
2020-2021,25,Union Berlin,deGER,1.Bundesliga,29.0,"2,526",5.0,2.0,2.0,120.0,0.0,0.0,,,,,31,"2,646",5,2,29.0,"2,526",28.1,5.0,2.0,7.0,5.0,0.0,0.0,5.0,1.0,2.6,2.6,2.0,4.5,25.0,128.0,31.0,0.18,0.07,0.25,0.18,0.25,0.09,0.07,0.16,0.09,0.16,51.0,24.0,22.0,27.0,2.0,24.0,53.0,45.3,29.0,40.0,6.0,34.0,51.0,102.0,31.0,2.0,1127.0,1442.0,78.2,19061.0,5611.0,534.0,632.0,84.5,460.0,553.0,83.2,99.0,170.0,58.2,2.0,2.0,2.4,0.0,20.0,111.0,12.0,0.0,128.0,1442.0,1408.0,25.0,20.0,2.0,12.0,17.0,2.0,0.0,0.0,0.0,0.0,1127.0,9.0,21.0,62.0,441.0,1041.0,273.0,21.0,1737.0,26.0,19.0,73.1,7.0,26.9,857.0,4119.0,1616.0,25.0,28.0,3.0,35.0,12.0,1079.0,31.0,5.0,41.0,9.0,22.0,1.46,0.32,0.12,0.56,24.0,4.0,0.0,0.0,2.6,2.6,0.06,2.4,2.4,56.0,2.0,48.0,0.0,3.0,2.0,2.0,1.0,7.0,0.25,6.0,0.0,0.0,0.0,1.0,0.0,"2,526",87.0,82.5,28.1,29.0,87.0,26.0,0.0,,0.0,1.45,43.0,32.0,11.0,0.39,1.07,42.0,33.4,8.6,0.31,1.07,5.0,1.0,0.0,50.0,34.0,2.0,17.0,51.0,24.0,0.0,0.0,1.0,176.0,46.0,25.0,64.8,"€ 61,538(£ 52,897, $69,890)","€ 3,200,000(£ 2,750,669, $3,634,278)",Estimación no verificada,https://fbref.com/es/jugadores/e0b113a7/Robert-Andrich
2021-2022,26,Union Berlin,deGER,1.Bundesliga,,,,,1.0,90.0,0.0,0.0,,,,,1,90,0,0,21.0,"1,817",20.2,4.0,2.0,6.0,4.0,0.0,0.0,5.0,1.0,3.2,2.8,1.5,4.3,19.0,100.0,27.0,0.2,0.1,0.3,0.2,0.3,0.16,0.08,0.23,0.14,0.21,33.0,17.0,18.0,14.0,1.0,14.0,28.0,50.0,14.0,19.0,7.0,12.0,31.0,64.0,46.0,0.0,811.0,1011.0,80.2,13041.0,4189.0,384.0,444.0,86.5,331.0,400.0,82.8,54.0,91.0,59.3,2.0,1.5,1.7,0.5,12.0,88.0,9.0,0.0,100.0,1011.0,987.0,18.0,16.0,8.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,811.0,6.0,9.0,66.0,329.0,727.0,170.0,26.0,1216.0,14.0,13.0,92.9,1.0,7.1,592.0,2502.0,1261.0,19.0,14.0,2.0,13.0,9.0,745.0,27.0,4.0,30.0,7.0,23.3,1.49,0.35,0.13,0.57,18.4,1.0,0.0,0.0,3.2,2.8,0.09,0.8,1.2,38.0,1.88,27.0,0.0,2.0,5.0,3.0,1.0,6.0,0.3,3.0,0.0,0.0,3.0,0.0,0.0,"1,817",70.0,59.4,20.2,21.0,81.0,14.0,5.0,22.0,1.0,1.92,48.0,31.0,17.0,0.84,-0.32,34.3,24.6,9.7,0.48,-0.17,5.0,1.0,0.0,40.0,15.0,2.0,6.0,31.0,17.0,0.0,0.0,0.0,126.0,30.0,24.0,55.6,"€ 61,538(£ 52,897, $69,890)","€ 3,200,000(£ 2,750,669, $3,634,278)",Estimación no verificada,https://fbref.com/es/jugadores/e0b113a7/Robert-Andrich
2021-2022,26,Leverkusen,deGER,1.Bundesliga,26.0,"1,817",4.0,2.0,1.0,90.0,0.0,0.0,5.0,327.0,3.0,0.0,32,"2,234",7,2,28.0,"2,406",26.7,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,1.6,1.6,1.2,2.8,12.0,99.0,8.0,0.07,0.07,0.15,0.07,0.15,0.06,0.04,0.11,0.06,0.11,61.0,38.0,30.0,27.0,4.0,26.0,45.0,57.8,19.0,27.0,9.0,18.0,42.0,103.0,55.0,2.0,1218.0,1455.0,83.7,19896.0,5759.0,594.0,675.0,88.0,496.0,581.0,85.4,82.0,123.0,66.7,2.0,1.2,0.9,0.8,18.0,77.0,11.0,2.0,99.0,1455.0,1404.0,49.0,42.0,0.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,1218.0,2.0,12.0,113.0,540.0,1021.0,171.0,19.0,1724.0,7.0,5.0,71.4,1.0,14.3,743.0,3500.0,1660.0,12.0,18.0,1.0,20.0,4.0,1073.0,8.0,2.0,30.0,9.0,30.0,1.12,0.34,0.07,0.22,21.6,1.0,0.0,0.0,1.6,1.6,0.05,0.4,0.4,45.0,1.68,37.0,0.0,0.0,4.0,1.0,3.0,4.0,0.15,3.0,0.0,0.0,0.0,0.0,1.0,"2,406",83.0,78.6,26.7,28.0,85.0,24.0,1.0,15.0,0.0,1.55,50.0,38.0,12.0,0.45,1.0,40.9,34.9,6.0,0.23,-0.13,7.0,0.0,0.0,35.0,20.0,0.0,4.0,42.0,38.0,0.0,0.0,1.0,153.0,56.0,43.0,56.6,"€ 61,538(£ 52,897, $69,890)","€ 3,200,000(£ 2,750,669, $3,634,278)",Estimación no verificada,https://fbref.com/es/jugadores/e0b113a7/Robert-Andrich
2022-2023,27,Leverkusen,deGER,1.Bundesliga,29.0,"2,406",2.0,2.0,1.0,68.0,0.0,0.0,11.0,971.0,1.0,0.0,41,"3,445",3,2,18.0,"1,690",18.8,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,1.7,1.7,1.8,3.5,20.0,97.0,14.0,0.21,0.11,0.32,0.21,0.32,0.09,0.1,0.19,0.09,0.19,30.0,18.0,8.0,14.0,8.0,13.0,24.0,54.2,11.0,15.0,4.0,11.0,20.0,50.0,17.0,0.0,1346.0,1494.0,90.1,20529.0,6451.0,749.0,789.0,94.9,487.0,542.0,89.9,74.0,105.0,70.5,2.0,1.8,2.2,0.2,22.0,117.0,19.0,3.0,97.0,1494.0,1458.0,34.0,32.0,5.0,4.0,14.0,2.0,0.0,0.0,0.0,0.0,1346.0,2.0,10.0,53.0,319.0,1049.0,281.0,16.0,1638.0,12.0,7.0,58.3,4.0,33.3,885.0,4005.0,1978.0,20.0,34.0,1.0,13.0,7.0,1235.0,14.0,4.0,23.0,9.0,39.1,1.22,0.48,0.17,0.44,20.0,2.0,0.0,0.0,1.7,1.7,0.07,2.3,2.3,54.0,2.88,47.0,0.0,0.0,4.0,2.0,1.0,6.0,0.32,6.0,0.0,0.0,0.0,0.0,0.0,"1,690",60.0,55.2,18.8,18.0,87.0,16.0,10.0,12.0,6.0,2.71,47.0,9.0,38.0,2.02,0.25,40.7,14.0,26.6,1.42,0.3,4.0,0.0,0.0,23.0,14.0,0.0,14.0,20.0,18.0,0.0,0.0,0.0,122.0,20.0,22.0,47.6,,,,
