Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,18,Sporting CP,ptPOR,1.Primeira Liga,14,"1,069",1,3,,,,,,,,,14,"1,069",1,3,12,"1,069",11.9,1,3,4,1,0,0,2,0,,,,,,,,0.08,0.25,0.34,0.08,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,0.34,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,069",76,39.6,11.9,12,,11,2,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,"£ 15,000(€ 17,267, $18,927)","£ 780,000(€ 897,884, $984,207)",Estimación no verificada,https://fbref.com/es/jugadores/ac861941/Eric-Dier
2013-2014,19,Sporting CP,ptPOR,1.Primeira Liga,13,817,0,0,,,,,,,,,13,817,0,0,8,817,9.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.11,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,817,63,30.3,9.1,8,,8,5,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"£ 35,000(€ 40,290, $44,163)","£ 1,820,000(€ 2,095,064, $2,296,484)",Estimación no verificada,https://fbref.com/es/jugadores/ac861941/Eric-Dier
2014-2015,20,Tottenham,engENG,1.Premier League,28,"2,293",2,2,4.0,282.0,0.0,0.0,3.0,270.0,0.0,0.0,35,"2,845",2,2,25,"2,293",25.5,2,2,4,2,0,0,4,0,,,,,,,,0.08,0.08,0.16,0.08,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,0.08,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,293",82,67.0,25.5,25,,24,3,,4.0,1.61,35.0,37.0,-2.0,-0.08,-0.64,,,,,,4,0,,21.0,,,,,,,,,,,,,"£ 60,000(€ 69,068, $75,708)","£ 3,120,000(€ 3,591,538, $3,936,829)",Estimación no verificada,https://fbref.com/es/jugadores/ac861941/Eric-Dier
2015-2016,21,Tottenham,engENG,1.Premier League,37,"3,263",3,2,5.0,420.0,1.0,0.0,9.0,668.0,0.0,0.0,51,"4,351",4,2,37,"3,263",36.3,3,2,5,3,0,0,10,0,,,,,,,,0.08,0.06,0.14,0.08,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,7,,,0.19,,0.43,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,263",88,95.4,36.3,37,,32,0,,0.0,1.86,66.0,35.0,31.0,0.86,-0.86,,,,,,10,0,,52.0,,,,,,,,,,,,,"£ 60,000(€ 69,068, $75,708)","£ 3,120,000(€ 3,591,538, $3,936,829)",Estimación no verificada,https://fbref.com/es/jugadores/ac861941/Eric-Dier
2016-2017,22,Tottenham,engENG,1.Premier League,36,"3,043",2,1,5.0,426.0,0.0,1.0,7.0,620.0,0.0,1.0,48,"4,089",2,3,34,"3,043",33.8,2,1,3,2,0,0,6,0,,,,,,,,0.06,0.03,0.09,0.06,0.09,,,,,,,34.0,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23.0,7,30.4,0.68,0.21,0.09,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,043",85,89.0,33.8,34,,31,2,,1.0,2.31,79.0,24.0,55.0,1.63,0.43,,,,,,6,0,0.0,25.0,19.0,3.0,20.0,37.0,34.0,0.0,0.0,0.0,,,,,"£ 60,000(€ 69,068, $75,708)","£ 3,120,000(€ 3,591,538, $3,936,829)",Estimación no verificada,https://fbref.com/es/jugadores/ac861941/Eric-Dier
2017-2018,23,Tottenham,engENG,1.Premier League,34,"2,824",0,2,6.0,462.0,0.0,0.0,7.0,614.0,0.0,1.0,47,"3,900",0,3,32,"2,824",31.4,0,2,2,0,0,0,4,0,2.0,2.0,1.7,3.7,35.0,213.0,29.0,0.0,0.06,0.06,0.0,0.06,0.06,0.05,0.12,0.06,0.12,61.0,43.0,15.0,39.0,7.0,17.0,42.0,40.5,25.0,32.0,11.0,21.0,48.0,109.0,93.0,7.0,1949.0,2285.0,85.3,38485.0,13081.0,670.0,747.0,89.7,1003.0,1107.0,90.6,251.0,358.0,70.1,2,1.7,2.7,0.3,15.0,221.0,25.0,4.0,213.0,2285.0,2222.0,58.0,52.0,2.0,19.0,26.0,6.0,0.0,0.0,0.0,0.0,1949.0,5.0,29.0,133.0,731.0,1583.0,277.0,36.0,2577.0,15.0,13.0,86.7,2.0,13.3,1316.0,6079.0,3263.0,35.0,27.0,0.0,11.0,17.0,1875.0,29.0,0,32.0,7,21.9,1.02,0.22,0.0,0.0,17.5,1.0,0,0,2.0,2.0,0.06,-2.0,-2.0,40.0,1.27,37.0,0.0,0.0,2.0,1.0,0.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,"2,824",83,82.6,31.4,32,,27,2,,3.0,2.06,59.0,30.0,29.0,0.92,-0.43,53.8,26.5,27.3,0.87,0.34,4,0,0.0,23.0,8.0,1.0,26.0,48.0,43.0,0.0,0.0,0.0,170.0,81.0,61.0,57.0,"£ 60,000(€ 69,068, $75,708)","£ 3,120,000(€ 3,591,538, $3,936,829)",Estimación no verificada,https://fbref.com/es/jugadores/ac861941/Eric-Dier
2018-2019,24,Tottenham,engENG,1.Premier League,20,"1,506",3,0,2.0,182.0,0.0,0.0,6.0,271.0,0.0,0.0,28,"1,959",3,0,18,"1,506",16.7,3,0,3,3,0,0,4,0,1.0,1.0,1.0,2.0,18.0,95.0,7.0,0.18,0.0,0.18,0.18,0.18,0.06,0.06,0.12,0.06,0.12,26.0,16.0,7.0,15.0,4.0,19.0,47.0,40.4,28.0,27.0,12.0,15.0,21.0,47.0,46.0,1.0,923.0,1093.0,84.4,15766.0,4675.0,412.0,462.0,89.2,416.0,470.0,88.5,70.0,114.0,61.4,0,1.0,0.9,-1.0,8.0,76.0,14.0,1.0,95.0,1093.0,1066.0,26.0,23.0,5.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,923.0,1.0,19.0,63.0,363.0,785.0,110.0,14.0,1253.0,7.0,2.0,28.6,5.0,71.4,771.0,3469.0,1716.0,18.0,19.0,2.0,12.0,9.0,905.0,7.0,3,9.0,3,33.3,0.54,0.18,0.33,1.0,12.0,0.0,0,0,1.0,1.0,0.11,2.0,2.0,22.0,1.31,19.0,0.0,0.0,0.0,2.0,1.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,"1,506",75,44.0,16.7,18,83.0,12,2,6.0,4.0,1.85,26.0,18.0,8.0,0.48,-0.46,25.0,24.0,1.0,0.06,-0.26,4,0,0.0,24.0,9.0,0.0,6.0,21.0,16.0,0.0,0.0,0.0,79.0,35.0,31.0,53.0,"£ 85,000(€ 97,846, $107,253)","£ 4,420,000(€ 5,088,012, $5,577,175)",,https://fbref.com/es/jugadores/ac861941/Eric-Dier
2019-2020,25,Tottenham,engENG,1.Premier League,19,"1,344",0,2,6.0,507.0,0.0,0.0,5.0,311.0,0.0,0.0,30,"2,162",0,2,15,"1,344",14.9,0,2,2,0,0,0,5,0,0.9,0.9,0.4,1.3,4.0,37.0,4.0,0.0,0.13,0.13,0.0,0.13,0.06,0.03,0.08,0.06,0.08,21.0,12.0,10.0,10.0,1.0,10.0,20.0,50.0,10.0,14.0,9.0,5.0,21.0,42.0,65.0,0.0,738.0,922.0,80.0,13834.0,4583.0,272.0,319.0,85.3,376.0,429.0,87.6,74.0,132.0,56.1,2,0.4,0.4,1.6,7.0,51.0,2.0,0.0,37.0,922.0,897.0,21.0,19.0,3.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,738.0,4.0,7.0,110.0,469.0,562.0,53.0,12.0,1082.0,4.0,4.0,100.0,0.0,0.0,662.0,2739.0,1327.0,4.0,5.0,0.0,5.0,4.0,729.0,4.0,0,8.0,1,12.5,0.54,0.07,0.0,0.0,15.6,1.0,0,0,0.9,0.9,0.11,-0.9,-0.9,13.0,0.87,11.0,0.0,0.0,1.0,0.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,"1,344",71,39.3,14.9,15,85.0,13,4,18.0,13.0,1.95,26.0,23.0,3.0,0.2,-0.28,21.7,22.1,-0.4,-0.03,0.23,5,0,0.0,19.0,4.0,1.0,3.0,21.0,12.0,0.0,1.0,0.0,59.0,66.0,42.0,61.1,"£ 85,000(€ 97,846, $107,253)","£ 4,420,000(€ 5,088,012, $5,577,175)",,https://fbref.com/es/jugadores/ac861941/Eric-Dier
2020-2021,26,Tottenham,engENG,1.Premier League,28,"2,520",0,0,4.0,360.0,0.0,0.0,6.0,500.0,0.0,0.0,38,"3,380",0,0,28,"2,520",28.0,0,0,0,0,0,0,3,0,1.2,1.2,0.3,1.4,21.0,65.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,23.0,14.0,13.0,10.0,0.0,11.0,18.0,61.1,7.0,37.0,31.0,6.0,23.0,46.0,123.0,3.0,1493.0,1802.0,82.9,29242.0,11463.0,507.0,569.0,89.1,783.0,863.0,90.7,179.0,323.0,55.4,0,0.3,0.4,-0.3,6.0,66.0,6.0,0.0,65.0,1802.0,1757.0,43.0,37.0,1.0,21.0,5.0,6.0,0.0,0.0,0.0,0.0,1493.0,2.0,13.0,334.0,1136.0,875.0,56.0,21.0,2057.0,4.0,3.0,75.0,1.0,25.0,1249.0,6795.0,3953.0,21.0,7.0,2.0,12.0,1.0,1427.0,6.0,0,14.0,2,14.3,0.5,0.07,0.0,0.0,22.2,8.0,0,0,1.2,1.2,0.08,-1.2,-1.2,24.0,0.86,21.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,520",90,73.7,28.0,28,90.0,28,0,,9.0,1.5,45.0,34.0,11.0,0.39,-0.81,36.8,35.8,1.0,0.04,-0.26,3,0,0.0,16.0,12.0,0.0,5.0,23.0,14.0,0.0,2.0,0.0,139.0,85.0,58.0,59.4,"£ 85,000(€ 98,802, $108,036)","£ 4,420,000(€ 5,137,681, $5,617,852)",,https://fbref.com/es/jugadores/ac861941/Eric-Dier
2021-2022,27,Tottenham,engENG,1.Premier League,35,"3,071",0,0,2.0,210.0,0.0,0.0,2.0,126.0,0.0,0.0,39,"3,407",0,0,35,"3,071",34.1,0,0,0,0,0,0,1,0,1.2,1.2,1.1,2.3,13.0,103.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,15.0,9.0,6.0,8.0,1.0,7.0,14.0,50.0,7.0,37.0,32.0,5.0,27.0,42.0,142.0,1.0,2056.0,2341.0,87.8,39774.0,16697.0,680.0,719.0,94.6,1138.0,1216.0,93.6,211.0,351.0,60.1,0,1.1,1.1,-1.1,7.0,98.0,9.0,1.0,103.0,2341.0,2270.0,62.0,52.0,5.0,14.0,1.0,6.0,0.0,0.0,0.0,0.0,2056.0,9.0,7.0,421.0,1452.0,1111.0,57.0,23.0,2610.0,2.0,1.0,50.0,1.0,50.0,1737.0,9384.0,5011.0,13.0,13.0,3.0,5.0,2.0,1971.0,6.0,0,13.0,4,30.8,0.38,0.12,0.0,0.0,14.4,4.0,0,0,1.2,1.2,0.09,-1.2,-1.2,30.0,0.88,25.0,0.0,0.0,4.0,0.0,1.0,5.0,0.15,3.0,0.0,0.0,2.0,0.0,0.0,"3,071",88,89.8,34.1,35,88.0,34,0,,0.0,1.94,64.0,30.0,34.0,1.0,2.29,55.6,32.6,22.9,0.67,0.93,1,0,0.0,12.0,9.0,0.0,1.0,27.0,9.0,0.0,0.0,1.0,131.0,70.0,54.0,56.5,"£ 85,000(€ 100,613, $108,123)","£ 4,420,000(€ 5,231,893, $5,622,410)",,https://fbref.com/es/jugadores/ac861941/Eric-Dier
