Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,18.0,RB Leipzig,deGER,3.3. Liga,26.0,"2,070",1.0,1.0,,,,,,,,,26.0,"2,070",1.0,1.0,25.0,"2,070",23.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,,,,,,,,0.04,0.04,0.09,0.04,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,0.13,,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,070",80.0,60.5,23.0,25.0,,,1.0,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,,,,,,"€ 22,885(£ 19,878, $25,081)","€ 1,190,000(£ 1,033,663, $1,304,214)",Estimación no verificada,https://fbref.com/es/jugadores/49296448/Joshua-Kimmich
2014-2015,19.0,RB Leipzig,deGER,2.2. Bundesliga,27.0,"2,083",2.0,1.0,2.0,210.0,0.0,0.0,,,,,29.0,"2,293",2.0,1.0,23.0,"2,083",23.1,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,,,,,,,,0.09,0.04,0.13,0.09,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,7.0,,,0.3,,0.29,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,083",77.0,68.1,23.1,23.0,,15.0,4.0,,0.0,1.44,29.0,21.0,8.0,0.35,0.35,,,,,,4.0,0.0,,26.0,,,,,,,,,,,,,"€ 28,654(£ 24,889, $31,404)","€ 1,490,000(£ 1,294,251, $1,633,008)",Estimación no verificada,https://fbref.com/es/jugadores/49296448/Joshua-Kimmich
2015-2016,20.0,Bayern Munich,deGER,1.Bundesliga,23.0,"1,428",0.0,2.0,4.0,373.0,0.0,0.0,9.0,630,0.0,0.0,36.0,"2,431",0.0,2.0,15.0,"1,428",15.9,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.13,0.13,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.0,,,0.25,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,428",62.0,46.7,15.9,15.0,,13.0,8.0,,9.0,2.74,34.0,5.0,29.0,1.83,-0.05,,,,,,3.0,0.0,,12.0,,,,,,,,,,,,,"€ 28,654(£ 24,889, $31,404)","€ 1,490,000(£ 1,294,251, $1,633,008)",Estimación no verificada,https://fbref.com/es/jugadores/49296448/Joshua-Kimmich
2016-2017,21.0,Bayern Munich,deGER,1.Bundesliga,27.0,"1,547",6.0,1.0,5.0,233.0,0.0,1.0,8.0,319,3.0,0.0,40.0,"2,099",9.0,2.0,15.0,"1,547",17.2,6.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,,,,,,,,0.35,0.06,0.41,0.35,0.41,,,,,,,25.0,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,31.0,12.0,38.7,1.8,0.7,0.19,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,547",57.0,50.6,17.2,15.0,,9.0,12.0,,6.0,2.52,39.0,15.0,24.0,1.4,-1.16,,,,,,1.0,0.0,0.0,19.0,38.0,3.0,37.0,32.0,25.0,0.0,1.0,0.0,,,,,"€ 151,923(£ 131,964, $166,504)","€ 7,900,000(£ 6,862,134, $8,658,228)",Estimación no verificada,https://fbref.com/es/jugadores/49296448/Joshua-Kimmich
2017-2018,22.0,Bayern Munich,deGER,1.Bundesliga,29.0,"2,329",1.0,10.0,7.0,690.0,1.0,2.0,11.0,897,4.0,3.0,47.0,"3,916",6.0,15.0,26.0,"2,329",25.9,1.0,10.0,11.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,6.2,6.7,79.0,176.0,232.0,0.04,0.39,0.43,0.04,0.43,0.02,0.24,0.26,0.02,0.26,32.0,23.0,14.0,13.0,5.0,20.0,38.0,52.6,18.0,26.0,5.0,21.0,20.0,52.0,40.0,0.0,1822.0,2169.0,84.0,35601.0,10321.0,695.0,750.0,92.7,836.0,967.0,86.5,272.0,394.0,69.0,10.0,6.2,6.3,3.8,53.0,137.0,52.0,22.0,176.0,2169.0,1882.0,282.0,53.0,1.0,24.0,212.0,160.0,69.0,13.0,49.0,2.0,1822.0,5.0,34.0,79.0,543.0,1063.0,759.0,47.0,2353.0,50.0,21.0,42.0,29.0,58.0,1466.0,7203.0,3512.0,79.0,58.0,15.0,21.0,5.0,1699.0,232.0,1.0,9.0,4.0,44.4,0.35,0.15,0.11,0.25,16.3,0.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5,100.0,3.86,67.0,21.0,1.0,1.0,9.0,1.0,23.0,0.89,19.0,1.0,0.0,1.0,2.0,0.0,"2,329",80.0,76.1,25.9,26.0,,22.0,3.0,,4.0,2.45,71.0,25.0,46.0,1.78,-0.44,54.9,26.9,28.0,1.08,-0.91,1.0,0.0,0.0,17.0,52.0,2.0,212.0,20.0,23.0,1.0,1.0,0.0,140.0,20.0,18.0,52.6,"€ 151,923(£ 131,964, $166,504)","€ 7,900,000(£ 6,862,134, $8,658,228)",,https://fbref.com/es/jugadores/49296448/Joshua-Kimmich
2018-2019,23.0,Bayern Munich,deGER,1.Bundesliga,34.0,"3,060",2.0,13.0,7.0,592.0,0.0,3.0,7.0,630,0.0,2.0,48.0,"4,282",2.0,18.0,34.0,"3,060",34.0,2.0,13.0,15.0,2.0,0.0,0.0,4.0,0.0,2.2,2.2,12.2,14.4,128.0,252.0,252.0,0.06,0.38,0.44,0.06,0.44,0.07,0.36,0.42,0.07,0.42,46.0,26.0,17.0,22.0,7.0,25.0,54.0,46.3,29.0,35.0,9.0,26.0,34.0,80.0,41.0,3.0,2583.0,3026.0,85.4,44764.0,12442.0,1164.0,1236.0,94.2,1040.0,1188.0,87.5,289.0,437.0,66.1,13.0,12.2,14.3,0.8,82.0,168.0,77.0,16.0,252.0,3026.0,2563.0,453.0,75.0,3.0,25.0,254.0,244.0,133.0,37.0,81.0,0.0,2583.0,10.0,43.0,88.0,651.0,1673.0,1016.0,53.0,3311.0,62.0,38.0,61.3,24.0,38.7,1948.0,11570.0,5837.0,128.0,103.0,9.0,41.0,25.0,2315.0,252.0,2.0,25.0,8.0,32.0,0.74,0.24,0.08,0.25,18.5,0.0,0.0,0.0,2.2,2.2,0.09,-0.2,-0.2,162.0,4.76,91.0,51.0,7.0,3.0,9.0,1.0,22.0,0.65,15.0,5.0,1.0,0.0,1.0,0.0,"3,060",90.0,100.0,34.0,34.0,90.0,34.0,0.0,,0.0,2.29,88.0,32.0,56.0,1.65,,85.6,27.2,58.4,1.72,,4.0,0.0,0.0,27.0,51.0,2.0,254.0,34.0,26.0,1.0,0.0,0.0,217.0,24.0,22.0,52.2,"€ 151,923(£ 131,964, $166,504)","€ 7,900,000(£ 6,862,134, $8,658,228)",,https://fbref.com/es/jugadores/49296448/Joshua-Kimmich
2019-2020,24.0,Bayern Munich,deGER,1.Bundesliga,33.0,"2,818",4.0,7.0,7.0,630.0,1.0,4.0,11.0,903,2.0,4.0,51.0,"4,351",7.0,15.0,32.0,"2,818",31.3,4.0,7.0,11.0,4.0,0.0,0.0,7.0,0.0,1.2,1.2,8.3,9.5,57.0,310.0,106.0,0.13,0.22,0.35,0.13,0.35,0.04,0.27,0.3,0.04,0.3,52.0,29.0,21.0,20.0,11.0,22.0,55.0,40.0,33.0,38.0,9.0,29.0,29.0,81.0,29.0,0.0,2435.0,2870.0,84.8,45556.0,14452.0,1003.0,1085.0,92.4,1042.0,1154.0,90.3,321.0,496.0,64.7,7.0,8.3,11.2,-1.3,75.0,241.0,59.0,12.0,310.0,2870.0,2510.0,352.0,97.0,11.0,25.0,230.0,84.0,170.0,62.0,87.0,0.0,2435.0,8.0,31.0,87.0,682.0,1709.0,777.0,34.0,3146.0,30.0,19.0,63.3,11.0,36.7,1922.0,10428.0,4772.0,57.0,54.0,4.0,41.0,19.0,2226.0,106.0,4.0,26.0,13.0,50.0,0.83,0.42,0.15,0.31,24.9,2.0,0.0,0.0,1.2,1.2,0.04,2.8,2.8,145.0,4.63,89.0,48.0,3.0,3.0,1.0,1.0,21.0,0.67,15.0,5.0,0.0,1.0,0.0,0.0,"2,818",85.0,92.1,31.3,32.0,88.0,28.0,1.0,11.0,0.0,2.39,90.0,31.0,59.0,1.88,-1.46,82.1,32.9,49.2,1.57,0.67,7.0,0.0,0.0,27.0,45.0,4.0,230.0,29.0,29.0,0.0,0.0,0.0,220.0,26.0,29.0,47.3,"€ 375,000(£ 325,734, $410,992)","€ 19,500,000(£ 16,938,180, $21,371,575)",,https://fbref.com/es/jugadores/49296448/Joshua-Kimmich
2020-2021,25.0,Bayern Munich,deGER,1.Bundesliga,27.0,"2,194",4.0,10.0,2.0,210.0,1.0,0.0,8.0,736,1.0,4.0,37.0,"3,140",6.0,14.0,25.0,"2,194",24.4,4.0,10.0,14.0,4.0,0.0,0.0,4.0,0.0,2.3,2.3,6.7,9.1,54.0,288.0,66.0,0.16,0.41,0.57,0.16,0.57,0.1,0.28,0.37,0.1,0.37,40.0,28.0,16.0,19.0,5.0,10.0,53.0,18.9,43.0,25.0,5.0,20.0,36.0,76.0,19.0,0.0,1778.0,2131.0,83.4,35284.0,11678.0,652.0,721.0,90.4,777.0,864.0,89.9,290.0,446.0,65.0,10.0,6.7,8.5,3.3,66.0,223.0,56.0,10.0,288.0,2131.0,1849.0,270.0,104.0,7.0,27.0,176.0,26.0,140.0,67.0,53.0,0.0,1778.0,12.0,16.0,76.0,411.0,1288.0,689.0,26.0,2366.0,37.0,29.0,78.4,8.0,21.6,1401.0,8811.0,4102.0,54.0,53.0,5.0,41.0,20.0,1645.0,66.0,4.0,37.0,14.0,37.8,1.52,0.57,0.11,0.29,24.1,1.0,0.0,0.0,2.3,2.3,0.06,1.7,1.7,126.0,5.17,82.0,38.0,1.0,4.0,1.0,0.0,20.0,0.82,14.0,6.0,0.0,0.0,0.0,0.0,"2,194",81.0,71.7,24.4,25.0,86.0,20.0,2.0,28.0,0.0,2.33,73.0,27.0,46.0,1.89,0.95,58.8,25.8,33.0,1.35,1.07,4.0,0.0,0.0,19.0,43.0,0.0,176.0,36.0,28.0,0.0,0.0,0.0,205.0,19.0,14.0,57.6,"€ 375,000(£ 322,616, $410,048)","€ 19,500,000(£ 16,776,052, $21,322,482)",,https://fbref.com/es/jugadores/49296448/Joshua-Kimmich
2021-2022,26.0,Bayern Munich,deGER,1.Bundesliga,28.0,"2,474",3.0,9.0,3.0,225.0,0.0,0.0,8.0,701,0.0,0.0,39.0,"3,400",3.0,9.0,28.0,"2,474",27.5,3.0,9.0,12.0,3.0,0.0,0.0,4.0,0.0,2.3,2.3,8.7,11.0,43.0,292.0,53.0,0.11,0.33,0.44,0.11,0.44,0.08,0.32,0.4,0.08,0.4,39.0,20.0,14.0,17.0,8.0,18.0,58.0,31.0,40.0,34.0,8.0,26.0,52.0,91.0,29.0,1.0,2177.0,2595.0,83.9,39188.0,13899.0,984.0,1080.0,91.1,893.0,999.0,89.4,250.0,406.0,61.6,9.0,8.7,10.6,0.3,80.0,246.0,56.0,4.0,292.0,2595.0,2260.0,318.0,126.0,20.0,16.0,181.0,39.0,153.0,80.0,56.0,2.0,2177.0,17.0,28.0,70.0,553.0,1630.0,718.0,28.0,2881.0,41.0,21.0,51.2,20.0,48.8,1566.0,7978.0,3641.0,43.0,43.0,1.0,32.0,18.0,1954.0,53.0,3.0,27.0,9.0,33.3,0.98,0.33,0.11,0.33,24.7,0.0,0.0,0.0,2.3,2.3,0.09,0.7,0.7,155.0,5.64,81.0,63.0,1.0,3.0,3.0,4.0,24.0,0.87,9.0,13.0,0.0,0.0,1.0,1.0,"2,474",88.0,80.8,27.5,28.0,88.0,24.0,0.0,,0.0,2.21,80.0,32.0,48.0,1.75,-0.1,71.4,30.9,40.5,1.47,-0.4,4.0,0.0,0.0,20.0,46.0,1.0,181.0,52.0,20.0,0.0,1.0,0.0,218.0,16.0,18.0,47.1,"€ 375,000(£ 316,811, $402,992)","€ 19,500,000(£ 16,474,167, $20,955,572)",,https://fbref.com/es/jugadores/49296448/Joshua-Kimmich
2022-2023,27.0,Bayern Munich,deGER,1.Bundesliga,33.0,"2,809",5.0,6.0,5.0,427.0,1.0,2.0,9.0,810,1.0,3.0,47.0,"4,046",7.0,11.0,32.0,"2,809",31.2,5.0,6.0,11.0,4.0,1.0,1.0,6.0,1.0,2.2,1.4,7.0,8.4,42.0,315.0,56.0,0.16,0.19,0.35,0.13,0.32,0.07,0.22,0.3,0.05,0.27,78.0,49.0,24.0,46.0,8.0,38.0,72.0,52.8,34.0,36.0,7.0,29.0,41.0,119.0,39.0,2.0,2333.0,2767.0,84.3,43859.0,14050.0,954.0,1017.0,93.8,1036.0,1151.0,90.0,306.0,512.0,59.8,6.0,7.0,9.0,-1.0,84.0,272.0,68.0,4.0,315.0,2767.0,2407.0,351.0,119.0,29.0,10.0,240.0,28.0,204.0,83.0,98.0,4.0,2333.0,9.0,24.0,115.0,618.0,1669.0,809.0,20.0,3072.0,25.0,13.0,52.0,8.0,32.0,1762.0,8923.0,3443.0,42.0,31.0,4.0,26.0,26.0,2065.0,56.0,5.0,27.0,11.0,40.7,0.87,0.35,0.15,0.36,26.0,3.0,1.0,1.0,2.2,1.4,0.05,2.8,2.6,142.0,4.55,82.0,55.0,1.0,2.0,1.0,1.0,15.0,0.48,12.0,2.0,0.0,1.0,0.0,0.0,"2,809",85.0,91.8,31.2,32.0,86.0,27.0,1.0,45.0,0.0,2.06,85.0,36.0,49.0,1.57,-0.22,68.4,35.1,33.3,1.07,-0.55,6.0,1.0,1.0,22.0,51.0,0.0,240.0,41.0,49.0,0.0,0.0,0.0,262.0,16.0,32.0,33.3,"€ 384,615(£ 330,609, $436,812)","€ 20,000,000(£ 17,191,680, $22,714,236)",,https://fbref.com/es/jugadores/49296448/Joshua-Kimmich
