Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2018-2019,16,Reading,engENG,Jr.PL2 — Div. 2,10,562,2,1,,,,,,,,,10,562,2,1,5,562,6.2,2,1,3,2,0,0,2,0,,,,,,,,0.32,0.16,0.48,0.32,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,562,56,28.4,6.2,5,89,4,5,23.0,0,2.1,16,7,9,1.44,1.25,,,,,,2,0,0,,,,,,,,,0,,,,,"£ 45,000(€ 51,801, $56,781)","£ 2,340,000(€ 2,693,653, $2,952,622)",Estimación no verificada,https://fbref.com/es/jugadores/c4486bac/Michael-Olise
2018-2019,16,Reading,engENG,2.Championship,4,170,0,0,,,,,,,,,4,170,0,0,2,170,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,9.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.11,0.08,0.19,0.11,0.19,4.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,6.0,1.0,0.0,51.0,65.0,78.5,805.0,149.0,31.0,38.0,81.6,15.0,19.0,78.9,5.0,6.0,83.3,0,0.2,0.1,-0.2,5.0,8.0,0.0,0.0,8.0,65.0,63.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,1.0,5.0,54.0,33.0,7.0,89.0,5.0,4.0,80.0,1.0,20.0,60.0,408.0,220.0,9.0,6.0,3.0,5.0,1.0,63.0,11.0,0,3.0,1.0,33.3,1.59,0.53,0.0,0.0,13.5,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,7.0,3.71,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,43,4.1,1.9,2,67,0,2,19.0,2,0.5,0,0,0,0.0,0.39,1.9,2.7,-0.8,-0.41,0.33,0,0,0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0,9.0,1.0,6.0,14.3,"£ 45,000(€ 52,307, $57,195)","£ 2,340,000(€ 2,719,949, $2,974,157)",Estimación no verificada,https://fbref.com/es/jugadores/c4486bac/Michael-Olise
2019-2020,17,Reading,engENG,Jr.PL2 — Div. 2,9,810,4,1,,,,,,,,,9,810,4,1,9,810,9.0,4,1,5,4,0,0,2,0,,,,,,,,0.44,0.11,0.56,0.44,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,810,90,50.0,9.0,9,90,9,0,,0,1.44,20,18,2,0.22,0.67,,,,,,2,0,0,,,,,,,,,0,,,,,"£ 100,000(€ 118,369, $127,204)","£ 5,200,000(€ 6,155,169, $6,614,600)",,https://fbref.com/es/jugadores/c4486bac/Michael-Olise
2019-2020,17,Reading,engENG,2.Championship,19,"1,132",0,1,4.0,340.0,0.0,1.0,,,,,23,"1,472",0,2,13,"1,132",12.6,0,1,1,0,0,0,0,0,0.8,0.8,1.1,2.0,38.0,59.0,59.0,0.0,0.08,0.08,0.0,0.08,0.07,0.09,0.16,0.07,0.16,20.0,14.0,7.0,12.0,1.0,6.0,20.0,30.0,14.0,14.0,0.0,14.0,12.0,32.0,11.0,0.0,409.0,537.0,76.2,7455.0,1951.0,197.0,229.0,86.0,145.0,181.0,80.1,61.0,102.0,59.8,1,1.1,1.5,-0.1,19.0,40.0,15.0,3.0,59.0,537.0,494.0,41.0,9.0,4.0,11.0,40.0,6.0,15.0,7.0,6.0,0.0,409.0,2.0,6.0,11.0,110.0,363.0,225.0,19.0,678.0,42.0,28.0,66.7,14.0,33.3,441.0,3006.0,1505.0,38.0,37.0,10.0,26.0,9.0,460.0,59.0,0,18.0,5.0,27.8,1.43,0.4,0.0,0.0,22.1,1.0,0,0,0.8,0.8,0.05,-0.8,-0.8,43.0,3.42,30.0,5.0,3.0,2.0,3.0,0.0,4.0,0.32,2.0,1.0,0.0,0.0,1.0,0.0,"1,132",60,27.3,12.6,13,77,4,6,23.0,6,1.11,15,19,-4,-0.32,-0.47,13.6,18.6,-4.9,-0.39,-0.29,0,0,0,9.0,26.0,2.0,40.0,12.0,14.0,0.0,0.0,0,86.0,8.0,12.0,40.0,"€ 259,615(£ 223,161, $294,848)","€ 13,500,000(£ 11,604,384, $15,332,109)",,https://fbref.com/es/jugadores/c4486bac/Michael-Olise
2020-2021,18,Reading,engENG,2.Championship,44,"3,243",7,12,2.0,167.0,0.0,0.0,,,,,46,"3,410",7,12,37,"3,243",36.0,7,12,19,5,2,2,3,0,5.4,3.8,7.7,11.6,121.0,212.0,174.0,0.19,0.33,0.53,0.14,0.47,0.15,0.21,0.36,0.11,0.32,40.0,22.0,16.0,19.0,5.0,14.0,52.0,26.9,38.0,30.0,6.0,24.0,25.0,65.0,19.0,1.0,1463.0,1977.0,74.0,25219.0,7786.0,684.0,790.0,86.6,511.0,650.0,78.6,192.0,372.0,51.6,12,7.7,6.3,4.3,84.0,148.0,54.0,12.0,212.0,1977.0,1654.0,311.0,126.0,5.0,15.0,254.0,30.0,140.0,76.0,42.0,7.0,1463.0,12.0,44.0,22.0,252.0,1227.0,934.0,50.0,2371.0,100.0,57.0,57.0,43.0,43.0,1365.0,8535.0,4355.0,121.0,104.0,20.0,88.0,36.0,1611.0,174.0,7,69.0,23.0,33.3,1.91,0.64,0.07,0.22,24.4,17.0,2,2,5.4,3.8,0.06,1.6,1.2,166.0,4.6,92.0,48.0,11.0,6.0,9.0,0.0,18.0,0.5,9.0,7.0,1.0,1.0,0.0,0.0,"3,243",74,78.3,36.0,37,82,11,7,29.0,2,1.5,48,42,6,0.17,-0.03,42.9,36.4,6.6,0.18,0.04,3,0,0,28.0,97.0,6.0,254.0,25.0,22.0,0.0,0.0,0,185.0,28.0,41.0,40.6,"€ 259,615(£ 223,161, $294,848)","€ 13,500,000(£ 11,604,384, $15,332,109)",,https://fbref.com/es/jugadores/c4486bac/Michael-Olise
2021-2022,19,Crystal Palace,engENG,Jr.PL2 — Div. 1,1,60,0,1,,,,,,,,,1,60,0,1,1,60,0.7,0,1,1,0,0,0,0,0,,,,,,,,0.0,1.5,1.5,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,60,60,2.6,0.7,1,60,0,0,,0,3.0,6,0,6,9.0,9.08,,,,,,0,0,0,,,,,,,,,0,,,,,"€ 259,615(£ 223,161, $294,848)","€ 13,500,000(£ 11,604,384, $15,332,109)",,https://fbref.com/es/jugadores/c4486bac/Michael-Olise
2021-2022,19,Crystal Palace,engENG,1.Premier League,26,"1,141",2,5,5.0,368.0,2.0,3.0,,,,,31,"1,509",4,8,12,"1,141",12.7,2,5,7,2,0,0,4,0,1.7,1.7,3.9,5.6,55.0,63.0,110.0,0.16,0.39,0.55,0.16,0.55,0.13,0.3,0.44,0.13,0.44,22.0,18.0,8.0,11.0,3.0,7.0,24.0,29.2,17.0,17.0,0.0,17.0,6.0,28.0,6.0,0.0,476.0,662.0,71.9,7870.0,2233.0,254.0,290.0,87.6,143.0,207.0,69.1,57.0,108.0,52.8,5,3.9,3.6,1.1,24.0,39.0,26.0,9.0,63.0,662.0,578.0,78.0,34.0,4.0,9.0,96.0,13.0,31.0,20.0,5.0,1.0,476.0,6.0,17.0,16.0,102.0,348.0,396.0,42.0,829.0,62.0,28.0,45.2,34.0,54.8,500.0,3377.0,1746.0,55.0,37.0,10.0,27.0,21.0,589.0,110.0,2,19.0,10.0,52.6,1.5,0.79,0.11,0.2,17.0,2.0,0,0,1.7,1.7,0.09,0.3,0.3,44.0,3.47,34.0,4.0,2.0,2.0,2.0,0.0,9.0,0.71,8.0,0.0,0.0,1.0,0.0,0.0,"1,141",44,33.4,12.7,12,76,4,14,16.0,2,1.23,18,14,4,0.32,0.32,16.3,13.2,3.1,0.24,0.14,4,0,0,16.0,27.0,1.0,96.0,6.0,18.0,0.0,0.0,0,66.0,7.0,17.0,29.2,"€ 259,615(£ 223,161, $294,848)","€ 13,500,000(£ 11,604,384, $15,332,109)",,https://fbref.com/es/jugadores/c4486bac/Michael-Olise
2022-2023,20,Crystal Palace,engENG,1.Premier League,37,"2,749",2,11,3.0,242.0,0.0,0.0,,,,,40,"2,991",2,11,31,"2,749",30.5,2,11,13,2,0,0,2,0,2.9,2.9,8.7,11.6,111.0,133.0,243.0,0.07,0.36,0.43,0.07,0.43,0.09,0.29,0.38,0.09,0.38,58.0,34.0,28.0,26.0,4.0,25.0,60.0,41.7,35.0,46.0,1.0,45.0,26.0,84.0,17.0,0.0,985.0,1420.0,69.4,16792.0,5022.0,518.0,601.0,86.2,328.0,444.0,73.9,115.0,273.0,42.1,11,8.7,6.4,2.3,72.0,72.0,53.0,16.0,133.0,1420.0,1189.0,229.0,63.0,4.0,21.0,242.0,18.0,127.0,58.0,46.0,4.0,985.0,2.0,49.0,25.0,243.0,709.0,911.0,86.0,1840.0,141.0,54.0,38.3,59.0,41.8,1048.0,6663.0,3366.0,111.0,74.0,38.0,85.0,47.0,1215.0,243.0,2,51.0,14.0,27.5,1.67,0.46,0.04,0.14,21.1,7.0,0,0,2.9,2.9,0.06,-0.9,-0.9,143.0,4.68,75.0,37.0,15.0,4.0,9.0,3.0,13.0,0.43,9.0,4.0,0.0,0.0,0.0,0.0,"2,749",74,80.4,30.5,31,85,17,6,20.0,0,1.22,35,38,-3,-0.1,0.71,32.1,36.6,-4.5,-0.15,0.43,2,0,0,28.0,69.0,7.0,242.0,26.0,34.0,0.0,1.0,0,165.0,17.0,38.0,30.9,"€ 259,615(£ 223,161, $294,848)","€ 13,500,000(£ 11,604,384, $15,332,109)",,https://fbref.com/es/jugadores/c4486bac/Michael-Olise
2023-2024,21,Crystal Palace,engENG,1.Premier League,19,"1,275",10,6,,,,,,,,,19,"1,275",10,6,14,"1,275",14.2,10,6,16,9,1,1,0,0,5.5,4.7,5.8,10.5,68.0,78.0,134.0,0.71,0.42,1.13,0.64,1.06,0.39,0.41,0.8,0.33,0.74,19.0,10.0,7.0,10.0,2.0,8.0,24.0,33.3,16.0,21.0,0.0,21.0,11.0,30.0,9.0,0.0,540.0,721.0,74.9,8557.0,2634.0,300.0,339.0,88.5,154.0,195.0,79.0,55.0,116.0,47.4,6,5.8,5.0,0.2,36.0,43.0,34.0,3.0,78.0,721.0,605.0,111.0,44.0,7.0,4.0,97.0,10.0,41.0,25.0,10.0,2.0,540.0,5.0,23.0,10.0,102.0,396.0,483.0,80.0,958.0,83.0,40.0,48.2,33.0,39.8,563.0,3979.0,2210.0,68.0,50.0,27.0,41.0,33.0,692.0,134.0,10,56.0,20.0,35.7,3.95,1.41,0.16,0.45,18.5,4.0,1,1,5.5,4.7,0.08,4.5,4.3,82.0,5.79,44.0,15.0,11.0,5.0,7.0,0.0,14.0,0.99,11.0,1.0,2.0,0.0,0.0,0.0,"1,275",67,37.3,14.2,14,85,9,5,18.0,0,1.47,34,19,15,1.06,1.73,23.0,18.2,4.8,0.34,0.68,0,0,0,13.0,43.0,2.0,97.0,11.0,10.0,0.0,0.0,0,68.0,7.0,15.0,31.8,,,,
2024-2025,22,Bayern Munich,deGER,1.Bundesliga,31,"2,064",9,12,2.0,104.0,0.0,1.0,14.0,"1,027",5.0,2.0,47,"3,195",14,15,25,"2,064",22.9,9,12,21,9,0,0,2,0,8.7,8.7,10.3,19.0,105.0,166.0,328.0,0.39,0.52,0.92,0.39,0.92,0.38,0.45,0.83,0.38,0.83,34.0,21.0,10.0,21.0,3.0,16.0,32.0,50.0,16.0,22.0,1.0,21.0,8.0,42.0,13.0,2.0,1164.0,1434.0,81.2,16977.0,4966.0,734.0,796.0,92.2,357.0,428.0,83.4,58.0,131.0,44.3,12,10.3,11.1,1.7,77.0,84.0,102.0,13.0,166.0,1434.0,1312.0,116.0,13.0,22.0,5.0,122.0,36.0,66.0,40.0,3.0,0.0,1164.0,6.0,41.0,15.0,95.0,625.0,1065.0,131.0,1766.0,128.0,60.0,46.9,50.0,39.1,1162.0,6529.0,3351.0,105.0,60.0,40.0,49.0,25.0,1397.0,328.0,9,75.0,32.0,42.7,3.27,1.4,0.12,0.28,17.2,6.0,0,0,8.7,8.7,0.12,0.3,0.3,142.0,6.19,106.0,13.0,11.0,4.0,8.0,0.0,19.0,0.83,11.0,2.0,2.0,1.0,3.0,0.0,"2,064",67,74.0,22.9,25,77,7,6,24.0,0,2.42,61,20,41,1.79,-0.69,55.6,17.2,38.4,1.67,-0.24,2,0,0,20.0,61.0,4.0,122.0,8.0,21.0,2.0,0.0,0,95.0,9.0,11.0,45.0,,,,
