Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,18,Caen,frFRA,2.Ligue 2,38,"3,308",1,1,,,,,,,,,38,"3,308",1,1,37,"3,308",36.8,1,1,2,1,0,0,2,0,,,,,,,,0.03,0.03,0.05,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,,,0.16,,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,308",87,96.7,36.8,37,,,1,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,"€ 2,885(£ 2,506, $3,161)","€ 150,000(£ 130,294, $164,397)",Estimación no verificada,https://fbref.com/es/jugadores/048a1cbc/Raphael-Guerreiro
2013-2014,19,Lorient,frFRA,1.Ligue 1,34,"3,060",0,1,,,,,,,,,34,"3,060",0,1,34,"3,060",34.0,0,1,1,0,0,0,1,0,,,,,,,,0.0,0.03,0.03,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10,,,0.29,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,060",90,89.5,34.0,34,,34.0,0,,,,,,,,,,,,,,1,0,,11.0,,,,,,,,,,,,,"€ 9,231(£ 8,018, $10,117)","€ 480,000(£ 416,940, $526,070)",Estimación no verificada,https://fbref.com/es/jugadores/048a1cbc/Raphael-Guerreiro
2014-2015,20,Lorient,frFRA,1.Ligue 1,34,"2,778",7,3,,,,,,,,,34,"2,778",7,3,33,"2,778",30.9,7,3,10,7,0,0,1,0,,,,,,,,0.23,0.1,0.32,0.23,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,22,,,0.71,,0.32,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,778",82,81.2,30.9,33,,19.0,1,,0.0,1.15,33.0,37.0,-4.0,-0.13,0.15,,,,,,1,0,,9.0,,,,,,,,,,,,,"€ 11,731(£ 10,190, $12,857)","€ 610,000(£ 529,861, $668,547)",Estimación no verificada,https://fbref.com/es/jugadores/048a1cbc/Raphael-Guerreiro
2015-2016,21,Lorient,frFRA,1.Ligue 1,34,"2,506",3,2,5.0,376.0,0.0,0.0,,,,,39,"2,882",3,2,27,"2,506",27.8,3,2,5,3,0,0,3,0,,,,,,,,0.11,0.07,0.18,0.11,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,13,,,0.47,,0.23,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,506",74,73.3,27.8,27,,21.0,7,,1.0,1.18,34.0,39.0,-5.0,-0.18,0.41,,,,,,3,0,,11.0,,,,,,,,,,,,,"€ 36,346(£ 31,571, $39,835)","€ 1,890,000(£ 1,641,701, $2,071,399)",Estimación no verificada,https://fbref.com/es/jugadores/048a1cbc/Raphael-Guerreiro
2016-2017,22,Dortmund,deGER,1.Bundesliga,24,"1,481",6,4,5.0,348.0,0.0,2.0,6.0,501.0,1.0,1.0,35,"2,330",7,7,17,"1,481",16.5,6,4,10,6,0,0,0,0,,,,,,,,0.36,0.24,0.61,0.36,0.61,,,,,,,21.0,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,32.0,13,40.6,1.94,0.79,0.19,0.46,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,481",62,48.4,16.5,17,,8.0,7,,2.0,1.96,42.0,24.0,18.0,1.09,0.3,,,,,,0,0,0.0,14.0,13.0,3.0,63.0,35.0,21.0,0.0,0.0,0.0,,,,,"€ 37,692(£ 32,740, $41,310)","€ 1,960,000(£ 1,702,504, $2,148,117)",Estimación no verificada,https://fbref.com/es/jugadores/048a1cbc/Raphael-Guerreiro
2017-2018,23,Dortmund,deGER,1.Bundesliga,9,547,1,1,2.0,83.0,0.0,0.0,4.0,280.0,1.0,0.0,15,910,2,1,6,547,6.1,1,1,2,1,0,0,0,0,1.0,1.0,1.1,2.1,9.0,33.0,61.0,0.16,0.16,0.33,0.16,0.33,0.16,0.19,0.35,0.16,0.35,10.0,8.0,5.0,4.0,1.0,2.0,5.0,40.0,3.0,3.0,0.0,3.0,11.0,21.0,8.0,0.0,334.0,418.0,79.9,4607.0,1369.0,192.0,218.0,88.1,116.0,144.0,80.6,10.0,30.0,33.3,1,1.1,0.7,-0.1,9.0,16.0,5.0,1.0,33.0,418.0,353.0,64.0,9.0,0.0,1.0,24.0,41.0,14.0,7.0,4.0,2.0,334.0,1.0,8.0,10.0,58.0,257.0,181.0,21.0,492.0,17.0,8.0,47.1,9.0,52.9,269.0,1342.0,538.0,9.0,14.0,5.0,11.0,7.0,341.0,61.0,1,9.0,5,55.6,1.48,0.82,0.11,0.2,17.1,0.0,0,0,1.0,1.0,0.11,0.0,0.0,17.0,2.8,15.0,1.0,1.0,0.0,0.0,0.0,2.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,547,61,17.9,6.1,6,,3.0,3,,2.0,1.22,11.0,10.0,1.0,0.16,-0.41,10.7,7.9,2.8,0.47,-0.28,0,0,0.0,1.0,8.0,0.0,24.0,11.0,8.0,0.0,0.0,0.0,20.0,3.0,9.0,25.0,"€ 38,077(£ 33,075, $41,731)","€ 1,980,000(£ 1,719,877, $2,170,037)",Estimación no verificada,https://fbref.com/es/jugadores/048a1cbc/Raphael-Guerreiro
2018-2019,24,Dortmund,deGER,1.Bundesliga,23,"1,527",2,6,3.0,221.0,0.0,0.0,6.0,285.0,4.0,0.0,32,"2,033",6,6,17,"1,527",17.0,2,6,8,2,0,0,2,0,2.8,2.8,3.6,6.4,51.0,100.0,126.0,0.12,0.35,0.47,0.12,0.47,0.16,0.21,0.38,0.16,0.38,25.0,12.0,11.0,7.0,7.0,12.0,23.0,52.2,11.0,7.0,1.0,6.0,18.0,43.0,12.0,1.0,956.0,1165.0,82.1,13317.0,3920.0,591.0,655.0,90.2,258.0,323.0,79.9,57.0,94.0,60.6,6,3.6,3.6,2.4,38.0,86.0,18.0,0.0,100.0,1165.0,1053.0,109.0,35.0,3.0,3.0,65.0,37.0,37.0,10.0,19.0,0.0,956.0,3.0,18.0,15.0,170.0,683.0,515.0,60.0,1349.0,47.0,31.0,66.0,16.0,34.0,791.0,4512.0,2120.0,51.0,55.0,13.0,43.0,23.0,1018.0,126.0,2,35.0,14,40.0,2.06,0.83,0.06,0.14,20.3,3.0,0,0,2.8,2.8,0.08,-0.8,-0.8,76.0,4.48,47.0,18.0,3.0,5.0,2.0,1.0,13.0,0.77,9.0,3.0,1.0,0.0,0.0,0.0,"1,527",66,49.9,17.0,17,84.0,7.0,6,16.0,5.0,2.22,40.0,21.0,19.0,1.12,0.06,31.7,15.3,16.4,0.97,0.67,2,0,0.0,10.0,21.0,3.0,65.0,18.0,12.0,0.0,0.0,0.0,92.0,6.0,20.0,23.1,"€ 38,462(£ 33,409, $42,153)","€ 2,000,000(£ 1,737,249, $2,191,956)",,https://fbref.com/es/jugadores/048a1cbc/Raphael-Guerreiro
2019-2020,25,Dortmund,deGER,1.Bundesliga,29,"2,335",8,2,1.0,74.0,0.0,1.0,8.0,550.0,0.0,0.0,38,"2,959",8,3,26,"2,335",25.9,8,2,10,8,0,0,3,0,4.6,4.6,3.0,7.6,75.0,163.0,131.0,0.31,0.08,0.39,0.31,0.39,0.18,0.12,0.29,0.18,0.29,44.0,24.0,18.0,21.0,5.0,20.0,32.0,62.5,12.0,27.0,3.0,24.0,42.0,86.0,26.0,0.0,1859.0,2129.0,87.3,25978.0,8615.0,1115.0,1192.0,93.5,541.0,624.0,86.7,98.0,154.0,63.6,2,3.0,3.6,-1.0,37.0,135.0,33.0,9.0,163.0,2129.0,1880.0,238.0,42.0,6.0,6.0,67.0,167.0,29.0,13.0,5.0,1.0,1859.0,11.0,26.0,46.0,553.0,1272.0,591.0,53.0,2393.0,66.0,41.0,62.1,25.0,37.9,1416.0,6557.0,3906.0,75.0,72.0,8.0,36.0,25.0,1748.0,131.0,8,40.0,15,37.5,1.54,0.58,0.2,0.53,20.1,7.0,0,0,4.6,4.6,0.12,3.4,3.4,72.0,2.78,52.0,8.0,3.0,3.0,4.0,2.0,7.0,0.27,6.0,0.0,0.0,1.0,0.0,0.0,"2,335",81,76.3,25.9,26,87.0,18.0,3,27.0,3.0,1.97,63.0,29.0,34.0,1.31,0.19,45.3,28.6,16.7,0.64,0.22,3,0,0.0,11.0,17.0,0.0,67.0,42.0,24.0,0.0,0.0,0.0,170.0,9.0,20.0,31.0,"€ 67,308(£ 58,465, $73,768)","€ 3,500,000(£ 3,040,186, $3,835,924)",Estimación no verificada,https://fbref.com/es/jugadores/048a1cbc/Raphael-Guerreiro
2020-2021,26,Dortmund,deGER,1.Bundesliga,27,"2,218",5,10,5.0,304.0,0.0,1.0,8.0,666.0,1.0,0.0,40,"3,188",6,11,25,"2,218",24.6,5,10,15,5,0,0,1,0,3.8,3.8,7.4,11.2,86.0,243.0,169.0,0.2,0.41,0.61,0.2,0.61,0.15,0.3,0.45,0.15,0.45,30.0,13.0,14.0,8.0,8.0,16.0,31.0,51.6,15.0,21.0,4.0,17.0,28.0,58.0,31.0,1.0,1841.0,2151.0,85.6,27469.0,10173.0,1054.0,1151.0,91.6,613.0,704.0,87.1,112.0,172.0,65.1,10,7.4,8.7,2.6,55.0,188.0,56.0,10.0,243.0,2151.0,1907.0,241.0,33.0,8.0,9.0,70.0,178.0,30.0,13.0,8.0,0.0,1841.0,3.0,23.0,61.0,489.0,1153.0,754.0,94.0,2384.0,48.0,32.0,66.7,16.0,33.3,1419.0,6892.0,4115.0,86.0,59.0,17.0,40.0,19.0,1733.0,169.0,5,37.0,15,40.5,1.5,0.61,0.14,0.33,20.0,3.0,0,0,3.8,3.8,0.1,1.2,1.2,97.0,3.94,83.0,7.0,3.0,1.0,3.0,0.0,15.0,0.61,13.0,1.0,0.0,1.0,0.0,0.0,"2,218",82,72.5,24.6,25,87.0,19.0,2,16.0,1.0,1.96,58.0,34.0,24.0,0.97,0.44,50.4,29.6,20.8,0.84,0.43,1,0,0.0,10.0,12.0,2.0,70.0,28.0,13.0,0.0,0.0,0.0,174.0,6.0,17.0,26.1,"€ 67,308(£ 58,465, $73,768)","€ 3,500,000(£ 3,040,186, $3,835,924)",Estimación no verificada,https://fbref.com/es/jugadores/048a1cbc/Raphael-Guerreiro
2021-2022,27,Dortmund,deGER,1.Bundesliga,23,"1,795",4,2,1.0,90.0,0.0,0.0,4.0,272.0,1.0,1.0,28,"2,157",5,3,21,"1,795",19.9,4,2,6,3,1,1,1,0,2.9,2.1,2.1,4.2,61.0,118.0,95.0,0.2,0.1,0.3,0.15,0.25,0.14,0.1,0.25,0.1,0.21,35.0,19.0,19.0,12.0,4.0,16.0,31.0,51.6,15.0,18.0,2.0,16.0,25.0,60.0,14.0,1.0,1294.0,1525.0,84.9,17644.0,6995.0,795.0,872.0,91.2,391.0,453.0,86.3,49.0,91.0,53.8,2,2.1,2.7,-0.1,28.0,96.0,22.0,5.0,118.0,1525.0,1324.0,196.0,39.0,2.0,2.0,39.0,140.0,17.0,4.0,8.0,1.0,1294.0,5.0,22.0,44.0,419.0,866.0,452.0,29.0,1723.0,49.0,26.0,53.1,23.0,46.9,1016.0,4823.0,2717.0,61.0,52.0,7.0,30.0,13.0,1205.0,95.0,4,32.0,10,31.3,1.6,0.5,0.09,0.3,25.4,8.0,1,1,2.9,2.1,0.06,1.1,0.9,59.0,2.96,40.0,13.0,2.0,4.0,0.0,0.0,11.0,0.55,9.0,0.0,0.0,2.0,0.0,0.0,"1,795",78,58.7,19.9,21,82.0,10.0,2,36.0,0.0,1.78,45.0,36.0,9.0,0.45,-1.26,32.5,25.6,6.9,0.35,-0.42,1,0,0.0,12.0,8.0,1.0,39.0,25.0,19.0,0.0,0.0,0.0,130.0,5.0,6.0,45.5,"€ 67,308(£ 57,906, $73,598)","€ 3,500,000(£ 3,011,086, $3,827,112)",Estimación no verificada,https://fbref.com/es/jugadores/048a1cbc/Raphael-Guerreiro
