Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,15,RB Leipzig U17,deGER,Jr.U17 Bundesliga,26.0,"2,062",3.0,,,,,,,,,,26.0,"2,062",3,0,24.0,"2,062",22.9,3.0,,,2.0,1.0,1.0,3.0,0.0,,,,,,,,0.13,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"2,062",79.0,88.1,22.9,24.0,82.0,17.0,2.0,42.0,0.0,2.27,77.0,23.0,54.0,2.36,-0.56,,,,,,3.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 1,538(£ 1,336, $1,686)","€ 80,000(£ 69,490, $87,678)",Estimación no verificada,https://fbref.com/es/jugadores/9f77012e/Tom-Krauss
2017-2018,16,RB Leipzig U17,deGER,Jr.U17 Bundesliga,25.0,"2,168",3.0,,,,,,,,,,25.0,"2,168",3,0,25.0,"2,168",24.1,3.0,,,3.0,0.0,0.0,5.0,0.0,,,,,,,,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,168",87.0,92.6,24.1,25.0,87.0,21.0,0.0,,0.0,2.3,68.0,16.0,52.0,2.16,1.64,,,,,,5.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 18,077(£ 15,552, $19,766)","€ 940,000(£ 808,692, $1,027,853)",Estimación no verificada,https://fbref.com/es/jugadores/9f77012e/Tom-Krauss
2017-2018,16,Leipzig U19,deGER,Jr.U19 Bundesliga,2.0,119,1.0,,,,,,,,,,2.0,119,1,0,1.0,119,1.3,1.0,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.76,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,119,60.0,5.1,1.3,1.0,91.0,1.0,1.0,28.0,0.0,0.0,1.0,4.0,-3.0,-2.27,-3.73,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 26,923(£ 22,745, $28,933)","€ 1,400,000(£ 1,182,761, $1,504,503)",Estimación no verificada,https://fbref.com/es/jugadores/9f77012e/Tom-Krauss
2018-2019,17,RB Leipzig,deGER,1.Bundesliga,,,,,,,,,,,,,,,0,0,25.0,"2,198",24.4,8.0,,,6.0,2.0,2.0,3.0,0.0,,,,,,,,0.33,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,"2,198",88.0,93.9,24.4,25.0,88.0,23.0,0.0,,0.0,2.24,50.0,15.0,35.0,1.43,2.07,,,,,,3.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 26,923(£ 23,143, $30,577)","€ 1,400,000(£ 1,203,418, $1,589,997)",Estimación no verificada,https://fbref.com/es/jugadores/9f77012e/Tom-Krauss
2018-2019,17,Leipzig U19,deGER,Jr.U19 Bundesliga,25.0,"2,198",8.0,,,,,,,,,,25.0,"2,198",8,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,100.0,66.0,22.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,7.0,0.0,0.0,,0.0,,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.0,0.1,0.0,0.0,,0.0,1.0,4.0,9.0,3.0,0.0,0.0,0.0,0.0,-1.3,0.0,0.0,0.0,0.0,-0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2019-2020,18,RB Leipzig,deGER,1.Bundesliga,1.0,4,0.0,0.0,,,,,,,,,1.0,4,0,0,12.0,"1,016",11.3,3.0,,,1.0,2.0,2.0,2.0,0.0,,,,,,,,0.27,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,"1,016",85.0,56.4,11.3,12.0,85.0,9.0,0.0,,0.0,1.5,25.0,16.0,9.0,0.8,-0.7,,,,,,2.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2019-2020,18,Leipzig U19,deGER,Jr.U19 Bundesliga,12.0,"1,016",3.0,,,,,,,,,,12.0,"1,016",3,0,27.0,"2,191",24.3,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,,,,,,,,0.08,0.0,0.08,0.08,0.08,,,,,,,44.0,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,28.0,8.0,28.6,1.15,0.33,0.07,0.25,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,191",71.0,71.6,24.3,27.0,78.0,9.0,4.0,19.0,2.0,1.39,37.0,34.0,3.0,0.12,0.95,,,,,,9.0,0.0,0.0,46.0,30.0,2.0,16.0,47.0,44.0,,,0.0,,,,,,,,
2020-2021,19,Nürnberg,deGER,2.2. Bundesliga,31.0,"2,191",2.0,0.0,1.0,90.0,0.0,0.0,,,,,32.0,"2,281",2,0,24.0,"2,113",23.5,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,,,,,,,,0.13,0.09,0.21,0.13,0.21,,,,,,,62.0,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,48.0,8.0,16.7,2.04,0.34,0.06,0.38,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,113",66.0,69.1,23.5,24.0,81.0,9.0,8.0,22.0,0.0,1.5,33.0,30.0,3.0,0.13,0.41,,,,,,3.0,0.0,0.0,34.0,26.0,0.0,34.0,36.0,62.0,,,0.0,,,,,,,,
2021-2022,20,Nürnberg,deGER,2.2. Bundesliga,32.0,"2,113",3.0,2.0,2.0,140.0,0.0,0.0,,,,,34.0,"2,253",3,2,31.0,"2,514",27.9,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,2.2,2.2,0.9,3.1,35.0,86.0,38.0,0.07,0.0,0.07,0.07,0.07,0.08,0.03,0.11,0.08,0.11,112.0,68.0,39.0,62.0,11.0,51.0,100.0,51.0,49.0,39.0,6.0,33.0,36.0,148.0,35.0,0.0,578.0,804.0,71.9,8976.0,2927.0,291.0,376.0,77.4,233.0,284.0,82.0,35.0,70.0,50.0,0.0,0.9,1.4,-0.9,11.0,55.0,15.0,3.0,86.0,804.0,776.0,24.0,6.0,2.0,2.0,16.0,1.0,0.0,0.0,0.0,0.0,578.0,4.0,31.0,55.0,313.0,612.0,241.0,16.0,1140.0,33.0,20.0,60.6,12.0,36.4,466.0,2630.0,1272.0,35.0,26.0,2.0,26.0,31.0,431.0,38.0,2.0,25.0,9.0,36.0,0.89,0.32,0.08,0.22,19.3,0.0,0.0,0.0,2.2,2.2,0.09,-0.2,-0.2,44.0,1.58,37.0,0.0,3.0,1.0,2.0,1.0,4.0,0.14,3.0,0.0,0.0,0.0,1.0,0.0,"2,514",79.0,82.2,27.9,31.0,80.0,15.0,1.0,26.0,0.0,0.97,23.0,52.0,-29.0,-1.04,0.12,31.1,43.1,-12.0,-0.43,0.49,8.0,0.0,0.0,46.0,32.0,0.0,16.0,36.0,68.0,0.0,0.0,0.0,223.0,27.0,34.0,44.3,,,,
2022-2023,21,Schalke 04,deGER,1.Bundesliga,32.0,"2,514",2.0,0.0,1.0,90.0,0.0,0.0,,,,,33.0,"2,604",2,0,13.0,"1,346",15.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,0.4,1.2,12.0,68.0,29.0,0.07,0.13,0.2,0.07,0.2,0.05,0.03,0.08,0.05,0.08,57.0,33.0,22.0,31.0,4.0,21.0,58.0,36.2,37.0,33.0,4.0,29.0,17.0,74.0,28.0,0.0,486.0,651.0,74.7,7591.0,2399.0,262.0,314.0,83.4,186.0,228.0,81.6,28.0,61.0,45.9,2.0,0.4,0.8,1.6,7.0,42.0,9.0,2.0,68.0,651.0,629.0,19.0,14.0,2.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,486.0,3.0,20.0,40.0,202.0,496.0,181.0,14.0,867.0,12.0,3.0,25.0,8.0,66.7,348.0,1746.0,798.0,12.0,13.0,4.0,27.0,13.0,418.0,29.0,1.0,19.0,2.0,10.5,1.27,0.13,0.05,0.5,24.0,0.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2,22.0,1.47,18.0,0.0,0.0,1.0,3.0,0.0,3.0,0.2,2.0,0.0,0.0,0.0,1.0,0.0,"1,346",46.0,44.0,15.0,13.0,79.0,3.0,16.0,20.0,3.0,0.9,17.0,25.0,-8.0,-0.53,-0.32,18.2,20.5,-2.3,-0.15,-0.28,5.0,0.0,0.0,31.0,16.0,0.0,7.0,17.0,33.0,0.0,0.0,0.0,148.0,15.0,11.0,57.7,,,,
