Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,17,Laval,frFRA,2.Ligue 2,4,34,0,0,,,,,,,,,4,34,0,0,0,34,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,2.65,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,34,9,1.0,0.4,0,,,4,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 15,385(£ 13,363, $16,861)","€ 800,000(£ 694,900, $876,783)",Estimación no verificada,https://fbref.com/es/jugadores/923f4dda/Serhou-Guirassy
2014-2015,18,Laval,frFRA,2.Ligue 2,29,"1,410",6,0,,,,,,,,,29,"1,410",6,0,14,"1,410",15.7,6,0,6,6,0,0,0,0,,,,,,,,0.38,0.0,0.38,0.38,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,13,,,0.83,,0.46,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,410",49,41.2,15.7,14,,8.0,15,,3.0,1.45,19.0,14.0,5.0,0.32,0.23,,,,,,0,0,,,,,,,,,,,,,,,"€ 15,385(£ 13,363, $16,861)","€ 800,000(£ 694,900, $876,783)",Estimación no verificada,https://fbref.com/es/jugadores/923f4dda/Serhou-Guirassy
2015-2016,19,Auxerre,frFRA,2.Ligue 2,16,"1,351",8,2,,,,,,,,,16,"1,351",8,2,15,"1,351",15.0,8,2,10,8,0,0,1,0,,,,,,,,0.53,0.13,0.67,0.53,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,22,,,1.47,,0.36,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,351",84,39.5,15.0,15,,10.0,1,,0.0,1.56,24.0,20.0,4.0,0.27,0.4,,,,,,1,0,,24.0,,,,,,,,,,,,,"€ 41,538(£ 36,081, $45,525)","€ 2,160,000(£ 1,876,229, $2,367,313)",,https://fbref.com/es/jugadores/923f4dda/Serhou-Guirassy
2015-2016,19,Lille,frFRA,1.Ligue 1,8,304,0,0,1.0,83.0,1.0,0.0,,,,,9,387,1,0,3,304,3.4,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,,0.89,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,304,38,8.9,3.4,3,,1.0,5,,3.0,0.88,3.0,3.0,0.0,0.0,-0.35,,,,,,2,0,,8.0,,,,,,,,,,,,,"€ 41,538(£ 36,081, $45,525)","€ 2,160,000(£ 1,876,229, $2,367,313)",,https://fbref.com/es/jugadores/923f4dda/Serhou-Guirassy
2016-2017,20,Köln,deGER,1.Bundesliga,6,85,0,0,,,,,,,,,6,85,0,0,0,85,0.9,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0,0.0,1.06,0.0,0.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,85,14,2.8,0.9,0,,0.0,6,,4.0,0.5,0.0,4.0,-4.0,-4.24,-4.63,,,,,,2,0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 41,538(£ 35,736, $45,421)","€ 2,160,000(£ 1,858,270, $2,361,875)",,https://fbref.com/es/jugadores/923f4dda/Serhou-Guirassy
2017-2018,21,Köln,deGER,1.Bundesliga,15,851,4,0,2.0,125.0,1.0,1.0,5.0,324,2.0,0.0,22,"1,300",7,1,8,851,9.5,4,0,4,2,2,2,2,0,6.4,5.0,0.7,5.7,14.0,25.0,72.0,0.42,0.0,0.42,0.21,0.21,0.68,0.08,0.75,0.52,0.6,3.0,3.0,0.0,2.0,1.0,1.0,5.0,20.0,4.0,9.0,1.0,8.0,1.0,4.0,11.0,0.0,189.0,266.0,71.1,2422.0,552.0,115.0,146.0,78.8,48.0,75.0,64.0,6.0,11.0,54.5,0,0.7,0.8,-0.7,7.0,17.0,3.0,0.0,25.0,266.0,255.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,189.0,1.0,8.0,11.0,26.0,191.0,177.0,43.0,388.0,23.0,6.0,26.1,17.0,73.9,229.0,1125.0,367.0,14.0,7.0,7.0,27.0,20.0,335.0,72.0,4,30.0,8,26.7,3.17,0.85,0.07,0.25,14.1,0.0,2,2,6.4,5.0,0.17,-2.4,-3.0,25.0,2.65,16.0,0.0,3.0,2.0,4.0,0.0,3.0,0.32,1.0,0.0,0.0,1.0,1.0,0.0,851,57,27.8,9.5,8,,6.0,7,,2.0,0.47,10.0,20.0,-10.0,-1.06,-0.04,13.9,20.0,-6.1,-0.64,0.09,2,0,0.0,19.0,34.0,9.0,1.0,1.0,3.0,1.0,1.0,0.0,32.0,52.0,46.0,53.1,"€ 41,538(£ 35,093, $44,639)","€ 2,160,000(£ 1,824,831, $2,321,233)",,https://fbref.com/es/jugadores/923f4dda/Serhou-Guirassy
2018-2019,22,Köln,deGER,2.2. Bundesliga,16,618,2,1,1.0,120.0,0.0,0.0,,,,,17,738,2,1,5,618,6.9,2,1,3,2,0,0,0,0,,,,,,,,0.29,0.15,0.44,0.29,0.44,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24.0,11,45.8,3.5,1.6,0.08,0.18,,,0,0,,,,,,,,,,,,,,,,,,,,,,618,39,20.2,6.9,5,85.0,1.0,11,18.0,1.0,2.0,20.0,7.0,13.0,1.89,1.01,,,,,,0,0,0.0,21.0,24.0,3.0,9.0,1.0,4.0,0.0,0.0,0.0,,,,,"€ 181,346(£ 155,882, $205,957)","€ 9,430,000(£ 8,105,877, $10,709,762)",,https://fbref.com/es/jugadores/923f4dda/Serhou-Guirassy
2018-2019,22,Amiens,frFRA,1.Ligue 1,13,"1,111",3,1,,,,,,,,,13,"1,111",3,1,13,"1,111",12.3,3,1,4,3,0,0,0,1,4.1,4.1,1.4,5.5,16.0,31.0,93.0,0.24,0.08,0.32,0.24,0.32,0.34,0.11,0.45,0.34,0.45,7.0,5.0,1.0,5.0,1.0,0.0,4.0,0.0,4.0,7.0,0.0,7.0,4.0,11.0,14.0,0.0,209.0,330.0,63.3,2701.0,597.0,142.0,202.0,70.3,45.0,76.0,59.2,9.0,15.0,60.0,1,1.4,0.7,-0.4,12.0,14.0,9.0,1.0,31.0,330.0,324.0,5.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,209.0,1.0,10.0,14.0,34.0,255.0,216.0,40.0,498.0,24.0,9.0,37.5,15.0,62.5,291.0,1432.0,533.0,16.0,15.0,4.0,46.0,31.0,430.0,93.0,3,27.0,9,33.3,2.19,0.73,0.11,0.33,17.5,2.0,0,0,4.1,4.1,0.15,-1.1,-1.1,28.0,2.27,19.0,0.0,2.0,1.0,6.0,0.0,4.0,0.32,3.0,0.0,0.0,0.0,1.0,0.0,"1,111",85,32.5,12.3,13,85.0,9.0,0,,0.0,1.31,11.0,11.0,0.0,0.0,0.82,13.7,10.7,2.9,0.24,0.92,0,1,0.0,16.0,40.0,7.0,10.0,4.0,5.0,0.0,0.0,0.0,38.0,91.0,59.0,60.7,"€ 181,346(£ 155,882, $205,957)","€ 9,430,000(£ 8,105,877, $10,709,762)",,https://fbref.com/es/jugadores/923f4dda/Serhou-Guirassy
2019-2020,23,Amiens,frFRA,1.Ligue 1,23,"1,921",9,2,1.0,64.0,0.0,0.0,,,,,24,"1,985",9,2,23,"1,921",21.3,9,2,11,6,3,4,6,0,8.9,5.7,0.9,6.6,30.0,51.0,178.0,0.42,0.09,0.52,0.28,0.37,0.41,0.04,0.46,0.27,0.31,7.0,3.0,1.0,4.0,2.0,2.0,7.0,28.6,5.0,13.0,6.0,7.0,4.0,11.0,21.0,0.0,440.0,622.0,70.7,5822.0,977.0,291.0,374.0,77.8,100.0,146.0,68.5,21.0,32.0,65.6,2,0.9,1.2,1.1,14.0,37.0,7.0,1.0,51.0,622.0,594.0,26.0,2.0,1.0,5.0,8.0,5.0,0.0,0.0,0.0,0.0,440.0,2.0,24.0,29.0,50.0,499.0,325.0,72.0,865.0,32.0,15.0,46.9,17.0,53.1,526.0,2473.0,883.0,30.0,32.0,11.0,77.0,41.0,728.0,178.0,9,41.0,15,36.6,1.92,0.7,0.15,0.4,18.1,2.0,3,4,8.9,5.7,0.14,0.1,0.3,37.0,1.73,22.0,0.0,3.0,1.0,11.0,0.0,7.0,0.33,3.0,0.0,0.0,0.0,4.0,0.0,"1,921",84,76.2,21.3,23,84.0,17.0,0,,0.0,0.91,25.0,34.0,-9.0,-0.42,1.08,21.5,25.9,-4.4,-0.21,0.92,6,0,0.0,41.0,63.0,14.0,8.0,4.0,3.0,4.0,0.0,0.0,61.0,93.0,97.0,48.9,"€ 181,346(£ 155,882, $205,957)","€ 9,430,000(£ 8,105,877, $10,709,762)",,https://fbref.com/es/jugadores/923f4dda/Serhou-Guirassy
2020-2021,24,Amiens,frFRA,2.Ligue 2,1,74,1,0,,,,,,,,,1,74,1,0,1,74,0.8,1,0,1,1,0,0,0,0,,,,,,,,1.22,0.0,1.22,1.22,1.22,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.0,2,66.7,3.65,2.43,0.33,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,74,74,2.2,0.8,1,74.0,0.0,0,,0.0,3.0,1.0,0.0,1.0,1.22,1.4,,,,,,0,0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,,,0.0,,,,,"€ 181,346(£ 155,882, $205,957)","€ 9,430,000(£ 8,105,877, $10,709,762)",,https://fbref.com/es/jugadores/923f4dda/Serhou-Guirassy
