Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,16,HSV U17,deGER,Jr.U17 Bundesliga,21.0,"1,871",25.0,,,,,,,,,,21.0,"1,871",25,0,21.0,"1,871",20.8,25.0,,,21.0,4.0,4.0,6.0,0.0,,,,,,,,1.2,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,"1,871",89.0,80.0,20.8,21.0,89.0,20.0,0.0,,0.0,1.76,58.0,27.0,31.0,1.49,1.11,,,,,,6.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 19,231(£ 16,704, $21,077)","€ 1,000,000(£ 868,625, $1,095,978)",,https://fbref.com/es/jugadores/c21fb312/Jann-Fiete-Arp
2016-2017,16,HSV U19,deGER,Jr.U19 Bundesliga,4.0,167,2.0,,,,,,,,,,4.0,167,2,0,2.0,167,1.9,2.0,,,2.0,0.0,0.0,0.0,0.0,,,,,,,,1.08,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,167,42.0,7.1,1.9,2.0,73.0,0.0,2.0,11.0,0.0,2.0,8.0,3.0,5.0,2.69,2.49,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 19,231(£ 16,530, $21,841)","€ 1,000,000(£ 859,584, $1,135,712)",Estimación no verificada,https://fbref.com/es/jugadores/c21fb312/Jann-Fiete-Arp
2017-2018,17,HSV U19,deGER,Jr.U19 Bundesliga,5.0,433,7.0,,,,,,,,,,5.0,433,7,0,5.0,433,4.8,7.0,,,7.0,0.0,0.0,0.0,0.0,,,,,,,,1.45,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,433,87.0,18.5,4.8,5.0,87.0,3.0,0.0,,0.0,2.0,16.0,9.0,7.0,1.45,0.23,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2017-2018,17,Hamburger SV,deGER,1.Bundesliga,18.0,850,2.0,0.0,,,,,,,,,18.0,850,2,0,8.0,850,9.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.8,1.8,0.5,2.3,9.0,5.0,58.0,0.21,0.0,0.21,0.21,0.21,0.19,0.05,0.24,0.19,0.24,7.0,5.0,0.0,3.0,4.0,1.0,7.0,14.3,6.0,6.0,0.0,6.0,2.0,9.0,7.0,0.0,87.0,151.0,57.6,1200.0,144.0,47.0,80.0,58.8,28.0,44.0,63.6,4.0,8.0,50.0,0.0,0.5,0.2,-0.5,3.0,6.0,1.0,0.0,5.0,151.0,135.0,16.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,87.0,0.0,7.0,8.0,10.0,114.0,126.0,36.0,248.0,22.0,10.0,45.5,12.0,54.5,171.0,747.0,249.0,9.0,9.0,5.0,31.0,16.0,198.0,58.0,2.0,17.0,7.0,41.2,1.8,0.74,0.12,0.29,15.1,0.0,0.0,0.0,1.8,1.8,0.11,0.2,0.2,18.0,1.91,9.0,0.0,4.0,1.0,3.0,1.0,2.0,0.21,1.0,0.0,1.0,0.0,0.0,0.0,850,47.0,27.8,9.4,8.0,,3.0,10.0,,2.0,0.83,11.0,10.0,1.0,0.11,1.12,10.0,15.0,-5.0,-0.53,0.0,1.0,0.0,0.0,22.0,18.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,17.0,18.0,46.0,28.1,,,,
2018-2019,18,Hamburger SV,deGER,2.2. Bundesliga,17.0,515,1.0,1.0,3.0,216.0,1.0,1.0,,,,,20.0,731,2,2,5.0,515,5.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,0.17,0.17,0.35,0.17,0.35,,,,,,,7.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,18.0,6.0,33.3,3.15,1.05,0.06,0.17,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,515,30.0,16.8,5.7,5.0,74.0,1.0,12.0,12.0,8.0,1.82,11.0,7.0,4.0,0.7,0.73,,,,,,1.0,0.0,0.0,12.0,12.0,2.0,3.0,6.0,7.0,0.0,0.0,0.0,,,,,,,,
2019-2020,19,Bayern Munich,deGER,1.Bundesliga,,,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,4.0,44.4,1.61,0.72,0.33,0.75,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,,2.0,0.0,0.0,5.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,,,,,,,,
2019-2020,19,Bayern Munich II,deGER,3.3. Liga,12.0,503,3.0,1.0,,,,,,,,,12.0,503,3,1,6.0,503,5.6,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,,,,,,,,0.54,0.18,0.72,0.54,0.72,,,,,,,8.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,42.0,18.0,42.9,2.21,0.95,0.07,0.17,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,503,42.0,14.7,5.6,6.0,64.0,1.0,6.0,20.0,1.0,2.17,15.0,6.0,9.0,1.61,1.39,,,,,,6.0,0.0,0.0,29.0,39.0,4.0,15.0,7.0,8.0,,,0.0,,,,,,,,
2020-2021,20,Bayern Munich,deGER,1.Bundesliga,,,,,1.0,14.0,0.0,0.0,,,,,1.0,14,0,0,18.0,"1,711",19.0,5.0,0.0,5.0,3.0,2.0,2.0,6.0,0.0,,,,,,,,0.26,0.0,0.26,0.16,0.16,,,,,,,8.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,32.0,11.0,34.4,3.23,1.11,0.06,0.18,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,711",57.0,50.0,19.0,18.0,81.0,10.0,12.0,21.0,2.0,0.83,24.0,29.0,-5.0,-0.26,0.05,,,,,,4.0,0.0,0.0,17.0,26.0,8.0,18.0,3.0,8.0,,,0.0,,,,,,,,
2020-2021,20,Bayern Munich II,deGER,3.3. Liga,30.0,"1,711",5.0,0.0,,,,,,,,,30.0,"1,711",5,0,9.0,893,9.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,,,,,,,,0.2,0.1,0.3,0.2,0.3,,,,,,,9.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,24.0,7.0,29.2,2.48,0.72,0.04,0.14,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,893,37.0,29.2,9.9,9.0,64.0,2.0,15.0,21.0,6.0,1.08,7.0,21.0,-14.0,-1.41,-1.66,,,,,,5.0,0.0,0.0,21.0,31.0,1.0,72.0,5.0,9.0,,,0.0,,,,,,,,
2021-2022,21,Holstein Kiel,deGER,2.2. Bundesliga,24.0,893,2.0,1.0,2.0,77.0,1.0,0.0,,,,,26.0,970,3,1,9.0,871,9.7,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,,,,,,,,0.1,0.21,0.31,0.1,0.31,,,,,,,10.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,19.0,12.0,63.2,2.22,1.4,0.26,0.42,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,871,34.0,28.5,9.7,9.0,64.0,1.0,17.0,17.0,2.0,1.23,10.0,19.0,-9.0,-0.93,-1.18,,,,,,2.0,0.0,0.0,14.0,14.0,1.0,10.0,6.0,10.0,,,0.0,,,,,,,,
