Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,17.0,Hoffenheim,deGER,1.Bundesliga,7.0,330,0.0,0.0,2.0,62.0,0.0,0.0,,,,,9.0,392,0.0,0.0,4.0,330,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,330,47.0,10.8,3.7,4.0,,2.0,3.0,,6.0,0.86,2.0,9.0,-7.0,-1.91,-1.94,,,,,,0.0,0.0,,4.0,,,,,,,,,,,,,"€ 3,269(£ 2,840, $3,583)","€ 170,000(£ 147,666, $186,316)",Estimación no verificada,https://fbref.com/es/jugadores/555d5edd/Nadiem-Amiri
2015-2016,18.0,Hoffenheim,deGER,1.Bundesliga,25.0,"1,460",4.0,4.0,,,,,,,,,25.0,"1,460",4.0,4.0,16.0,"1,460",16.2,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,,,,,,,,0.25,0.25,0.49,0.25,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,12.0,,,0.74,,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,460",58.0,47.7,16.2,16.0,,7.0,9.0,,0.0,1.24,21.0,20.0,1.0,0.06,0.96,,,,,,4.0,0.0,,25.0,,,,,,,,,,,,,"€ 3,269(£ 2,840, $3,583)","€ 170,000(£ 147,666, $186,316)",Estimación no verificada,https://fbref.com/es/jugadores/555d5edd/Nadiem-Amiri
2016-2017,19.0,Hoffenheim,deGER,1.Bundesliga,33.0,"1,989",2.0,4.0,1.0,84.0,0.0,0.0,,,,,34.0,"2,073",2.0,4.0,20.0,"1,989",22.1,2.0,4.0,6.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,0.09,0.18,0.27,0.09,0.27,,,,,,,22.0,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,47.0,18.0,38.3,2.13,0.81,0.04,0.11,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,989",60.0,65.0,22.1,20.0,,7.0,13.0,,1.0,1.85,38.0,20.0,18.0,0.81,0.06,,,,,,2.0,0.0,0.0,43.0,47.0,5.0,24.0,36.0,22.0,0.0,0.0,0.0,,,,,"€ 3,846(£ 3,341, $4,215)","€ 200,000(£ 173,725, $219,196)",Estimación no verificada,https://fbref.com/es/jugadores/555d5edd/Nadiem-Amiri
2017-2018,20.0,Hoffenheim,deGER,1.Bundesliga,28.0,"1,744",2.0,3.0,1.0,79.0,1.0,0.0,3.0,238.0,1.0,0.0,32.0,"2,061",4.0,3.0,19.0,"1,744",19.4,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,2.9,2.9,3.4,6.4,51.0,89.0,116.0,0.1,0.15,0.26,0.1,0.26,0.15,0.18,0.33,0.15,0.33,39.0,26.0,13.0,21.0,5.0,19.0,42.0,45.2,23.0,33.0,4.0,29.0,17.0,56.0,7.0,0.0,658.0,851.0,77.3,10737.0,2859.0,327.0,390.0,83.8,253.0,301.0,84.1,53.0,106.0,50.0,3.0,3.4,3.0,-0.4,30.0,71.0,21.0,3.0,89.0,851.0,801.0,41.0,17.0,2.0,2.0,49.0,10.0,14.0,8.0,2.0,0.0,658.0,9.0,29.0,15.0,127.0,574.0,388.0,55.0,1077.0,57.0,22.0,38.6,35.0,61.4,666.0,3742.0,1869.0,51.0,36.0,20.0,31.0,26.0,778.0,116.0,2.0,44.0,16.0,36.4,2.27,0.83,0.05,0.13,20.7,1.0,0.0,0.0,2.9,2.9,0.07,-0.9,-0.9,74.0,3.83,55.0,7.0,3.0,7.0,2.0,0.0,6.0,0.31,5.0,0.0,0.0,1.0,0.0,0.0,"1,744",62.0,57.0,19.4,19.0,,8.0,9.0,,3.0,1.64,35.0,31.0,4.0,0.21,-0.75,30.6,28.9,1.8,0.09,-0.01,4.0,0.0,0.0,42.0,38.0,3.0,49.0,17.0,26.0,0.0,0.0,0.0,106.0,6.0,14.0,30.0,"€ 28,462(£ 24,722, $31,193)","€ 1,480,000(£ 1,285,564, $1,622,048)",Estimación no verificada,https://fbref.com/es/jugadores/555d5edd/Nadiem-Amiri
2018-2019,21.0,Hoffenheim,deGER,1.Bundesliga,13.0,754,3.0,1.0,,,,,1.0,28.0,0.0,0.0,14.0,782,3.0,1.0,10.0,754,8.4,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.2,2.2,1.4,3.5,22.0,50.0,36.0,0.36,0.12,0.48,0.36,0.48,0.26,0.16,0.42,0.26,0.42,14.0,9.0,8.0,4.0,2.0,3.0,13.0,23.1,10.0,11.0,0.0,11.0,7.0,21.0,4.0,0.0,320.0,375.0,85.3,4935.0,1394.0,168.0,185.0,90.8,118.0,129.0,91.5,18.0,34.0,52.9,1.0,1.4,1.5,-0.4,16.0,29.0,12.0,1.0,50.0,375.0,360.0,14.0,8.0,2.0,1.0,11.0,6.0,0.0,0.0,0.0,0.0,320.0,1.0,7.0,7.0,64.0,257.0,155.0,18.0,469.0,27.0,20.0,74.1,7.0,25.9,271.0,1802.0,853.0,22.0,20.0,6.0,11.0,13.0,331.0,36.0,3.0,18.0,6.0,33.3,2.15,0.72,0.17,0.5,18.8,0.0,0.0,0.0,2.2,2.2,0.12,0.8,0.8,28.0,3.34,21.0,1.0,4.0,1.0,1.0,0.0,3.0,0.36,1.0,0.0,1.0,0.0,1.0,0.0,754,58.0,24.6,8.4,10.0,69.0,2.0,3.0,22.0,4.0,1.85,22.0,8.0,14.0,1.67,1.51,22.2,9.3,12.9,1.54,1.13,1.0,0.0,0.0,14.0,14.0,0.0,11.0,7.0,9.0,0.0,0.0,0.0,44.0,3.0,8.0,27.3,"€ 28,846(£ 25,056, $31,615)","€ 1,500,000(£ 1,302,937, $1,643,967)",Estimación no verificada,https://fbref.com/es/jugadores/555d5edd/Nadiem-Amiri
2019-2020,22.0,Leverkusen,deGER,1.Bundesliga,30.0,"1,857",1.0,2.0,5.0,264.0,0.0,1.0,7.0,441.0,0.0,0.0,42.0,"2,562",1.0,3.0,22.0,"1,857",20.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,2.2,2.2,6.3,8.4,53.0,106.0,95.0,0.05,0.1,0.15,0.05,0.15,0.1,0.3,0.41,0.1,0.41,26.0,16.0,7.0,15.0,4.0,16.0,34.0,47.1,18.0,12.0,2.0,10.0,14.0,40.0,8.0,1.0,886.0,1145.0,77.4,13788.0,3822.0,473.0,527.0,89.8,289.0,351.0,82.3,75.0,159.0,47.2,2.0,6.3,4.6,-4.3,54.0,68.0,24.0,5.0,106.0,1145.0,972.0,162.0,48.0,7.0,7.0,114.0,34.0,77.0,45.0,25.0,1.0,886.0,11.0,25.0,15.0,158.0,712.0,504.0,50.0,1355.0,44.0,30.0,68.2,14.0,31.8,723.0,4405.0,2166.0,53.0,43.0,13.0,41.0,19.0,905.0,95.0,1.0,42.0,18.0,42.9,2.04,0.87,0.02,0.06,23.3,1.0,0.0,0.0,2.2,2.2,0.05,-1.2,-1.2,95.0,4.6,59.0,24.0,5.0,4.0,3.0,0.0,8.0,0.39,7.0,0.0,0.0,0.0,1.0,0.0,"1,857",62.0,60.7,20.6,22.0,79.0,11.0,8.0,15.0,4.0,1.7,31.0,25.0,6.0,0.29,-0.53,30.9,30.8,0.1,0.01,-0.57,3.0,0.0,0.0,27.0,39.0,3.0,114.0,14.0,16.0,1.0,0.0,0.0,140.0,9.0,17.0,34.6,"€ 54,423(£ 47,273, $59,647)","€ 2,830,000(£ 2,458,208, $3,101,618)",Estimación no verificada,https://fbref.com/es/jugadores/555d5edd/Nadiem-Amiri
2020-2021,23.0,Leverkusen,deGER,1.Bundesliga,29.0,"1,890",2.0,6.0,2.0,125.0,2.0,1.0,8.0,490.0,1.0,2.0,39.0,"2,505",5.0,9.0,20.0,"1,890",21.0,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,2.2,2.2,3.1,5.3,45.0,113.0,82.0,0.1,0.29,0.38,0.1,0.38,0.1,0.15,0.25,0.1,0.25,12.0,7.0,4.0,8.0,0.0,7.0,33.0,21.2,26.0,18.0,3.0,15.0,12.0,24.0,7.0,0.0,930.0,1139.0,81.7,15414.0,3793.0,464.0,512.0,90.6,325.0,377.0,86.2,102.0,168.0,60.7,6.0,3.1,3.7,2.9,38.0,96.0,27.0,3.0,113.0,1139.0,1036.0,96.0,41.0,3.0,3.0,68.0,7.0,44.0,15.0,19.0,0.0,930.0,7.0,24.0,19.0,158.0,764.0,443.0,30.0,1351.0,39.0,21.0,53.8,18.0,46.2,777.0,4342.0,2040.0,45.0,34.0,8.0,50.0,23.0,1011.0,82.0,2.0,42.0,14.0,33.3,2.0,0.67,0.05,0.14,24.4,3.0,0.0,0.0,2.2,2.2,0.05,-0.2,-0.2,80.0,3.81,57.0,13.0,4.0,6.0,0.0,0.0,10.0,0.48,8.0,1.0,1.0,0.0,0.0,0.0,"1,890",65.0,61.8,21.0,20.0,85.0,14.0,9.0,21.0,0.0,1.62,39.0,24.0,15.0,0.71,0.79,27.6,23.7,3.9,0.19,-0.06,5.0,0.0,0.0,21.0,26.0,4.0,68.0,12.0,7.0,0.0,0.0,0.0,109.0,4.0,21.0,16.0,"€ 54,423(£ 47,273, $59,647)","€ 2,830,000(£ 2,458,208, $3,101,618)",Estimación no verificada,https://fbref.com/es/jugadores/555d5edd/Nadiem-Amiri
2021-2022,24.0,Genoa,itITA,1.Serie A,13.0,683,0.0,1.0,,,,,,,,,13.0,683,0.0,1.0,9.0,683,7.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,2.1,3.0,17.0,33.0,34.0,0.0,0.13,0.13,0.0,0.13,0.12,0.28,0.4,0.12,0.4,6.0,4.0,2.0,2.0,2.0,2.0,9.0,22.2,7.0,7.0,0.0,7.0,0.0,6.0,0.0,0.0,222.0,299.0,74.2,3236.0,970.0,122.0,144.0,84.7,74.0,93.0,79.6,10.0,33.0,30.3,1.0,2.1,1.4,-1.1,20.0,16.0,9.0,1.0,33.0,299.0,255.0,41.0,13.0,2.0,0.0,20.0,2.0,12.0,2.0,7.0,0.0,222.0,3.0,3.0,1.0,34.0,197.0,177.0,16.0,402.0,29.0,12.0,41.4,17.0,58.6,238.0,1400.0,672.0,17.0,27.0,2.0,33.0,13.0,277.0,34.0,0.0,16.0,6.0,37.5,2.11,0.79,0.0,0.0,23.8,1.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,30.0,3.96,24.0,4.0,1.0,0.0,1.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,683,53.0,20.0,7.6,9.0,65.0,2.0,4.0,25.0,0.0,1.0,4.0,10.0,-6.0,-0.79,0.1,7.6,10.3,-2.7,-0.35,0.12,0.0,0.0,0.0,7.0,19.0,1.0,20.0,0.0,4.0,0.0,0.0,0.0,40.0,3.0,7.0,30.0,"€ 36,923(£ 32,072, $40,467)","€ 1,920,000(£ 1,667,759, $2,104,278)",Estimación no verificada,https://fbref.com/es/jugadores/555d5edd/Nadiem-Amiri
2021-2022,24.0,Leverkusen,deGER,1.Bundesliga,13.0,369,1.0,0.0,2.0,136.0,0.0,0.0,5.0,156.0,1.0,2.0,20.0,661,2.0,2.0,3.0,369,4.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,17.0,21.0,29.0,0.24,0.0,0.24,0.24,0.24,0.11,0.08,0.19,0.11,0.19,8.0,4.0,3.0,2.0,3.0,4.0,8.0,50.0,4.0,4.0,2.0,2.0,5.0,13.0,0.0,0.0,183.0,222.0,82.4,2857.0,576.0,97.0,105.0,92.4,59.0,72.0,81.9,18.0,28.0,64.3,0.0,0.3,0.4,-0.3,3.0,10.0,8.0,0.0,21.0,222.0,209.0,12.0,2.0,0.0,2.0,8.0,3.0,6.0,1.0,5.0,0.0,183.0,1.0,5.0,1.0,44.0,155.0,81.0,6.0,277.0,12.0,3.0,25.0,9.0,75.0,183.0,1290.0,575.0,17.0,15.0,1.0,9.0,9.0,208.0,29.0,1.0,8.0,2.0,25.0,1.95,0.49,0.13,0.5,21.1,1.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5,7.0,1.71,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.24,0.0,0.0,0.0,0.0,1.0,0.0,369,28.0,12.1,4.1,3.0,80.0,1.0,10.0,13.0,5.0,2.0,6.0,6.0,0.0,0.0,-1.1,7.3,6.0,1.3,0.33,-0.25,0.0,0.0,0.0,2.0,11.0,0.0,8.0,5.0,4.0,0.0,0.0,0.0,30.0,1.0,3.0,25.0,"€ 54,423(£ 47,273, $59,647)","€ 2,830,000(£ 2,458,208, $3,101,618)",Estimación no verificada,https://fbref.com/es/jugadores/555d5edd/Nadiem-Amiri
2022-2023,25.0,Leverkusen,deGER,1.Bundesliga,25.0,977,4.0,1.0,,,,,11.0,391.0,0.0,1.0,36.0,"1,368",4.0,2.0,9.0,977,10.9,4.0,1.0,5.0,3.0,1.0,1.0,6.0,0.0,1.9,1.1,1.1,2.2,30.0,55.0,30.0,0.37,0.09,0.46,0.28,0.37,0.17,0.1,0.27,0.1,0.2,15.0,6.0,5.0,8.0,2.0,9.0,20.0,45.0,11.0,12.0,1.0,11.0,6.0,21.0,10.0,2.0,423.0,507.0,83.4,6968.0,1759.0,212.0,233.0,91.0,149.0,168.0,88.7,45.0,68.0,66.2,1.0,1.1,1.8,-0.1,15.0,38.0,9.0,1.0,55.0,507.0,472.0,32.0,14.0,4.0,4.0,16.0,4.0,9.0,2.0,7.0,0.0,423.0,3.0,15.0,16.0,119.0,339.0,174.0,15.0,623.0,38.0,18.0,47.4,14.0,36.8,352.0,2134.0,1069.0,30.0,26.0,7.0,14.0,10.0,430.0,30.0,4.0,23.0,8.0,34.8,2.12,0.74,0.13,0.38,24.3,3.0,1.0,1.0,1.9,1.1,0.05,2.1,1.9,36.0,3.32,23.0,4.0,4.0,1.0,4.0,0.0,5.0,0.46,3.0,0.0,1.0,0.0,1.0,0.0,977,39.0,31.9,10.9,9.0,75.0,2.0,16.0,19.0,4.0,1.44,19.0,20.0,-1.0,-0.09,-0.48,14.4,12.8,1.6,0.15,-0.16,6.0,0.0,0.0,14.0,25.0,4.0,16.0,6.0,6.0,0.0,0.0,0.0,75.0,1.0,10.0,9.1,"€ 54,423(£ 46,821, $59,509)","€ 2,830,000(£ 2,434,678, $3,094,493)",Estimación no verificada,https://fbref.com/es/jugadores/555d5edd/Nadiem-Amiri
