Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,16,Nice,frFRA,1.Ligue 1,8,204,0,0,,,,,,,,,8,204,0,0,1,204,2.3,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1.0,,,0.44,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,204,26,6.0,2.3,1,,0,7,,,,,,,,,,,,,,0,0,,4.0,,,,,,,,,,,,,"€ 3,462(£ 3,007, $3,794)","€ 180,000(£ 156,352, $197,276)",Estimación no verificada,https://fbref.com/es/jugadores/db7849ca/Franck-Honorat
2014-2015,17,Nice,frFRA,1.Ligue 1,5,112,0,0,,,,,,,,,5,112,0,0,1,112,1.2,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,112,22,3.3,1.2,1,,0,4,,3.0,1.6,0.0,0.0,0.0,0.0,0.24,,,,,,2,0,,4.0,,,,,,,,,,,,,"€ 5,769(£ 5,011, $6,323)","€ 300,000(£ 260,587, $328,793)",Estimación no verificada,https://fbref.com/es/jugadores/db7849ca/Franck-Honorat
2015-2016,18,Nice,frFRA,1.Ligue 1,6,118,0,0,,,,,,,,,6,118,0,0,0,118,1.3,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2.0,,,1.53,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,118,20,3.5,1.3,0,,0,6,,2.0,1.33,2.0,1.0,1.0,0.76,0.33,,,,,,1,0,,6.0,,,,,,,,,,,,,"€ 11,538(£ 10,023, $12,646)","€ 600,000(£ 521,175, $657,587)",Estimación no verificada,https://fbref.com/es/jugadores/db7849ca/Franck-Honorat
2016-2017,19,Sochaux,frFRA,2.Ligue 2,24,"1,159",0,1,5.0,409.0,1.0,0.0,,,,,29,"1,568",1,1,12,"1,159",12.9,0,1,1,0,0,0,0,0,,,,,,,,0.0,0.08,0.08,0.0,0.08,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,8.0,,0.0,0.62,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,159",48,33.9,12.9,12,,0,12,,3.0,1.25,15.0,9.0,6.0,0.47,0.9,,,,,,0,0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 11,538(£ 10,023, $12,646)","€ 600,000(£ 521,175, $657,587)",Estimación no verificada,https://fbref.com/es/jugadores/db7849ca/Franck-Honorat
2017-2018,20,Clermont Foot,frFRA,2.Ligue 2,35,"1,950",3,5,3.0,176.0,0.0,0.0,,,,,38,"2,126",3,5,22,"1,950",21.7,3,5,8,3,0,0,2,1,,,,,,,,0.14,0.23,0.37,0.14,0.37,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,19.0,,0.0,0.88,,0.16,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,950",56,57.0,21.7,22,,6,13,,2.0,1.54,29.0,24.0,5.0,0.23,-0.57,,,,,,2,1,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 11,538(£ 9,927, $12,617)","€ 600,000(£ 516,186, $656,076)",,https://fbref.com/es/jugadores/db7849ca/Franck-Honorat
2018-2019,21,Clermont Foot,frFRA,2.Ligue 2,35,"2,823",4,9,4.0,353.0,3.0,0.0,,,,,39,"3,176",7,9,32,"2,823",31.4,4,9,13,4,0,0,1,1,,,,,,,,0.13,0.29,0.41,0.13,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,823",81,82.5,31.4,32,86.0,23,3,26.0,0.0,1.23,36.0,32.0,4.0,0.13,-0.32,,,,,,1,1,0.0,,,,,,,,,0.0,,,,,"€ 24,038(£ 20,308, $25,833)","€ 1,250,000(£ 1,056,036, $1,343,306)",Estimación no verificada,https://fbref.com/es/jugadores/db7849ca/Franck-Honorat
2019-2020,22,Saint-Étienne,frFRA,1.Ligue 1,12,849,0,3,5.0,396.0,0.0,2.0,2.0,135.0,0.0,0.0,19,"1,380",0,5,9,849,9.4,0,3,3,0,0,0,1,0,0.1,0.1,1.8,2.0,34.0,28.0,76.0,0.0,0.32,0.32,0.0,0.32,0.01,0.19,0.21,0.01,0.21,16.0,11.0,7.0,8.0,1.0,8.0,23.0,34.8,15.0,12.0,1.0,11.0,5.0,21.0,13.0,1.0,234.0,390.0,60.0,3523.0,1411.0,127.0,173.0,73.4,83.0,129.0,64.3,12.0,45.0,26.7,3,1.8,1.3,1.2,13.0,17.0,11.0,6.0,28.0,390.0,344.0,46.0,2.0,1.0,1.0,52.0,44.0,0.0,0.0,0.0,0.0,234.0,0.0,24.0,16.0,93.0,205.0,193.0,15.0,488.0,14.0,6.0,42.9,8.0,57.1,234.0,1714.0,1131.0,34.0,26.0,4.0,19.0,6.0,291.0,76.0,0,5.0,1.0,20.0,0.53,0.11,0.0,0.0,26.5,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,30.0,3.18,26.0,0.0,2.0,0.0,1.0,1.0,4.0,0.42,4.0,0.0,0.0,0.0,0.0,0.0,849,71,33.7,9.4,9,83.0,6,3,35.0,2.0,0.92,14.0,15.0,-1.0,-0.11,0.7,12.0,10.9,1.1,0.12,0.58,1,0,0.0,7.0,6.0,0.0,52.0,5.0,11.0,0.0,0.0,0.0,45.0,6.0,16.0,27.3,"€ 24,038(£ 20,663, $27,301)","€ 1,250,000(£ 1,074,480, $1,419,640)",Estimación no verificada,https://fbref.com/es/jugadores/db7849ca/Franck-Honorat
2020-2021,23,Brest,frFRA,1.Ligue 1,36,"2,458",8,4,1.0,13.0,0.0,0.0,,,,,37,"2,471",8,4,28,"2,458",27.3,8,4,12,8,0,0,3,0,4.2,4.2,7.9,12.1,83.0,83.0,227.0,0.29,0.15,0.44,0.29,0.44,0.15,0.29,0.44,0.15,0.44,28.0,13.0,12.0,10.0,6.0,14.0,37.0,37.8,23.0,15.0,3.0,12.0,11.0,39.0,24.0,0.0,686.0,1057.0,64.9,11481.0,3567.0,355.0,455.0,78.0,217.0,323.0,67.2,84.0,174.0,48.3,4,7.9,7.6,-3.9,64.0,41.0,53.0,31.0,83.0,1057.0,931.0,116.0,29.0,5.0,10.0,185.0,32.0,53.0,30.0,12.0,0.0,686.0,10.0,42.0,32.0,197.0,413.0,710.0,79.0,1299.0,60.0,25.0,41.7,35.0,58.3,721.0,4332.0,2345.0,83.0,58.0,23.0,41.0,27.0,857.0,227.0,8,41.0,24.0,58.5,1.5,0.88,0.2,0.33,18.7,1.0,0,0,4.2,4.2,0.11,3.8,3.8,113.0,4.14,79.0,19.0,6.0,7.0,2.0,0.0,9.0,0.33,5.0,1.0,1.0,2.0,0.0,0.0,"2,458",68,71.9,27.3,28,81.0,9,8,24.0,0.0,1.06,35.0,45.0,-10.0,-0.37,0.2,33.9,42.1,-8.1,-0.3,-0.3,3,0,0.0,37.0,14.0,3.0,185.0,11.0,13.0,0.0,1.0,0.0,124.0,22.0,25.0,46.8,"€ 24,038(£ 20,663, $27,301)","€ 1,250,000(£ 1,074,480, $1,419,640)",Estimación no verificada,https://fbref.com/es/jugadores/db7849ca/Franck-Honorat
2021-2022,24,Brest,frFRA,1.Ligue 1,34,"2,899",11,4,3.0,195.0,0.0,0.0,,,,,37,"3,094",11,4,34,"2,899",32.2,11,4,15,11,0,0,3,0,4.3,4.3,6.6,10.9,117.0,84.0,289.0,0.34,0.12,0.47,0.34,0.47,0.13,0.21,0.34,0.13,0.34,54.0,38.0,25.0,13.0,16.0,27.0,47.0,57.4,20.0,24.0,2.0,22.0,15.0,69.0,25.0,0.0,829.0,1225.0,67.7,13982.0,4061.0,437.0,544.0,80.3,258.0,383.0,67.4,95.0,204.0,46.6,4,6.6,5.8,-2.6,59.0,49.0,48.0,22.0,84.0,1225.0,1077.0,144.0,27.0,4.0,17.0,188.0,58.0,53.0,21.0,23.0,0.0,829.0,4.0,31.0,25.0,212.0,531.0,858.0,103.0,1572.0,79.0,37.0,46.8,42.0,53.2,906.0,6275.0,3268.0,117.0,83.0,41.0,78.0,30.0,1036.0,289.0,11,60.0,30.0,50.0,1.86,0.93,0.18,0.37,20.5,1.0,0,0,4.3,4.3,0.07,6.7,6.7,124.0,3.85,73.0,20.0,14.0,7.0,6.0,4.0,15.0,0.47,6.0,0.0,3.0,2.0,3.0,1.0,"2,899",85,84.8,32.2,34,85.0,21,0,,0.0,1.24,40.0,45.0,-5.0,-0.16,0.36,35.5,43.9,-8.4,-0.26,0.51,3,0,0.0,24.0,21.0,5.0,188.0,15.0,38.0,3.0,0.0,0.0,148.0,18.0,31.0,36.7,"€ 24,038(£ 20,663, $27,301)","€ 1,250,000(£ 1,074,480, $1,419,640)",Estimación no verificada,https://fbref.com/es/jugadores/db7849ca/Franck-Honorat
2022-2023,25,Brest,frFRA,1.Ligue 1,33,"2,535",6,5,2.0,94.0,0.0,1.0,,,,,35,"2,629",6,6,29,"2,535",28.2,6,5,11,6,0,0,1,0,4.8,4.8,9.4,14.2,98.0,70.0,261.0,0.21,0.18,0.39,0.21,0.39,0.17,0.33,0.5,0.17,0.5,41.0,29.0,20.0,8.0,13.0,19.0,34.0,55.9,15.0,22.0,2.0,20.0,21.0,62.0,18.0,0.0,691.0,1043.0,66.3,11988.0,3679.0,330.0,430.0,76.7,236.0,326.0,72.4,87.0,201.0,43.3,5,9.4,7.5,-4.4,89.0,40.0,49.0,26.0,70.0,1043.0,904.0,133.0,23.0,1.0,9.0,214.0,12.0,87.0,34.0,41.0,2.0,691.0,6.0,35.0,20.0,172.0,466.0,704.0,98.0,1317.0,55.0,15.0,27.3,35.0,63.6,919.0,6109.0,2757.0,98.0,63.0,30.0,56.0,21.0,850.0,261.0,6,47.0,17.0,36.2,1.67,0.6,0.13,0.35,18.1,4.0,0,0,4.8,4.8,0.1,1.2,1.2,132.0,4.69,80.0,37.0,5.0,7.0,3.0,0.0,11.0,0.39,5.0,4.0,1.0,1.0,0.0,0.0,"2,535",77,74.1,28.2,29,84.0,16,4,28.0,0.0,1.24,33.0,34.0,-1.0,-0.04,0.88,32.5,41.9,-9.4,-0.33,0.0,1,0,0.0,23.0,18.0,9.0,214.0,21.0,29.0,0.0,1.0,0.0,134.0,13.0,36.0,26.5,"€ 24,038(£ 20,663, $27,301)","€ 1,250,000(£ 1,074,480, $1,419,640)",Estimación no verificada,https://fbref.com/es/jugadores/db7849ca/Franck-Honorat
