Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,17,Bochum,deGER,2.2. Bundesliga,9,336,0,0,,,,,,,,,9,336,0,0,2,336,3.7,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.27,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,336,37,11.0,3.7,2,,,7,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,"€ 9,231(£ 8,018, $10,117)","€ 480,000(£ 416,940, $526,070)",Estimación no verificada,https://fbref.com/es/jugadores/ca8033cb/Lukas-Klostermann
2014-2015,18,RB Leipzig,deGER,2.2. Bundesliga,13,"1,083",1,1,2.0,210.0,0.0,0.0,,,,,15,"1,293",1,1,12,"1,083",12.0,1,1,2,1,0,0,1,0,,,,,,,,0.08,0.08,0.17,0.08,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,0.08,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,083",83,35.4,12.0,12,,12.0,1,,7.0,1.77,15.0,15.0,0.0,0.0,-0.36,,,,,,1,0,,13,,,,,,,,,,,,,"€ 19,038(£ 16,537, $20,866)","€ 990,000(£ 859,938, $1,085,018)",Estimación no verificada,https://fbref.com/es/jugadores/ca8033cb/Lukas-Klostermann
2015-2016,19,RB Leipzig,deGER,2.2. Bundesliga,30,"2,481",1,4,1.0,51.0,0.0,0.0,,,,,31,"2,532",1,4,28,"2,481",27.6,1,4,5,1,0,0,2,0,,,,,,,,0.04,0.15,0.18,0.04,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,0.15,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,481",83,81.1,27.6,28,,26.0,2,,1.0,2.03,45.0,27.0,18.0,0.65,0.03,,,,,,2,0,,22,,,,,,,,,,,,,"€ 28,846(£ 25,056, $31,615)","€ 1,500,000(£ 1,302,937, $1,643,967)",Estimación no verificada,https://fbref.com/es/jugadores/ca8033cb/Lukas-Klostermann
2016-2017,20,RB Leipzig,deGER,1.Bundesliga,1,90,0,0,,,,,,,,,1,90,0,0,1,90,1.0,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,0,0.0,1.0,0.0,0.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,2.9,1.0,1,,1.0,0,,0.0,3.0,1.0,0.0,1.0,1.0,0.21,,,,,,1,0,0.0,2,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,,,,,"€ 28,846(£ 25,056, $31,615)","€ 1,500,000(£ 1,302,937, $1,643,967)",,https://fbref.com/es/jugadores/ca8033cb/Lukas-Klostermann
2017-2018,21,RB Leipzig,deGER,1.Bundesliga,26,"2,190",1,0,2.0,102.0,0.0,0.0,11.0,912.0,0.0,0.0,39,"3,204",1,0,25,"2,190",24.3,1,0,1,1,0,0,2,0,0.9,0.9,1.6,2.5,32.0,80.0,124.0,0.04,0.0,0.04,0.04,0.04,0.04,0.07,0.1,0.04,0.1,56.0,41.0,34.0,18.0,4.0,28.0,37.0,75.7,9.0,33.0,6.0,27.0,33.0,89.0,79.0,0.0,922.0,1201.0,76.8,13349.0,4720.0,562.0,662.0,84.9,292.0,385.0,75.8,44.0,76.0,57.9,0,1.6,1.8,-1.6,15.0,56.0,12.0,6.0,80.0,1201.0,964.0,232.0,11.0,2.0,3.0,41.0,221.0,0.0,0.0,0.0,0.0,922.0,5.0,45.0,80.0,388.0,729.0,334.0,25.0,1440.0,14.0,9.0,64.3,5.0,35.7,558.0,2523.0,1242.0,32.0,28.0,3.0,15.0,14.0,739.0,124.0,1,11.0,3,27.3,0.45,0.12,0.09,0.33,16.5,0.0,0,0,0.9,0.9,0.09,0.1,0.1,32.0,1.32,28.0,1.0,0.0,0.0,1.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,"2,190",84,71.6,24.3,25,,21.0,1,,5.0,1.5,40.0,38.0,2.0,0.08,-0.12,34.1,34.0,0.0,0.0,-0.53,2,0,0.0,13,16.0,1.0,41.0,33.0,41.0,0.0,0.0,0.0,106.0,41.0,34.0,54.7,"€ 100,000(£ 86,862, $109,598)","€ 5,200,000(£ 4,516,848, $5,699,087)",,https://fbref.com/es/jugadores/ca8033cb/Lukas-Klostermann
2018-2019,22,RB Leipzig,deGER,1.Bundesliga,26,"2,003",5,1,5.0,450.0,0.0,2.0,4.0,148.0,0.0,0.0,35,"2,601",5,3,22,"2,003",22.3,5,1,6,5,0,0,1,0,2.0,2.0,2.0,4.0,43.0,78.0,109.0,0.22,0.04,0.27,0.22,0.27,0.09,0.09,0.18,0.09,0.18,50.0,29.0,33.0,12.0,5.0,29.0,45.0,64.4,16.0,37.0,5.0,32.0,29.0,79.0,74.0,0.0,754.0,1025.0,73.6,11290.0,4818.0,408.0,478.0,85.4,252.0,354.0,71.2,55.0,101.0,54.5,1,2.0,2.7,-1.0,19.0,48.0,17.0,8.0,78.0,1025.0,831.0,190.0,4.0,0.0,0.0,40.0,186.0,0.0,0.0,0.0,0.0,754.0,4.0,31.0,74.0,366.0,571.0,360.0,40.0,1284.0,16.0,7.0,43.8,9.0,56.3,444.0,2858.0,1585.0,43.0,31.0,10.0,11.0,8.0,596.0,109.0,5,13.0,6,46.2,0.58,0.27,0.38,0.83,12.5,0.0,0,0,2.0,2.0,0.16,3.0,3.0,33.0,1.48,29.0,0.0,2.0,1.0,1.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,"2,003",77,65.5,22.3,22,88.0,20.0,4,18.0,4.0,1.96,36.0,21.0,15.0,0.67,-0.94,39.6,28.2,11.4,0.51,-0.66,1,0,0.0,17,11.0,1.0,40.0,29.0,29.0,0.0,0.0,0.0,123.0,42.0,27.0,60.9,"€ 100,000(£ 86,862, $109,598)","€ 5,200,000(£ 4,516,848, $5,699,087)",,https://fbref.com/es/jugadores/ca8033cb/Lukas-Klostermann
2019-2020,23,RB Leipzig,deGER,1.Bundesliga,31,"2,643",3,1,2.0,180.0,1.0,0.0,10.0,809.0,0.0,1.0,43,"3,632",4,2,31,"2,643",29.4,3,1,4,3,0,0,1,0,2.7,2.7,2.4,5.1,38.0,132.0,78.0,0.1,0.03,0.14,0.1,0.14,0.09,0.08,0.17,0.09,0.17,45.0,26.0,24.0,16.0,5.0,18.0,31.0,58.1,13.0,34.0,16.0,18.0,26.0,71.0,101.0,2.0,1536.0,1814.0,84.7,25158.0,8914.0,706.0,795.0,88.8,708.0,792.0,89.4,79.0,145.0,54.5,1,2.4,2.0,-1.4,15.0,89.0,13.0,4.0,132.0,1814.0,1698.0,113.0,27.0,0.0,3.0,25.0,86.0,0.0,0.0,0.0,0.0,1536.0,3.0,17.0,170.0,750.0,1095.0,252.0,28.0,2092.0,23.0,15.0,65.2,8.0,34.8,1121.0,5468.0,3196.0,38.0,22.0,2.0,12.0,11.0,1354.0,78.0,3,12.0,6,50.0,0.41,0.2,0.25,0.5,11.1,0.0,0,0,2.7,2.7,0.23,0.3,0.3,37.0,1.26,32.0,1.0,1.0,2.0,1.0,0.0,6.0,0.2,5.0,0.0,0.0,1.0,0.0,0.0,"2,643",85,86.4,29.4,31,85.0,27.0,0,,2.0,2.03,77.0,30.0,47.0,1.6,2.25,64.6,31.6,33.0,1.12,1.21,1,0,0.0,12,14.0,0.0,25.0,26.0,26.0,0.0,0.0,0.0,172.0,40.0,43.0,48.2,"€ 100,000(£ 86,031, $109,346)","€ 5,200,000(£ 4,473,614, $5,685,995)",,https://fbref.com/es/jugadores/ca8033cb/Lukas-Klostermann
2020-2021,24,RB Leipzig,deGER,1.Bundesliga,23,"1,446",1,0,4.0,334.0,0.0,0.0,2.0,180.0,0.0,0.0,29,"1,960",1,0,15,"1,446",16.1,1,0,1,1,0,0,2,0,0.8,0.8,0.8,1.6,13.0,106.0,23.0,0.06,0.0,0.06,0.06,0.06,0.05,0.05,0.1,0.05,0.1,23.0,19.0,8.0,12.0,3.0,11.0,18.0,61.1,7.0,16.0,6.0,10.0,18.0,41.0,44.0,1.0,1015.0,1169.0,86.8,17349.0,5891.0,448.0,486.0,92.2,491.0,528.0,93.0,68.0,125.0,54.4,0,0.8,1.9,-0.8,5.0,87.0,11.0,1.0,106.0,1169.0,1096.0,71.0,22.0,0.0,1.0,7.0,49.0,0.0,0.0,0.0,0.0,1015.0,2.0,8.0,72.0,388.0,781.0,156.0,23.0,1322.0,11.0,6.0,54.5,5.0,45.5,766.0,3479.0,1977.0,13.0,18.0,0.0,7.0,4.0,919.0,23.0,1,12.0,2,16.7,0.75,0.12,0.08,0.5,12.1,0.0,0,0,0.8,0.8,0.07,0.2,0.2,24.0,1.49,21.0,0.0,0.0,0.0,2.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,"1,446",63,47.3,16.1,15,84.0,10.0,8,24.0,2.0,2.0,28.0,14.0,14.0,0.87,0.09,30.6,13.6,17.0,1.06,0.06,2,0,0.0,7,8.0,1.0,7.0,18.0,19.0,0.0,0.0,0.0,112.0,15.0,22.0,40.5,"€ 100,000(£ 84,483, $107,464)","€ 5,200,000(£ 4,393,111, $5,588,152)",,https://fbref.com/es/jugadores/ca8033cb/Lukas-Klostermann
2021-2022,25,RB Leipzig,deGER,1.Bundesliga,23,"1,648",0,1,3.0,246.0,0.0,1.0,11.0,823.0,0.0,0.0,37,"2,717",0,2,17,"1,648",18.3,0,1,1,0,0,0,1,0,0.4,0.4,0.8,1.3,17.0,70.0,26.0,0.0,0.05,0.05,0.0,0.05,0.02,0.05,0.07,0.02,0.07,29.0,16.0,11.0,15.0,3.0,13.0,19.0,68.4,6.0,16.0,3.0,13.0,26.0,55.0,58.0,0.0,944.0,1100.0,85.8,15274.0,5600.0,462.0,511.0,90.4,409.0,460.0,88.9,57.0,92.0,62.0,1,0.8,0.8,0.2,4.0,51.0,10.0,0.0,70.0,1100.0,1027.0,72.0,19.0,3.0,1.0,3.0,52.0,0.0,0.0,0.0,0.0,944.0,1.0,16.0,120.0,514.0,621.0,143.0,23.0,1271.0,5.0,3.0,60.0,2.0,40.0,704.0,2630.0,1423.0,17.0,11.0,1.0,10.0,4.0,809.0,26.0,0,6.0,1,16.7,0.33,0.05,0.0,0.0,15.8,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4,12.0,0.66,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,"1,648",72,53.9,18.3,17,86.0,12.0,6,31.0,3.0,1.83,43.0,19.0,24.0,1.31,0.61,35.8,22.5,13.3,0.73,0.02,1,0,0.0,9,4.0,0.0,3.0,26.0,16.0,0.0,0.0,0.0,101.0,23.0,11.0,67.6,"€ 126,923(£ 109,101, $144,148)","€ 6,600,000(£ 5,673,254, $7,495,698)",Estimación no verificada,https://fbref.com/es/jugadores/ca8033cb/Lukas-Klostermann
2022-2023,26,RB Leipzig,deGER,1.Bundesliga,15,907,0,0,5.0,224.0,0.0,0.0,2.0,56.0,0.0,0.0,22,"1,187",0,0,10,907,10.1,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.5,5.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,16.0,8.0,7.0,9.0,0.0,8.0,15.0,53.3,7.0,6.0,3.0,3.0,13.0,29.0,31.0,0.0,687.0,784.0,87.6,12138.0,3677.0,282.0,305.0,92.5,355.0,380.0,93.4,44.0,79.0,55.7,0,0.1,0.5,-0.1,1.0,36.0,3.0,0.0,40.0,784.0,752.0,29.0,15.0,2.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,687.0,3.0,6.0,54.0,372.0,458.0,48.0,5.0,873.0,2.0,1.0,50.0,1.0,50.0,549.0,2340.0,1092.0,5.0,8.0,0.0,3.0,4.0,634.0,12.0,0,6.0,1,16.7,0.6,0.1,0.0,0.0,17.9,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,4.0,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907,60,29.6,10.1,10,86.0,8.0,5,9.0,6.0,2.0,14.0,9.0,5.0,0.5,-0.26,17.3,8.7,8.6,0.86,0.15,0,0,0.0,6,3.0,1.0,4.0,13.0,8.0,0.0,0.0,0.0,72.0,15.0,18.0,45.5,"€ 126,923(£ 109,101, $144,148)","€ 6,600,000(£ 5,673,254, $7,495,698)",Estimación no verificada,https://fbref.com/es/jugadores/ca8033cb/Lukas-Klostermann
