Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,19,Holstein Kiel,deGER,3.3. Liga,26.0,"2,288",0.0,0.0,,,,,,,,,26,"2,288",0,0,25,"2,288",25.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,288",88.0,66.9,25.4,25,,,1,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,"€ 16,154(£ 13,886, $18,346)","€ 840,000(£ 722,051, $953,998)",Estimación no verificada,https://fbref.com/es/jugadores/f3db5b34/Hauke-Wahl
2014-2015,20,Holstein Kiel,deGER,3.3. Liga,33.0,"2,970",2.0,0.0,1.0,90.0,0.0,0.0,,,,,34,"3,060",2,0,33,"2,970",33.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,0.06,0.0,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,0.09,,0.67,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,970",90.0,86.8,33.0,33,,32.0,0,,4.0,1.75,45.0,27.0,18.0,0.55,-0.45,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
2015-2016,21,Holstein Kiel,deGER,3.3. Liga,3.0,270,0.0,0.0,1.0,90.0,0.0,0.0,,,,,4,360,0,0,3,270,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,270,90.0,7.9,3.0,3,,3.0,0,,1.0,2.0,7.0,4.0,3.0,1.0,1.17,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-2016,21,Paderborn 07,deGER,2.2. Bundesliga,29.0,"2,610",2.0,0.0,,,,,,,,,29,"2,610",2,0,29,"2,610",29.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,0.07,0.0,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,0.14,,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,610",90.0,85.3,29.0,29,,29.0,0,,1.0,0.76,24.0,46.0,-22.0,-0.76,0.24,,,,,,0.0,0.0,,9.0,,,,,,,,,,,,,,,,
2016-2017,22,Heidenheim,deGER,2.2. Bundesliga,14.0,"1,167",0.0,0.0,,,,,,,,,14,"1,167",0,0,13,"1,167",13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,167",83.0,38.1,13.0,13,,12.0,1,,3.0,1.14,14.0,18.0,-4.0,-0.31,-0.69,,,,,,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2016-2017,22,Ingolstadt 04,deGER,1.Bundesliga,,,,,1.0,120.0,0.0,0.0,,,,,1,120,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,13.0,5.0,38.5,0.61,0.23,0.23,0.6,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,7.0,,,,,,,,,,,,2.0,0.0,0.0,35.0,12.0,1.0,1.0,42.0,24.0,0.0,1.0,1.0,,,,,,,,
2017-2018,23,Ingolstadt 04,deGER,2.2. Bundesliga,27.0,"1,923",3.0,0.0,3.0,270.0,0.0,0.0,,,,,30,"2,193",3,0,21,"1,923",21.4,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,,,,,,,,0.14,0.0,0.14,0.14,0.14,,,,,,,28.0,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,4.0,40.0,0.3,0.12,0.2,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,923",71.0,62.8,21.4,21,,19.0,6,,7.0,1.48,33.0,24.0,9.0,0.42,0.98,,,,,,6.0,0.0,0.0,21.0,22.0,2.0,4.0,54.0,28.0,0.0,0.0,0.0,,,,,,,,
2018-2019,24,Holstein Kiel,deGER,2.2. Bundesliga,33.0,"2,953",2.0,1.0,3.0,270.0,0.0,0.0,,,,,36,"3,223",2,1,33,"2,953",32.8,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,,,,,,,,0.06,0.03,0.09,0.06,0.09,,,,,,,23.0,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,18.0,4.0,22.2,0.53,0.12,0.06,0.25,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,953",89.0,96.5,32.8,33,89.0,31.0,0,,0.0,1.39,58.0,51.0,7.0,0.21,-1.47,,,,,,2.0,0.0,0.0,16.0,19.0,1.0,2.0,40.0,23.0,,,0.0,,,,,,,,
2019-2020,25,Holstein Kiel,deGER,2.2. Bundesliga,34.0,"3,060",1.0,3.0,2.0,210.0,0.0,0.0,,,,,36,"3,270",1,3,34,"3,060",34.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,,,,,,,,0.03,0.09,0.12,0.03,0.12,,,,,,,25.0,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,0.0,0.24,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"3,060",90.0,100.0,34.0,34,90.0,34.0,0,,0.0,1.26,53.0,56.0,-3.0,-0.09,,,,,,,4.0,0.0,0.0,14.0,29.0,1.0,4.0,68.0,25.0,,,0.0,,,,,,,,
2020-2021,26,Holstein Kiel,deGER,2.2. Bundesliga,34.0,"3,060",0.0,2.0,5.0,510.0,2.0,0.0,,,,,39,"3,570",2,2,34,"3,060",34.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,0.0,0.06,0.06,0.0,0.06,,,,,,,7.0,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,20.0,0.28,0.06,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"3,060",90.0,100.0,34.0,34,90.0,34.0,0,,0.0,1.82,57.0,35.0,22.0,0.65,,,,,,,1.0,0.0,0.0,7.0,2.0,0.0,4.0,20.0,7.0,,,0.0,,,,,,,,
