Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,15,Bremen U17,deGER,Jr.U17 Bundesliga,9.0,439,2.0,,,,,,,,,,9.0,439,2,0,3,439,4.9,2.0,,,2.0,0.0,0.0,0.0,0.0,,,,,,,,0.41,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,439,49.0,18.8,4.9,3,85.0,2,6,31.0,3,2.11,11.0,7.0,4.0,0.82,-0.51,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 3,654(£ 3,174, $4,005)","€ 190,000(£ 165,039, $208,236)",Estimación no verificada,https://fbref.com/es/jugadores/7ca196eb/Nick-Woltemade
2018-2019,16,Bremen U17,deGER,Jr.U17 Bundesliga,24.0,"2,160",18.0,,,,,,,,,,24.0,"2,160",18,0,24,"2,160",24.0,18.0,,,16.0,2.0,2.0,0.0,0.0,,,,,,,,0.75,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,"2,160",90.0,92.3,24.0,24,90.0,24,0,,0,1.71,73.0,45.0,28.0,1.17,1.67,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 3,654(£ 3,087, $3,927)","€ 190,000(£ 160,518, $204,182)",Estimación no verificada,https://fbref.com/es/jugadores/7ca196eb/Nick-Woltemade
2018-2019,16,Bremen U19,deGER,Jr.U19 Bundesliga,1.0,24,0.0,,,,,,,,,,1.0,24,0,0,0,24,0.3,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,24,24.0,1.0,0.3,0,,0,1,23.0,0,0.0,0.0,1.0,-1.0,-3.75,-5.69,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 9,038(£ 7,769, $10,265)","€ 470,000(£ 404,004, $533,785)",Estimación no verificada,https://fbref.com/es/jugadores/7ca196eb/Nick-Woltemade
2019-2020,17,Bremen U19,deGER,Jr.U19 Bundesliga,16.0,"1,396",16.0,,,,,,,,,,16.0,"1,396",16,0,16,"1,396",15.5,16.0,,,12.0,4.0,4.0,0.0,0.0,,,,,,,,1.03,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,"1,396",87.0,77.6,15.5,16,87.0,13,0,,0,2.5,58.0,20.0,38.0,2.45,-0.45,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 9,038(£ 7,769, $10,265)","€ 470,000(£ 404,004, $533,785)",Estimación no verificada,https://fbref.com/es/jugadores/7ca196eb/Nick-Woltemade
2019-2020,17,Werder Bremen,deGER,1.Bundesliga,5.0,92,0.0,0.0,1.0,1.0,0.0,0.0,,,,,6.0,93,0,0,1,92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.11,0.03,0.11,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,16.0,21.0,76.2,238.0,51.0,9.0,11.0,81.8,4.0,5.0,80.0,2.0,2.0,100.0,0.0,0.1,0.0,-0.1,2.0,1.0,0.0,0.0,2.0,21.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,2.0,5.0,25.0,12.0,5.0,41.0,4.0,2.0,50.0,2.0,50.0,33.0,166.0,64.0,1.0,1.0,2.0,9.0,2.0,29.0,5.0,0.0,1.0,0.0,0.0,0.98,0.0,0.0,,28.4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,2.0,1.96,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,18.0,3.0,1.0,1,57.0,0,4,9.0,10,0.0,1.0,2.0,-1.0,-0.98,-0.19,0.7,2.2,-1.5,-1.5,-1.06,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,4.0,20.0,"€ 9,038(£ 7,769, $10,265)","€ 470,000(£ 404,004, $533,785)",Estimación no verificada,https://fbref.com/es/jugadores/7ca196eb/Nick-Woltemade
2020-2021,18,Werder Bremen,deGER,1.Bundesliga,6.0,147,0.0,1.0,2.0,21.0,0.0,0.0,,,,,8.0,168,0,1,1,147,1.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.5,4.0,6.0,10.0,0.0,0.61,0.61,0.0,0.61,0.2,0.09,0.29,0.2,0.29,3.0,2.0,1.0,1.0,1.0,2.0,4.0,50.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,25.0,40.0,62.5,456.0,114.0,9.0,14.0,64.3,11.0,17.0,64.7,4.0,4.0,100.0,1.0,0.1,0.1,0.9,3.0,3.0,2.0,0.0,6.0,40.0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0.0,7.0,30.0,31.0,10.0,66.0,11.0,5.0,45.5,6.0,54.5,41.0,277.0,86.0,4.0,3.0,4.0,9.0,5.0,50.0,10.0,0.0,5.0,3.0,60.0,3.06,1.84,0.0,0.0,19.3,0.0,0.0,0.0,0.3,0.3,0.07,-0.3,-0.3,6.0,3.67,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,25.0,4.8,1.6,1,45.0,0,5,20.0,7,0.17,3.0,5.0,-2.0,-1.22,-0.64,2.5,5.2,-2.7,-1.66,-1.12,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,9.0,2.0,7.0,22.2,"€ 9,038(£ 7,769, $10,265)","€ 470,000(£ 404,004, $533,785)",Estimación no verificada,https://fbref.com/es/jugadores/7ca196eb/Nick-Woltemade
2021-2022,19,Werder Bremen,deGER,2.2. Bundesliga,7.0,49,0.0,0.0,,,,,,,,,7.0,49,0,0,0,49,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,100.0,1.84,1.84,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,49,7.0,1.6,0.5,0,,0,7,7.0,15,1.14,1.0,0.0,1.0,1.84,1.21,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,
2022-2023,20,Elversberg,deGER,3.3. Liga,31.0,"2,201",10.0,5.0,1.0,18.0,0.0,0.0,,,,,32.0,"2,219",10,5,25,"2,201",24.5,10.0,5.0,15.0,9.0,1.0,1.0,6.0,0.0,,,,,,,,0.41,0.2,0.61,0.37,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"2,201",71.0,64.4,24.5,25,84.0,10,6,19.0,0,1.81,43.0,25.0,18.0,0.74,-0.89,,,,,,6.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2022-2023,20,Werder Bremen,deGER,1.Bundesliga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,23.0,7.0,20.0,7.0,15.0,21.0,71.4,6.0,12.0,0.0,12.0,5.0,39.0,17.0,0.0,316.0,412.0,76.7,4609.0,1137.0,178.0,219.0,81.3,94.0,112.0,83.9,24.0,38.0,63.2,0.0,1.7,1.8,-1.7,24.0,22.0,16.0,1.0,43.0,412.0,401.0,9.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,316.0,2.0,10.0,12.0,74.0,310.0,255.0,55.0,623.0,47.0,29.0,61.7,15.0,31.9,390.0,2123.0,804.0,21.0,23.0,8.0,58.0,53.0,471.0,80.0,2.0,22.0,6.0,27.3,1.67,0.45,0.09,0.33,14.2,0.0,0.0,0.0,2.4,2.4,0.11,-0.4,-0.4,53.0,4.03,44.0,0.0,2.0,2.0,4.0,1.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,1.0,0.0,0.0,22.0,23.0,6.0,3.0,5.0,23.0,0.0,0.0,0.0,69.0,28.0,43.0,39.4,,,,
2023-2024,21,Werder Bremen,deGER,1.Bundesliga,30.0,"1,189",2.0,0.0,,,,,,,,,30.0,"1,189",2,0,12,"1,189",13.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.4,2.4,1.7,4.1,21.0,43.0,80.0,0.15,0.0,0.15,0.15,0.15,0.18,0.13,0.31,0.18,0.31,9.0,6.0,2.0,4.0,3.0,6.0,10.0,60.0,4.0,20.0,1.0,19.0,1.0,10.0,11.0,1.0,302.0,432.0,69.9,3825.0,903.0,197.0,246.0,80.1,73.0,111.0,65.8,8.0,19.0,42.1,2.0,3.7,2.9,-1.7,30.0,28.0,18.0,0.0,45.0,432.0,422.0,8.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,302.0,2.0,12.0,15.0,52.0,293.0,350.0,134.0,684.0,62.0,29.0,46.8,31.0,50.0,402.0,1978.0,828.0,24.0,26.0,19.0,76.0,43.0,544.0,119.0,9.0,33.0,17.0,51.5,2.19,1.13,0.21,0.41,12.2,0.0,2.0,2.0,7.7,6.2,0.19,1.3,0.8,64.0,4.24,45.0,0.0,8.0,8.0,2.0,1.0,9.0,0.6,4.0,0.0,4.0,1.0,0.0,0.0,"1,189",40.0,38.9,13.2,12,73.0,1,18,18.0,3,1.37,20.0,17.0,3.0,0.23,0.66,20.9,20.9,0.0,0.0,0.46,5.0,1.0,1.0,22.0,32.0,6.0,6.0,1.0,6.0,0.0,0.0,0.0,45.0,39.0,60.0,39.4,,,,
