titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
26,"2,225",24.7,1,1,2,1,0,0,2,0,,,,,,,,0.04,0.04,0.08,0.04,0.08,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,4.0,,0.0,0.16,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,225",86,68.7,24.7,26,,24,0,,2,1.62,48,35,13,0.53,0.08,,,,,,2,0,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
33,"2,991",33.2,0,1,1,0,0,0,4,0,,,,,,,,0.0,0.03,0.03,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,991",85,92.3,33.2,33,90.0,33,2,10.0,0,2.26,80,33,47,1.41,0.69,,,,,,4,0,0,,,,,,,,,2,,,,
1,328,3.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,3.0,3.0,2.0,1.0,0.0,1.0,3.0,33.3,2.0,8.0,6.0,2.0,5.0,8.0,10.0,0.0,188.0,213.0,88.3,3588.0,1549.0,79.0,84.0,94.0,82.0,88.0,93.2,26.0,35.0,74.3,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,14.0,213.0,205.0,8.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,188.0,0.0,5.0,41.0,123.0,114.0,12.0,2.0,248.0,2.0,1.0,50.0,1.0,50.0,147.0,918.0,467.0,1.0,0.0,0.0,2.0,1.0,166.0,0.0,0,3.0,0.0,0.0,0.82,0.0,0.0,,20.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,1.0,0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328,30,9.6,3.6,1,90.0,1,10,24.0,23,1.64,6,8,-2,-0.55,-1.68,6.0,6.3,-0.3,-0.07,-0.57,0,0,0,3.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0,23.0,4.0,5.0,44.4
9,611,6.8,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,5.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,7.0,4.0,2.0,4.0,1.0,2.0,5.0,40.0,3.0,2.0,0.0,2.0,11.0,18.0,21.0,0.0,244.0,324.0,75.3,4980.0,1796.0,87.0,95.0,91.6,117.0,140.0,83.6,35.0,76.0,46.1,0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,23.0,324.0,306.0,15.0,13.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,244.0,3.0,5.0,28.0,187.0,172.0,23.0,3.0,379.0,1.0,0.0,0.0,1.0,100.0,210.0,1097.0,599.0,5.0,4.0,0.0,2.0,0.0,235.0,2.0,0,8.0,2.0,25.0,1.18,0.29,0.0,0.0,26.9,1.0,0,0,0.3,0.3,0.03,-0.3,-0.3,8.0,1.18,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611,56,17.9,6.8,9,61.0,2,2,31.0,6,1.27,6,6,0,0.0,0.61,4.8,4.4,0.4,0.06,0.37,1,0,0,9.0,4.0,0.0,3.0,11.0,4.0,0.0,0.0,1,34.0,11.0,7.0,61.1
0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,16.0,16.0,100.0,283.0,106.0,7.0,7.0,100.0,7.0,7.0,100.0,2.0,2.0,100.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,10.0,11.0,0.0,0.0,21.0,0.0,0.0,,0.0,,13.0,55.0,27.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32,0.9,0.4,0,,0,1,32.0,1,0.0,0,1,-1,-2.81,-3.0,0.2,0.9,-0.7,-1.96,-2.27,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0,1.0,0.0
0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,64.0,30.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,6.0,0.0,0.0,,0.0,,1.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,0.2,0.1,0,,0,1,8.0,12,3.0,0,0,0,0.0,-0.5,0.1,0.0,0.1,1.5,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,
14,"1,259",14.0,1,1,2,1,0,0,4,0,,,,,,,,0.07,0.07,0.14,0.07,0.14,,,,,,,6.0,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17.0,3.0,17.6,1.22,0.21,0.06,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,259",90,43.7,14.0,14,90.0,13,0,,0,2.29,18,6,12,0.86,-0.53,,,,,,4,0,0,7.0,5.0,0.0,6.0,24.0,6.0,,,0,,,,
27,"2,438",27.1,1,1,2,1,0,1,5,0,,,,,,,,0.04,0.04,0.07,0.04,0.07,,,,,,,18.0,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,39.0,10.0,25.6,1.44,0.37,0.03,0.1,,,0,1,,,,,,,,,,,,,,,,,,,,,,"2,438",84,84.7,27.1,27,88.0,24,2,26.0,0,1.86,52,29,23,0.85,0.24,,,,,,5,0,0,7.0,7.0,0.0,7.0,35.0,18.0,,,0,,,,
25,"2,092",23.2,2,0,2,2,0,0,3,0,,,,,,,,0.09,0.0,0.09,0.09,0.09,,,,,,,20.0,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30.0,7.0,23.3,1.29,0.3,0.07,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,092",75,72.6,23.2,25,80.0,19,3,28.0,2,1.93,46,28,18,0.77,-0.14,,,,,,3,0,0,14.0,4.0,1.0,11.0,34.0,20.0,,,1,,,,
3,295,3.3,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,3.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,1.0,50.0,0.61,0.31,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,295,59,11.7,3.3,3,84.0,2,2,22.0,1,1.6,4,4,0,0.0,-0.69,,,,,,1,0,0,3.0,0.0,0.0,1.0,6.0,3.0,,,0,,,,
24,"2,206",24.5,2,0,2,2,0,0,4,0,1.4,1.4,0.2,1.6,8.0,90.0,3.0,0.08,0.0,0.08,0.08,0.08,0.06,0.01,0.06,0.06,0.06,16.0,12.0,12.0,4.0,0.0,6.0,16.0,37.5,10.0,41.0,27.0,14.0,31.0,47.0,207.0,3.0,1199.0,1384.0,86.6,27151.0,9206.0,287.0,326.0,88.0,692.0,735.0,94.1,217.0,305.0,71.1,0,0.2,0.5,-0.2,7.0,94.0,5.0,0.0,90.0,1384.0,1321.0,58.0,41.0,0.0,21.0,7.0,8.0,0.0,0.0,0.0,0.0,1199.0,5.0,3.0,266.0,897.0,786.0,67.0,19.0,1744.0,6.0,3.0,50.0,3.0,50.0,962.0,3871.0,1627.0,8.0,12.0,2.0,8.0,1.0,1057.0,3.0,2,25.0,6.0,24.0,1.02,0.24,0.08,0.33,21.7,3.0,0,0,1.4,1.4,0.05,0.6,0.6,27.0,1.1,19.0,0.0,1.0,5.0,1.0,1.0,5.0,0.2,2.0,0.0,0.0,3.0,0.0,0.0,"2,206",85,79.1,24.5,24,89.0,23,2,33.0,2,1.35,42,36,6,0.24,0.4,35.2,35.6,-0.4,-0.02,0.48,4,0,0,7.0,5.0,0.0,7.0,31.0,12.0,0.0,0.0,0,85.0,74.0,33.0,69.2
