titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
21,"1,776",19.7,3,4,7,3,0,0,1,0,,,,,,,,0.15,0.2,0.35,0.15,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,6,,,0.3,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,776",61,58.0,19.7,21,,,8,,,,,,,,,,,,,,1,0,,15,,,,,,,,,,,,
9,833,9.3,1,1,2,1,0,0,2,0,,,,,,,,0.11,0.11,0.22,0.11,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,0.11,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,833,52,27.2,9.3,9,,5.0,7,,6.0,1.25,8.0,10.0,-2.0,-0.22,-0.05,,,,,,2,0,,14,,,,,,,,,,,,
22,"1,885",20.9,2,4,6,2,0,0,3,0,,,,,,,,0.1,0.19,0.29,0.1,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,9,,,0.43,,0.22,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,885",65,61.6,20.9,22,,13.0,7,,3.0,1.34,23.0,25.0,-2.0,-0.1,0.06,,,,,,3,0,,28,,,,,,,,,,,,
25,"2,214",24.6,0,2,2,0,0,0,5,0,,,,,,,,0.0,0.08,0.08,0.0,0.08,,,,,,,39.0,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14.0,6,42.9,0.57,0.24,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,214",82,72.4,24.6,25,,23.0,2,,5.0,1.15,25.0,39.0,-14.0,-0.57,-0.14,,,,,,5,0,0.0,28,27.0,6.0,37.0,33.0,39.0,0.0,0.0,0.0,,,,
12,"1,228",13.6,1,1,2,1,0,0,1,0,0.6,0.6,0.8,1.4,24.0,44.0,67.0,0.07,0.07,0.15,0.07,0.15,0.04,0.06,0.1,0.04,0.1,37.0,28.0,18.0,14.0,5.0,22.0,34.0,64.7,12.0,25.0,5.0,20.0,15.0,52.0,31.0,0.0,489.0,647.0,75.6,8458.0,2593.0,203.0,247.0,82.2,233.0,288.0,80.9,38.0,71.0,53.5,1,0.8,0.9,0.2,12.0,40.0,5.0,0.0,44.0,647.0,562.0,80.0,7.0,0.0,6.0,24.0,73.0,0.0,0.0,0.0,0.0,489.0,5.0,22.0,40.0,194.0,412.0,186.0,16.0,786.0,17.0,9.0,52.9,8.0,47.1,343.0,2039.0,995.0,24.0,17.0,1.0,16.0,6.0,453.0,67.0,1,9.0,2,22.2,0.66,0.15,0.11,0.5,18.0,0.0,0,0,0.6,0.6,0.07,0.4,0.4,24.0,1.76,18.0,0.0,0.0,2.0,2.0,2.0,4.0,0.29,4.0,0.0,0.0,0.0,0.0,0.0,"1,228",72,40.1,13.6,12,,11.0,5,,5.0,1.29,18.0,16.0,2.0,0.15,0.83,15.1,18.6,-3.5,-0.25,0.45,1,0,0.0,10,17.0,4.0,24.0,15.0,28.0,1.0,0.0,0.0,49.0,21.0,28.0,42.9
28,"2,455",27.3,2,2,4,2,0,0,2,0,3.5,3.5,3.1,6.6,74.0,95.0,155.0,0.07,0.07,0.15,0.07,0.15,0.13,0.11,0.24,0.13,0.24,52.0,34.0,22.0,20.0,10.0,16.0,43.0,37.2,27.0,35.0,7.0,28.0,30.0,82.0,34.0,0.0,776.0,1037.0,74.8,12251.0,2768.0,400.0,499.0,80.2,277.0,344.0,80.5,61.0,100.0,61.0,2,3.1,2.1,-1.1,26.0,58.0,20.0,7.0,95.0,1037.0,1002.0,29.0,11.0,1.0,13.0,51.0,18.0,0.0,0.0,0.0,0.0,776.0,6.0,40.0,39.0,245.0,677.0,431.0,65.0,1335.0,24.0,9.0,37.5,15.0,62.5,756.0,4703.0,2360.0,74.0,51.0,6.0,37.0,35.0,895.0,155.0,2,36.0,8,22.2,1.32,0.29,0.06,0.25,16.6,0.0,0,0,3.5,3.5,0.1,-1.5,-1.5,67.0,2.46,54.0,1.0,0.0,6.0,6.0,0.0,9.0,0.33,4.0,0.0,0.0,4.0,1.0,0.0,"2,455",82,80.2,27.3,28,86.0,21.0,2,23.0,2.0,1.7,53.0,39.0,14.0,0.51,0.81,39.7,39.1,0.6,0.02,0.22,2,0,0.0,28,41.0,5.0,51.0,30.0,34.0,1.0,0.0,0.0,127.0,25.0,43.0,36.8
7,828,9.2,2,0,2,2,0,0,1,0,2.0,2.0,0.2,2.1,19.0,42.0,21.0,0.22,0.0,0.22,0.22,0.22,0.21,0.02,0.23,0.21,0.23,28.0,18.0,7.0,15.0,6.0,8.0,21.0,38.1,13.0,11.0,3.0,8.0,12.0,40.0,9.0,0.0,293.0,387.0,75.7,4888.0,1447.0,140.0,167.0,83.8,114.0,146.0,78.1,29.0,43.0,67.4,0,0.2,1.0,-0.2,6.0,23.0,6.0,2.0,42.0,387.0,375.0,11.0,5.0,1.0,2.0,15.0,4.0,2.0,1.0,0.0,0.0,293.0,1.0,10.0,14.0,80.0,285.0,137.0,13.0,499.0,11.0,6.0,54.5,5.0,45.5,256.0,1265.0,637.0,19.0,13.0,5.0,13.0,7.0,304.0,21.0,2,11.0,4,36.4,1.2,0.43,0.18,0.5,17.4,0.0,0,0,2.0,2.0,0.18,0.0,0.0,20.0,2.18,15.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828,46,27.1,9.2,7,86.0,5.0,11,21.0,12.0,1.72,11.0,11.0,0.0,0.0,-0.08,12.2,9.6,2.6,0.29,-0.01,1,0,0.0,10,18.0,1.0,15.0,12.0,18.0,0.0,0.0,0.0,57.0,11.0,9.0,55.0
21,"1,936",21.5,2,4,6,2,0,0,3,0,3.9,3.9,3.4,7.3,51.0,74.0,107.0,0.09,0.19,0.28,0.09,0.28,0.18,0.16,0.34,0.18,0.34,52.0,32.0,14.0,32.0,6.0,21.0,52.0,40.4,31.0,34.0,4.0,30.0,21.0,73.0,30.0,0.0,540.0,745.0,72.5,8430.0,2579.0,271.0,343.0,79.0,213.0,269.0,79.2,30.0,55.0,54.5,4,3.4,2.7,0.6,25.0,51.0,14.0,4.0,74.0,745.0,699.0,40.0,5.0,1.0,3.0,39.0,23.0,8.0,6.0,1.0,0.0,540.0,6.0,24.0,39.0,192.0,499.0,337.0,61.0,1019.0,28.0,14.0,50.0,14.0,50.0,526.0,2803.0,1324.0,51.0,29.0,11.0,41.0,29.0,612.0,107.0,2,31.0,11,35.5,1.44,0.51,0.06,0.18,15.2,0.0,0,0,3.9,3.9,0.13,-1.9,-1.9,45.0,2.09,33.0,5.0,1.0,4.0,2.0,0.0,6.0,0.28,5.0,0.0,0.0,1.0,0.0,0.0,"1,936",67,63.3,21.5,21,85.0,16.0,8,20.0,5.0,1.76,39.0,24.0,15.0,0.7,-0.02,29.2,28.4,0.8,0.04,-0.45,3,0,0.0,36,26.0,5.0,39.0,21.0,32.0,0.0,0.0,0.0,109.0,31.0,43.0,41.9
17,"1,574",17.5,1,3,4,1,0,0,2,0,2.2,2.2,1.5,3.7,42.0,90.0,79.0,0.06,0.17,0.23,0.06,0.23,0.12,0.09,0.21,0.12,0.21,42.0,20.0,18.0,17.0,7.0,22.0,36.0,61.1,14.0,24.0,1.0,23.0,25.0,67.0,25.0,1.0,592.0,808.0,73.3,9477.0,3284.0,307.0,370.0,83.0,226.0,287.0,78.7,39.0,80.0,48.8,3,1.5,1.6,1.5,11.0,52.0,19.0,4.0,90.0,808.0,743.0,62.0,6.0,4.0,4.0,32.0,46.0,3.0,3.0,0.0,0.0,592.0,3.0,24.0,39.0,221.0,560.0,256.0,34.0,1021.0,21.0,14.0,66.7,7.0,33.3,544.0,2907.0,1448.0,42.0,33.0,3.0,34.0,15.0,600.0,79.0,1,14.0,3,21.4,0.8,0.17,0.07,0.33,15.6,0.0,0,0,2.2,2.2,0.16,-1.2,-1.2,37.0,2.12,29.0,1.0,0.0,3.0,3.0,1.0,6.0,0.34,5.0,0.0,0.0,1.0,0.0,0.0,"1,574",58,51.4,17.5,17,80.0,8.0,10,21.0,6.0,1.44,26.0,28.0,-2.0,-0.11,0.43,26.8,24.0,2.8,0.16,0.3,2,0,0.0,18,24.0,2.0,32.0,25.0,20.0,0.0,0.0,0.0,115.0,26.0,25.0,51.0
22,"1,866",20.7,6,4,10,6,0,0,3,0,5.7,5.7,2.2,7.9,12.0,82.0,88.0,0.29,0.19,0.48,0.29,0.48,0.28,0.11,0.38,0.28,0.38,29.0,15.0,10.0,11.0,8.0,12.0,30.0,40.0,18.0,26.0,5.0,21.0,7.0,36.0,24.0,0.0,503.0,674.0,74.6,8116.0,2535.0,269.0,313.0,85.9,193.0,246.0,78.5,30.0,63.0,47.6,4,2.2,2.0,1.8,20.0,63.0,13.0,3.0,82.0,674.0,639.0,30.0,13.0,2.0,4.0,18.0,5.0,3.0,2.0,1.0,0.0,503.0,5.0,25.0,34.0,161.0,445.0,254.0,55.0,856.0,16.0,4.0,25.0,11.0,68.8,468.0,2089.0,842.0,12.0,11.0,3.0,22.0,10.0,557.0,88.0,6,27.0,13,48.1,1.3,0.63,0.22,0.46,12.0,0.0,0,0,5.7,5.7,0.21,0.3,0.3,45.0,2.17,36.0,0.0,0.0,3.0,5.0,1.0,8.0,0.39,7.0,0.0,0.0,0.0,1.0,0.0,"1,866",64,61.0,20.7,22,79.0,12.0,7,18.0,0.0,1.62,37.0,25.0,12.0,0.58,0.8,34.3,27.1,7.2,0.35,0.89,3,0,0.0,18,21.0,2.0,18.0,7.0,15.0,0.0,1.0,0.0,87.0,22.0,40.0,35.5
