Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Niklas Süle,"€ 192,308","€ 10,000,000","€ 1,000,000","Jun 30, 2026",2,"€ 20,000,000",
Serhou Guirassy,"€ 181,346","€ 9,430,000",,"Jun 30, 2028",4,"€ 37,720,000","€ 70,000,000"
Gregor Kobel,"€ 173,077","€ 9,000,000",,"Jun 30, 2028",4,"€ 36,000,000",
Sébastien Haller,"€ 163,462","€ 8,500,000",,"Jun 30, 2026",2,"€ 17,000,000",
Emre Can,"€ 153,846","€ 8,000,000",,"Jun 30, 2026",2,"€ 16,000,000",
Marcel Sabitzer,"€ 144,231","€ 7,500,000",,"Jun 30, 2027",3,"€ 22,500,000",
Julian Brandt,"€ 134,615","€ 7,000,000","€ 1,000,000","Jun 30, 2026",2,"€ 14,000,000",
Felix Nmecha,"€ 115,385","€ 6,000,000",,"Jun 30, 2028",4,"€ 24,000,000",
Karim Adeyemi,"€ 96,154","€ 5,000,000","€ 1,000,000","Jun 30, 2027",3,"€ 15,000,000",
Julian Ryerson,"€ 96,154","€ 5,000,000",,"Jun 30, 2028",4,"€ 20,000,000",
Nico Schlotterbeck,"€ 90,769","€ 4,720,000",,"Jun 30, 2027",3,"€ 14,160,000",
Ramy Bensebaini,"€ 86,538","€ 4,500,000",,"Jun 30, 2027",3,"€ 13,500,000",
Pascal Groß,"€ 80,000","€ 4,160,000",,"Jun 30, 2026",2,"€ 8,320,000",
Waldemar Anton,"€ 76,154","€ 3,960,000",,"Jun 30, 2028",4,"€ 15,840,000",
Maximilian Beier,"€ 72,692","€ 3,780,000",,"Jun 30, 2029",5,"€ 18,900,000",
Salih Özcan,"€ 72,692","€ 3,780,000",,"Jun 30, 2026",2,"€ 7,560,000",
Carney Chukwuemeka,"€ 59,808","€ 3,110,000",,"Jun 30, 2025",1,"€ 3,110,000",
Jamie Bynoe-Gittens,"€ 57,692","€ 3,000,000",,"Jun 30, 2028",4,"€ 12,000,000",
Giovanni Reyna,"€ 48,077","€ 2,500,000",,"Jun 30, 2026",2,"€ 5,000,000",
Yan Couto,"€ 21,923","€ 1,140,000",,"Jun 30, 2025",1,"€ 1,140,000",
Alexander Meyer,"€ 21,923","€ 1,140,000",,"Jun 30, 2026",2,"€ 2,280,000",
Daniel Svensson,"€ 16,154","€ 840,000",,"Jun 30, 2025",1,"€ 840,000",
Almugera Kabar,"€ 5,385","€ 280,000",,"Jun 30, 2028",4,"€ 1,120,000",
Kjell Wätjen,"€ 5,385","€ 280,000",,"Jun 30, 2028",4,"€ 1,120,000",
Marcel Lotka,"€ 4,615","€ 240,000",,"Jun 30, 2025",1,"€ 240,000",
Julien Duranville,"€ 4,615","€ 240,000",,"Jun 30, 2025",1,"€ 240,000",
Cole Campbell,"€ 3,462","€ 180,000",,"Jun 30, 2028",4,"€ 720,000",
Filippo Mané,"€ 3,462","€ 180,000",,"Jun 30, 2028",4,"€ 720,000",
Silas Ostrzinski,"€ 3,269","€ 170,000",,"Jun 30, 2025",1,"€ 170,000",
