Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Alassane Pléa,"€ 90,769","€ 4,720,000",,"Jun 30, 2026",2,"€ 9,440,000","€ 7,000,000"
Florian Neuhaus,"€ 76,923","€ 4,000,000",,"Jun 30, 2027",3,"€ 12,000,000",
Nico Elvedi,"€ 67,308","€ 3,500,000",,"Jun 30, 2027",3,"€ 10,500,000","€ 10,000,000"
Julian Weigl,"€ 65,385","€ 3,400,000","€ 600,000","Jun 30, 2028",4,"€ 13,600,000",
Jonas Omlin,"€ 57,692","€ 3,000,000",,"Jun 30, 2027",3,"€ 9,000,000",
Stefan Lainer,"€ 48,077","€ 2,500,000",,"Jun 30, 2026",2,"€ 5,000,000",
Tim Kleindienst,"€ 47,115","€ 2,450,000",,"Jun 30, 2028",4,"€ 9,800,000","€ 7,000,000"
Luca Netz,"€ 46,154","€ 2,400,000",,"Jun 30, 2026",2,"€ 4,800,000",
Marvin Friedrich,"€ 38,462","€ 2,000,000",,"Jun 30, 2026",2,"€ 4,000,000",
Ko Itakura,"€ 36,346","€ 1,890,000",,"Jun 30, 2026",2,"€ 3,780,000","€ 13,500,000"
Kevin Stöger,"€ 27,308","€ 1,420,000",,"Jun 30, 2027",3,"€ 4,260,000",
Franck Honorat,"€ 24,038","€ 1,250,000",,"Jun 30, 2028",4,"€ 5,000,000",
Joe Scally,"€ 23,077","€ 1,200,000",,"Jun 30, 2027",3,"€ 3,600,000",
Moritz Nicolas,"€ 20,000","€ 1,040,000",,"Jun 30, 2029",5,"€ 5,200,000",
Nathan N'Goumou,"€ 20,000","€ 1,040,000",,"Jun 30, 2027",3,"€ 3,120,000",
Robin Hack,"€ 20,000","€ 1,040,000",,"Jun 30, 2029",5,"€ 5,200,000",
Tomas Cvancara,"€ 15,385","€ 800,000",,"Jun 30, 2028",4,"€ 3,200,000",
Philipp Sander,"€ 14,423","€ 750,000",,"Jun 30, 2028",4,"€ 3,000,000",
Rocco Reitz,"€ 13,846","€ 720,000",,"Jun 30, 2028",4,"€ 2,880,000",
Tobias Sippel,"€ 9,038","€ 470,000",,"Jun 30, 2025",1,"€ 470,000",
Lukas Ullrich,"€ 7,692","€ 400,000",,"Jun 30, 2027",3,"€ 1,200,000",
Yvandro Borges Sanches,"€ 6,923","€ 360,000",,"Jun 30, 2026",2,"€ 720,000",
Niklas Swider,"€ 3,269","€ 170,000",,"Jun 30, 2027",3,"€ 510,000",
Shio Fukuda,"€ 2,692","€ 140,000",,"Jun 30, 2027",3,"€ 420,000",
