Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Leonardo Bittencourt,"€ 48,077","€ 2,500,000",,"Jun 30, 2025",1,"€ 2,500,000",
Marvin Ducksch,"€ 43,462","€ 2,260,000",,"Jun 30, 2026",2,"€ 4,520,000","€ 7,000,000"
Mitchell Weiser,"€ 38,077","€ 1,980,000",,"Jun 30, 2025",1,"€ 1,980,000",
André Silva,"€ 28,846","€ 1,500,000",,"Jun 30, 2025",1,"€ 1,500,000",
Niklas Stark,"€ 27,692","€ 1,440,000",,"Jun 30, 2026",2,"€ 2,880,000",
Marco Friedl,"€ 25,962","€ 1,350,000",,"Jun 30, 2028",4,"€ 5,400,000",
Issa Kabore,"€ 24,038","€ 1,250,000",,"Jun 30, 2025",1,"€ 1,250,000",
Milos Veljkovic,"€ 23,077","€ 1,200,000",,"Jun 30, 2025",1,"€ 1,200,000",
Justin Njinmah,"€ 22,115","€ 1,150,000",,"Jun 30, 2027",3,"€ 3,450,000",
Felix Agu,"€ 22,115","€ 1,150,000",,"Jun 30, 2027",3,"€ 3,450,000","€ 9,000,000"
Anthony Jung,"€ 22,115","€ 1,150,000",,"Jun 30, 2025",1,"€ 1,150,000",
Senne Lynen,"€ 21,154","€ 1,100,000",,"Jun 30, 2025",1,"€ 1,100,000",
Oliver Burke,"€ 19,615","€ 1,020,000",,"Jun 30, 2025",1,"€ 1,020,000",
Marco Grüll,"€ 18,269","€ 950,000",,"Jun 30, 2025",1,"€ 950,000",
Skelly Alvero,"€ 16,346","€ 850,000",,"Jun 30, 2028",4,"€ 3,400,000",
Michael Zetterer,"€ 15,000","€ 780,000",,"Jun 30, 2027",3,"€ 2,340,000",
Amos Pieper,"€ 11,538","€ 600,000",,"Jun 30, 2026",2,"€ 1,200,000",
Jens Stage,"€ 11,538","€ 600,000",,"Jun 30, 2025",1,"€ 600,000",
Derrick Köhn,"€ 10,962","€ 570,000",,"Jun 30, 2025",1,"€ 570,000",
Keke Topp,"€ 9,231","€ 480,000",,"Jun 30, 2028",4,"€ 1,920,000",
Julián Malatini,"€ 8,654","€ 450,000",,"Jun 30, 2025",1,"€ 450,000",
Markus Kolke,"€ 7,308","€ 380,000",,"Jun 30, 2025",1,"€ 380,000",
Romano Schmid,"€ 6,923","€ 360,000",,"Jun 30, 2025",1,"€ 360,000",
Mio Backhaus,"€ 5,385","€ 280,000",,"Jun 30, 2025",1,"€ 280,000",
Leon Opitz,"€ 2,692","€ 140,000",,"Jun 30, 2025",1,"€ 140,000",
Abdenego Nankishi,"€ 1,731","€ 90,000",,"Jun 30, 2025",1,"€ 90,000",
Naby Keïta,,,,"Jun 30, 2026",2,,
