Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Abdülkadir Ömür,"€ 41,509","€ 2,158,466",,"Jun 30, 2027",3,"€ 6,475,399",
Steven Alzate,"€ 29,649","€ 1,541,762",,"Jun 30, 2026",2,"€ 3,083,523",
João Pedro,"€ 29,649","€ 1,541,762",,"Jun 30, 2026",2,"€ 3,083,523",
Lincoln,"€ 27,870","€ 1,449,256",,"Jun 30, 2025",1,"€ 1,449,256",
Matt Crooks,"€ 20,754","€ 1,079,233",,"Jun 30, 2027",3,"€ 3,237,699",
Gustavo Puerta,"€ 17,790","€ 925,057",,"Jun 30, 2025",1,"€ 925,057",
Joe Gelhardt,"€ 17,790","€ 925,057",,"May 31, 2025",1,"€ 925,057",
Nordin Amrabat,"€ 17,790","€ 925,057",,"Jun 30, 2025",1,"€ 925,057",
Liam Millar,"€ 17,790","€ 925,057",,"Jun 30, 2027",3,"€ 2,775,171",
Eliot Matazo,"€ 17,790","€ 925,057",,"Jun 30, 2028",4,"€ 3,700,228",
John Egan,"€ 17,790","€ 925,057",,"Jun 30, 2026",2,"€ 1,850,114",
Kasey Palmer,"€ 14,825","€ 770,881",,"Jun 30, 2027",3,"€ 2,312,642",
Alfie Jones,"€ 14,232","€ 740,046",,"Jun 30, 2026",2,"€ 1,480,091",
Mason Burstow,"€ 14,232","€ 740,046",,"Jun 30, 2028",4,"€ 2,960,182",
Sean McLoughlin,"€ 11,860","€ 616,705",,"Jun 30, 2026",2,"€ 1,233,409",
Regan Slater,"€ 11,860","€ 616,705",,"Jun 30, 2026",2,"€ 1,233,409",
Kyle Joseph,"€ 11,860","€ 616,705",,"Jun 30, 2028",4,"€ 2,466,819",
Cody Drameh,"€ 10,674","€ 555,034",,"Jun 30, 2027",3,"€ 1,665,103",
Ivor Pandur,"€ 9,488","€ 493,364",,"Jun 30, 2027",3,"€ 1,480,091",
Óscar Zambrano,"€ 8,895","€ 462,528",,"Jun 30, 2025",1,"€ 462,528",
Lewie Coyle,"€ 8,895","€ 462,528",,"Jun 30, 2026",2,"€ 925,057",
Mohamed Belloumi,"€ 8,302","€ 431,693",,"Jun 30, 2028",4,"€ 1,726,773",
Louie Barry,"€ 8,302","€ 431,693",,"May 31, 2025",1,"€ 431,693",
Brandon Fleming,"€ 5,930","€ 308,352",,"Jun 30, 2025",1,"€ 308,352",
Doğukan Sinik,"€ 5,930","€ 308,352",,"Jun 30, 2025",1,"€ 308,352",
Finley Burns,"€ 5,930","€ 308,352",,"May 31, 2025",1,"€ 308,352",
Charlie Hughes,"€ 5,930","€ 308,352",,"Jun 30, 2028",4,"€ 1,233,409",
Abu Kamara,"€ 5,930","€ 308,352",,"Jun 30, 2028",4,"€ 1,233,409",
Matty Jacob,"€ 4,151","€ 215,847",,"Jun 30, 2027",3,"€ 647,540",
Thimothée Lo-Tutala,"€ 2,965","€ 154,176",,"Jun 30, 2028",4,"€ 616,705",
Harvey Cartwright,"€ 1,779","€ 92,506",,"Jun 30, 2026",2,"€ 185,011",
Harry Vaughan,"€ 1,423","€ 74,005",,"Jun 30, 2026",2,"€ 148,009",
