Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Mason Holgate,"€ 59,299","€ 3,083,523",,"May 31, 2025",1,"€ 3,083,523",
Daryl Dike,"€ 38,316","€ 1,992,430",,"Jun 30, 2026",2,"€ 3,984,861",
Adam Armstrong,"€ 35,579","€ 1,850,114",,"May 31, 2025",1,"€ 1,850,114",
Jed Wallace,"€ 29,649","€ 1,541,762",,"Jun 30, 2026",2,"€ 3,083,523",
Darnell Furlong,"€ 29,649","€ 1,541,762",,"Jun 30, 2027",3,"€ 4,625,285",
John Swift,"€ 26,684","€ 1,387,585",,"Jun 30, 2025",1,"€ 1,387,585",
Grady Diangana,"€ 24,176","€ 1,257,129",,"Jun 30, 2025",1,"€ 1,257,129",
Karlan Grant,"€ 23,719","€ 1,233,409",,"Jun 30, 2026",2,"€ 2,466,819",
Gianluca Frabotta,"€ 23,719","€ 1,233,409",,"Jun 30, 2027",3,"€ 3,700,228",
Jayson Molumby,"€ 23,719","€ 1,233,409",,"Jun 30, 2028",4,"€ 4,933,637",
Alex Mowatt,"€ 23,719","€ 1,233,409",,"Jun 30, 2026",2,"€ 2,466,819",
Josh Maja,"€ 20,162","€ 1,048,398",,"Jun 30, 2026",2,"€ 2,096,796",
Semi Ajayi,"€ 19,614","€ 1,019,935",,"Jun 30, 2025",1,"€ 1,019,935",
Kyle Bartley,"€ 17,790","€ 925,057",,"Jun 30, 2026",2,"€ 1,850,114",
Mikey Johnston,"€ 14,825","€ 770,881",,"Jun 30, 2028",4,"€ 3,083,523",
Joe Wildsmith,"€ 11,860","€ 616,705",,"Jun 30, 2026",2,"€ 1,233,409",
Isaac Price,"€ 11,860","€ 616,705",,"Jun 30, 2029",5,"€ 3,083,523",
Torbjørn Heggem,"€ 9,488","€ 493,364",,"Jun 30, 2027",3,"€ 1,480,091",
Callum Styles,"€ 9,488","€ 493,364",,"Jun 30, 2028",4,"€ 1,973,455",
Ousmane Diakité,"€ 8,895","€ 462,528",,"Jun 30, 2026",2,"€ 925,057",
Devante Cole,"€ 8,895","€ 462,528",,"Jun 30, 2026",2,"€ 925,057",
Tammer Bany,"€ 7,709","€ 400,858",,"Jun 30, 2028",4,"€ 1,603,432",
Josh Griffiths,"€ 7,116","€ 370,023",,"Jun 30, 2027",3,"€ 1,110,068",
Tom Fellows,"€ 7,116","€ 370,023",,"Jun 30, 2027",3,"€ 1,110,068",
Will Lankshear,"€ 5,930","€ 308,352",,"May 31, 2025",1,"€ 308,352",
Ted Cann,"€ 2,372","€ 123,341",,"Jun 30, 2025",1,"€ 123,341",
