Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Vasilios Zagaritis,"€ 7,692","€ 400,000",,"Jun 30, 2026",2,"€ 800,000",
James Lawrence,"€ 7,692","€ 400,000",,"Jun 30, 2026",2,"€ 800,000",
Thom Haye,"€ 7,692","€ 400,000",,"Jun 30, 2025",1,"€ 400,000",
Anas Tahiri,"€ 7,692","€ 400,000",,"Jun 30, 2026",2,"€ 800,000",
Baptiste Guillaume,"€ 7,692","€ 400,000",,"Jun 30, 2026",2,"€ 800,000",
Àlex Carbonell,"€ 6,731","€ 350,000",,"Jun 30, 2026",2,"€ 700,000",
Junior Kadile,"€ 6,731","€ 350,000",,"Jun 30, 2027",3,"€ 1,050,000",
Charles-Andreas Brym,"€ 6,731","€ 350,000",,"Jun 30, 2027",3,"€ 1,050,000",
Adi Nalic,"€ 5,769","€ 300,000",,"Jun 30, 2026",2,"€ 600,000",
Damil Dankerlui,"€ 5,769","€ 300,000",,"Jun 30, 2025",1,"€ 300,000",
Marvin Martins,"€ 5,769","€ 300,000",,"Jun 30, 2025",1,"€ 300,000",
Thomas Robinet,"€ 5,769","€ 300,000",,"Jun 30, 2027",3,"€ 900,000",
Théo Barbet,"€ 4,615","€ 240,000",,"Jun 30, 2026",2,"€ 480,000",
Ruben Providence,"€ 3,846","€ 200,000",,"Jun 30, 2027",3,"€ 600,000",
Ali Jasim,"€ 3,846","€ 200,000",,"Jun 30, 2025",1,"€ 200,000",
Jochem Ritmeester van de Kamp,"€ 3,462","€ 180,000",,"Jun 30, 2027",3,"€ 540,000",
Ricardo Visus,"€ 3,462","€ 180,000",,"Jun 30, 2025",1,"€ 180,000",
Álex Balboa,"€ 3,462","€ 180,000",,"Jun 30, 2026",2,"€ 360,000",
Tim Receveur,"€ 2,885","€ 150,000",,"Jun 30, 2025",1,"€ 150,000",
Joey Jacobs,"€ 2,885","€ 150,000",,"Jun 30, 2025",1,"€ 150,000",
Faiz Mattoir,"€ 2,885","€ 150,000",,"Jun 30, 2025",1,"€ 150,000",
Hamdi Akujobi,"€ 2,308","€ 120,000",,"Jun 30, 2025",1,"€ 120,000",
Stijn Keller,"€ 1,731","€ 90,000",,"Jun 30, 2025",1,"€ 90,000",
Nordin Bakker,"€ 1,538","€ 80,000",,"Jun 30, 2025",1,"€ 80,000",
Kornelius Hansen,"€ 1,346","€ 70,000",,"Jun 30, 2025",1,"€ 70,000",
Jonas Wendlinger,"€ 1,346","€ 70,000",,"Jun 30, 2026",2,"€ 140,000",
Joël van der Wilt,"€ 1,346","€ 70,000",,"Jun 30, 2026",2,"€ 140,000",
Christopher Mamengi,"€ 1,154","€ 60,000",,"Jun 30, 2026",2,"€ 120,000",
