Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Patrick van Aanholt,"€ 11,154","€ 580,000",,"Jun 30, 2026",2,"€ 1,160,000",
Carel Eiting,"€ 10,000","€ 520,000",,"Jun 30, 2025",1,"€ 520,000",
Tobias Lauritsen,"€ 9,423","€ 490,000",,"Jun 30, 2026",2,"€ 980,000",
Jonathan de Guzmán,"€ 8,077","€ 420,000",,"Jun 30, 2025",1,"€ 420,000",
Mitchell van Bergen,"€ 8,077","€ 420,000",,"Jun 30, 2025",1,"€ 420,000",
Gjivai Zechiël,"€ 7,500","€ 390,000",,"Jun 30, 2025",1,"€ 390,000",
Saïd Bakari,"€ 6,154","€ 320,000",,"Jun 30, 2026",2,"€ 640,000",
Pelle Clement,"€ 6,154","€ 320,000",,"Jun 30, 2026",2,"€ 640,000",
Nick Olij,"€ 5,769","€ 300,000",,"Jun 30, 2028",4,"€ 1,200,000",
Teo Quintero,"€ 5,769","€ 300,000",,"Jun 30, 2027",3,"€ 900,000",
Joshua Kitolano,"€ 5,192","€ 270,000",,"Jun 30, 2026",2,"€ 540,000",
Boyd Reith,"€ 4,615","€ 240,000",,"Jun 30, 2027",3,"€ 720,000",
Mohamed Nassoh,"€ 4,615","€ 240,000",,"Jun 30, 2028",4,"€ 960,000",
Mike Eerdhuijzen,"€ 4,038","€ 210,000",,"Jun 30, 2026",2,"€ 420,000",
Kristian Hlynsson,"€ 3,846","€ 200,000",,"Jun 30, 2025",1,"€ 200,000",
Nökkvi Thórisson,"€ 3,269","€ 170,000",,"Jun 30, 2025",1,"€ 170,000",
Shunsuke Mito,"€ 3,077","€ 160,000",,"Jun 30, 2028",4,"€ 640,000",
Rick Meissen,"€ 2,885","€ 150,000",,"Jun 30, 2026",2,"€ 300,000",
Marvin Young,"€ 2,308","€ 120,000",,"Jun 30, 2029",5,"€ 600,000",
Joel Ideho,"€ 2,308","€ 120,000",,"Jun 30, 2028",4,"€ 480,000",
Youri Schoonderwaldt,"€ 2,308","€ 120,000",,"Jun 30, 2026",2,"€ 240,000",
Mike Kleijn,"€ 1,731","€ 90,000",,"Jun 30, 2028",4,"€ 360,000",
Kaylen Reitmaier,"€ 1,538","€ 80,000",,"Jun 30, 2025",1,"€ 80,000",
Hamza el Dahri,"€ 1,538","€ 80,000",,"Jun 30, 2027",3,"€ 240,000",
Ayoub Oufkir,"€ 1,154","€ 60,000",,"Jun 30, 2027",3,"€ 180,000",
