Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Robert Lewandowski,"€ 640,962","€ 33,330,000",,"Jun 30, 2026",2,"€ 66,660,000","€ 500,000,000"
Frenkie de Jong,"€ 365,385","€ 19,000,000","€ 6,200,000","Jun 30, 2026",2,"€ 38,000,000","€ 400,000,000"
Ansu Fati,"€ 268,269","€ 13,950,000",,"Jun 30, 2027",3,"€ 41,850,000","€ 1,000,000,000"
Jules Koundé,"€ 260,577","€ 13,550,000",,"Jun 30, 2027",3,"€ 40,650,000","€ 1,000,000,000"
Raphinha,"€ 240,385","€ 12,500,000",,"Jun 30, 2027",3,"€ 37,500,000","€ 1,000,000,000"
Pedri,"€ 240,385","€ 12,500,000",,"Jun 30, 2030",6,"€ 75,000,000","€ 1,000,000,000"
Ferran Torres,"€ 192,308","€ 10,000,000","€ 3,000,000","Jun 30, 2027",3,"€ 30,000,000","€ 1,000,000,000"
Ronald Araujo,"€ 192,308","€ 10,000,000",,"Jun 30, 2031",7,"€ 70,000,000","€ 65,000,000"
Gavi,"€ 180,385","€ 9,380,000",,"Jun 30, 2030",6,"€ 56,280,000","€ 1,000,000,000"
Dani Olmo,"€ 180,385","€ 9,380,000","€ 2,080,000","Jun 30, 2030",6,"€ 56,280,000","€ 500,000,000"
Iñigo Martínez,"€ 174,231","€ 9,060,000",,"Jun 30, 2026",2,"€ 18,120,000","€ 400,000,000"
Andreas Christensen,"€ 173,077","€ 9,000,000","€ 4,000,000","Jun 30, 2026",2,"€ 18,000,000","€ 500,000,000"
Marc-André ter Stegen,"€ 121,154","€ 6,300,000",,"Jun 30, 2028",4,"€ 25,200,000","€ 500,000,000"
Eric García,"€ 115,385","€ 6,000,000",,"Jun 30, 2026",2,"€ 12,000,000","€ 400,000,000"
İlkay Gündoğan,"€ 90,192","€ 4,690,000",,"Jun 30, 2025",1,"€ 4,690,000",
Fermín López,"€ 76,923","€ 4,000,000",,"Jun 30, 2029",5,"€ 20,000,000","€ 500,000,000"
Pau Cubarsí,"€ 76,923","€ 4,000,000",,"Jun 30, 2029",5,"€ 20,000,000","€ 500,000,000"
Iñaki Peña,"€ 62,500","€ 3,250,000",,"Jun 30, 2026",2,"€ 6,500,000","€ 400,000,000"
Wojciech Szczesny,"€ 57,692","€ 3,000,000",,"Jun 30, 2025",1,"€ 3,000,000",
Clément Lenglet,"€ 38,462","€ 2,000,000",,"Jun 30, 2027",3,"€ 6,000,000",
Lamine Yamal,"€ 32,115","€ 1,670,000","€ 420,000","Jun 30, 2026",2,"€ 3,340,000","€ 1,000,000,000"
Alejandro Balde,"€ 32,115","€ 1,670,000","€ 420,000","Jun 30, 2028",4,"€ 6,680,000","€ 1,000,000,000"
Héctor Fort,"€ 16,154","€ 840,000",,"Jun 30, 2026",2,"€ 1,680,000",
Marc Casadó,"€ 10,000","€ 520,000",,"Jun 30, 2028",4,"€ 2,080,000","€ 100,000,000"
Gerard Martín,"€ 8,077","€ 420,000",,"Jun 30, 2028",4,"€ 1,680,000","€ 100,000,000"
Pau Víctor,"€ 7,308","€ 380,000",,"Jun 30, 2029",5,"€ 1,900,000",
Marc Bernal,"€ 6,154","€ 320,000",,"Jun 30, 2026",2,"€ 640,000","€ 20,000,000"
Pablo Torre,"€ 4,038","€ 210,000",,"Jun 30, 2026",2,"€ 420,000","€ 100,000,000"
Ander Astralaga,"€ 3,846","€ 200,000",,"Jun 30, 2026",2,"€ 400,000",
