Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Borja Mayoral,"€ 92,115","€ 4,790,000",,"Jun 30, 2027",3,"€ 14,370,000","€ 20,000,000"
Juan Bernat,"€ 71,923","€ 3,740,000",,"Jun 30, 2025",1,"€ 3,740,000",
Carles Pérez,"€ 49,231","€ 2,560,000",,"Jun 30, 2025",1,"€ 2,560,000",
Mauro Arambarri,"€ 48,462","€ 2,520,000",,"Jun 30, 2028",4,"€ 10,080,000",
Juanmi,"€ 46,154","€ 2,400,000",,"Jun 30, 2025",1,"€ 2,400,000",
Djené,"€ 42,308","€ 2,200,000",,"Jun 30, 2025",1,"€ 2,200,000",
David Soria,"€ 29,038","€ 1,510,000",,"Jun 30, 2026",2,"€ 3,020,000",
Diego Rico,"€ 23,846","€ 1,240,000",,"Jun 30, 2026",2,"€ 2,480,000",
Omar Alderete,"€ 23,077","€ 1,200,000",,"Jun 30, 2028",4,"€ 4,800,000",
Domingos Duarte,"€ 20,769","€ 1,080,000",,"Jun 30, 2026",2,"€ 2,160,000",
Álex Sola,"€ 20,000","€ 1,040,000",,"Jun 30, 2027",3,"€ 3,120,000",
Luis Milla,"€ 15,000","€ 780,000",,"Jun 30, 2027",3,"€ 2,340,000",
Allan Nyom,"€ 11,923","€ 620,000",,"Jun 30, 2025",1,"€ 620,000",
Bertuğ Yıldırım,"€ 11,538","€ 600,000",,"Jun 30, 2025",1,"€ 600,000",
Peter Federico,"€ 10,000","€ 520,000",,"Jun 30, 2028",4,"€ 2,080,000",
Álvaro Rodríguez,"€ 10,000","€ 520,000",,"Jun 30, 2025",1,"€ 520,000",
Juan Berrocal,"€ 10,000","€ 520,000",,"Jun 30, 2027",3,"€ 1,560,000",
Jiri Letacek,"€ 8,077","€ 420,000",,"Jun 30, 2028",4,"€ 1,680,000",
Ramón Terrats,"€ 3,846","€ 200,000",,"Jun 30, 2025",1,"€ 200,000",
Juan Iglesias,"€ 3,462","€ 180,000",,"Jun 30, 2026",2,"€ 360,000",
Christantus Uche,"€ 3,462","€ 180,000",,"Jun 30, 2028",4,"€ 720,000",
Yellu Santiago,"€ 2,692","€ 140,000",,"Jun 30, 2025",1,"€ 140,000",
Coba da Costa,"€ 2,692","€ 140,000",,"Jun 30, 2025",1,"€ 140,000",
Alberto Risco,"€ 2,308","€ 120,000",,"Jun 30, 2026",2,"€ 240,000",
