Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
José Gayà,"€ 112,115","€ 5,830,000",,"Jun 30, 2027",3,"€ 17,490,000","€ 100,000,000"
Hugo Duro,"€ 80,192","€ 4,170,000",,"Jun 30, 2028",4,"€ 16,680,000",
Mouctar Diakhaby,"€ 76,923","€ 4,000,000",,"Jun 30, 2027",3,"€ 12,000,000",
Hugo Guillamón,"€ 36,923","€ 1,920,000",,"Jun 30, 2026",2,"€ 3,840,000","€ 50,000,000"
Rafa Mir,"€ 36,538","€ 1,900,000",,"Jun 30, 2025",1,"€ 1,900,000",
Cristhian Mosquera,"€ 36,154","€ 1,880,000",,"Jun 30, 2026",2,"€ 3,760,000",
Dimitri Foulquier,"€ 35,962","€ 1,870,000",,"Jun 30, 2025",1,"€ 1,870,000",
Thierry Correia,"€ 35,385","€ 1,840,000",,"Jun 30, 2026",2,"€ 3,680,000",
Giorgi Mamardashvili,"€ 28,846","€ 1,500,000",,"Jun 30, 2025",1,"€ 1,500,000","€ 100,000,000"
Sergi Canós,"€ 28,846","€ 1,500,000",,"Jun 30, 2027",3,"€ 4,500,000",
Jaume Doménech,"€ 27,885","€ 1,450,000",,"Jun 30, 2025",1,"€ 1,450,000",
Pepelu,"€ 25,000","€ 1,300,000",,"Jun 30, 2028",4,"€ 5,200,000","€ 100,000,000"
Max Aarons,"€ 24,038","€ 1,250,000",,"Jun 30, 2025",1,"€ 1,250,000",
Enzo Barrenechea,"€ 24,038","€ 1,250,000",,"Jun 30, 2025",1,"€ 1,250,000",
Stole Dimitrievski,"€ 23,846","€ 1,240,000",,"Jun 30, 2026",2,"€ 2,480,000",
Umar Sadiq,"€ 23,077","€ 1,200,000",,"Jun 30, 2025",1,"€ 1,200,000",
Luis Rioja,"€ 20,000","€ 1,040,000",,"Jun 30, 2026",2,"€ 2,080,000",
Diego López,"€ 15,385","€ 800,000",,"Jun 30, 2027",3,"€ 2,400,000","€ 100,000,000"
Iván Jaime,"€ 13,846","€ 720,000",,"Jun 30, 2025",1,"€ 720,000",
Fran Pérez,"€ 11,923","€ 620,000",,"Jun 30, 2026",2,"€ 1,240,000","€ 80,000,000"
Jesús Vázquez,"€ 11,923","€ 620,000",,"Jun 30, 2026",2,"€ 1,240,000",
Yarek Gasiorowski,"€ 11,923","€ 620,000",,"Jun 30, 2027",3,"€ 1,860,000",
André Almeida,"€ 11,538","€ 600,000",,"Jun 30, 2028",4,"€ 2,400,000",
Javi Guerra,"€ 7,692","€ 400,000",,"Jun 30, 2027",3,"€ 1,200,000","€ 100,000,000"
César Tárrega,"€ 3,846","€ 200,000",,"Jun 30, 2028",4,"€ 800,000",
