Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
M'Bala Nzola,"€ 52,500","€ 2,730,000",,"Jun 30, 2025",1,"€ 2,730,000",
Angelo Fulgini,"€ 35,000","€ 1,820,000",,"Jun 30, 2027",3,"€ 5,460,000",
Ruben Aguilar,"€ 31,538","€ 1,640,000",,"Jun 30, 2028",4,"€ 6,560,000",
Facundo Medina,"€ 31,538","€ 1,640,000",,"Jun 30, 2028",4,"€ 6,560,000",
Malang Sarr,"€ 28,077","€ 1,460,000",,"Jun 30, 2026",2,"€ 2,920,000",
Jonathan Gradit,"€ 27,885","€ 1,450,000",,"Jun 30, 2028",4,"€ 5,800,000",
Anass Zaroury,"€ 26,154","€ 1,360,000",,"Jun 30, 2028",4,"€ 5,440,000",
Nampalys Mendy,"€ 25,000","€ 1,300,000",,"Jun 30, 2025",1,"€ 1,300,000",
Adrien Thomasson,"€ 20,769","€ 1,080,000",,"Jun 30, 2026",2,"€ 2,160,000",
Andy Diouf,"€ 17,308","€ 900,000",,"Jun 30, 2028",4,"€ 3,600,000",
Mathew Ryan,"€ 17,308","€ 900,000",,"Jun 30, 2025",1,"€ 900,000",
Hervé Koffi,"€ 13,846","€ 720,000",,"Jun 30, 2028",4,"€ 2,880,000",
Martín Satriano,"€ 12,308","€ 640,000",,"Jun 30, 2025",1,"€ 640,000",
Florian Sotoca,"€ 11,538","€ 600,000",,"Jun 30, 2026",2,"€ 1,200,000",
Goduine Koyalipou,"€ 10,385","€ 540,000",,"Jun 30, 2028",4,"€ 2,160,000",
Deiver Machado,"€ 10,385","€ 540,000",,"Jun 30, 2026",2,"€ 1,080,000",
Wesley Saïd,"€ 10,385","€ 540,000",,"Jun 30, 2026",2,"€ 1,080,000",
Rémy Labeau Lascary,"€ 8,654","€ 450,000",,"Jun 30, 2028",4,"€ 1,800,000",
Jhoanner Chávez,"€ 8,654","€ 450,000",,"Jun 30, 2028",4,"€ 1,800,000",
Nidal Celik,"€ 8,654","€ 450,000",,"Jun 30, 2029",5,"€ 2,250,000",
Juma Bah,"€ 5,385","€ 280,000",,"Jun 30, 2025",1,"€ 280,000",
Denis Petric,"€ 4,615","€ 240,000",,"Jun 30, 2025",1,"€ 240,000",
Jeremy Agbonifo,"€ 4,231","€ 220,000",,"Jun 30, 2025",1,"€ 220,000",
Neil El Aynaoui,"€ 2,885","€ 150,000",,"Jun 30, 2027",3,"€ 450,000",
Hamzat Ojediran,"€ 2,308","€ 120,000",,"Jun 30, 2028",4,"€ 480,000",
Tom Pouilly,"€ 2,308","€ 120,000",,"Jun 30, 2027",3,"€ 360,000",
Przemyslaw Frankowski,,,,"Jun 30, 2028",4,,
