Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Tom Pearce,"€ 7,639","€ 397,204",,"Dec 31, 2026",2,"€ 794,408",
George Campbell,"€ 6,790","€ 353,070",,"Dec 31, 2025",1,"€ 353,070",
Samuel Piette,"€ 6,745","€ 350,753",,"Dec 31, 2027",3,"€ 1,052,259",
Dominik Yankov,"€ 5,941","€ 308,936",,"Dec 31, 2026",2,"€ 617,873",
Caden Clark,"€ 5,941","€ 308,936",,"Dec 31, 2025",1,"€ 308,936",
Sunusi Ibrahim,"€ 5,941","€ 308,936",,"Dec 31, 2026",2,"€ 617,873",
Kwadwo Opoku,"€ 5,853","€ 304,371",,"Dec 31, 2026",2,"€ 608,742",
Joel Waterman,"€ 5,703","€ 296,579",,"Dec 31, 2027",3,"€ 889,737",
Bryce Duke,"€ 5,517","€ 286,869",,"Dec 31, 2025",1,"€ 286,869",
Dawid Bugaj,"€ 4,074","€ 211,842",,"Dec 31, 2026",2,"€ 423,684",
Fernando Álvarez,"€ 3,819","€ 198,602",,"Dec 31, 2025",1,"€ 198,602",
Jonathan Sirois,"€ 2,292","€ 119,161",,"Dec 31, 2026",2,"€ 238,322",
Nathan-Dylan Saliba,"€ 2,207","€ 114,748",,"Dec 31, 2025",1,"€ 114,748",
Sebastian Breza,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Jules-Anthony Vilsaint,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Yuri Guboglo,,,,"Dec 31, 2026",2,,
Dante Sealy,,,,"Dec 31, 2026",2,,
Emil Gazdov,,,,"Dec 31, 2026",2,,
Fabian Herbers,,,,"Dec 31, 2026",2,,
Gennadiy Synchuk,,,,"Dec 31, 2028",4,,
Giacomo Vrioni,,,,"Dec 31, 2025",1,,
Jalen Neal,,,,"Dec 31, 2027",3,,
Luca Petrasso,,,,"Dec 31, 2025",1,,
Olger Escobar,,,,"Dec 31, 2026",2,,
Owen Graham-Roache,,,,"Dec 31, 2026",2,,
Prince Osei Owusu,,,,"Dec 31, 2026",2,,
Victor Loturi,,,,"Dec 31, 2026",2,,
Brandan Craig,,,,"Dec 31, 2025",1,,
