Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Christian Benteke,"€ 72,142","€ 3,751,369",,"Dec 31, 2025",1,"€ 3,751,369",
Aarón Herrera,"€ 12,731","€ 662,006",,"Dec 31, 2025",1,"€ 662,006",
Matti Peltola,"€ 11,574","€ 601,824",,"Dec 31, 2027",3,"€ 1,805,471",
Gabriel Pirani,"€ 11,288","€ 586,979",,"Dec 31, 2025",1,"€ 586,979",
Boris Enow,"€ 9,945","€ 517,155",,"Dec 31, 2027",3,"€ 1,551,465",
David Schnegg,"€ 6,790","€ 353,070",,"Dec 31, 2026",2,"€ 706,140",
Jared Stroud,"€ 3,904","€ 203,015",,"Dec 31, 2026",2,"€ 406,031",
Lucas Bartlett,"€ 1,523","€ 79,190",,"Dec 31, 2027",3,"€ 237,570",
Dominique Badji,"€ 1,523","€ 79,190",,"Dec 31, 2026",2,"€ 158,380",
Jackson Hopkins,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Conner Antley,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Garrison Tubbs,"€ 1,212","€ 63,024",,"Dec 31, 2025",1,"€ 63,024",
Jacob Murrell,"€ 1,212","€ 63,024",,"Dec 31, 2026",2,"€ 126,048",
Randall Leal,,,,"Dec 31, 2025",1,,
Rida Zouhir,,,,"Dec 31, 2025",1,,
Brandon Servania,,,,"Dec 31, 2026",2,,
Derek Dodson,,,,"Dec 31, 2025",1,,
Fidel Barajas,,,,"Jun 30, 2025",1,,
Gavin Turner,,,,"Dec 31, 2027",3,,
Hakim Karamoko,,,,"Dec 31, 2027",3,,
Hosei Kijima,,,,"Dec 31, 2025",1,,
Joon-hong Kim,,,,"Dec 31, 2027",3,,
Jordan Farr,,,,"Dec 31, 2026",2,,
Kye Rowles,,,,"Dec 31, 2026",2,,
Luis Barraza,,,,"Dec 31, 2025",1,,
Lukas MacNaughton,,,,"Dec 31, 2025",1,,
Peglow,,,,"Dec 31, 2027",3,,
