Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Hany Mukhtar,"€ 64,503","€ 3,354,165",,"Dec 31, 2026",2,"€ 6,708,331",
Walker Zimmerman,"€ 54,318","€ 2,824,560",,"Dec 31, 2025",1,"€ 2,824,560",
Sam Surridge,"€ 42,436","€ 2,206,688",,"Dec 31, 2026",2,"€ 4,413,376",
Tyler Boyd,"€ 13,070","€ 679,660",,"Dec 31, 2026",2,"€ 1,359,320",
Jack Maher,"€ 11,882","€ 617,873",,"Dec 31, 2027",3,"€ 1,853,618",
Joe Willis,"€ 10,185","€ 529,605",,"Dec 31, 2025",1,"€ 529,605",
Daniel Lovitz,"€ 9,442","€ 490,983",,"Dec 31, 2025",1,"€ 490,983",
Alex Muyl,"€ 8,912","€ 463,404",,"Dec 31, 2025",1,"€ 463,404",
Patrick Yazbek,"€ 6,365","€ 331,003",,"Dec 31, 2027",3,"€ 993,009",
Jacob Shaffelburg,"€ 5,941","€ 308,936",,"Dec 31, 2026",2,"€ 617,873",
Jonathan Pérez,"€ 4,668","€ 242,736",,"Dec 31, 2025",1,"€ 242,736",
Teal Bunbury,"€ 4,244","€ 220,669",,"Dec 31, 2025",1,"€ 220,669",
Josh Bauer,"€ 1,599","€ 83,150",,"Dec 31, 2026",2,"€ 166,300",
Taylor Washington,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Adem Sipić,"€ 1,212","€ 63,024",,"Dec 31, 2027",3,"€ 189,072",
Isaiah Jones,"€ 1,212","€ 63,024",,"Dec 31, 2027",3,"€ 189,072",
Julian Gaines,"€ 1,212","€ 63,024",,"Dec 31, 2025",1,"€ 63,024",
Xavier Valdez,,,,"Dec 31, 2025",1,,
Ahmed Qasem,,,,"Dec 31, 2027",3,,
Andy Nájar,,,,"Dec 31, 2025",1,,
Brian Schwake,,,,"Dec 31, 2026",2,,
Bryan Acosta,,,,"Dec 31, 2025",1,,
Christopher Applewhite,,,,"Dec 31, 2027",3,,
Edvard Tagseth,,,,"Dec 31, 2026",2,,
Gastón Brugman,,,,"Dec 31, 2025",1,,
Jeisson Palacios,,,,"Dec 31, 2026",2,,
Matthew Corcoran,,,,"Dec 31, 2027",3,,
Maximus Ekk,,,,"Dec 31, 2025",1,,
Wyatt Meyer,,,,"Dec 31, 2025",1,,
