Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Bruno Guimarães,"€ 189,755","€ 9,867,275","€ 2,466,819","Jun 30, 2028",4,"€ 39,469,098","€ 118,597,050"
Joelinton,"€ 177,896","€ 9,250,570",,"Jun 30, 2028",4,"€ 37,002,280",
Anthony Gordon,"€ 177,896","€ 9,250,570","€ 1,233,409","Jun 30, 2030",6,"€ 55,503,419",
Sandro Tonali,"€ 142,316","€ 7,400,456","€ 2,158,466","Jun 30, 2028",4,"€ 29,601,824",
Kieran Trippier,"€ 142,316","€ 7,400,456",,"Jun 30, 2026",2,"€ 14,800,912",
Alexander Isak,"€ 142,316","€ 7,400,456",,"Jun 30, 2028",4,"€ 29,601,824",
Matt Targett,"€ 118,597","€ 6,167,047",,"Jun 30, 2026",2,"€ 12,334,093",
Sven Botman,"€ 106,737","€ 5,550,342",,"Jun 30, 2027",3,"€ 16,651,026",
Joe Willock,"€ 94,878","€ 4,933,637",,"Jun 30, 2027",3,"€ 14,800,912",
Harvey Barnes,"€ 94,878","€ 4,933,637",,"Jun 30, 2028",4,"€ 19,734,549",
Nick Pope,"€ 71,158","€ 3,700,228",,"Jun 30, 2026",2,"€ 7,400,456",
Fabian Schär,"€ 71,158","€ 3,700,228",,"Jun 30, 2026",2,"€ 7,400,456",
Dan Burn,"€ 65,228","€ 3,391,876",,"Jun 30, 2026",2,"€ 6,783,751",
Emil Krafth,"€ 65,228","€ 3,391,876",,"Jun 30, 2025",1,"€ 3,391,876",
Sean Longstaff,"€ 59,299","€ 3,083,523",,"Jun 30, 2026",2,"€ 6,167,047",
Tino Livramento,"€ 59,299","€ 3,083,523",,"Jun 30, 2028",4,"€ 12,334,093",
Odysseas Vlachodimos,"€ 59,299","€ 3,083,523",,"Jun 30, 2025",1,"€ 3,083,523",
Callum Wilson,"€ 54,555","€ 2,836,841",,"Jun 30, 2025",1,"€ 2,836,841",
Jamal Lewis,"€ 53,369","€ 2,775,171",,"Jun 30, 2025",1,"€ 2,775,171",
Jamaal Lascelles,"€ 47,439","€ 2,466,819",,"Jun 30, 2025",1,"€ 2,466,819",
Martin Dubravka,"€ 47,439","€ 2,466,819",,"Jun 30, 2026",2,"€ 4,933,637",
Jacob Murphy,"€ 41,509","€ 2,158,466",,"Jun 30, 2027",3,"€ 6,475,399",
William Osula,"€ 23,719","€ 1,233,409",,"Jun 30, 2029",5,"€ 6,167,047",
Isaac Hayden,"€ 18,383","€ 955,892",,"Jun 30, 2026",2,"€ 1,911,784",
Mark Gillespie,"€ 11,860","€ 616,705",,"Jun 30, 2025",1,"€ 616,705",
John Ruddy,"€ 9,488","€ 493,364",,"Jun 30, 2025",1,"€ 493,364",
Lewis Hall,"€ 8,302","€ 431,693",,"Jun 30, 2025",1,"€ 431,693",
Lewis Miley,"€ 5,930","€ 308,352",,"Jun 30, 2029",5,"€ 1,541,762",
Harrison Ashby,"€ 3,558","€ 185,011",,"Jun 30, 2025",1,"€ 185,011",
Joe White,"€ 2,372","€ 123,341",,"Jun 30, 2025",1,"€ 123,341",
Alex Murphy,"€ 2,135","€ 111,007",,"Jun 30, 2025",1,"€ 111,007",
Max Thompson,"€ 1,186","€ 61,670",,"Jun 30, 2025",1,"€ 61,670",
Charlie McArthur,"€ 1,186","€ 61,670",,"Jun 30, 2025",1,"€ 61,670",
