Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Rodrigo Zalazar,"€ 22,115","€ 1,150,000",,"Jun 30, 2028",4,"€ 4,600,000",
Ricardo Horta,"€ 19,231","€ 1,000,000",,"Jun 30, 2028",4,"€ 4,000,000",
João Ferreira,"€ 18,462","€ 960,000",,"Jun 30, 2025",1,"€ 960,000",
Uroš Račić,"€ 18,462","€ 960,000",,"Jun 30, 2025",1,"€ 960,000",
Bright Arrey-Mbi,"€ 18,462","€ 960,000",,"Jun 30, 2029",5,"€ 4,800,000","€ 50,000,000"
Fran Navarro,"€ 18,462","€ 960,000",,"Jun 30, 2025",1,"€ 960,000",
Robson Bambu,"€ 14,808","€ 770,000",,"Jun 30, 2028",4,"€ 3,080,000",
João Moutinho,"€ 14,808","€ 770,000",,"Jun 30, 2026",2,"€ 1,540,000",
Vítor Carvalho,"€ 10,962","€ 570,000",,"Jun 30, 2028",4,"€ 2,280,000",
Adrián Marín,"€ 9,231","€ 480,000",,"Jun 30, 2026",2,"€ 960,000",
Amine El Ouazzani,"€ 9,231","€ 480,000",,"Jun 30, 2029",5,"€ 2,400,000",
Gabri Martínez,"€ 9,231","€ 480,000",,"Jun 30, 2029",5,"€ 2,400,000",
Gorby,"€ 9,231","€ 480,000",,"Jun 30, 2028",4,"€ 1,920,000",
Ismaël Gharbi,"€ 9,231","€ 480,000",,"Jun 30, 2029",5,"€ 2,400,000",
Roger,"€ 9,231","€ 480,000",,"Jun 30, 2028",4,"€ 1,920,000",
Paulo Oliveira,"€ 7,692","€ 400,000",,"Jun 30, 2026",2,"€ 800,000",
Lukas Hornicek,"€ 6,923","€ 360,000",,"Jun 30, 2028",4,"€ 1,440,000",
Víctor Gómez,"€ 6,731","€ 350,000",,"Jun 30, 2028",4,"€ 1,400,000",
Sikou Niakaté,"€ 6,538","€ 340,000",,"Jun 30, 2028",4,"€ 1,360,000",
Tiago Sá,"€ 5,769","€ 300,000",,"Jun 30, 2027",3,"€ 900,000",
Thiago Helguera,"€ 3,846","€ 200,000",,"Jun 30, 2029",5,"€ 1,000,000",
Jonatás Noro,"€ 2,308","€ 120,000",,"Jun 30, 2027",3,"€ 360,000",
Diego Rodrigues,"€ 2,308","€ 120,000",,"Jun 30, 2027",3,"€ 360,000",
Simon Banza,,,,"Jun 30, 2027",3,,
Roberto Fernández,,,,"Jun 30, 2029",5,,
