Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Florinel Coman,"€ 38,462","€ 2,000,000",,"Jun 30, 2025",1,"€ 2,000,000",
Yerry Mina,"€ 36,923","€ 1,920,000",,"Jun 30, 2025",1,"€ 1,920,000",
Jakub Jankto,"€ 35,577","€ 1,850,000",,"Jun 30, 2025",1,"€ 1,850,000",
Sebastiano Luperto,"€ 35,577","€ 1,850,000",,"Jun 30, 2028",4,"€ 7,400,000",
Nicolas Viola,"€ 35,577","€ 1,850,000",,"Jun 30, 2025",1,"€ 1,850,000",
Leonardo Pavoletti,"€ 25,000","€ 1,300,000",,"Jun 30, 2026",2,"€ 2,600,000",
Răzvan Marin,"€ 24,615","€ 1,280,000",,"Jun 30, 2025",1,"€ 1,280,000",
Zito Luvumbo,"€ 21,346","€ 1,110,000",,"Jun 30, 2028",4,"€ 4,440,000",
Gabriele Zappa,"€ 21,346","€ 1,110,000",,"Jun 30, 2030",6,"€ 6,660,000",
José Luis Palomino,"€ 21,346","€ 1,110,000",,"Jun 30, 2025",1,"€ 1,110,000",
Antoine Makoumbou,"€ 18,077","€ 940,000",,"Jun 30, 2026",2,"€ 1,880,000",
Nadir Zortea,"€ 17,885","€ 930,000",,"Jun 30, 2028",4,"€ 3,720,000",
Tommaso Augello,"€ 17,885","€ 930,000",,"Jun 30, 2025",1,"€ 930,000",
Gianluca Gaetano,"€ 17,885","€ 930,000",,"Jun 30, 2025",1,"€ 930,000",
Adam Obert,"€ 17,885","€ 930,000",,"Jun 30, 2029",5,"€ 4,650,000",
Alessandro Deiola,"€ 14,231","€ 740,000",,"Jun 30, 2025",1,"€ 740,000",
Michel Ndary Adopo,"€ 12,500","€ 650,000",,"Jun 30, 2025",1,"€ 650,000",
Elia Caprile,"€ 12,308","€ 640,000",,"Jun 30, 2025",1,"€ 640,000",
Roberto Piccoli,"€ 10,769","€ 560,000",,"Jun 30, 2025",1,"€ 560,000",
Mattia Felici,"€ 8,846","€ 460,000",,"Jun 30, 2027",3,"€ 1,380,000",
Matteo Prati,"€ 8,462","€ 440,000",,"Jun 30, 2028",4,"€ 1,760,000",
Kingstone Mutandwa,"€ 4,615","€ 240,000",,"Jun 30, 2028",4,"€ 960,000",
Alen Sherri,"€ 4,231","€ 220,000",,"Jun 30, 2027",3,"€ 660,000",
Giuseppe Ciocci,"€ 1,346","€ 70,000",,"Jun 30, 2027",3,"€ 210,000",
