Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Dušan Vlahović,"€ 373,846","€ 19,440,000",,"Jun 30, 2026",2,"€ 38,880,000",
Bremer,"€ 178,077","€ 9,260,000","€ 1,850,000","Jun 30, 2029",5,"€ 46,300,000",
Douglas Luiz,"€ 160,192","€ 8,330,000","€ 930,000","Jun 30, 2029",5,"€ 41,650,000",
Manuel Locatelli,"€ 117,500","€ 6,110,000",,"Jun 30, 2028",4,"€ 24,440,000",
Teun Koopmeiners,"€ 110,962","€ 5,770,000",,"Jun 30, 2029",5,"€ 28,850,000",
Randal Kolo Muani,"€ 89,038","€ 4,630,000",,"Jun 30, 2025",1,"€ 4,630,000",
Francisco Conceição,"€ 89,038","€ 4,630,000",,"Jun 30, 2025",1,"€ 4,630,000",
Nicolás González,"€ 88,846","€ 4,620,000",,"Jun 30, 2029",5,"€ 23,100,000",
Andrea Cambiaso,"€ 85,385","€ 4,440,000",,"Jun 30, 2029",5,"€ 22,200,000",
Michele Di Gregorio,"€ 71,154","€ 3,700,000",,"Jun 30, 2029",5,"€ 18,500,000",
Khéphren Thuram,"€ 71,154","€ 3,700,000","€ 930,000","Jun 30, 2029",5,"€ 18,500,000",
Weston McKennie,"€ 61,731","€ 3,210,000","€ 380,000","Jun 30, 2026",2,"€ 6,420,000",
Arthur,"€ 61,731","€ 3,210,000",,"Jun 30, 2027",3,"€ 9,630,000",
Kenan Yıldız,"€ 56,923","€ 2,960,000","€ 740,000","Jun 30, 2029",5,"€ 14,800,000",
Mattia Perin,"€ 53,462","€ 2,780,000",,"Jun 30, 2027",3,"€ 8,340,000",
Federico Gatti,"€ 49,808","€ 2,590,000",,"Jun 30, 2028",4,"€ 10,360,000",
Pierre Kalulu,"€ 49,231","€ 2,560,000","€ 510,000","Jun 30, 2025",1,"€ 2,560,000",
Timothy Weah,"€ 49,231","€ 2,560,000",,"Jun 30, 2028",4,"€ 10,240,000",
Arkadiusz Milik,"€ 43,077","€ 2,240,000",,"Jun 30, 2027",3,"€ 6,720,000",
Lloyd Kelly,"€ 42,692","€ 2,220,000",,"Jun 30, 2025",1,"€ 2,220,000",
Juan Cabal,"€ 42,692","€ 2,220,000",,"Jun 30, 2029",5,"€ 11,100,000",
Tiago Djaló,"€ 28,462","€ 1,480,000",,"Jun 30, 2026",2,"€ 2,960,000",
Renato Veiga,"€ 28,462","€ 1,480,000",,"Jun 30, 2025",1,"€ 1,480,000",
Nicolò Fagioli,"€ 26,731","€ 1,390,000",,"Jun 30, 2028",4,"€ 5,560,000",
Alberto Costa,"€ 17,885","€ 930,000",,"Jun 30, 2029",5,"€ 4,650,000",
Vasilije Adžić,"€ 14,231","€ 740,000",,"Jun 30, 2029",5,"€ 3,700,000",
Carlo Pinsoglio,"€ 10,769","€ 560,000",,"Jun 30, 2026",2,"€ 1,120,000",
Samuel Mbangula,"€ 10,769","€ 560,000",,"Jun 30, 2028",4,"€ 2,240,000",
Jonas Rouhi,"€ 7,115","€ 370,000",,"Jun 30, 2028",4,"€ 1,480,000",
Nicolò Savona,"€ 7,115","€ 370,000",,"Jun 30, 2029",5,"€ 1,850,000",
Daniele Rugani,,,,"Jun 30, 2026",2,,
