Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Armando Izzo,"€ 60,577","€ 3,150,000",,"Jun 30, 2026",2,"€ 6,300,000",
Andrea Petagna,"€ 53,462","€ 2,780,000",,"Jun 30, 2027",3,"€ 8,340,000",
Roberto Gagliardini,"€ 53,462","€ 2,780,000",,"Jun 30, 2025",1,"€ 2,780,000",
Gaetano Castrovilli,"€ 35,577","€ 1,850,000",,"Jun 30, 2025",1,"€ 1,850,000",
Stefano Sensi,"€ 35,577","€ 1,850,000",,"Jun 30, 2025",1,"€ 1,850,000",
Danilo D'Ambrosio,"€ 35,577","€ 1,850,000",,"Jun 30, 2025",1,"€ 1,850,000",
Gianluca Caprari,"€ 32,115","€ 1,670,000",,"Jun 30, 2026",2,"€ 3,340,000",
Jean-Daniel Akpa Akpro,"€ 32,115","€ 1,670,000",,"Jun 30, 2025",1,"€ 1,670,000",
Silvere Ganvoula,"€ 28,462","€ 1,480,000",,"Jun 30, 2026",2,"€ 2,960,000",
Matteo Pessina,"€ 28,462","€ 1,480,000",,"Jun 30, 2027",3,"€ 4,440,000",
Patrick Ciurria,"€ 28,462","€ 1,480,000",,"Jun 30, 2026",2,"€ 2,960,000",
Luca Caldirola,"€ 24,231","€ 1,260,000",,"Jun 30, 2025",1,"€ 1,260,000",
Tomás Palacios,"€ 21,346","€ 1,110,000","€ 190,000","Jun 30, 2025",1,"€ 1,110,000",
Dany Mota,"€ 21,346","€ 1,110,000",,"Jun 30, 2027",3,"€ 3,330,000",
Andrea Carboni,"€ 17,885","€ 930,000",,"Jun 30, 2027",3,"€ 2,790,000",
Stefano Turati,"€ 16,346","€ 850,000",,"Jun 30, 2025",1,"€ 850,000",
Samuele Birindelli,"€ 15,962","€ 830,000",,"Jun 30, 2026",2,"€ 1,660,000",
Omari Forson,"€ 10,769","€ 560,000",,"Jun 30, 2028",4,"€ 2,240,000",
Keita Baldé,"€ 10,769","€ 560,000",,"Jun 30, 2025",1,"€ 560,000",
Kacper Urbanski,"€ 10,769","€ 560,000",,"Jun 30, 2025",1,"€ 560,000",
Georgios Kyriakopoulos,"€ 9,808","€ 510,000",,"Jun 30, 2026",2,"€ 1,020,000",
Pedro Pereira,"€ 7,308","€ 380,000",,"Jun 30, 2025",1,"€ 380,000",
Arvid Brorsson,"€ 6,346","€ 330,000",,"Jun 30, 2027",3,"€ 990,000",
Kevin Zeroli,"€ 5,385","€ 280,000",,"Jun 30, 2025",1,"€ 280,000",
Semuel Pizzignacco,"€ 4,231","€ 220,000",,"Jun 30, 2027",3,"€ 660,000",
Stefan Leković,"€ 4,231","€ 220,000",,"Jun 30, 2025",1,"€ 220,000",
Alessandro Bianco,"€ 3,654","€ 190,000",,"Jun 30, 2025",1,"€ 190,000",
Samuele Vignato,"€ 3,269","€ 170,000",,"Jun 30, 2025",1,"€ 170,000",
Andrea Mazza,"€ 3,269","€ 170,000",,"Jun 30, 2027",3,"€ 510,000",
Kevin Martins,"€ 2,500","€ 130,000",,"Jun 30, 2025",1,"€ 130,000",
