Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Krzysztof Piatek,"€ 112,115","€ 5,830,000",,"Jun 30, 2026",2,"€ 11,660,000",
Miguel Crespo,"€ 64,038","€ 3,330,000",,"Jun 30, 2027",3,"€ 9,990,000",
Lucas Lima,"€ 39,038","€ 2,030,000",,"Jun 30, 2025",1,"€ 2,030,000",
Berat Özdemir,"€ 36,923","€ 1,920,000",,"Jun 30, 2025",1,"€ 1,920,000",
Deniz Türüç,"€ 32,115","€ 1,670,000",,"Jun 30, 2026",2,"€ 3,340,000",
Léo Duarte,"€ 32,115","€ 1,670,000",,"Jun 30, 2026",2,"€ 3,340,000",
Ousseynou Ba,"€ 28,846","€ 1,500,000",,"Jun 30, 2027",3,"€ 4,500,000",
Serdar Gürler,"€ 22,500","€ 1,170,000",,"Jun 30, 2025",1,"€ 1,170,000",
João Figueiredo,"€ 21,154","€ 1,100,000",,"Jun 30, 2026",2,"€ 2,200,000",
Yusuf Sarı,"€ 20,769","€ 1,080,000",,"Jun 30, 2028",4,"€ 4,320,000",
Christopher Operi,"€ 19,231","€ 1,000,000",,"Jun 30, 2027",3,"€ 3,000,000",
Olivier Kemen,"€ 19,231","€ 1,000,000",,"Jun 30, 2027",3,"€ 3,000,000",
Umut Güneş,"€ 19,231","€ 1,000,000",,"Jun 30, 2028",4,"€ 4,000,000",
Onur Ergün,"€ 14,038","€ 730,000",,"Jun 30, 2025",1,"€ 730,000",
Muhammed Şengezer,"€ 13,462","€ 700,000",,"Jun 30, 2026",2,"€ 1,400,000",
Festy Ebosele,"€ 11,154","€ 580,000",,"Jun 30, 2028",4,"€ 2,320,000",
Patryk Szysz,"€ 10,192","€ 530,000",,"Jun 30, 2025",1,"€ 530,000",
Volkan Babacan,"€ 10,192","€ 530,000",,"Jun 30, 2025",1,"€ 530,000",
Ivan Brnic,"€ 9,615","€ 500,000",,"Jun 30, 2028",4,"€ 2,000,000",
Matchoi Djaló,"€ 8,077","€ 420,000",,"Jun 30, 2027",3,"€ 1,260,000",
Ömer Beyaz,"€ 8,077","€ 420,000",,"Jun 30, 2027",3,"€ 1,260,000",
Jerome Opoku,"€ 8,077","€ 420,000",,"Jun 30, 2027",3,"€ 1,260,000",
Ömer Ali Şahiner,"€ 6,346","€ 330,000",,"Jun 30, 2025",1,"€ 330,000",
Mohamed Hassan Fofana,"€ 3,269","€ 170,000",,"Jun 30, 2026",2,"€ 340,000",
Deniz Dilmen,"€ 3,269","€ 170,000",,"Jun 30, 2027",3,"€ 510,000",
Philippe Paulin Keny,"€ 3,269","€ 170,000",,"Jun 30, 2025",1,"€ 170,000",
Yusuf Yılmaz,"€ 2,500","€ 130,000",,"Jun 30, 2028",4,"€ 520,000",
Hamza Güreler,€ 962,"€ 50,000",,"Jun 30, 2026",2,"€ 100,000",
