Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Josip Brekalo,"€ 51,346","€ 2,670,000",,"Jun 30, 2025",1,"€ 2,670,000",
Antonín Barák,"€ 48,077","€ 2,500,000",,"Jun 30, 2025",1,"€ 2,500,000",
Can Keleş,"€ 17,692","€ 920,000",,"Jun 30, 2025",1,"€ 920,000",
Sinan Bolat,"€ 17,308","€ 900,000",,"Jun 30, 2025",1,"€ 900,000",
Kévin Rodrigues,"€ 16,154","€ 840,000",,"Jun 30, 2025",1,"€ 840,000",
Andreas Gianniotis,"€ 10,000","€ 520,000",,"Jun 30, 2025",1,"€ 520,000",
Mamadou Fall,"€ 9,615","€ 500,000",,"Jun 30, 2027",3,"€ 1,500,000",
Nicholas Opoku,"€ 9,615","€ 500,000",,"Jun 30, 2026",2,"€ 1,000,000",
Mortadha Ben Ouanes,"€ 8,654","€ 450,000",,"Jun 30, 2025",1,"€ 450,000",
Cafú,"€ 8,654","€ 450,000",,"Jun 30, 2026",2,"€ 900,000",
Sadık Çiftpınar,"€ 8,077","€ 420,000",,"Jun 30, 2025",1,"€ 420,000",
Nuno Da Costa,"€ 8,077","€ 420,000",,"Jun 30, 2025",1,"€ 420,000",
Cláudio Winck,"€ 7,308","€ 380,000",,"Jun 30, 2025",1,"€ 380,000",
Kamil Piatkowski,"€ 6,923","€ 360,000",,"Jun 30, 2025",1,"€ 360,000",
Yasin Özcan,"€ 6,346","€ 330,000",,"Jun 30, 2029",5,"€ 1,650,000",
Jhon Espinoza,"€ 6,346","€ 330,000",,"Jun 30, 2026",2,"€ 660,000",
Gökhan Gül,"€ 6,346","€ 330,000",,"Jun 30, 2025",1,"€ 330,000",
Haris Hajradinovic,"€ 6,154","€ 320,000",,"Jun 30, 2026",2,"€ 640,000",
Aytaç Kara,"€ 4,808","€ 250,000",,"Jun 30, 2025",1,"€ 250,000",
Ali Emre Yanar,"€ 4,231","€ 220,000",,"Jun 30, 2026",2,"€ 440,000",
Sarp Yavrucu,"€ 3,269","€ 170,000",,"Jun 30, 2027",3,"€ 510,000",
Taylan Aydın,"€ 2,500","€ 130,000",,"Jun 30, 2025",1,"€ 130,000",
Emirhan Yiğit,"€ 2,308","€ 120,000",,"Jun 30, 2025",1,"€ 120,000",
Atakan Müjde,"€ 2,308","€ 120,000",,"Jun 30, 2027",3,"€ 360,000",
Adnan Aktaş,"€ 1,923","€ 100,000",,"Jun 30, 2026",2,"€ 200,000",
Yunus Atakaya,"€ 1,154","€ 60,000",,"Jun 30, 2027",3,"€ 180,000",
Sinan Alkaş,€ 962,"€ 50,000",,"Jun 30, 2025",1,"€ 50,000",
Ege Albayrak,€ 962,"€ 50,000",,"Jun 30, 2025",1,"€ 50,000",
Şant Kazancı,€ 577,"€ 30,000",,"Jun 30, 2026",2,"€ 60,000",
Yaman Suakar,€ 577,"€ 30,000",,"Jun 30, 2025",1,"€ 30,000",
