Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Stefan Savic,"€ 102,500","€ 5,330,000",,"Jun 30, 2027",3,"€ 15,990,000",
Edin Visca,"€ 48,077","€ 2,500,000",,"Jun 30, 2026",2,"€ 5,000,000",
Anthony Nwakaeme,"€ 48,077","€ 2,500,000",,"Jun 30, 2026",2,"€ 5,000,000",
John Lundstram,"€ 48,077","€ 2,500,000",,"Jun 30, 2027",3,"€ 7,500,000",
Batista Mendy,"€ 45,769","€ 2,380,000",,"Jun 30, 2027",3,"€ 7,140,000",
Muhammed Cham,"€ 44,231","€ 2,300,000",,"Jun 30, 2028",4,"€ 9,200,000",
Uğurcan Çakır,"€ 41,731","€ 2,170,000",,"Jun 30, 2027",3,"€ 6,510,000",
Okay Yokuşlu,"€ 38,462","€ 2,000,000",,"Jun 30, 2027",3,"€ 6,000,000",
Ozan Tufan,"€ 38,462","€ 2,000,000",,"Jun 30, 2027",3,"€ 6,000,000",
Stefano Denswil,"€ 28,269","€ 1,470,000",,"Jun 30, 2025",1,"€ 1,470,000",
Pedro Malheiro,"€ 26,538","€ 1,380,000",,"Jun 30, 2028",4,"€ 5,520,000",
Borna Barisic,"€ 24,038","€ 1,250,000","€ 550,000","Jun 30, 2026",2,"€ 2,500,000",
Oleksandr Zubkov,"€ 23,462","€ 1,220,000",,"Jun 30, 2029",5,"€ 6,100,000",
Denis Drăguș,"€ 16,154","€ 840,000",,"Jun 30, 2028",4,"€ 3,360,000",
Danylo Sikan,"€ 16,154","€ 840,000",,"Jun 30, 2029",5,"€ 4,200,000",
Simon Banza,"€ 15,962","€ 830,000",,"Jun 30, 2025",1,"€ 830,000",
Cihan Çanak,"€ 15,000","€ 780,000",,"Jun 30, 2027",3,"€ 2,340,000",
Hüseyin Türkmen,"€ 14,808","€ 770,000",,"Jun 30, 2027",3,"€ 2,310,000",
Serdar Saatçı,"€ 12,692","€ 660,000",,"Jun 30, 2028",4,"€ 2,640,000",
Tim Jabol-Folcarelli,"€ 11,154","€ 580,000",,"Jun 30, 2029",5,"€ 2,900,000",
Mustafa Eskihellaç,"€ 10,577","€ 550,000",,"Jun 30, 2027",3,"€ 1,650,000",
Arseniy Batagov,"€ 8,077","€ 420,000",,"Jun 30, 2028",4,"€ 1,680,000",
Arif Boşluk,"€ 8,077","€ 420,000",,"Jun 30, 2028",4,"€ 1,680,000",
Muhammet Taha Tepe,"€ 5,769","€ 300,000",,"Jun 30, 2027",3,"€ 900,000",
Enis Destan,"€ 3,269","€ 170,000",,"Jun 30, 2028",4,"€ 680,000",
Onuralp Çevikkan,"€ 3,269","€ 170,000",,"Jun 30, 2028",4,"€ 680,000",
Ali Şahin Yılmaz,"€ 3,269","€ 170,000",,"Jun 30, 2027",3,"€ 510,000",
Salih Malkoçoğlu,"€ 2,885","€ 150,000",,"Jun 30, 2028",4,"€ 600,000",
Ahmet Yıldırım,"€ 2,885","€ 150,000",,"Jun 30, 2027",3,"€ 450,000",
