Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Robert Sánchez,Goalkeeper,"Nov 18, 1997 (27)","Spain, England","1,97m",right,"Aug 5, 2023",,"Jun 30, 2030",€20.00m,https://www.transfermarkt.com/robert-sanchez/profil/spieler/403151
12,Filip Jørgensen,Goalkeeper,"Apr 16, 2002 (23)","Denmark, Sweden","1,92m",right,"Jul 30, 2024",,"Jun 30, 2031",€20.00m,https://www.transfermarkt.com/filip-jorgensen/profil/spieler/585323
13,Marcus Bettinelli,Goalkeeper,"May 24, 1992 (32)","England, Italy","1,93m",right,"Jul 28, 2021",,"Jun 30, 2026",€800k,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648
47,Lucas Bergström,Goalkeeper,"Sep 5, 2002 (22)",Finland,"2,05m",right,"Jul 1, 2023",,"Jun 30, 2025",€700k,https://www.transfermarkt.com/lucas-bergstrom/profil/spieler/490606
6,Levi Colwill,Centre-Back,"Feb 26, 2003 (22)",England,"1,87m",left,"Jul 1, 2022",,"Jun 30, 2029",€55.00m,https://www.transfermarkt.com/levi-colwill/profil/spieler/614258
29,Wesley Fofana,Centre-Back,"Dec 17, 2000 (24)","France, Cote d'Ivoire","1,85m",right,"Aug 31, 2022",,"Jun 30, 2029",€27.00m,https://www.transfermarkt.com/wesley-fofana/profil/spieler/475411
5,Benoît Badiashile,Centre-Back,"Mar 26, 2001 (24)","France, DR Congo","1,94m",left,"Jan 5, 2023",,"Jun 30, 2030",€25.00m,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603
4,Tosin Adarabioyo,Centre-Back,"Sep 24, 1997 (27)","England, Nigeria","1,97m",right,"Jul 1, 2024",,"Jun 30, 2028",€20.00m,https://www.transfermarkt.com/tosin-adarabioyo/profil/spieler/258878
23,Trevoh Chalobah,Centre-Back,"Jul 5, 1999 (25)","England, Sierra Leone","1,92m",right,"Jul 1, 2021",,"Jun 30, 2028",€17.00m,https://www.transfermarkt.com/trevoh-chalobah/profil/spieler/346314
30,Aarón Anselmino,Centre-Back,"Apr 29, 2005 (20)",Argentina,"1,86m",right,"Aug 8, 2024",,"Jun 30, 2031",€8.00m,https://www.transfermarkt.com/aaron-anselmino/profil/spieler/1145504
3,Marc Cucurella,Left-Back,"Jul 22, 1998 (26)",Spain,"1,73m",left,"Aug 5, 2022",,"Jun 30, 2028",€30.00m,https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857
27,Malo Gusto,Right-Back,"May 19, 2003 (21)","France, Martinique","1,78m",right,"Jan 29, 2023",,"Jun 30, 2030",€35.00m,https://www.transfermarkt.com/malo-gusto/profil/spieler/620322
24,Reece James,Right-Back,"Dec 8, 1999 (25)",England,"1,80m",right,"Jul 1, 2019",,"Jun 30, 2028",€30.00m,https://www.transfermarkt.com/reece-james/profil/spieler/472423
34,Josh Acheampong,Right-Back,"May 5, 2006 (18)","England, Ghana","1,85m",right,"Dec 18, 2024",,"Jun 30, 2029",€5.00m,https://www.transfermarkt.com/josh-acheampong/profil/spieler/1004708
25,Moisés Caicedo,Defensive Midfield,"Nov 2, 2001 (23)",Ecuador,"1,78m",right,"Aug 14, 2023",,"Jun 30, 2031",€80.00m,https://www.transfermarkt.com/moises-caicedo/profil/spieler/687626
45,Roméo Lavia,Defensive Midfield,"Jan 6, 2004 (21)",Belgium,"1,81m",right,"Aug 18, 2023",,"Jun 30, 2030",€40.00m,https://www.transfermarkt.com/romeo-lavia/profil/spieler/628451
8,Enzo Fernández,Central Midfield,"Jan 17, 2001 (24)",Argentina,"1,78m",right,"Jan 31, 2023",,"Jun 30, 2032",€75.00m,https://www.transfermarkt.com/enzo-fernandez/profil/spieler/648195
22,Kiernan Dewsbury-Hall,Central Midfield,"Sep 6, 1998 (26)",England,"1,76m",left,"Jul 2, 2024",,"Jun 30, 2029",€22.00m,https://www.transfermarkt.com/kiernan-dewsbury-hall/profil/spieler/475188
39,Mathis Amougou,Central Midfield,"Jan 18, 2006 (19)","France, Cameroon","1,77m",right,"Feb 3, 2025",,"Jun 30, 2033",€10.00m,https://www.transfermarkt.com/mathis-amougou/profil/spieler/1010854
20,Cole Palmer,Attacking Midfield,"May 6, 2002 (22)",England,"1,85m",left,"Sep 1, 2023",,"Jun 30, 2033",€130.00m,https://www.transfermarkt.com/cole-palmer/profil/spieler/568177
37,Omari Kellyman,Attacking Midfield,"Sep 15, 2005 (19)","England, Northern Ireland","1,91m",left,"Jul 1, 2024",,"Jun 30, 2030",€1.50m,https://www.transfermarkt.com/omari-kellyman/profil/spieler/926135
10,Mykhaylo Mudryk,Left Winger,"Jan 5, 2001 (24)",Ukraine,"1,75m",right,"Jan 15, 2023",,"Jun 30, 2031",€30.00m,https://www.transfermarkt.com/mykhaylo-mudryk/profil/spieler/537860
