Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
30,Aaron Ramsdale,Goalkeeper,"May 14, 1998 (26)",England,"1,90m",right,"Aug 30, 2024",,"Jun 30, 2028",€16.00m,https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568
-,Gavin Bazunu,Goalkeeper,"Feb 20, 2002 (23)","Ireland, Nigeria","1,88m",right,"Jul 1, 2022",,"Jun 30, 2027",€11.00m,https://www.transfermarkt.com/gavin-bazunu/profil/spieler/585550
13,Joe Lumley,Goalkeeper,"Feb 15, 1995 (30)",England,"1,90m",right,"Aug 7, 2023",,"Jun 30, 2025",€600k,https://www.transfermarkt.com/joe-lumley/profil/spieler/336367
1,Alex McCarthy,Goalkeeper,"Dec 3, 1989 (35)",England,"1,93m",right,"Aug 1, 2016",,"Jun 30, 2026",€500k,https://www.transfermarkt.com/alex-mccarthy/profil/spieler/95976
6,Taylor Harwood-Bellis,Centre-Back,"Jan 30, 2002 (23)",England,"1,88m",right,"Jul 1, 2024",,"Jun 30, 2028",€25.00m,https://www.transfermarkt.com/taylor-harwood-bellis/profil/spieler/503977
37,Armel Bella-Kotchap,Centre-Back,"Dec 11, 2001 (23)","Germany, Cameroon","1,90m",right,"Jul 1, 2022",,"Jun 30, 2026",€12.00m,https://www.transfermarkt.com/armel-bella-kotchap/profil/spieler/467563
35,Jan Bednarek,Centre-Back,"Apr 12, 1996 (29)",Poland,"1,89m",right,"Jul 1, 2017",,"Jun 30, 2027",€11.00m,https://www.transfermarkt.com/jan-bednarek/profil/spieler/243028
15,Nathan Wood,Centre-Back,"May 31, 2002 (22)","England, Jamaica","1,88m",right,"Jul 5, 2024",,"Jun 30, 2028",€3.80m,https://www.transfermarkt.com/nathan-wood/profil/spieler/503990
5,Jack Stephens,Centre-Back,"Jan 27, 1994 (31)",England,"1,85m",right,"Jul 1, 2013",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/jack-stephens/profil/spieler/163744
39,Joachim Kayi Sanda,Centre-Back,"Nov 29, 2006 (18)","France, DR Congo","1,86m",right,"Jan 9, 2025",,"Jun 30, 2029",€1.50m,https://www.transfermarkt.com/joachim-kayi-sanda/profil/spieler/986298
28,Juan Larios,Left-Back,"Jan 12, 2004 (21)",Spain,"1,70m",left,"Sep 1, 2022",,"Jun 30, 2027",€4.50m,https://www.transfermarkt.com/juan-larios/profil/spieler/646738
3,Ryan Manning,Left-Back,"Jun 14, 1996 (28)",Ireland,"1,73m",left,"Jul 11, 2023",,"Jun 30, 2027",€3.50m,https://www.transfermarkt.com/ryan-manning/profil/spieler/262300
34,Welington,Left-Back,"Feb 19, 2001 (24)",Brazil,"1,70m",left,"Jan 1, 2025",,-,€3.50m,https://www.transfermarkt.com/welington/profil/spieler/729264
21,Charlie Taylor,Left-Back,"Sep 18, 1993 (31)",England,"1,83m",left,"Jul 1, 2024",,"Jun 30, 2026",€2.80m,https://www.transfermarkt.com/charlie-taylor/profil/spieler/195633
2,Kyle Walker-Peters,Right-Back,"Apr 13, 1997 (28)","England, Jamaica","1,73m",right,"Aug 11, 2020",,"Jun 30, 2025",€18.00m,https://www.transfermarkt.com/kyle-walker-peters/profil/spieler/341051
